Names	total	elements
BioPlex3.0 CoFrac HCM HuRI QUBIC	306	P27986
		Q9H3S7
		Q6VMQ6
		Q96ES7
		Q96AT1
		Q9P2K3
		Q8TDN6
		Q9BRP8
		Q13601
		Q86TB9
		O75381
		Q15437
		Q9Y2W2
		O95292
		Q96L91
		Q9NXF1
		P55735
		Q92889
		O60763
		Q9NQT5
		Q96GA3
		O94979
		Q9UN86
		P12956
		Q9BXY0
		O00303
		P51610
		P40222
		Q9Y5L0
		O75934
		Q8TDD1
		P55072
		P62491
		Q8WWM7
		Q92922
		P55795
		Q14696
		O14777
		Q12888
		P49023
		Q9BW27
		Q8IUF8
		Q6NYC1
		Q8TAQ2
		Q8N684
		Q13136
		Q69YN4
		P07910
		O95985
		P08670
		Q9Y295
		Q13416
		Q99848
		Q96CB8
		Q8WXI9
		P06748
		Q00013
		P62140
		Q8WXF1
		P52292
		Q9Y6A5
		Q92917
		P49756
		Q13330
		Q4LE39
		Q9NX63
		Q9NVN8
		P13861
		Q03252
		Q15233
		P49368
		Q16629
		Q8N8S7
		P26038
		Q8N9T8
		Q96QK1
		Q13409
		Q15287
		Q13283
		Q969G3
		Q66K14
		Q9NR28
		Q99570
		P09429
		O60493
		Q15436
		P11142
		Q9NP61
		O43707
		Q13573
		P50750
		O75822
		Q9BTA9
		Q9H4M9
		P20700
		Q13618
		P83436
		Q9NVM4
		Q9H0H5
		Q9NPI1
		Q15637
		Q9NQZ2
		Q14141
		P50552
		Q13242
		P62191
		Q9H8Y8
		Q15019
		Q01081
		P07237
		P61106
		Q9NZN8
		Q96ST3
		O00401
		Q9H9B4
		Q13895
		Q9H1K0
		P06576
		Q9GZR2
		Q7Z460
		Q96HW7
		Q6P1J9
		Q14247
		P19338
		Q9UHD8
		P63165
		P61978
		Q04726
		O60828
		Q7L590
		Q9UHB7
		P05549
		Q9NZM5
		Q86YP4
		Q9UKX7
		O94973
		P02545
		Q9NX58
		Q9BW71
		O00567
		Q96I24
		Q9P2B4
		P48643
		Q15311
		Q13247
		Q8NHQ9
		Q5T5P2
		Q15942
		Q8IX12
		Q9UHR5
		O75146
		Q96FV9
		Q9Y6G9
		Q9H1I8
		P20585
		O95721
		Q8IY81
		Q13492
		Q96I25
		Q8IWX8
		P62258
		O00148
		O00422
		Q9Y2Z4
		Q9NV56
		Q9NV31
		O75683
		P84103
		P18615
		Q15007
		P46108
		Q14683
		O43290
		Q9BZE4
		P07947
		P62987
		P31943
		P35611
		P13667
		Q9H307
		P17980
		Q9Y580
		Q49A26
		Q05397
		Q9Y5P4
		Q9UHD1
		Q16630
		O43809
		Q13435
		P15927
		Q15008
		Q16204
		Q14241
		Q8IZP0
		P23396
		Q15020
		O75400
		O00139
		Q13123
		Q92796
		Q68EM7
		O60506
		Q9NZ32
		P52597
		Q8WU79
		P41743
		O95400
		Q15059
		Q9Y383
		O00178
		O75821
		O14964
		Q86UE8
		P18583
		O43663
		P54652
		Q8NC51
		Q9UER7
		P26368
		Q8NEJ9
		Q14694
		Q13625
		Q96AE4
		Q14847
		P61758
		Q15910
		O00267
		Q9BYJ9
		Q92805
		P41240
		Q06787
		Q15906
		P10619
		Q9H0L4
		P35268
		Q96KQ7
		Q9NRZ9
		P26639
		Q9HBM6
		Q09028
		Q9UBC2
		Q8WX92
		Q15047
		Q14004
		P49321
		Q9H4L4
		Q92974
		P35232
		O14979
		Q8IYB3
		Q9Y230
		P55884
		Q8TAG9
		P26583
		P30622
		Q53F19
		P34932
		O95486
		P55209
		Q9UNF0
		O95817
		Q9P0L0
		Q15691
		Q01658
		Q14498
		Q5JVF3
		Q92841
		Q13838
		Q9UKM9
		Q99459
		Q9NPJ6
		O43747
		P15311
		Q92734
		Q9H0D6
		P14625
		P22087
		Q96CN9
		Q12906
		O43390
		A0MZ66
		Q96T37
		P46937
		O95602
		P43243
		Q9Y6Y8
		Q9BVP2
		Q13185
		Q03111
		Q9BRQ6
		Q9UI08
		Q8N7H5
		O95232
		P33240
		Q96PK6
		P29084
		Q96B97
		Q00403
		O75521
		Q8WWY3
		P62913
		Q09161
		P36873
		P50570
		Q00839
		P62241
BioPlex3.0 HCM HuRI QUBIC	264	Q5JTD0
		Q6P2H3
		Q9HC62
		P82094
		Q8WUB8
		Q49A88
		P16383
		Q9H7N4
		Q9Y5Z9
		P54277
		P49585
		Q9Y6R0
		Q9UQR1
		Q9NS73
		Q8N2M8
		Q14145
		Q96MT8
		Q9NYL2
		P31323
		P38432
		Q96HA1
		Q4V328
		P38159
		Q8WUD6
		Q14781
		Q9HAU0
		P49711
		Q96LZ7
		Q9BX66
		Q9NRA8
		Q14149
		Q8IX90
		O00257
		Q9UMZ2
		Q6NZ36
		Q9HCG8
		Q7Z417
		Q6PGN9
		Q15345
		Q5VSY0
		Q96FF9
		Q9HD26
		Q9HC52
		Q9BRX9
		Q1ED39
		Q9NPI6
		Q8NDX5
		P51116
		Q6P1M0
		Q99569
		Q9Y448
		Q96CN4
		Q96LT7
		Q92622
		Q9HAN9
		O15381
		O95684
		Q9P0U3
		O95696
		Q12955
		P52756
		Q92613
		Q8IX21
		Q99496
		O60504
		A7KAX9
		Q13277
		Q9Y4E8
		Q76L83
		Q8IXH7
		Q92609
		Q99996
		Q9NR12
		Q96BK5
		Q9H3R5
		Q86VR2
		P54886
		Q9HC77
		P18031
		P56945
		Q9BYG5
		Q9BU76
		Q8IXW5
		Q5W0B1
		Q9P0L2
		Q9NPL8
		Q99640
		Q6NZI2
		Q9UEG4
		Q96RK0
		O14524
		Q9Y388
		Q9H000
		Q86WX3
		Q9NW64
		Q96RS0
		Q68DC2
		Q53SF7
		P04049
		Q86W92
		Q14687
		P25490
		O15226
		O75410
		O60239
		P83916
		Q96RL1
		Q08170
		Q2TAZ0
		Q9NXE8
		P06241
		P05067
		Q562F6
		P54105
		Q9NX95
		Q96IZ7
		P78332
		Q9UHR4
		Q8N5F7
		Q53HL2
		Q7L4I2
		O95243
		Q00536
		Q96S38
		Q7Z2W4
		O95391
		Q9UMY1
		Q9UQB8
		P68431
		P45973
		Q9Y3Y2
		P50402
		O60716
		Q9HB20
		Q92615
		Q96K37
		Q63HQ0
		Q659C4
		P55201
		Q5QJE6
		Q9NQX3
		Q6UVJ0
		Q6IAA8
		Q86T90
		Q92997
		Q05086
		Q9ULU4
		Q9BQE5
		Q6PJT7
		P24588
		Q86UP2
		O43683
		Q8IYH5
		Q8IX01
		Q9H4L5
		Q9BYI3
		P46020
		Q9NWH9
		Q14257
		P51114
		Q8NDD1
		Q9P219
		Q9H4A3
		P08651
		Q8ND83
		Q96TC7
		Q14596
		Q5BKZ1
		Q9Y6I3
		Q06587
		Q8TB61
		Q9H3P2
		Q5C9Z4
		Q9Y679
		Q7L804
		P54252
		Q9Y2J2
		Q92569
		Q6NYC8
		Q14161
		O95251
		Q96AA3
		O14639
		Q02040
		Q9Y232
		Q9H0U9
		O95835
		Q9BT25
		Q86WP2
		O60293
		P78364
		Q13501
		O94964
		Q96L93
		Q9Y485
		Q96JP5
		O60812
		Q6UB99
		Q9P0U4
		Q99959
		Q5T6F2
		Q6DN90
		Q9Y2K5
		Q15697
		Q9UNK0
		Q14739
		Q9C0C9
		Q7Z589
		P42568
		Q5T8D3
		Q8NBT2
		Q9HDC5
		Q08379
		Q9Y4B5
		P05412
		O43159
		Q71RC2
		O00161
		P09669
		Q9NW68
		Q7Z739
		Q5T5X7
		P78347
		P19525
		Q9UKK9
		Q2TBE0
		Q9NYJ8
		O95759
		Q969E2
		P11802
		P07197
		Q9Y2U8
		Q8N128
		P98174
		P10398
		O75494
		Q8NDT2
		Q96T51
		Q9UJF2
		Q9BRD0
		Q9P2M7
		Q9UKI8
		P98175
		Q9HCD5
		Q9ULD2
		P49748
		Q5VWQ8
		O60447
		Q86X02
		Q9HC44
		Q9UPV0
		P49757
		Q9HCN4
		Q9GZM5
		Q15154
		Q16637
		Q8NCN4
		Q9Y4F5
		Q9NS91
		Q96F86
		Q8ND82
		Q9BY77
		Q9BX40
		Q8TD31
BioPlex3.0 CoFrac HCM HuRI	47	Q9H7B2
		Q13586
		Q9UMX0
		Q56P03
		O43399
		Q02790
		Q9Y314
		P12277
		P54725
		Q15654
		Q5VZE5
		Q15599
		P80303
		Q9Y2D4
		Q9UI26
		P53367
		Q14554
		Q15050
		Q96EP5
		Q9UNH7
		P04264
		P0DMV8
		Q00059
		Q9BVJ6
		P27797
		Q96EV8
		Q8NCF5
		Q9NUY8
		Q9HD20
		Q96A65
		Q12797
		Q7Z4W1
		Q53EL6
		P07992
		Q9NTZ6
		Q03112
		Q05519
		Q9UJU6
		O15131
		P43490
		Q8N2W9
		Q9Y2Q3
		Q8WXA9
		Q9BRX2
		Q13596
		O00264
		P09110
BioPlex3.0 CoFrac HuRI QUBIC	128	Q96GM5
		O00329
		Q15427
		P62312
		P27694
		P31749
		Q92995
		P28074
		P78318
		Q96T60
		Q8IUR0
		Q13243
		Q9NYB9
		Q9NPA8
		Q9BZE9
		Q9UIV1
		Q4VC05
		P63279
		Q5T0F9
		Q09666
		Q96MF7
		P00519
		P55854
		Q6VN20
		P68400
		Q8NAV1
		Q8IY18
		P29692
		Q9NRN9
		P49721
		P26196
		P49736
		P12883
		O75496
		Q6IBW4
		P06703
		Q13043
		Q9P086
		O95340
		P56545
		Q9GZV4
		Q8N668
		P20226
		P16333
		Q04637
		Q9UDY4
		Q9Y3B2
		P28347
		O43447
		P54136
		P08238
		Q9ULW3
		P63104
		O75436
		P35908
		P13284
		P09234
		P61956
		P17931
		O95834
		Q9BQE9
		O43741
		P63244
		P21333
		Q9BVI4
		Q5VVQ6
		Q01085
		O60664
		P78346
		Q99816
		P32121
		P62979
		Q71SY5
		Q86VN1
		O43633
		P62310
		Q9BVS4
		Q96K76
		P23193
		O94992
		P40938
		P24534
		Q9Y4Z0
		P08621
		Q6NWY9
		P62995
		Q9NPE3
		O75351
		Q9NWV8
		Q9Y3C8
		Q15024
		Q14011
		P38919
		Q13595
		Q99873
		Q86X83
		Q9H147
		Q9NRX2
		Q9NRX1
		Q13867
		P48730
		Q9P1U0
		P15336
		Q9BXJ9
		Q15642
		P37108
		P61981
		P62877
		P54278
		Q9BUR4
		P23528
		Q93050
		Q9NQT4
		O60927
		P48556
		Q07955
		Q9UKS6
		P25685
		P17275
		Q92785
		Q9NQ29
		P09972
		P25789
		P31947
		Q9BW61
		P55769
		Q96G21
		Q969U7
CoFrac HCM HuRI QUBIC	10	Q14157
		Q9NSI6
		O00116
		Q9BUJ2
		Q8N1F7
		Q9BQ61
		P22626
		P35659
		P53999
		Q15056
BioPlex3.0 CoFrac HCM QUBIC	341	P09651
		Q8NHM5
		P41252
		P80723
		Q86VP6
		Q9NYF8
		P49750
		Q16181
		P00441
		P31040
		Q15648
		Q9Y3P9
		P61247
		Q9NTI5
		Q9H8H2
		P51149
		Q5UIP0
		Q9BUQ8
		Q86VM9
		P13674
		O43852
		Q92522
		P05455
		Q6PL18
		P51532
		O94906
		P51991
		P00533
		Q99700
		Q9NW08
		Q9UQ35
		P37802
		Q12873
		P11021
		Q9BXF6
		Q15022
		P38117
		O14646
		P51812
		Q9UQ80
		Q15397
		Q14974
		P36578
		Q9C0J8
		Q7Z6E9
		Q9H583
		P23588
		Q9NQW6
		Q15061
		Q9Y608
		P49916
		Q99575
		Q9NY12
		O95169
		Q8WUZ0
		Q13206
		O15047
		P35658
		Q08945
		Q12788
		O00268
		Q13823
		P46777
		P46783
		Q9Y5K6
		Q96EB6
		Q8IZL8
		Q13310
		P55196
		Q9UKV3
		Q6PJG2
		Q9NV06
		Q99733
		O75940
		Q9Y221
		A5YKK6
		O14976
		Q00341
		Q96SU4
		Q14562
		P11047
		O60885
		Q02880
		P39748
		Q12830
		Q86U44
		P11387
		Q9UL03
		Q14690
		Q07666
		O14497
		Q9BTC0
		Q9Y266
		Q5VZL5
		Q9NRR5
		Q8IZT6
		Q96S59
		Q9H0S4
		Q93052
		P46778
		Q92769
		Q9Y2W1
		Q6KC79
		P62424
		Q3B726
		P25098
		P49790
		O00410
		Q15554
		Q9NYB0
		P21796
		Q15075
		Q8WTT2
		O95071
		P52948
		P42696
		Q9H0B6
		Q14202
		Q9GZS1
		Q9Y6W5
		Q8WYP5
		Q9HD34
		Q9UMS4
		Q8N1G2
		Q68CP9
		Q9UJA5
		Q9NZ63
		Q05655
		P15924
		O43823
		P35637
		Q96HC4
		P51659
		P42566
		P78406
		P30260
		P42285
		Q9NVP1
		Q9H9Y6
		Q13263
		O14686
		Q07157
		Q13011
		O60870
		Q8IZH2
		Q9BZI7
		P57740
		Q14C86
		P31689
		P49792
		P40818
		Q12769
		O75962
		Q9UPN9
		P11388
		O76021
		O15027
		Q92614
		Q92930
		P49755
		P25440
		O14828
		O60488
		O95782
		O15446
		Q08211
		P21675
		P30101
		Q6P996
		P46087
		P46013
		O75746
		Q9BTC8
		Q01130
		Q8IUD2
		Q06265
		Q14203
		Q8N122
		Q15424
		Q9BXP5
		Q9P0K7
		Q8N163
		O43156
		Q01518
		Q92973
		Q14839
		Q32P28
		O15213
		P29401
		O00151
		Q8NBJ5
		Q6NZY4
		Q9H6F5
		Q13395
		Q12789
		Q8N6H7
		P10515
		Q5T200
		P39023
		P14866
		Q8WWI1
		Q7L2J0
		Q8IWJ2
		P25705
		P55265
		Q99470
		O95299
		Q12965
		P51531
		Q15650
		Q99666
		Q9Y2X3
		Q9BQ39
		Q99661
		O00541
		Q9NZI8
		Q9Y3T9
		Q7KZ85
		P26599
		Q14671
		O95487
		Q15811
		Q3L8U1
		Q5T8P6
		Q14677
		Q15269
		Q32P51
		Q9UFC0
		Q8N4C8
		P17480
		Q9P2N5
		Q16513
		P36776
		Q12874
		Q9Y6X9
		P61006
		P17858
		P62753
		Q9NRR4
		Q9BYW2
		Q6P2E9
		Q8N8A6
		O15085
		Q9BSC4
		Q13547
		Q68E01
		Q15149
		Q92547
		O60832
		B5ME19
		Q8WUM0
		Q9Y4W2
		O94913
		P33991
		O15042
		O75717
		Q9P2E9
		Q02241
		P31948
		Q9BZJ0
		Q14978
		Q3ZCQ8
		Q9NW13
		Q01844
		P30837
		O15355
		Q9H7E2
		Q9NR30
		Q01780
		O14980
		Q5SY16
		Q9UDY2
		Q86U86
		P62750
		Q14980
		P31150
		Q6PD62
		O43719
		O60264
		Q9Y5B9
		Q96BP3
