,protein_list,cos.sim,mean_cossim,pv
0,"O75179P56211,O75179Q8IV61,O75179Q15843,O75179Q9UKJ3,O14653O75179,O75179P09234,O75179Q96MT7,O75179Q8IYT8,O75179Q96N38,O60469O75179,O75179Q6MZM0,O75179O94760,O75179P86479,O75179Q16585,O75179Q96HY6,O75179Q9Y2X0,O75179Q8TAP4,O75179Q9HCL2,O75179Q8N130,O75179P31267,O75179Q9P2H3,O75179Q8IY26,O75179Q68DH5,O75179Q8N5I3,O75179P55085,O75179Q8NER5,O60292O75179,O75179P27816,O75179P34741,O75154O75179,O75179Q9Y237,O75179Q9UPN7,O75179P24385,O75179P54760,O75179Q9Y2F9,O75179Q9NZU1,O75179P09486,O75179Q15973,O75179P59544,O75179Q9BR84,O75179Q9Y2K5,O75179P10073,O75179Q9Y4P1,O75179Q92845,O75179P55809,O75179P12277,O75179Q6ZMG9,O75179P43629,O75179Q07699,O75179P04746,O75179Q9GZT8,O75179Q9NZH5,O75179Q9P2Y4,O75179Q9BT76,O75179Q9H9P5,O75179Q8N475,O75179Q9NZJ4,O75179Q06732,O75179Q9H4D5,O75179Q6ISB3,O60732O75179,O75179Q9BYQ0,O75179Q86SE8,O75179P85298,O14654O75179","0.3179345726966858,0.1811879128217697,0.5055522918701172,0.5776899456977844,0.2526735663414001,0.6380985975265503,0.3439645171165466,0.3264492154121399,0.4162391722202301,0.2222041636705398,0.4733277857303619,0.3897616565227508,0.6122710704803467,0.2185724228620529,0.5366553068161011,0.5264179110527039,0.6115788221359253,0.2520660758018493,0.1868865042924881,0.172922745347023,0.3315885066986084,0.4530104100704193,0.2127598226070404,0.2919954657554626,0.3333008885383606,0.3322042822837829,0.5753006935119629,0.6363987326622009,0.5297629237174988,0.2632887065410614,0.4709661602973938,0.6290509700775146,0.51463782787323,0.3143686652183532,0.4876598417758941,0.3166798949241638,0.1371042877435684,0.615185022354126,0.1199415922164917,0.206178992986679,0.396821916103363,0.3245872855186462,0.163569375872612,0.4863473773002624,0.4131076335906982,0.4750271439552307,0.4482291340827942,0.2458180636167526,0.336239606142044,0.304408311843872,0.6361481547355652,0.4923222661018371,0.4173726141452789,0.1076418608427047,0.7315346598625183,0.1802108585834503,0.4232150614261627,0.4135810434818268,0.3918005526065826,0.6628468632698059,0.1877735257148742,0.4498634338378906,0.5449199080467224,0.2356025725603103,0.6503470540046692",0.39466421879254854,5.5439191034964165e-11
1,"B7U540O75179,O75179P69905,O75179Q8WV74,O75179P53701,O75145O75179,O75179P17097,O75179Q15526,O75179Q8TF20,O75179Q13043,O75179Q8TCP9,O75179Q7Z5L2,O75179Q14847,O75179P00352,O75179Q8NCM8,O75179Q8IXB1,O15085O75179,O75179Q92902,O75179Q9H7B7,O00624O75179,O75179P48230,O75179Q9NWB7,O75179Q9NQW6,O75179Q5GJ75,O75179Q9Y5F7,O75179Q6P2D0,O75179Q14188,O75179Q13156,O75179Q969V5,O75179P58304,O75179Q9NY99,O75179Q7L0Q8,O75179Q8N2H4,O75179Q92551,O75179Q6KCM7,O75179Q9H0E2,O75179Q96B49,O75179P60568,O75179P54852,O75179Q5XKR4,O75179Q6ZMS4,O15397O75179,A6QL64O75179,O75179Q8NCG5,O75179Q9UG63,O75179Q15637,O75179Q8IZL8,O75179Q9NYG2,O75179P16144,O75179Q9Y262,O75179Q9Y663,O75179Q9NYQ7,O75179Q9Y3T9,O75179P20823,O75179Q8IVL5,O75179Q9HBB8,O75179Q9NWV8,O75179Q5TEU4,O75179P61626,O75179P10176,O75179P12110,O75179Q8N111,O75179P37108,O75179P82914,O75179Q8N3I7,O75132O75179","0.1099498495459556,0.424316257238388,0.2746158540248871,0.2177090346813202,0.5007740259170532,0.5025125741958618,0.3914198875427246,0.432063341140747,0.4033165574073791,0.19528628885746,0.6550073027610779,0.6335689425468445,0.3738619089126587,0.5188795924186707,0.4198710322380066,0.4899429678916931,0.3381085395812988,0.2867465019226074,0.3767139017581939,0.2532619833946228,0.3889115154743194,0.6625603437423706,0.2662423849105835,0.4306599497795105,0.549871563911438,0.2988179624080658,0.4267679154872894,0.3395466208457947,0.4512158334255218,0.3406232893466949,0.1002177223563194,0.3100695610046386,0.2319597899913787,0.4209921360015869,0.4516165256500244,0.3552667796611786,0.0367658957839012,0.3459332883358001,0.4348381459712982,0.231417566537857,0.4302291870117187,0.5115960836410522,0.0388828590512275,0.5620880722999573,0.5525131225585938,0.4794067442417145,0.2560732662677765,0.3717576861381531,0.3968694806098938,0.1464381664991378,0.2856481671333313,0.6307583451271057,0.34951052069664,0.4929249882698059,0.5377930402755737,0.5885545611381531,0.4857092797756195,0.2365401536226272,0.2238732278347015,0.4178466796875,0.391039490699768,0.5237747430801392,0.5427866578102112,0.3916994631290436,0.3467180132865906",0.38558850976137016,4.573259474484535e-13
2,"O75179Q6ZMZ3,O75179Q96S06,O75179Q66K89,O75179Q9NWF4,O75179Q9HCZ1,O75179Q9H213,O75179Q9NQS1,O75179Q8TD33,O75179Q5VV67,O75179Q9UJT0,O75179Q9UM63,O00458O75179,O75179Q9HC96,O75179Q14978,O75179Q9BYD9,O75179P02545,O75179Q86X83,O75179Q9BXJ0,O75179Q15257,O60258O75179,O75179Q99677,O75179Q8IW19,O75179P02511,O75179Q96P70,O75179Q9H871,O75179Q8NCI6,O75179Q9UPU9,O75179Q9H019,O75179P0DPI2,O75179P51911,O75179Q02509,O75179Q9Y2Q3,O75179Q13241,A1A4F0O75179,O75179Q9NX24,O75179P30039,O75179Q96G30,O75179Q8NH19,O43610O75179,O75179O75608,O75179P78362,O75179Q9NRM6,O75179O95163,O75179Q13519,A6NC98O75179,O75179Q9BY50,O75179Q9NR97,O43542O75179,O75179P24666,O75179P00395,O75179Q8TEU7,O75179Q9H9Y6,O75179O75964,O75179Q9BXS0,O14965O75179,O75179Q13237,O75179P63261,O75179Q8TD46,O75179Q9H3M0,O75179Q96L21,O75179Q8N488,O75179Q8N6T7,O75179Q9UPQ0,O75179Q8N5Q1,O75179Q3B7J2","0.367203414440155,0.3360276818275451,0.7293208837509155,0.3225309252738952,0.0504113435745239,0.3654823005199432,0.4725041389465332,0.3388501405715942,0.5108502507209778,0.393022358417511,0.1996588408946991,0.2791343629360199,0.2417645752429962,0.6423054933547974,0.0438042692840099,0.5486854314804077,0.4590954780578613,0.3319508731365204,0.4701768755912781,0.5509775280952454,0.4214832782745361,0.570533037185669,0.4585636258125305,0.5888848304748535,0.4328950941562652,0.2459911406040191,0.6571861505508423,0.3612217009067535,0.3737627267837524,0.4288456439971924,0.4312208294868469,0.3816342353820801,0.2777019441127777,0.2875875234603882,0.4922089576721191,0.4814246296882629,0.3260127902030945,0.4004907608032226,0.375121146440506,0.4509805738925934,0.4755570888519287,0.3835355937480926,0.5681316256523132,0.3595371842384338,0.7449865341186523,0.4036112427711487,0.1601922810077667,0.5791011452674866,0.2979027330875397,0.1698110401630401,0.5978394150733948,0.5385985374450684,0.389233261346817,0.2622010111808777,0.5675926208496094,0.3031642138957977,0.5768430829048157,0.3868861198425293,0.3243070542812347,0.3858515918254852,0.475274384021759,0.5323343873023987,0.5764074921607971,0.3977190554141998,0.1836538612842559",0.4113504668267874,2.2895039391899885e-11
3,"O75179Q9UMS5,O75179Q8N668,O75179Q5JTD0,O75179P26373,O75179Q9H9D4,O75179P42338,O75179P84243,O75179Q8N801,O75179Q08554,O75179P54920,O60476O75179,O75179Q86WU2,O75179O75688,O75179P61457,O75179Q96QE2,O75179P28330,A8MZ97O75179,A8MV81O75179,O75179Q96PC3,O75179Q9NRX1,O75179Q5JTC6,O75179Q6Q8B3,O75179Q06187,O75179P59768,O75179Q92934,O75179Q7Z7M8,O75179Q9NPE3,O75179P02794,O75179P61218,O15525O75179,O75179O75830,O75179P51878,O75179Q9BWW9,O75179Q8TEQ0,O75179Q9P0U4,O75179Q9NX07,O75179Q7Z3Y9,O75179Q5DX21,O75179P35568,O75179P55291,O75179O95249,O75179Q969H4,O75179Q9UI30,O75179Q8WU79,O75179Q92526,O75179Q9UKY0,A5D8W1O75179,O60347O75179,O75179Q07973,O75179P78385,O75179Q08116,O75179Q96SJ8,O75179Q9BRR9,O15068O75179,O75179Q9BYQ3,O75179Q5MJ08,O75179Q9UFP1,O75179Q9UN74,O00322O75179,O75179P17658,O75179Q14137,O75179O95140,O75179Q9Y3D8,O75179P14923,O60478O75179","0.0539582595229148,0.5246387720108032,0.6843386888504028,0.5963008403778076,0.6134980916976929,0.449658066034317,0.679986298084259,0.1374849826097488,0.2865776717662811,0.2205672264099121,0.2412123382091522,0.5395405292510986,0.537193775177002,0.5496410131454468,0.257328599691391,0.302305519580841,0.1039156541228294,0.4255066514015198,0.4295726716518402,0.4619704186916351,0.7553511261940002,0.2842194437980652,0.3987324833869934,0.4371472895145416,0.1042038053274154,0.4329526424407959,0.5124950408935547,0.4608860909938812,0.7055443525314331,0.4056005477905273,0.4606607556343078,0.4024623036384582,0.1459070742130279,0.4879483580589294,0.562606930732727,0.2547294795513153,0.2666999697685241,0.3594363331794739,0.2815153002738952,0.328579694032669,0.2316282093524933,0.3604868948459625,0.4926653504371643,0.4743513166904449,0.4254330694675445,0.1744166910648346,0.4124711453914642,0.2356021106243133,0.0899426788091659,0.356155514717102,0.2769332826137543,0.2939811944961548,0.517393171787262,0.1726423501968383,0.4397847652435303,0.5473846197128296,0.1449533253908157,0.488436758518219,0.2878945469856262,0.1040114313364029,0.5739654302597046,0.2086863964796066,0.4361657202243805,0.7415229678153992,0.097776249051094",0.38042400433466983,2.6354860829534693e-11
4,"O75179O95835,O75179Q14764,O75179Q13017,O75179Q8NI35,A6NI28O75179,O75179Q8IWV8,O75179Q9UJT2,O43617O75179,O75179Q9P1Y5,O75179Q9ULG6,O75179Q5ZPR3,O75179Q9BWU1,O75179Q15776,O75179Q6IA69,O75179Q14722,O75179Q8WYN0,O75179P37058,O75179P19022,O75179Q8TAG5,O14530O75179,O75179P62502,O75179Q3ZCT1,O75179P40818,O75179Q9GZV1,O75179Q1ZZU3,O75179Q70EK8,O75179P28328,O75179Q9HD23,O75179Q9BT49,O43809O75179,O75179Q15034,O75179P30566,O75179P35610,O75179Q16186,O75179Q86XD5,O75179Q96KC9,O75179Q01844,O75179Q8IX05,O75179Q5JT25,O75179Q5W0N0,O75179Q96PX1,O14647O75179,O75179Q9Y5B8,O75179O75936,O75179P23490,O75179P78559,O75179Q96EK6,O75179Q15391,O75179Q9NVQ4,O60503O75179,O14512O75179,O14524O75179,O75179Q8IWB4,O75179Q9BPX7,O75179Q6VY07,O75179Q9BXM7,O75179Q6PCE3,O75179O95810,O75179O75362,A6H8Z2O75179,O75131O75179,O75179Q9H227,O75179Q5VW00,O75179P48745,O75179Q8NBF1","0.7089605927467346,0.4728872179985046,0.5393658876419067,0.7037047743797302,0.4114841818809509,0.3898649215698242,0.3663746118545532,0.2458428591489792,0.5547817349433899,0.321815013885498,0.3825259804725647,0.523169755935669,0.5116608738899231,0.5486774444580078,0.029264498502016,0.2117548882961273,0.3158260285854339,0.481783002614975,0.2514889538288116,0.4572661817073822,0.4090271890163421,0.2438289672136306,0.3939728438854217,0.3669259548187256,0.0543098822236061,0.3183018565177917,0.1650528013706207,0.4178305268287658,0.6325313448905945,0.5802246332168579,0.4343720078468323,0.5580764412879944,0.4396883547306061,0.516322135925293,0.4605900645256042,0.3228283524513244,0.5744949579238892,0.1307363957166671,0.2207510471343994,0.2661765217781067,0.337284505367279,0.5340734720230103,0.5900286436080933,0.5321975946426392,0.3353036046028137,0.5203918814659119,0.2266784459352493,0.1195293217897415,0.4613001942634582,0.4508945941925049,0.5484796762466431,0.4227184653282165,0.2386192828416824,0.2570053040981293,0.3776571154594421,0.3759931027889251,0.4881585240364074,0.3858234584331512,0.449422687292099,0.499538242816925,0.3589042723178863,0.2202270478010177,0.4305832386016845,0.429511159658432,0.2001971900463104",0.39577019552771864,4.806625130597834e-12
5,"O75179Q86YW9,A8MVS5O75179,O75179P46695,O75179Q9BV44,O75179Q9Y6K1,O75179Q9BVW5,O75179O75461,O75179Q14814,O75179Q86VE0,O75179P21796,O75179Q16667,O75179O75596,O75179Q5T0J3,O75155O75179,O75179P16591,O75179O95139,O75179P62875,O75179Q68DA7,O75179Q7Z769,O75179Q9BQG2,O75179Q14997,O75179Q15485,O75179Q8TF42,O75179P46060,O75179P15622,O75179P13196,O75179P52888,O75179Q8IXS6,O75179Q5GLZ8,O75179P52948,O75179Q86SJ6,O75179Q02809,O75179Q9H3K6,O75179Q96JT2,O75179Q9NXE4,O75179P36507,O75179Q9H1C7,O75179Q8N5A5,O75179P43629,O75179Q9H3T2,O75179P35318,O75179Q96HB5,O75179Q96JY6,O14983O75179,O75179Q9Y3B8,O00750O75179,O75179Q9NQ25,O75179Q6P2E9,O75179Q9BZJ8,O75179Q92565,O75179Q96HU1,O75179Q9Y5P8,O75179Q2QD12,O75179Q7Z7G8,O75179P55327,O75179Q9NV29,O75179O95394,O75179P40617,O75179P26583,O75179Q96RD9,O75179O75679,O75179Q99594,O75179Q9NU53,O14492O75179,O75179Q5TDH0","0.4914247393608093,0.4856625497341156,0.3005970120429992,0.5387212038040161,0.5109845995903015,0.4334464073181152,0.5131780505180359,0.5273179411888123,0.6305502653121948,0.5416436791419983,0.4156569540500641,0.4415456354618072,0.207894966006279,0.6266898512840271,0.3460457921028137,0.2070821225643158,0.558465301990509,0.2401720732450485,0.3605442643165588,0.5522724390029907,0.5099166035652161,0.1067366376519203,0.5636447668075562,0.5229023694992065,0.6657880544662476,0.2861562073230743,0.3231901526451111,0.63456130027771,0.4232305586338043,0.5673696994781494,0.5481711030006409,0.4742480814456939,0.5531071424484253,0.0832359045743942,0.5373015999794006,0.3637584447860718,0.3259116411209106,0.589657187461853,0.2458180636167526,0.1296785175800323,0.2698061466217041,0.6199557781219482,0.301695317029953,0.4957497715950012,0.3058947920799255,0.4189854562282562,0.3191018104553222,0.581036388874054,0.2497841119766235,0.5089876055717468,0.3023831844329834,0.443556398153305,0.21694877743721,0.5669009685516357,0.3988108336925506,0.4617339968681335,0.3862602114677429,0.3719336092472076,0.5053365230560303,0.2964305281639099,0.4383336901664734,0.3717000782489776,0.356945276260376,0.6217109560966492,0.5200741291046143",0.4263744034446203,1.3344969165122864e-09
6,"O75179O95340,O75179Q8N196,O75179Q9H251,O75179Q3LI66,O75179Q07157,O75179Q5TKA1,O75179Q9Y3P9,O75179P60604,O75179P28072,O75179P54107,O75179Q6P9H4,O15467O75179,O75179Q9Y2B4,O75179Q6EEV6,O75179Q8WUY9,O43653O75179,O75179Q8NE31,O75179Q9HCG7,O75179Q9H8G1,O75179Q9BQS8,O75179Q9BX95,O75179P83876,O75179P56270,O75179Q4ADV7,O75179Q9P0J1,O75179Q6UX07,O75179P31997,O75179Q92562,O75179P0CG08,O75147O75179,O75179Q96PB8,O75179Q86UE4,O75179P35913,O75179P49841,O75179Q8N967,O75179Q9P2J3,O75179Q16558,O75179Q9H2P0,O75179Q5TA76,O75179O96013,O75179Q9P0W8,O75179Q9NP90,O75179Q76MJ5,O75179Q9BRT8,O75179Q00688,O75179P06681,O75179Q9HCM1,O75179Q6P4A8,O75179Q9P2G3,O75179Q9H8L6,O75179Q9BRP7,O75179Q5JSS6,O75179Q9Y2D2,O75179Q9Y530,O75179P05121,O75179Q13148,O75179Q9ULX6,O43900O75179,O75179P49682,O75179Q9NSY0,O75179Q9NUP1,O75179Q9Y4R8,O75179Q9Y5J7,O75179P28482,A8MYP8O75179","0.3557943701744079,0.7359930276870728,0.5688655972480774,0.4676635265350342,0.6646817922592163,0.4799734950065613,0.7639732360839844,0.2478712350130081,0.4391236305236816,0.0449361465871334,0.4925642013549804,0.4310946464538574,0.3573306500911712,0.2396577298641204,0.5161207914352417,0.3164196014404297,0.4304686188697815,0.4447122514247894,0.3297750353813171,0.5129397511482239,0.2830781042575836,0.4848622381687164,0.4262898564338684,0.416064441204071,0.2713596522808075,0.2729425430297851,0.467698872089386,0.4250485002994537,0.2384130954742431,0.5779871344566345,0.1149692758917808,0.6177512407302856,0.4927204549312591,0.4836047291755676,0.3026991486549377,0.1874209195375442,0.151294007897377,0.5947015881538391,0.3028878569602966,0.5622463226318359,0.295247882604599,0.3763685524463653,0.2362644225358963,0.4552963376045227,0.3848413228988647,0.3087198138236999,0.2914674282073974,0.3974842429161072,0.3577531278133392,0.2117689549922943,0.3269746005535126,0.3933202028274536,0.0903784111142158,0.3818943500518799,0.4678409099578857,0.5757901668548584,0.5151272416114807,0.6029672026634216,0.3029884397983551,0.4210951924324035,0.2865399122238159,0.4098723828792572,0.2485728710889816,0.4847450256347656,0.4709689021110534",0.3970505725305814,3.048474239111988e-12
7,"O75179P54920,O75179Q9BUU2,O75179Q5DX21,O75179Q9Y2D2,O75179Q9UMD9,O60575O75179,O75179Q96QR1,O75179P17658,O75179Q8NG11,O75179Q9H0K6,O75179Q8WYN0,O75179Q9UHP3,O75179Q15102,O75179Q9Y6Z7,O75179Q15517,O75179Q14203,O75179P0DMS8,O75179P14384,O75179Q9P2N7,O75179O75602,O75179Q8NBT0,O75179Q6PEW1,O75179Q9NVN3,O75179Q8TEQ0,O75179P29144,O75179Q9BYE7,O75179O75937,O75179Q96MV8,O60927O75179,O75179Q01484,O75179Q6P1Q9,O75179Q9BVV6,O75179Q9P2P5,O75179Q2T9J0,O75179Q6P531,O75179Q32P44,O75179Q8IZQ1,O75179P16562,O75179Q8IWR0,O75179Q7L190,O75179Q9NPE2,O75179O75558,O75179Q6ZNL6,O75179P49750,O75179Q6ZNH5,O75179Q9NU53,O75179Q6P1J6,O75179Q96BW1,O75179Q96CD2,O60637O75179,O75179Q8NHQ1,O75179Q9H553,O75179P24864,O75179P56693,O60663O75179,O75179Q9Y2Y8,O75179O75360,O75179Q3B7S5,O75179P10619,O75179Q15054,O75179P11172,O75179Q3SY46,O75179Q14833,O75179Q2M2D7,O14669O75179","0.2205672264099121,0.2651563584804535,0.3594363331794739,0.0903784111142158,0.4483645856380462,0.2200157195329666,0.1709798127412796,0.1040114313364029,0.206030324101448,0.3106265366077423,0.2117548882961273,0.4537393152713775,0.4299094676971435,0.3314821720123291,0.4376637041568756,0.6224619746208191,0.1935224682092666,0.5850864052772522,0.4681844711303711,0.312826931476593,0.5440495014190674,0.6425679326057434,0.3989305794239044,0.4879483580589294,0.481435626745224,0.5146595239639282,0.6926313042640686,0.343454360961914,0.2290766537189483,0.6571884751319885,0.4904008507728576,0.551596999168396,0.4118356704711914,0.4507588446140289,0.1192051395773887,0.4713454246520996,0.4717605710029602,0.2555916309356689,0.4839003086090088,0.6388406157493591,0.5630266070365906,0.4227965772151947,0.2445783913135528,0.510823130607605,0.4256970882415771,0.356945276260376,0.305605947971344,0.4044369757175445,0.4506564140319824,0.2267657071352005,0.5915017127990723,0.23683662712574,0.3154275417327881,0.5411096811294556,0.6067928671836853,0.4013523161411285,0.5097611546516418,0.2424701899290084,0.4104942679405212,0.4717801213264465,0.3835330903530121,0.4755612313747406,0.1526117771863937,0.2237260639667511,0.1983380168676376",0.3915693182211656,7.426655408055573e-12
8,"O75179Q6P6B7,O75179P29508,O75179Q8WXF1,O75179Q6ZSB9,O75179Q9UHE8,O75179Q86XI2,O75179P19875,O75179Q9BY64,O75179Q96C24,O75179Q9H3Q1,O75179P40199,O75179Q9HCH5,O75179Q99570,O75179P49788,O75179Q96AQ8,O75179P54849,O75179Q6UXY1,O75179P0C860,O75179Q9BQB6,O75179Q9H2B2,O75179O95498,A0AVI4O75179,O75179P13473,O75179Q9HBA9,O75179Q15785,O75179Q96JB8,O75179Q8IYM2,O75179O75635,O75179P49798,O75179Q05707,O75179Q8NEK8,O75179Q6ZMD2,O75179Q9HCM7,O75179Q9HCH0,O75179Q6GMV3,O75179P10909,O75179Q9UKP3,O75179Q9NVR2,A4D1T9O75179,O75179Q8N9N8,O75179Q8N393,O75179P54252,O75179Q9UKF7,O75179Q5TEJ8,O75179P01011,O75179Q8WXW3,O75179P49450,O14656O75179,O75179P17540,O75179Q9UGJ1,O75179Q9UMR5,O14653O75179,O75179Q9UHD9,O75179Q9Y6N5,O75179Q7L0Q8,O75179Q96JN8,O75179Q8TBZ2,O75179Q9Y4E1,O75179Q8IXQ9,O75179Q8NC67,O75179Q13033,O75179Q05682,O75179Q00059,O75179Q8WXE1,O75179O95455","0.4027871191501617,0.5331693887710571,0.4632756114006042,0.4171242713928222,0.1755234897136688,0.3846521973609924,0.1576675474643707,0.1889627873897552,0.6899679899215698,0.6793412566184998,0.6074772477149963,0.3731908500194549,0.5045486688613892,0.4877193570137024,0.1618561744689941,0.2764972150325775,0.3504857718944549,0.3393711447715759,0.4298550188541412,0.3962134420871734,0.4653761386871338,0.0866648182272911,0.4696463942527771,0.2294208705425262,0.5138570666313171,0.3289302885532379,0.4469336867332458,0.5141297578811646,0.3439180552959442,0.3307834267616272,0.3351600468158722,0.3239721357822418,0.4632779657840729,0.5621618032455444,0.4932973980903625,0.4502148032188415,0.2200500220060348,0.3285113275051117,0.3380146026611328,0.5267153978347778,0.2133683711290359,0.1263224184513092,0.4116025567054748,0.3554952144622803,0.4349793493747711,0.3790017962455749,0.6312509775161743,0.3646644353866577,0.3746733069419861,0.3658136427402496,0.2005247622728347,0.2526735663414001,0.6759633421897888,0.5036799907684326,0.1002177223563194,0.5262866020202637,0.3489176630973816,0.4595872461795807,0.2404110878705978,0.186833307147026,0.4799115657806396,0.550226628780365,0.3947452008724212,0.4107763171195984,0.2105983942747116",0.38444996957595534,4.893748431663761e-13
9,"O75179Q9H209,O75179Q676U5,O60609O75179,O75179Q8ND56,O75179Q96LZ2,O75179Q8NCL4,O75179P46092,O75179Q96RD9,A1KZ92O75179,O75179Q9NYJ7,O75179Q5VVJ2,O75179Q5SRE7,O75179Q16643,O75179Q86SU0,O14524O75179,B4DXR9O75179,O75179Q14241,O75179Q9BV19,O75179Q9H840,O75179Q5VUM1,O15370O75179,O75179Q9NS87,O75179Q96G03,O75179Q9H0V9,O75179Q14781,H3BU77O75179,O75179P46976,O75179P0C7Q2,O75179Q9Y6I7,O75179Q9BUH8,O75179Q15398,O75179Q6XZF7,O75179Q6UWX4,O75179Q5HYW2,O75179Q6UX39,O75179Q8TCB0,O75179P25311,O43752O75179,O75179Q99675,O75179Q8IY42,A6NHZ5O75179,O75179Q9NSI6,O75179Q969I6,O75179Q6P047,O75179P13861,O15195O75179,O75179Q9HD90,O75179Q68D51,O75179Q9NUE0,O75179Q9ULA0,O75179Q9UIQ6,O75179Q9H040,O75179Q7RTY3,O75179Q99805,O60359O75179,O75179Q9H6A0,O75179Q8IVH2,O75179Q7LFL8,O75179Q1KMD3,O75179P27448,O75179Q6GMV1,O75179Q9H1Z9,O75179Q96SQ5,O75179Q9HAW9,O75179Q5TEJ8","0.1170351505279541,0.4108293950557709,0.3393834829330444,0.5863931775093079,0.5278064012527466,0.3542302548885345,0.1610026061534881,0.2964305281639099,0.3248426914215088,0.2075655162334442,0.5208510160446167,0.4305186867713928,0.6149717569351196,0.2253470420837402,0.4227184653282165,0.3694095015525818,0.5473656058311462,0.4107275605201721,0.4800411760807037,0.1541533470153808,0.2030986100435257,0.5684313774108887,0.3462853133678436,0.3318640887737274,0.5347338318824768,0.3079040646553039,0.1779946982860565,0.3259899616241455,0.3773615658283233,0.4273274838924408,0.584999680519104,0.6127611398696899,0.2348913699388504,0.5351793169975281,0.3867091238498688,0.1378208696842193,0.5025117993354797,0.4594985544681549,0.3474759459495544,0.2166944742202758,0.214054986834526,0.507535457611084,0.0993721485137939,0.0280530210584402,0.5563532114028931,0.2445662021636963,0.4403789043426513,0.2760254740715027,0.2739869356155395,0.4416597485542297,0.5293334126472473,0.4564619958400726,0.3158144354820251,0.2045967131853103,0.3298375308513641,0.4828546047210693,0.4791550636291504,0.4346595704555511,0.5959891676902771,0.6093651056289673,0.2305490970611572,0.3114566802978515,0.625352680683136,0.3198867738246918,0.3554952144622803",0.37667616568505763,4.651065451438674e-13
