,protein_list,cos.sim,mean_cossim,pv
0,"P56199Q6W0C5,Q6W0C5Q8IV61,Q15842Q6W0C5,Q6W0C5Q9UKJ3,O14653Q6W0C5,P09228Q6W0C5,Q6W0C5Q96MT7,Q6W0C5Q8IYT8,Q6W0C5Q96N38,O60469Q6W0C5,Q6L9W6Q6W0C5,O77932Q6W0C5,P86478Q6W0C5,Q16581Q6W0C5,Q6W0C5Q96HY6,Q6W0C5Q9Y2X0,Q6W0C5Q8TAP4,Q6W0C5Q9HCL2","0.3433594405651092,0.1454576849937439,0.166318878531456,0.4490460455417633,0.3127464652061462,0.455624520778656,0.2858911454677582,0.2937046885490417,0.2955871224403381,0.1241090446710586,0.3209733068943023,0.3066636025905609,0.6188501715660095,0.478121280670166,0.5173643231391907,0.5976465344429016,0.3310524225234985,0.3063790202140808",0.3527164277103212,0.00011394930975773353
1,"B7U540Q6W0C5,P69892Q6W0C5,Q6W0C5Q8WV74,P53680Q6W0C5,O75145Q6W0C5,P17096Q6W0C5,Q15517Q6W0C5,Q6W0C5Q8TF20,Q13042Q6W0C5,Q6W0C5Q8TCP9,Q6W0C5Q7Z5L2,Q14839Q6W0C5,P00338Q6W0C5,Q6W0C5Q8NCM8,Q6W0C5Q8IXB1,O15085Q6W0C5,Q6W0C5Q92902,Q6W0C5Q9H7B7","0.1207448840141296,0.2550543248653412,0.313984215259552,0.3645661175251007,0.4350502490997314,0.4629677832126617,0.3460477292537689,0.3599463701248169,0.4662558436393738,0.2654109001159668,0.5704144239425659,0.5474174618721008,0.50999915599823,0.4969797730445862,0.3715896606445312,0.4590486884117126,0.4375846982002258,0.2105151414871215",0.3885320789284176,0.00016471777390103312
2,"Q6W0C5Q6ZMZ3,Q6W0C5Q96S06,Q66K79Q6W0C5,Q6W0C5Q9NWF4,Q6W0C5Q9HCZ1,Q6W0C5Q9H213,Q6W0C5Q9NQS1,Q6W0C5Q8TD33,Q5VV63Q6W0C5,Q6W0C5Q9UJT0,Q6W0C5Q9UM63,O00458Q6W0C5,Q6W0C5Q9HC96,Q14974Q6W0C5,Q6W0C5Q9BYD9,P02538Q6W0C5,Q6W0C5Q86X83,Q6W0C5Q9BXJ0","0.3244698047637939,0.2564272582530975,0.1636620312929153,0.3307532668113708,0.0921306982636451,0.2292993515729904,0.4603504538536072,0.264723002910614,0.1583954095840454,0.3469589054584503,0.373309850692749,0.1764725744724273,0.1685365140438079,0.6391950845718384,0.0840871781110763,0.6831009387969971,0.7603965401649475,0.2705723643302917",0.3212689571082592,0.0002095904006579907
3,"Q6W0C5Q9UMS5,Q6W0C5Q8N668,Q5JTC6Q6W0C5,P26371Q6W0C5,Q6W0C5Q9H9D4,P42336Q6W0C5,P84157Q6W0C5,Q6W0C5Q8N801,Q08499Q6W0C5,P54886Q6W0C5,O60476Q6W0C5,Q6W0C5Q86WU2,O75683Q6W0C5,P61421Q6W0C5,Q6W0C5Q96QE2,P28329Q6W0C5,A8MZ97Q6W0C5,A8MV81Q6W0C5","0.0574707612395286,0.7796845436096191,0.3565643429756164,0.3698692917823791,0.3952949643135071,0.4127480983734131,0.4654260277748108,0.08199293166399,0.5705679655075073,0.4165793359279632,0.1950508058071136,0.4744099080562591,0.4983114302158355,0.4031685888767242,0.1903070658445358,0.2918110489845276,0.0815521255135536,0.3799662292003631",0.3567097480926249,0.00018589221973871095
4,"O95834Q6W0C5,Q14761Q6W0C5,Q13015Q6W0C5,Q6W0C5Q8NI35,A6NI28Q6W0C5,Q6W0C5Q8IWV8,Q6W0C5Q9UJT2,O43617Q6W0C5,Q6W0C5Q9P1Y5,Q6W0C5Q9ULG6,Q5XUX1Q6W0C5,Q6W0C5Q9BWU1,Q15773Q6W0C5,Q6I9Y2Q6W0C5,Q14703Q6W0C5,Q6W0C5Q8WYN0,P37023Q6W0C5,P19021Q6W0C5","0.3580873906612396,0.1529845148324966,0.2547042071819305,0.3598418831825256,0.3144702911376953,0.3726508021354675,0.5404260754585266,0.2389003485441208,0.6169648170471191,0.292136013507843,0.2043932378292083,0.5675106048583984,0.3422650098800659,0.4805297255516052,0.3161664009094238,0.1388779878616333,0.1559943407773971,0.2612356543540954",0.3315632947617107,6.879767785405877e-05
5,"Q6W0C5Q86YW9,A8MVS5Q6W0C5,P46531Q6W0C5,Q6W0C5Q9BV44,Q6W0C5Q9Y6K1,Q6W0C5Q9BVW5,O75460Q6W0C5,Q14807Q6W0C5,Q6W0C5Q86VE0,P21757Q6W0C5,Q16666Q6W0C5,O75594Q6W0C5,Q5T0F9Q6W0C5,O75155Q6W0C5,P16581Q6W0C5,O95136Q6W0C5,P62873Q6W0C5,Q68D91Q6W0C5","0.4847046434879303,0.4201346933841705,0.3784724771976471,0.5191814303398132,0.3260184824466705,0.3986838161945343,0.2183277159929275,0.5135632157325745,0.4057967662811279,0.2365395128726959,0.4423690736293793,0.2764038443565368,0.4777000546455383,0.3034268617630005,0.2194293737411499,0.4442425370216369,0.3250612616539001,0.3557029366493225",0.3747643720772531,5.315308675936565e-05
6,"O95336Q6W0C5,Q6W0C5Q8N196,Q6W0C5Q9H251,Q3LI64Q6W0C5,Q07108Q6W0C5,Q5TID7Q6W0C5,Q6W0C5Q9Y3P9,P60602Q6W0C5,P28070Q6W0C5,P54105Q6W0C5,Q6P9G9Q6W0C5,O15467Q6W0C5,Q6W0C5Q9Y2B4,Q6EEV4Q6W0C5,Q6W0C5Q8WUY9,O43653Q6W0C5,Q6W0C5Q8NE31,Q6W0C5Q9HCG7","0.400174081325531,0.4190918803215027,0.4178754389286041,0.4188985228538513,0.2292497605085373,0.0675961822271347,0.5369559526443481,0.2896492779254913,0.4312963485717773,0.5031718015670776,0.2644806504249573,0.4016203284263611,0.3502802848815918,0.4706766009330749,0.4790976643562317,0.3515729606151581,0.4524100422859192,0.378699243068695",0.3812665012147691,7.815862831237541e-05
7,"P54886Q6W0C5,Q6W0C5Q9BUU2,Q5DT21Q6W0C5,Q6W0C5Q9Y2D2,Q6W0C5Q9UMD9,O60575Q6W0C5,Q6W0C5Q96QR1,P17655Q6W0C5,Q6W0C5Q8NG11,Q6W0C5Q9H0K6,Q6W0C5Q8WYN0,Q6W0C5Q9UHP3,Q15084Q6W0C5,Q6W0C5Q9Y6Z7,Q15506Q6W0C5,Q14202Q6W0C5,P0DMR2Q6W0C5,P14373Q6W0C5","0.4165793359279632,0.2411841601133346,0.1520453244447708,0.103858545422554,0.428661435842514,0.1634981036186218,0.2148417532444,0.4760472178459167,0.1703015714883804,0.2951944470405578,0.1388779878616333,0.3040962517261505,0.4615835547447204,0.3109674155712127,0.3385240435600281,0.5189817547798157,0.0718326866626739,0.4223559498786926",0.2905239744318856,9.053880885329989e-06
8,"Q6P6B1Q6W0C5,P29475Q6W0C5,Q6W0C5Q8WXF1,Q6W0C5Q6ZSB9,Q6W0C5Q9UHE8,Q6W0C5Q86XI2,P19838Q6W0C5,Q6W0C5Q9BY64,Q6W0C5Q96C24,Q6W0C5Q9H3Q1,P40198Q6W0C5,Q6W0C5Q9HCH5,Q6W0C5Q99570,P49773Q6W0C5,Q6W0C5Q96AQ8,P54829Q6W0C5,Q6UXX9Q6W0C5,P0C7X2Q6W0C5","0.2507259845733642,0.4484976828098297,0.4690495431423187,0.2960170209407806,0.1005951166152954,0.3691692948341369,0.4518187046051025,0.1042737960815429,0.3468942046165466,0.3511468470096588,0.1833291947841644,0.1487477272748947,0.3663665056228637,0.4320982992649078,0.2180942744016647,0.4633914530277252,0.1592190712690353,0.3709999918937683",0.3072463729315334,6.797338351436837e-06
9,"Q6W0C5Q9H209,Q674X7Q6W0C5,O60609Q6W0C5,Q6W0C5Q8ND56,Q6W0C5Q96LZ2,Q6W0C5Q8NCL4,P46089Q6W0C5,Q6W0C5Q96RD9,A1KZ92Q6W0C5,Q6W0C5Q9NYJ7,Q5VVH5Q6W0C5,Q5SRE5Q6W0C5,Q16637Q6W0C5,Q6W0C5Q86SU0,O14524Q6W0C5,B4DXR9Q6W0C5,Q14240Q6W0C5,Q6W0C5Q9BV19","0.1156034842133522,0.3614306449890136,0.2182949036359787,0.5364878177642822,0.4394126534461975,0.3471149802207947,0.3101332783699035,0.2100726813077926,0.2924995422363281,0.2352885901927948,0.4588800072669983,0.745319128036499,0.5548114776611328,0.1065354198217392,0.3810256123542785,0.285177081823349,0.2807222008705139,0.3196014761924743",0.34435616557796794,0.00012112645398974469
