,protein_list,cos.sim,mean_cossim,pv
0,"P56199Q96FV9,Q8IV56Q96FV9,Q15842Q96FV9,Q96FV9Q9UKJ3,O14653Q96FV9,P09228Q96FV9,Q96FV9Q96MT7,Q8IYT4Q96FV9,Q96FV9Q96N38,O60469Q96FV9,Q6L9W6Q96FV9,O77932Q96FV9,P86478Q96FV9,Q16581Q96FV9,Q96FV9Q96HY6,Q96FV9Q9Y2X0,Q8TAM6Q96FV9,Q96FV9Q9HCL2,Q8N129Q96FV9,P31260Q96FV9,Q96FV9Q9P2H3,Q8IY22Q96FV9,Q68DC2Q96FV9,Q8N5I2Q96FV9,P55084Q96FV9,Q8NEQ6Q96FV9,O60292Q96FV9,P27815Q96FV9,P34130Q96FV9,O75154Q96FV9,Q96FV9Q9Y237,Q96FV9Q9UPN7,P24311Q96FV9,P54756Q96FV9,Q96FV9Q9Y2F9","0.2883147597312927,0.2508842349052429,0.0658599361777305,0.5671981573104858,0.2619726359844208,0.3981679081916809,0.2783253192901611,0.3882201313972473,0.2609658241271972,0.331710010766983,0.2307386845350265,0.2869361639022827,0.6261073350906372,0.3151799142360687,0.4146597385406494,0.5288046598434448,0.2023086100816726,0.3182865083217621,0.1529809981584549,0.2240558862686157,0.3582258820533752,0.3684566617012024,0.2785341739654541,0.5179998874664307,0.3270608484745025,0.4676085114479065,0.4973282814025879,0.2933537662029266,0.312955766916275,0.1584710627794265,0.3448115289211273,0.5719321370124817,0.0931053906679153,0.0616206899285316,0.5712423920631409",0.33183955422469547,1.846423789286364e-06
1,"B7U540Q96FV9,P69892Q96FV9,Q8WV60Q96FV9,P53680Q96FV9,O75145Q96FV9,P17096Q96FV9,Q15517Q96FV9,Q8TF09Q96FV9,Q13042Q96FV9,Q8TCN5Q96FV9,Q7Z5K2Q96FV9,Q14839Q96FV9,P00338Q96FV9,Q8NCL9Q96FV9,Q8IXA5Q96FV9,O15085Q96FV9,Q92901Q96FV9,Q96FV9Q9H7B7,O00624Q96FV9,P48201Q96FV9,Q96FV9Q9NWB7,Q96FV9Q9NQW6,Q5GH77Q96FV9,Q96FV9Q9Y5F7,Q6P2C8Q96FV9,Q14186Q96FV9,Q13155Q96FV9,Q969V4Q96FV9,P58294Q96FV9,Q96FV9Q9NY99,Q7L0J3Q96FV9,Q8N2G8Q96FV9,Q92547Q96FV9,Q6KC79Q96FV9,Q96FV9Q9H0E2","0.0769623667001724,0.1082104071974754,0.4374085366725921,0.3626146614551544,0.5200700759887695,0.5765527486801147,0.3887310624122619,0.1418209969997406,0.4930039048194885,0.3734830915927887,0.4460199773311615,0.6252366304397583,0.4605960249900818,0.084171637892723,0.0036334563046693,0.3539731800556183,0.4281815886497497,0.1892094314098358,0.2705421149730682,0.0924198552966117,0.4302945137023926,0.5115761756896973,0.2029462307691574,0.2890017628669739,0.3952698111534118,0.5868216156959534,0.4142646193504333,0.5156132578849792,0.2974643111228943,0.4781227707862854,0.360584020614624,0.1203576549887657,0.5444601774215698,0.6148116588592529,0.468541532754898",0.36179919610066075,0.00026501994562203035
2,"Q6ZMZ0Q96FV9,Q96FV9Q96S06,Q66K79Q96FV9,Q96FV9Q9NWF4,Q96FV9Q9HCZ1,Q96FV9Q9H213,Q96FV9Q9NQS1,Q8TD31Q96FV9,Q5VV63Q96FV9,Q96FV9Q9UJT0,Q96FV9Q9UM63,O00458Q96FV9,Q96FV9Q9HC96,Q14974Q96FV9,Q96FV9Q9BYD9,P02538Q96FV9,Q86X76Q96FV9,Q96FV9Q9BXJ0,Q15256Q96FV9,O60258Q96FV9,Q96FV9Q99677,Q8IW03Q96FV9,P02489Q96FV9,Q96FV9Q96P70,Q96FV9Q9H871,Q8NCH0Q96FV9,Q96FV9Q9UPU9,Q96FV9Q9H019,P0DPH9Q96FV9,P51888Q96FV9,Q02487Q96FV9,Q96FV9Q9Y2Q3,Q13239Q96FV9,A1A4F0Q96FV9,Q96FV9Q9NX24","0.3058233857154846,0.1729786843061447,0.1967052966356277,0.2058970034122467,0.0531518682837486,0.3333134055137634,0.480656236410141,0.3569615483283996,0.1341731697320938,0.3329384922981262,0.367069661617279,0.1959075033664703,0.2182027995586395,0.5981124043464661,0.0253246389329433,0.3157880902290344,0.387213796377182,0.2897208034992218,0.1365756392478943,0.4474926888942718,0.396770179271698,0.1901416629552841,0.4619624018669128,0.5576040148735046,0.3344996571540832,0.0719072222709655,0.6275779008865356,0.376899778842926,0.3748559355735779,0.263450562953949,0.3158884346485138,0.1944497674703598,0.4422773420810699,0.368533194065094,0.4816389083862304",0.31464183085731096,2.810039476885131e-07
3,"Q96FV9Q9UMS5,Q8N661Q96FV9,Q5JTC6Q96FV9,P26371Q96FV9,Q96FV9Q9H9D4,P42336Q96FV9,P84157Q96FV9,Q8N7X8Q96FV9,Q08499Q96FV9,P54886Q96FV9,O60476Q96FV9,Q86WT6Q96FV9,O75683Q96FV9,P61421Q96FV9,Q96FV9Q96QE2,P28329Q96FV9,A8MZ97Q96FV9,A8MV81Q96FV9,Q96FV9Q96PC3,Q96FV9Q9NRX1,Q5JTB6Q96FV9,Q6Q788Q96FV9,Q06141Q96FV9,P59665Q96FV9,Q92932Q96FV9,Q7Z7M0Q96FV9,Q96FV9Q9NPE3,P02792Q96FV9,P61204Q96FV9,O15525Q96FV9,O75829Q96FV9,P51858Q96FV9,Q96FV9Q9BWW9,Q8TEP8Q96FV9,Q96FV9Q9P0U4","0.0228229351341724,0.2752903997898102,0.5101019740104675,0.3532985150814056,0.4428009986877441,0.3794333636760711,0.3333849310874939,0.4545545578002929,0.4701299667358398,0.3942935466766357,0.1401282101869583,0.3817121088504791,0.5607838034629822,0.356645405292511,0.1757799834012985,0.148454338312149,0.0857428312301635,0.3314946293830871,0.4537582993507385,0.5538540482521057,0.2052702456712722,0.2748387157917022,0.0030067590996623,0.3681856691837311,0.1927851140499115,0.0125092761591076,0.5599495768547058,0.4136351644992828,0.2173421382904052,0.5479605793952942,0.0591052547097206,0.5270696878433228,0.1103612631559372,0.5005205273628235,0.5517328977584839",0.3248210776065077,1.3048279836820264e-05
4,"O95834Q96FV9,Q14761Q96FV9,Q13015Q96FV9,Q8NI32Q96FV9,A6NI28Q96FV9,Q8IWV7Q96FV9,Q96FV9Q9UJT2,O43617Q96FV9,Q96FV9Q9P1Y5,Q96FV9Q9ULG6,Q5XUX1Q96FV9,Q96FV9Q9BWU1,Q15773Q96FV9,Q6I9Y2Q96FV9,Q14703Q96FV9,Q8WYL5Q96FV9,P37023Q96FV9,P19021Q96FV9,Q8TAF8Q96FV9,O14530Q96FV9,P62495Q96FV9,Q3ZCQ8Q96FV9,P40763Q96FV9,Q96FV9Q9GZV1,Q1XH10Q96FV9,Q70E73Q96FV9,P28325Q96FV9,Q96FV9Q9HD23,Q96FV9Q9BT49,O43809Q96FV9,Q15032Q96FV9,P30556Q96FV9,P35609Q96FV9,Q16181Q96FV9,Q86XA9Q96FV9","0.3981183469295501,0.1572526693344116,0.2195447385311126,0.1869079321622848,0.4725963473320007,0.2558196485042572,0.3452784419059753,0.1832327544689178,0.5703082084655762,0.1530480086803436,0.2815591990947723,0.4579395353794098,0.4019764959812164,0.457998663187027,0.1920283734798431,0.2333097904920578,0.129037469625473,0.1653530299663543,0.2508397102355957,0.4323295652866363,0.4583249688148498,0.365477442741394,0.371032178401947,0.4379142820835113,0.4734153151512146,0.5949651002883911,0.2518685460090637,0.2425653040409088,0.4055158197879791,0.627386212348938,0.5180159211158752,0.1737589538097381,0.3009288907051086,0.4627237319946289,0.4641256332397461",0.3454999208450317,3.4176560423587933e-06
5,"Q86YW7Q96FV9,A8MVS5Q96FV9,P46531Q96FV9,Q96FV9Q9BV44,Q96FV9Q9Y6K1,Q96FV9Q9BVW5,O75460Q96FV9,Q14807Q96FV9,Q86VD9Q96FV9,P21757Q96FV9,Q16666Q96FV9,O75594Q96FV9,Q5T0F9Q96FV9,O75155Q96FV9,P16581Q96FV9,O95136Q96FV9,P62873Q96FV9,Q68D91Q96FV9,Q7Z739Q96FV9,Q96FV9Q9BQG2,Q14995Q96FV9,Q15477Q96FV9,Q8TF40Q96FV9,P46059Q96FV9,P15621Q96FV9,P13164Q96FV9,P52849Q96FV9,Q8IXS2Q96FV9,Q5GJ75Q96FV9,P52945Q96FV9,Q86SJ2Q96FV9,Q02790Q96FV9,Q96FV9Q9H3K6,Q96FV9Q96JT2,Q96FV9Q9NXE4","0.1479891389608383,0.4353104531764984,0.3107474744319916,0.5622137784957886,0.4966135919094085,0.4646416306495666,0.1598305702209472,0.5432769656181335,0.0378624871373176,0.153729036450386,0.5370228290557861,0.0918470248579979,0.3182879686355591,0.4110743403434753,0.1558127254247665,0.3671112954616546,0.3845419287681579,0.2588409781455993,0.5932146310806274,0.4999411702156067,0.3814733326435089,0.3862910568714142,0.3023280501365661,0.3779770731925964,0.4065198004245758,0.1005299463868141,0.1075003743171691,0.2394774705171585,0.2438273876905441,0.459322452545166,0.048267588019371,0.1904752701520919,0.4616835117340088,0.0739253312349319,0.4848721921443939",0.3198394530585834,2.4475984499877317e-06
6,"O95336Q96FV9,Q8N184Q96FV9,Q96FV9Q9H251,Q3LI64Q96FV9,Q07108Q96FV9,Q5TID7Q96FV9,Q96FV9Q9Y3P9,P60602Q96FV9,P28070Q96FV9,P54105Q96FV9,Q6P9G9Q96FV9,O15467Q96FV9,Q96FV9Q9Y2B4,Q6EEV4Q96FV9,Q8WUY8Q96FV9,O43653Q96FV9,Q8NE28Q96FV9,Q96FV9Q9HCG7,Q96FV9Q9H8G1,Q96FV9Q9BQS8,Q96FV9Q9BX95,P83731Q96FV9,P56211Q96FV9,Q4AC94Q96FV9,Q96FV9Q9P0J1,Q6UX06Q96FV9,P31995Q96FV9,Q92561Q96FV9,P0CF97Q96FV9,O75147Q96FV9,Q96FV9Q96PB8,Q86UD5Q96FV9,P35908Q96FV9,P49840Q96FV9,Q8N966Q96FV9","0.2417276203632354,0.443643182516098,0.4064610600471496,0.4134094715118408,0.1450347602367401,0.0690476894378662,0.5497589707374573,0.3334656953811645,0.4403471052646637,0.4524430334568023,0.2372523248195648,0.3590833842754364,0.4355989396572113,0.462016761302948,0.2846145331859588,0.2039998024702072,0.3992518484592438,0.3204551339149475,0.373932421207428,0.3996681869029999,0.1827219873666763,0.4314624369144439,0.2844951450824737,0.4345920979976654,0.2869254946708679,0.1994838267564773,0.1527886092662811,0.5462065935134888,0.1208759993314743,0.3869274854660034,0.0242581721395254,0.0900229066610336,0.2662548720836639,0.4213151931762695,0.209834337234497",0.314553630937423,5.5043563266801696e-08
7,"P54886Q96FV9,Q96FV9Q9BUU2,Q5DT21Q96FV9,Q96FV9Q9Y2D2,Q96FV9Q9UMD9,O60575Q96FV9,Q96FV9Q96QR1,P17655Q96FV9,Q8NG08Q96FV9,Q96FV9Q9H0K6,Q8WYL5Q96FV9,Q96FV9Q9UHP3,Q15084Q96FV9,Q96FV9Q9Y6Z7,Q15506Q96FV9,Q14202Q96FV9,P0DMR2Q96FV9,P14373Q96FV9,Q96FV9Q9P2N7,O75600Q96FV9,Q8NBS9Q96FV9,Q6PEV8Q96FV9,Q96FV9Q9NVN3,Q8TEP8Q96FV9,P29122Q96FV9,Q96FV9Q9BYE7,O75936Q96FV9,Q96FV9Q96MV8,O60927Q96FV9,Q01469Q96FV9,Q6P1Q0Q96FV9,Q96FV9Q9BVV6,Q96FV9Q9P2P5,Q2QGD7Q96FV9,Q6P4R8Q96FV9","0.3942935466766357,0.2139502465724945,0.1309547871351242,0.0884236395359039,0.4698925912380218,0.1385248154401779,0.0934020280838012,0.5269776582717896,0.3736854791641235,0.4289705753326416,0.2333097904920578,0.4929781556129455,0.5613903999328613,0.1480483710765838,0.3588241934776306,0.4710445404052734,0.0900666564702987,0.5774074792861938,0.4499964118003845,0.1644814908504486,0.3581190705299377,0.3555085062980652,0.4948779940605163,0.5005205273628235,0.0579315908253192,0.5249813795089722,0.5010611414909363,0.1963664144277572,0.3011798858642578,0.3431715071201324,0.2327523231506347,0.4841663837432861,0.4040536880493164,0.4627517759799957,0.5747772455215454",0.34853835116539683,3.252901379620971e-05
8,"Q6P6B1Q96FV9,P29475Q96FV9,Q8WXF0Q96FV9,Q6ZSA7Q96FV9,Q96FV9Q9UHE8,Q86XF7Q96FV9,P19838Q96FV9,Q96FV9Q9BY64,Q96C23Q96FV9,Q96FV9Q9H3Q1,P40198Q96FV9,Q96FV9Q9HCH5,Q96FV9Q99570,P49773Q96FV9,Q96AQ7Q96FV9,P54829Q96FV9,Q6UXX9Q96FV9,P0C7X2Q96FV9,Q96FV9Q9BQB6,Q96FV9Q9H2B2,O95497Q96FV9,A0AVI4Q96FV9,P13385Q96FV9,Q96FV9Q9HBA9,Q15782Q96FV9,Q96FV9Q96JB8,Q8IYM1Q96FV9,O75631Q96FV9,P49796Q96FV9,Q05682Q96FV9,Q8NEK5Q96FV9,Q6ZMB5Q96FV9,Q96FV9Q9HCM7,Q96FV9Q9HCH0,Q6GMV2Q96FV9","0.2688541412353515,0.4325026869773865,0.5389551520347595,0.1862957775592804,0.0595038123428821,0.4501702785491943,0.5567107200622559,0.1433001011610031,0.3540787398815155,0.4651327133178711,0.1674365848302841,0.387564480304718,0.6051369905471802,0.3785434365272522,0.3138187527656555,0.4016214311122894,0.21231409907341,0.4679949283599853,0.2479881942272186,0.4686121940612793,0.2379339933395385,0.0293695330619812,0.3441873788833618,0.2323140799999237,0.1637697517871856,0.3955162763595581,0.2163991183042526,0.2295660674571991,0.3824383616447449,0.5453366041183472,0.0445195771753788,0.3904441297054291,0.4450076520442962,0.5234902501106262,0.1841287314891815",0.3277416205831936,2.067606675216474e-06
9,"Q96FV9Q9H209,Q674X7Q96FV9,O60609Q96FV9,Q8ND30Q96FV9,Q96FV9Q96LZ2,Q8NCK7Q96FV9,P46089Q96FV9,Q96FV9Q96RD9,A1KZ92Q96FV9,Q96FV9Q9NYJ7,Q5VVH5Q96FV9,Q5SRE5Q96FV9,Q16637Q96FV9,Q86SS6Q96FV9,O14524Q96FV9,B4DXR9Q96FV9,Q14240Q96FV9,Q96FV9Q9BV19,Q96FV9Q9H840,Q5VUJ9Q96FV9,O15370Q96FV9,Q96FV9Q9NS87,Q96FV9Q96G03,Q96FV9Q9H0V9,Q14774Q96FV9,H3BU77Q96FV9,P46952Q96FV9,P0C7P4Q96FV9,Q96FV9Q9Y6I7,Q96FV9Q9BUH8,Q15397Q96FV9,Q6XYQ8Q96FV9,Q6UWW9Q96FV9,Q5HYN5Q96FV9,Q6UX34Q96FV9","0.0772984027862548,0.4872398376464844,0.1177492886781692,0.4931486248970032,0.5303763151168823,0.3594000041484833,0.1707108914852142,0.2095875442028045,0.2192452698945999,0.1506116092205047,0.550601065158844,0.542144775390625,0.5582498908042908,0.1479949206113815,0.2688928246498108,0.2606756091117859,0.4473763406276703,0.4102445542812347,0.6027392148971558,0.1328787207603454,0.3048939704895019,0.4529138207435608,0.3294815719127655,0.2354011237621307,0.5812961459159851,0.4046394228935241,0.210803672671318,0.2225406616926193,0.2139869034290313,0.4886075854301452,0.5589930415153503,0.1578703820705413,0.1661399602890014,0.4315020143985748,0.2360179871320724",0.3352072562490191,1.9686178744329834e-05
