,protein_list,cos.sim,mean_cossim,pv
0,"P56199Q9P2D0,Q8IV56Q9P2D0,Q15842Q9P2D0,Q9P2D0Q9UKJ3,O14653Q9P2D0,P09228Q9P2D0,Q96MT4Q9P2D0,Q8IYT4Q9P2D0,Q96N28Q9P2D0,O60469Q9P2D0,Q6L9W6Q9P2D0","0.3473462462425232,0.3879552185535431,0.1103138178586959,0.7313117980957031,0.2584283947944641,0.5310708284378052,0.0749402046203613,0.354205846786499,0.3351671993732452,0.3378255367279053,0.3291828036308288",0.34524980864741583,0.0062930587501601725
1,"B7U540Q9P2D0,P69892Q9P2D0,Q8WV60Q9P2D0,P53680Q9P2D0,O75145Q9P2D0,P17096Q9P2D0,Q15517Q9P2D0,Q8TF09Q9P2D0,Q13042Q9P2D0,Q8TCN5Q9P2D0,Q7Z5K2Q9P2D0","0.1077176481485366,0.1355347782373428,0.4400752186775207,0.4633882641792297,0.5125627517700195,0.7202416658401489,0.4261605143547058,0.2306969165802002,0.577508807182312,0.4009970128536224,0.6224855184555054",0.4215790087526495,0.05751748114736962
2,"Q6ZMZ0Q9P2D0,Q96RY7Q9P2D0,Q66K79Q9P2D0,Q9NWD9Q9P2D0,Q9HCY8Q9P2D0,Q9H211Q9P2D0,Q9NQR4Q9P2D0,Q8TD31Q9P2D0,Q5VV63Q9P2D0,Q9P2D0Q9UJT0,Q9P2D0Q9UM63","0.4042505621910095,0.3232117593288421,0.2101957350969314,0.3366709947586059,0.2803720533847809,0.5388501882553101,0.4210210740566253,0.5376375913619995,0.1308227032423019,0.3911289870738983,0.3574696183204651",0.35742102427916095,0.004312126913926406
3,"Q9P2D0Q9UMS5,Q8N661Q9P2D0,Q5JTC6Q9P2D0,P26371Q9P2D0,Q9H9C1Q9P2D0,P42336Q9P2D0,P84157Q9P2D0,Q8N7X8Q9P2D0,Q08499Q9P2D0,P54886Q9P2D0,O60476Q9P2D0","0.0920330360531807,0.345945656299591,0.6063914895057678,0.4152290821075439,0.2391377687454223,0.5315497517585754,0.4789247512817383,0.5421714782714844,0.6186686158180237,0.365154355764389,0.1764045357704162",0.4010555019432848,0.024422032087137148
4,"O95834Q9P2D0,Q14761Q9P2D0,Q13015Q9P2D0,Q8NI32Q9P2D0,A6NI28Q9P2D0,Q8IWV7Q9P2D0,Q9P2D0Q9UJT2,O43617Q9P2D0,Q9P1W9Q9P2D0,Q9P2D0Q9ULG6,Q5XUX1Q9P2D0","0.4592338502407074,0.1973985284566879,0.2344990074634552,0.2673250734806061,0.4802432656288147,0.5009437799453735,0.4831782281398773,0.3306904435157776,0.574292778968811,0.2419668436050415,0.3580750823020935",0.3752588074315678,0.004312126913926406
5,"Q86YW7Q9P2D0,A8MVS5Q9P2D0,P46531Q9P2D0,Q9BV40Q9P2D0,Q9P2D0Q9Y6K1,Q9BVV7Q9P2D0,O75460Q9P2D0,Q14807Q9P2D0,Q86VD9Q9P2D0,P21757Q9P2D0,Q16666Q9P2D0","0.1846316754817962,0.4877138137817383,0.3246746957302093,0.0617319345474243,0.4725984930992126,0.3678198456764221,0.2289359122514724,0.7147306203842163,0.0607731342315673,0.1995851546525955,0.7364665865898132",0.3490601696751334,0.015119510508074318
6,"O95336Q9P2D0,Q8N184Q9P2D0,Q9H246Q9P2D0,Q3LI64Q9P2D0,Q07108Q9P2D0,Q5TID7Q9P2D0,Q9P2D0Q9Y3P9,P60602Q9P2D0,P28070Q9P2D0,P54105Q9P2D0,Q6P9G9Q9P2D0","0.4240359365940094,0.3767197728157043,0.0802487283945083,0.4599874019622803,0.2074795514345169,0.0734124854207038,0.6594788432121277,0.3318546712398529,0.546904444694519,0.5802618861198425,0.2845765650272369",0.36590548062866385,0.010773060475692903
7,"P54886Q9P2D0,Q9BUT9Q9P2D0,Q5DT21Q9P2D0,Q9P2D0Q9Y2D2,Q9P2D0Q9UMD9,O60575Q9P2D0,Q96QP1Q9P2D0,P17655Q9P2D0,Q8NG08Q9P2D0,Q9H0K4Q9P2D0,Q8WYL5Q9P2D0","0.365154355764389,0.7067943811416626,0.1332187503576278,0.0837230309844017,0.5824748873710632,0.1731777042150497,0.4037942886352539,0.6819745302200317,0.4602947235107422,0.5177933573722839,0.3080553710460663",0.4014959436925975,0.038118057807282196
8,"Q6P6B1Q9P2D0,P29475Q9P2D0,Q8WXF0Q9P2D0,Q6ZSA7Q9P2D0,Q9P2D0Q9UHE8,Q86XF7Q9P2D0,P19838Q9P2D0,Q9BY50Q9P2D0,Q96C23Q9P2D0,Q9H3P7Q9P2D0,P40198Q9P2D0","0.1812800616025924,0.4888624250888824,0.7106623649597168,0.2621892690658569,0.067972645163536,0.5117130279541016,0.6083132028579712,0.3121833205223083,0.4924757480621338,0.600419282913208,0.1356796324253082",0.3974319073286923,0.024422032087137148
9,"Q9H204Q9P2D0,Q674X7Q9P2D0,O60609Q9P2D0,Q8ND30Q9P2D0,Q96LY2Q9P2D0,Q8NCK7Q9P2D0,P46089Q9P2D0,Q96RD7Q9P2D0,A1KZ92Q9P2D0,Q9NYJ1Q9P2D0,Q5VVH5Q9P2D0","0.5479335188865662,0.5563036203384399,0.2252634018659591,0.5167003870010376,0.4904220998287201,0.457434594631195,0.2877478003501892,0.4515895843505859,0.2056258469820022,0.1119812726974487,0.6103610992431641",0.4055784751068462,0.020894498401492264
