,protein_list,cos.sim,mean_cossim,pv
0,"P56199Q9UMS4,Q8IV56Q9UMS4,Q15842Q9UMS4,Q9UKJ1Q9UMS4,O14653Q9UMS4,P09228Q9UMS4,Q96MT4Q9UMS4,Q8IYT4Q9UMS4,Q96N28Q9UMS4,O60469Q9UMS4,Q6L9W6Q9UMS4,O77932Q9UMS4,P86478Q9UMS4,Q16581Q9UMS4,Q96HW7Q9UMS4,Q9UMS4Q9Y2X0,Q8TAM6Q9UMS4,Q9HCL0Q9UMS4,Q8N129Q9UMS4,P31260Q9UMS4,Q9P2G9Q9UMS4,Q8IY22Q9UMS4,Q68DC2Q9UMS4,Q8N5I2Q9UMS4,P55084Q9UMS4,Q8NEQ6Q9UMS4,O60292Q9UMS4,P27815Q9UMS4,P34130Q9UMS4,O75154Q9UMS4,Q9UMS4Q9Y237,Q9UMS4Q9UPN7,P24311Q9UMS4,P54756Q9UMS4,Q9UMS4Q9Y2F9,Q9NZU0Q9UMS4","0.4250624179840088,0.388696014881134,0.1696610748767852,0.329186737537384,0.3376373648643493,0.5642775297164917,0.0868392661213874,0.2386841773986816,0.3500744104385376,0.355743944644928,0.3281785845756531,0.3006861209869385,0.6129334568977356,0.5587918758392334,0.4742521643638611,0.6284921169281006,0.210637018084526,0.3573408722877502,0.2935101389884949,0.3723914921283722,0.4840690195560455,0.3102616965770721,0.4153773188591003,0.5451587438583374,0.470147043466568,0.4176314771175384,0.6461272239685059,0.4609717726707458,0.3436208665370941,0.1869217157363891,0.3860276341438293,0.6124328374862671,0.2152680903673172,0.1213489398360252,0.5310227274894714,0.2348202019929886",0.3823412247002125,2.6118605804456923e-06
1,"B7U540Q9UMS4,P69892Q9UMS4,Q8WV60Q9UMS4,P53680Q9UMS4,O75145Q9UMS4,P17096Q9UMS4,Q15517Q9UMS4,Q8TF09Q9UMS4,Q13042Q9UMS4,Q8TCN5Q9UMS4,Q7Z5K2Q9UMS4,Q14839Q9UMS4,P00338Q9UMS4,Q8NCL9Q9UMS4,Q8IXA5Q9UMS4,O15085Q9UMS4,Q92901Q9UMS4,Q9H7B4Q9UMS4,O00624Q9UMS4,P48201Q9UMS4,Q9NWB6Q9UMS4,Q9NQW1Q9UMS4,Q5GH77Q9UMS4,Q9UMS4Q9Y5F7,Q6P2C8Q9UMS4,Q14186Q9UMS4,Q13155Q9UMS4,Q969V4Q9UMS4,P58294Q9UMS4,Q9NY97Q9UMS4,Q7L0J3Q9UMS4,Q8N2G8Q9UMS4,Q92547Q9UMS4,Q6KC79Q9UMS4,Q9H0D6Q9UMS4,Q96B45Q9UMS4","0.1406087279319763,0.1960514038801193,0.4757180213928222,0.434062659740448,0.5434845685958862,0.6355167627334595,0.4641024172306061,0.2188790589570999,0.6104301810264587,0.3947274088859558,0.565558671951294,0.7134126424789429,0.5431898832321167,0.1623433381319046,0.0622444078326225,0.3947446942329407,0.3905921280384063,0.6041816473007202,0.3693454563617706,0.1889153867959976,0.5684524178504944,0.1901790350675583,0.3096482157707214,0.479337215423584,0.4861489832401275,0.554336667060852,0.3900153040885925,0.5640320777893066,0.1597625762224197,0.4140490889549255,0.5258901119232178,0.2510611414909363,0.6244125962257385,0.6739448308944702,0.520867645740509,0.3752665817737579",0.4220976098957989,0.0003567764908951875
2,"Q6ZMZ0Q9UMS4,Q96RY7Q9UMS4,Q66K79Q9UMS4,Q9NWD9Q9UMS4,Q9HCY8Q9UMS4,Q9H211Q9UMS4,Q9NQR4Q9UMS4,Q8TD31Q9UMS4,Q5VV63Q9UMS4,Q9UJS0Q9UMS4,Q9UM54Q9UMS4,O00458Q9UMS4,Q9HC84Q9UMS4,Q14974Q9UMS4,Q9BYD6Q9UMS4,P02538Q9UMS4,Q86X76Q9UMS4,Q9BXI9Q9UMS4,Q15256Q9UMS4,O60258Q9UMS4,Q99676Q9UMS4,Q8IW03Q9UMS4,P02489Q9UMS4,Q96P66Q9UMS4,Q9H869Q9UMS4,Q8NCH0Q9UMS4,Q9UMS4Q9UPU9,Q9H015Q9UMS4,P0DPH9Q9UMS4,P51888Q9UMS4,Q02487Q9UMS4,Q9UMS4Q9Y2Q3,Q13239Q9UMS4,A1A4F0Q9UMS4,Q9NX20Q9UMS4,P30038Q9UMS4","0.4133138060569763,0.3774989545345306,0.2096448242664337,0.4130437970161438,0.3734661936759949,0.526699423789978,0.4868172109127044,0.4571260809898376,0.1295933574438095,0.497492253780365,0.6654409170150757,0.1977816820144653,0.481048971414566,0.6991020441055298,0.5427739024162292,0.3858563303947449,0.5926517248153687,0.3730681538581848,0.1801821291446685,0.5456866025924683,0.5687061548233032,0.2036251276731491,0.5153456926345825,0.4428660273551941,0.3559525609016418,0.1650256216526031,0.5894875526428223,0.4510350227355957,0.3335038721561432,0.368660032749176,0.470079243183136,0.2283809632062912,0.3805142045021057,0.3107752203941345,0.4951676428318023,0.4132305681705475",0.4122401074402862,1.8326129040525637e-05
3,"Q9UMS4Q9UMS5,Q8N661Q9UMS4,Q5JTC6Q9UMS4,P26371Q9UMS4,Q9H9C1Q9UMS4,P42336Q9UMS4,P84157Q9UMS4,Q8N7X8Q9UMS4,Q08499Q9UMS4,P54886Q9UMS4,O60476Q9UMS4,Q86WT6Q9UMS4,O75683Q9UMS4,P61421Q9UMS4,Q96QD9Q9UMS4,P28329Q9UMS4,A8MZ97Q9UMS4,A8MV81Q9UMS4,Q96PC2Q9UMS4,Q9NRW7Q9UMS4,Q5JTB6Q9UMS4,Q6Q788Q9UMS4,Q06141Q9UMS4,P59665Q9UMS4,Q92932Q9UMS4,Q7Z7M0Q9UMS4,Q9NPE2Q9UMS4,P02792Q9UMS4,P61204Q9UMS4,O15525Q9UMS4,O75829Q9UMS4,P51858Q9UMS4,Q9BWW8Q9UMS4,Q8TEP8Q9UMS4,Q9P0U3Q9UMS4,Q9NX05Q9UMS4","0.058967750519514,0.3964367508888244,0.4893365800380707,0.4015192091464996,0.3247680068016052,0.5589603781700134,0.4366978704929352,0.5914047360420227,0.4994020462036133,0.3635552823543548,0.2385524064302444,0.5281461477279663,0.6015475988388062,0.4902906417846679,0.5804815292358398,0.2295337468385696,0.1177236884832382,0.3795410990715027,0.456233412027359,0.3386904001235962,0.3257281184196472,0.29074627161026,0.0569388456642627,0.4798872470855713,0.3372915387153625,0.0267772935330867,0.5533643960952759,0.5528414249420166,0.1570194214582443,0.4506240487098694,0.0643056780099868,0.584955632686615,0.2588215470314026,0.6204793453216553,0.5644616484642029,0.48598113656044",0.3858892465424206,1.0885044788593858e-05
4,"O95834Q9UMS4,Q14761Q9UMS4,Q13015Q9UMS4,Q8NI32Q9UMS4,A6NI28Q9UMS4,Q8IWV7Q9UMS4,Q9UJT1Q9UMS4,O43617Q9UMS4,Q9P1W9Q9UMS4,Q9ULG1Q9UMS4,Q5XUX1Q9UMS4,Q9BWU0Q9UMS4,Q15773Q9UMS4,Q6I9Y2Q9UMS4,Q14703Q9UMS4,Q8WYL5Q9UMS4,P37023Q9UMS4,P19021Q9UMS4,Q8TAF8Q9UMS4,O14530Q9UMS4,P62495Q9UMS4,Q3ZCQ8Q9UMS4,P40763Q9UMS4,Q9GZU8Q9UMS4,Q1XH10Q9UMS4,Q70E73Q9UMS4,P28325Q9UMS4,Q9HD20Q9UMS4,Q9BT43Q9UMS4,O43809Q9UMS4,Q15032Q9UMS4,P30556Q9UMS4,P35609Q9UMS4,Q16181Q9UMS4,Q86XA9Q9UMS4,Q96KC8Q9UMS4","0.5111513733863831,0.2280526161193847,0.1857881844043731,0.2892569899559021,0.4586204588413238,0.4626060426235199,0.1117177754640579,0.2548539638519287,0.5406911969184875,0.5484373569488525,0.3929087817668915,0.7056325078010559,0.3455833196640014,0.4680782854557037,0.3089109361171722,0.3658737540245056,0.1481371223926544,0.3287948668003082,0.428966760635376,0.5489833354949951,0.4782393872737884,0.502914547920227,0.5013089179992676,0.6445693373680115,0.55315762758255,0.617439866065979,0.5023347735404968,0.4909793734550476,0.3954086601734161,0.5973300933837891,0.5343549847602844,0.2682002484798431,0.3019273281097412,0.5598461031913757,0.4471939504146576,0.3540441393852234",0.42728597132696045,6.283079366845011e-05
5,"Q86YW7Q9UMS4,A8MVS5Q9UMS4,P46531Q9UMS4,Q9BV40Q9UMS4,Q9UMS4Q9Y6K1,Q9BVV7Q9UMS4,O75460Q9UMS4,Q14807Q9UMS4,Q86VD9Q9UMS4,P21757Q9UMS4,Q16666Q9UMS4,O75594Q9UMS4,Q5T0F9Q9UMS4,O75155Q9UMS4,P16581Q9UMS4,O95136Q9UMS4,P62873Q9UMS4,Q68D91Q9UMS4,Q7Z739Q9UMS4,Q9BQG1Q9UMS4,Q14995Q9UMS4,Q15477Q9UMS4,Q8TF40Q9UMS4,P46059Q9UMS4,P15621Q9UMS4,P13164Q9UMS4,P52849Q9UMS4,Q8IXS2Q9UMS4,Q5GJ75Q9UMS4,P52945Q9UMS4,Q86SJ2Q9UMS4,Q02790Q9UMS4,Q9H3K2Q9UMS4,Q96JS3Q9UMS4,Q9NXD2Q9UMS4,P36406Q9UMS4","0.2652494609355926,0.5216649770736694,0.3713778555393219,0.1200325936079025,0.4921317994594574,0.362928956747055,0.2869093716144562,0.6173416972160339,0.1346918046474456,0.2428222447633743,0.5816452503204346,0.2236457765102386,0.4313182830810547,0.3983388841152191,0.2045462876558303,0.4708699584007263,0.4153077006340027,0.4468895494937897,0.5981377959251404,0.3151840269565582,0.3755858838558197,0.3808320164680481,0.4207486510276794,0.4760628640651703,0.3455918431282043,0.2188936918973922,0.2413122355937957,0.3823547065258026,0.1896910369396209,0.4958407878875732,0.0708386227488517,0.066423013806343,0.2572713792324066,0.1952622830867767,0.6234045028686523,0.5399639010429382",0.35503088041312164,3.308145743088331e-07
6,"O95336Q9UMS4,Q8N184Q9UMS4,Q9H246Q9UMS4,Q3LI64Q9UMS4,Q07108Q9UMS4,Q5TID7Q9UMS4,Q9UMS4Q9Y3P9,P60602Q9UMS4,P28070Q9UMS4,P54105Q9UMS4,Q6P9G9Q9UMS4,O15467Q9UMS4,Q9UMS4Q9Y2B4,Q6EEV4Q9UMS4,Q8WUY8Q9UMS4,O43653Q9UMS4,Q8NE28Q9UMS4,Q9HCF6Q9UMS4,Q9H8E8Q9UMS4,Q9BQS6Q9UMS4,Q9BX93Q9UMS4,P83731Q9UMS4,P56211Q9UMS4,Q4AC94Q9UMS4,Q9P0J0Q9UMS4,Q6UX06Q9UMS4,P31995Q9UMS4,Q92561Q9UMS4,P0CF97Q9UMS4,O75147Q9UMS4,Q96PB7Q9UMS4,Q86UD5Q9UMS4,P35908Q9UMS4,P49840Q9UMS4,Q8N966Q9UMS4,Q9P2J2Q9UMS4","0.4864355027675628,0.3713188469409942,0.1290497630834579,0.4892820715904236,0.2595277428627014,0.1906286180019378,0.587090790271759,0.2746652364730835,0.485520452260971,0.4986607432365417,0.309692919254303,0.41524338722229,0.522070050239563,0.5308542847633362,0.4256881773471832,0.3368519246578216,0.3409563899040222,0.5273851156234741,0.5670403242111206,0.4448683857917785,0.0652928724884986,0.4925604462623596,0.2764771580696106,0.4890201985836029,0.3941470086574554,0.3493332266807556,0.1611926853656768,0.5110769271850586,0.0787728652358055,0.5331062078475952,0.5128144025802612,0.1066335812211036,0.2313170433044433,0.5954306721687317,0.3842276036739349,0.2259275913238525",0.3777822560320298,1.2880901155793397e-06
7,"P54886Q9UMS4,Q9BUT9Q9UMS4,Q5DT21Q9UMS4,Q9UMS4Q9Y2D2,Q9UM82Q9UMS4,O60575Q9UMS4,Q96QP1Q9UMS4,P17655Q9UMS4,Q8NG08Q9UMS4,Q9H0K4Q9UMS4,Q8WYL5Q9UMS4,Q9UHN6Q9UMS4,Q15084Q9UMS4,Q9UMS4Q9Y6Z7,Q15506Q9UMS4,Q14202Q9UMS4,P0DMR2Q9UMS4,P14373Q9UMS4,Q9P2N6Q9UMS4,O75600Q9UMS4,Q8NBS9Q9UMS4,Q6PEV8Q9UMS4,Q9NVM9Q9UMS4,Q8TEP8Q9UMS4,P29122Q9UMS4,Q9BYE3Q9UMS4,O75936Q9UMS4,Q96MV1Q9UMS4,O60927Q9UMS4,Q01469Q9UMS4,Q6P1Q0Q9UMS4,Q9BVV2Q9UMS4,Q9P2P1Q9UMS4,Q2QGD7Q9UMS4,Q6P4R8Q9UMS4,Q32P41Q9UMS4","0.3635552823543548,0.5588737726211548,0.1357016861438751,0.0999507680535316,0.6042052507400513,0.2504791617393493,0.3922393321990967,0.6243339776992798,0.3609614968299866,0.4765892922878265,0.3658737540245056,0.2231036871671676,0.5696719884872437,0.3206571936607361,0.4025093019008636,0.6589639186859131,0.1051863655447959,0.5656947493553162,0.619941234588623,0.2523213028907776,0.5282763838768005,0.4011660516262054,0.545376181602478,0.6204793453216553,0.0513875111937522,0.4090405404567718,0.5601032972335815,0.3080348670482635,0.2173222750425338,0.4915682673454284,0.2603709101676941,0.5170334577560425,0.4779129922389984,0.4456689953804016,0.6555944085121155,0.5538619756698608",0.41650030492908424,0.0002725548154118743
8,"Q6P6B1Q9UMS4,P29475Q9UMS4,Q8WXF0Q9UMS4,Q6ZSA7Q9UMS4,Q9UHE5Q9UMS4,Q86XF7Q9UMS4,P19838Q9UMS4,Q9BY50Q9UMS4,Q96C23Q9UMS4,Q9H3P7Q9UMS4,P40198Q9UMS4,Q9HCH3Q9UMS4,Q99569Q9UMS4,P49773Q9UMS4,Q96AQ7Q9UMS4,P54829Q9UMS4,Q6UXX9Q9UMS4,P0C7X2Q9UMS4,Q9BQB4Q9UMS4,Q9H2A9Q9UMS4,O95497Q9UMS4,A0AVI4Q9UMS4,P13385Q9UMS4,Q9HB96Q9UMS4,Q15782Q9UMS4,Q96JB6Q9UMS4,Q8IYM1Q9UMS4,O75631Q9UMS4,P49796Q9UMS4,Q05682Q9UMS4,Q8NEK5Q9UMS4,Q6ZMB5Q9UMS4,Q9HCM4Q9UMS4,Q9HCG8Q9UMS4,Q6GMV2Q9UMS4,P10828Q9UMS4","0.2679032385349273,0.52473384141922,0.5680254101753235,0.3717127442359924,0.4371264576911926,0.4588509500026703,0.5780081152915955,0.4056766629219055,0.4163074493408203,0.6337802410125732,0.2041091471910476,0.614094614982605,0.4798010885715484,0.5445615649223328,0.2985824644565582,0.4632861018180847,0.2611305713653564,0.4572767615318298,0.4424564242362976,0.4352772831916809,0.3995949327945709,0.0527041628956794,0.4768411219120025,0.171468436717987,0.2698379158973694,0.2133588045835495,0.1182577013969421,0.2358644306659698,0.446448415517807,0.6011835932731628,0.0659188479185104,0.4599941670894623,0.669922947883606,0.5158321261405945,0.2832916676998138,0.2686318755149841",0.39199589668876594,9.124588346823976e-06
9,"Q9H204Q9UMS4,Q674X7Q9UMS4,O60609Q9UMS4,Q8ND30Q9UMS4,Q96LY2Q9UMS4,Q8NCK7Q9UMS4,P46089Q9UMS4,Q96RD7Q9UMS4,A1KZ92Q9UMS4,Q9NYJ1Q9UMS4,Q5VVH5Q9UMS4,Q5SRE5Q9UMS4,Q16637Q9UMS4,Q86SS6Q9UMS4,O14524Q9UMS4,B4DXR9Q9UMS4,Q14240Q9UMS4,Q9BV10Q9UMS4,Q9H832Q9UMS4,Q5VUJ9Q9UMS4,O15370Q9UMS4,Q9NS86Q9UMS4,Q96G01Q9UMS4,Q9H0V1Q9UMS4,Q14774Q9UMS4,H3BU77Q9UMS4,P46952Q9UMS4,P0C7P4Q9UMS4,Q9UMS4Q9Y6I7,Q9BUH6Q9UMS4,Q15397Q9UMS4,Q6XYQ8Q9UMS4,Q6UWW9Q9UMS4,Q5HYN5Q9UMS4,Q6UX34Q9UMS4,Q8TCA0Q9UMS4","0.5223668217658997,0.4717940390110016,0.3058193325996399,0.4993613362312317,0.3534541130065918,0.4933045506477356,0.2963989675045013,0.4804399907588959,0.3334612250328064,0.199597880244255,0.480365127325058,0.7099506258964539,0.5982988476753235,0.1988186091184616,0.3655759692192077,0.328250914812088,0.4147999286651611,0.102675974369049,0.4255019724369049,0.2854774296283722,0.3689779341220855,0.2815161645412445,0.2863632440567016,0.1788263767957687,0.5772645473480225,0.343742161989212,0.1351310163736343,0.2195535153150558,0.3041412234306335,0.4909163117408752,0.5941518545150757,0.0746181458234787,0.205615758895874,0.5219972729682922,0.3603078424930572,0.2981325685977936",0.36408248874876237,5.553420788980745e-07
