,protein_list,cos.sim,mean_cossim,pv
0,"P56199Q8N7U7,Q8IV56Q8N7U7,Q15842Q8N7U7,Q8N7U7Q9UKJ3,O14653Q8N7U7,P09228Q8N7U7,Q8N7U7Q96MT7,Q8IYT4Q8N7U7,Q8N7U7Q96N38,O60469Q8N7U7,Q6L9W6Q8N7U7,O77932Q8N7U7,P86478Q8N7U7,Q16581Q8N7U7,Q8N7U7Q96HY6,Q8N7U7Q9Y2X0,Q8N7U7Q8TAP4,Q8N7U7Q9HCL2,Q8N129Q8N7U7,P31260Q8N7U7,Q8N7U7Q9P2H3,Q8IY22Q8N7U7","0.212012767791748,0.2449706345796585,0.1016909331083297,0.3611547946929931,0.2347130477428436,0.2860744297504425,0.2754157185554504,0.1918273270130157,0.2753312289714813,0.1644895523786544,0.187437355518341,0.2989709377288818,0.6228167414665222,0.2720361053943634,0.2965378761291504,0.4733014106750488,0.3435168266296386,0.1769378930330276,0.1527905017137527,0.3209879994392395,0.2007302045822143,0.2699073553085327",0.27107507464560593,1.1240698447261046e-06
1,"B7U540Q8N7U7,P69892Q8N7U7,Q8N7U7Q8WV74,P53680Q8N7U7,O75145Q8N7U7,P17096Q8N7U7,Q15517Q8N7U7,Q8N7U7Q8TF20,Q13042Q8N7U7,Q8N7U7Q8TCP9,Q7Z5K2Q8N7U7,Q14839Q8N7U7,P00338Q8N7U7,Q8N7U7Q8NCM8,Q8IXA5Q8N7U7,O15085Q8N7U7,Q8N7U7Q92902,Q8N7U7Q9H7B7,O00624Q8N7U7,P48201Q8N7U7,Q8N7U7Q9NWB7,Q8N7U7Q9NQW6","0.1174350976943969,0.13682621717453,0.1801063269376754,0.3729310929775238,0.4885600209236145,0.4294444918632507,0.3254965543746948,0.426290363073349,0.3865646719932556,0.1440268456935882,0.3646568655967712,0.5354540944099426,0.3200812935829162,0.3776772320270538,0.0081398952752351,0.2826381325721741,0.4125968515872955,0.1836650371551513,0.2334394454956054,0.1275916099548339,0.3729845881462097,0.4173649251461029",0.30199871152978053,4.649464304791486e-05
2,"Q6ZMZ0Q8N7U7,Q8N7U7Q96S06,Q66K79Q8N7U7,Q8N7U7Q9NWF4,Q8N7U7Q9HCZ1,Q8N7U7Q9H213,Q8N7U7Q9NQS1,Q8N7U7Q8TD33,Q5VV63Q8N7U7,Q8N7U7Q9UJT0,Q8N7U7Q9UM63,O00458Q8N7U7,Q8N7U7Q9HC96,Q14974Q8N7U7,Q8N7U7Q9BYD9,P02538Q8N7U7,Q86X76Q8N7U7,Q8N7U7Q9BXJ0,Q15256Q8N7U7,O60258Q8N7U7,Q8N7U7Q99677,Q8IW03Q8N7U7","0.2379103600978851,0.1199971288442611,0.1598543673753738,0.2584192156791687,0.1117499470710754,0.3704025447368622,0.4989630579948425,0.1300442814826965,0.0653513818979263,0.1998280733823776,0.3756167292594909,0.1923280507326126,0.0963886678218841,0.4903213083744049,0.0357783026993274,0.2545593678951263,0.3597542941570282,0.2681913673877716,0.0955894067883491,0.3450056910514831,0.2740508615970611,0.5728281736373901",0.2505878445438363,1.2581291639420977e-05
3,"Q8N7U7Q9UMS5,Q8N661Q8N7U7,Q5JTC6Q8N7U7,P26371Q8N7U7,Q8N7U7Q9H9D4,P42336Q8N7U7,P84157Q8N7U7,Q8N7U7Q8N801,Q08499Q8N7U7,P54886Q8N7U7,O60476Q8N7U7,Q86WT6Q8N7U7,O75683Q8N7U7,P61421Q8N7U7,Q8N7U7Q96QE2,P28329Q8N7U7,A8MZ97Q8N7U7,A8MV81Q8N7U7,Q8N7U7Q96PC3,Q8N7U7Q9NRX1,Q5JTB6Q8N7U7,Q6Q788Q8N7U7","0.0043444791808724,0.3009381890296936,0.3912474513053894,0.4204192161560058,0.4005600810050964,0.3318216800689697,0.2793934345245361,0.1461604535579681,0.3988863527774811,0.2518364787101745,0.1307941824197769,0.3478024899959564,0.387484610080719,0.3364923298358917,0.1939274370670318,0.2308430671691894,0.1032393723726272,0.2910926938056946,0.3952465951442718,0.3830072283744812,0.3207139372825622,0.224839374423027",0.2850495970130644,5.56383943931339e-07
4,"O95834Q8N7U7,Q14761Q8N7U7,Q13015Q8N7U7,Q8N7U7Q8NI35,A6NI28Q8N7U7,Q8IWV7Q8N7U7,Q8N7U7Q9UJT2,O43617Q8N7U7,Q8N7U7Q9P1Y5,Q8N7U7Q9ULG6,Q5XUX1Q8N7U7,Q8N7U7Q9BWU1,Q15773Q8N7U7,Q6I9Y2Q8N7U7,Q14703Q8N7U7,Q8N7U7Q8WYN0,P37023Q8N7U7,P19021Q8N7U7,Q8N7U7Q8TAG5,O14530Q8N7U7,P62495Q8N7U7,Q3ZCQ8Q8N7U7","0.3282656073570251,0.2480320036411285,0.1413740217685699,0.3487716615200043,0.3988019227981567,0.2819617390632629,0.3636924028396606,0.1776861846446991,0.543470025062561,0.0877420455217361,0.1267760843038559,0.4544553160667419,0.391435444355011,0.3430799841880798,0.2149446308612823,0.1744010150432586,0.109623946249485,0.1126001328229904,0.21296226978302,0.3736437857151031,0.3527403473854065,0.3048724830150604",0.2768787751820954,3.4783674942302537e-06
5,"Q86YW7Q8N7U7,A8MVS5Q8N7U7,P46531Q8N7U7,Q8N7U7Q9BV44,Q8N7U7Q9Y6K1,Q8N7U7Q9BVW5,O75460Q8N7U7,Q14807Q8N7U7,Q86VD9Q8N7U7,P21757Q8N7U7,Q16666Q8N7U7,O75594Q8N7U7,Q5T0F9Q8N7U7,O75155Q8N7U7,P16581Q8N7U7,O95136Q8N7U7,P62873Q8N7U7,Q68D91Q8N7U7,Q7Z739Q8N7U7,Q8N7U7Q9BQG2,Q14995Q8N7U7,Q15477Q8N7U7","0.1362262666225433,0.3876213431358337,0.1954219788312912,0.4947383999824524,0.4716610908508301,0.3370695412158966,0.1459031999111175,0.4660296440124511,0.0215892847627401,0.1638194322586059,0.436928927898407,0.0860321074724197,0.3887978792190552,0.2898393273353576,0.1488733142614364,0.3210896551609039,0.2782098650932312,0.2346530258655548,0.5363239645957947,0.4306433796882629,0.4667845666408539,0.2092417031526565",0.302158995362168,0.0005750827241929703
6,"O95336Q8N7U7,Q8N184Q8N7U7,Q8N7U7Q9H251,Q3LI64Q8N7U7,Q07108Q8N7U7,Q5TID7Q8N7U7,Q8N7U7Q9Y3P9,P60602Q8N7U7,P28070Q8N7U7,P54105Q8N7U7,Q6P9G9Q8N7U7,O15467Q8N7U7,Q8N7U7Q9Y2B4,Q6EEV4Q8N7U7,Q8N7U7Q8WUY9,O43653Q8N7U7,Q8N7U7Q8NE31,Q8N7U7Q9HCG7,Q8N7U7Q9H8G1,Q8N7U7Q9BQS8,Q8N7U7Q9BX95,P83731Q8N7U7","0.260141909122467,0.3223243057727813,0.3007135987281799,0.6233552098274231,0.1245676055550575,0.0667415112257003,0.4195361137390136,0.400409996509552,0.6326912641525269,0.4793941974639892,0.2795150279998779,0.3176497220993042,0.2761034369468689,0.3778707981109619,0.3408964276313782,0.2106680423021316,0.318151444196701,0.3240202963352203,0.4016914963722229,0.2832043766975403,0.1458801478147506,0.3735178411006927",0.33086567135019734,0.00014363286161991166
7,"P54886Q8N7U7,Q8N7U7Q9BUU2,Q5DT21Q8N7U7,Q8N7U7Q9Y2D2,Q8N7U7Q9UMD9,O60575Q8N7U7,Q8N7U7Q96QR1,P17655Q8N7U7,Q8N7U7Q8NG11,Q8N7U7Q9H0K6,Q8N7U7Q8WYN0,Q8N7U7Q9UHP3,Q15084Q8N7U7,Q8N7U7Q9Y6Z7,Q15506Q8N7U7,Q14202Q8N7U7,P0DMR2Q8N7U7,P14373Q8N7U7,Q8N7U7Q9P2N7,O75600Q8N7U7,Q8N7U7Q8NBT0,Q6PEV8Q8N7U7","0.2518364787101745,0.1521358639001846,0.1346698254346847,0.080607883632183,0.4449127316474914,0.1369163691997528,0.13955719769001,0.410831868648529,0.1075596660375595,0.2009580135345459,0.1744010150432586,0.3256589770317077,0.3914417624473572,0.1621231734752655,0.3480998873710632,0.4476365447044372,0.1528759151697158,0.4432981014251709,0.2925860285758972,0.1955169886350631,0.4009886682033539,0.3768835365772247",0.26234074986793776,2.2279555907134556e-06
8,"Q6P6B1Q8N7U7,P29475Q8N7U7,Q8N7U7Q8WXF1,Q6ZSA7Q8N7U7,Q8N7U7Q9UHE8,Q86XF7Q8N7U7,P19838Q8N7U7,Q8N7U7Q9BY64,Q8N7U7Q96C24,Q8N7U7Q9H3Q1,P40198Q8N7U7,Q8N7U7Q9HCH5,Q8N7U7Q99570,P49773Q8N7U7,Q8N7U7Q96AQ8,P54829Q8N7U7,Q6UXX9Q8N7U7,P0C7X2Q8N7U7,Q8N7U7Q9BQB6,Q8N7U7Q9H2B2,O95497Q8N7U7,A0AVI4Q8N7U7","0.2577430307865143,0.3817985951900482,0.4234004020690918,0.1036981120705604,0.0758093819022178,0.5411505699157715,0.5048304796218872,0.0572002045810222,0.412273645401001,0.2632756531238556,0.1499319374561309,0.3271698653697967,0.440107524394989,0.3462196290493011,0.1010701060295105,0.3229232728481293,0.2466917484998703,0.4018220901489258,0.3320809006690979,0.3583550155162811,0.2059950530529022,0.0207770150154829",0.28519655603238125,3.824531723747202e-05
9,"Q8N7U7Q9H209,Q674X7Q8N7U7,O60609Q8N7U7,Q8N7U7Q8ND56,Q8N7U7Q96LZ2,Q8N7U7Q8NCL4,P46089Q8N7U7,Q8N7U7Q96RD9,A1KZ92Q8N7U7,Q8N7U7Q9NYJ7,Q5VVH5Q8N7U7,Q5SRE5Q8N7U7,Q16637Q8N7U7,Q86SS6Q8N7U7,O14524Q8N7U7,B4DXR9Q8N7U7,Q14240Q8N7U7,Q8N7U7Q9BV19,Q8N7U7Q9H840,Q5VUJ9Q8N7U7,O15370Q8N7U7,Q8N7U7Q9NS87","0.0575116276741027,0.4088727533817291,0.1485604345798492,0.5022547245025635,0.3994126915931701,0.1964711397886276,0.2115385979413986,0.2236422002315521,0.1757500916719436,0.1106366738677024,0.3925554454326629,0.4264890253543854,0.6749194264411926,0.1267708539962768,0.2801969647407532,0.2686824798583984,0.2357817441225052,0.4051945209503174,0.4629917740821838,0.2166038304567337,0.2896543145179748,0.4401936531066894",0.3024856803769415,0.0002057237332550778
