,protein_list,cos.sim,mean_cossim,pv
0,"P56199Q8ND24,Q8IV56Q8ND24,Q15842Q8ND24,Q8ND24Q9UKJ3,O14653Q8ND24,P09228Q8ND24,Q8ND24Q96MT7,Q8IYT4Q8ND24,Q8ND24Q96N38,O60469Q8ND24,Q6L9W6Q8ND24,O77932Q8ND24,P86478Q8ND24,Q16581Q8ND24,Q8ND24Q96HY6,Q8ND24Q9Y2X0,Q8ND24Q8TAP4,Q8ND24Q9HCL2,Q8N129Q8ND24,P31260Q8ND24,Q8ND24Q9P2H3,Q8IY22Q8ND24,Q68DC2Q8ND24,Q8N5I2Q8ND24,P55084Q8ND24,Q8ND24Q8NER5,O60292Q8ND24,P27815Q8ND24,P34130Q8ND24,O75154Q8ND24,Q8ND24Q9Y237,Q8ND24Q9UPN7,P24311Q8ND24,P54756Q8ND24,Q8ND24Q9Y2F9,Q8ND24Q9NZU1,P09471Q8ND24,Q15942Q8ND24,P59542Q8ND24,Q8ND24Q9BR84,Q8ND24Q9Y2K5,P10071Q8ND24,Q8ND24Q9Y4P1,Q8ND24Q92845,P55795Q8ND24,P12273Q8ND24,Q6ZMD2Q8ND24,P43628Q8ND24,Q07666Q8ND24,P04733Q8ND24,Q8ND24Q9GZT8,Q8ND24Q9NZH5,Q8ND24Q9P2Y4,Q8ND24Q9BT76,Q8ND24Q9H9P5,Q8N474Q8ND24,Q8ND24Q9NZJ4,Q06730Q8ND24,Q8ND24Q9H4D5,Q6IS14Q8ND24,O60732Q8ND24,Q8ND24Q9BYQ0","0.363639622926712,0.3171002268791199,0.1310653835535049,0.4299729764461517,0.2476191967725753,0.3176073729991913,0.2132469713687896,0.3058256506919861,0.2670111358165741,0.1819730252027511,0.1926983445882797,0.2689723074436188,0.5901025533676147,0.3275389075279236,0.3964114785194397,0.4639236032962799,0.6431596875190735,0.1767175495624542,0.2370876967906952,0.3371848165988922,0.2551068663597107,0.3410282731056213,0.3089546263217926,0.4801650643348694,0.3465236127376556,0.224274605512619,0.5466273427009583,0.351416528224945,0.3774125874042511,0.2374154031276703,0.341892272233963,0.5175542831420898,0.2288674116134643,0.0756671875715255,0.459617555141449,0.2383687198162078,0.4080539643764496,0.6943531632423401,0.324632853269577,0.2291006743907928,0.3896298110485077,0.3882920145988464,0.1496934294700622,0.4501539170742035,0.4700406193733215,0.4848855435848236,0.218745157122612,0.2001774311065673,0.4986104071140289,0.2081095725297927,0.5478261113166809,0.5053294897079468,0.4860242903232574,0.0778258591890335,0.6262669563293457,0.0346158035099506,0.4237736165523529,0.4503252506256103,0.3338972926139831,0.4037741124629974,0.3342424631118774,0.4364635944366455",0.3470095846080972,1.05320371960462e-09
1,"B7U540Q8ND24,P69892Q8ND24,Q8ND24Q8WV74,P53680Q8ND24,O75145Q8ND24,P17096Q8ND24,Q15517Q8ND24,Q8ND24Q8TF20,Q13042Q8ND24,Q8ND24Q8TCP9,Q7Z5K2Q8ND24,Q14839Q8ND24,P00338Q8ND24,Q8NCL9Q8ND24,Q8IXA5Q8ND24,O15085Q8ND24,Q8ND24Q92902,Q8ND24Q9H7B7,O00624Q8ND24,P48201Q8ND24,Q8ND24Q9NWB7,Q8ND24Q9NQW6,Q5GH77Q8ND24,Q8ND24Q9Y5F7,Q6P2C8Q8ND24,Q14186Q8ND24,Q13155Q8ND24,Q8ND24Q969V5,P58294Q8ND24,Q8ND24Q9NY99,Q7L0J3Q8ND24,Q8N2G8Q8ND24,Q8ND24Q92551,Q6KC79Q8ND24,Q8ND24Q9H0E2,Q8ND24Q96B49,P60520Q8ND24,P54849Q8ND24,Q5XKP0Q8ND24,Q6ZMR5Q8ND24,O15397Q8ND24,A6QL64Q8ND24,Q8NCF5Q8ND24,Q8ND24Q9UG63,Q15633Q8ND24,Q8IZL2Q8ND24,Q8ND24Q9NYG2,P16118Q8ND24,Q8ND24Q9Y262,Q8ND24Q9Y663,Q8ND24Q9NYQ7,Q8ND24Q9Y3T9,P20815Q8ND24,Q8IVL1Q8ND24,Q8ND24Q9HBB8,Q8ND24Q9NWV8,Q5TEJ8Q8ND24,P61619Q8ND24,P10155Q8ND24,P12109Q8ND24,Q8N108Q8ND24,P37059Q8ND24","0.1096285134553909,0.2393313199281692,0.1792894452810287,0.4506771564483642,0.5103806257247925,0.4704061448574066,0.4227685034275055,0.4691484570503235,0.395489752292633,0.231202557682991,0.5850155353546143,0.5642827749252319,0.3802035450935364,0.1327158808708191,0.01477802824229,0.3959226012229919,0.4045862555503845,0.221482366323471,0.2501317858695984,0.202168732881546,0.4042384028434753,0.5473774671554565,0.1827207058668136,0.319927841424942,0.379341185092926,0.4999712109565735,0.6052030324935913,0.3748592734336853,0.2301620244979858,0.4068964421749115,0.3503808379173279,0.1356343328952789,0.2387634813785553,0.5251356959342957,0.4611879885196686,0.269986093044281,0.2011386454105377,0.2279118597507476,0.2142653912305832,0.3625219762325287,0.4503276944160461,0.5156861543655396,0.5629189610481262,0.4552407264709472,0.4961563646793365,0.4797228872776031,0.1933427602052688,0.2759108543395996,0.369242787361145,0.1842361986637115,0.1654385775327682,0.4161500036716461,0.0571877844631671,0.5042318105697632,0.4504887163639068,0.6242334246635437,0.2574197351932525,0.4007280766963959,0.3782156705856323,0.1611953377723693,0.4116733968257904,0.1380798071622848",0.3470171225978242,2.8647542178362823e-09
2,"Q6ZMZ0Q8ND24,Q8ND24Q96S06,Q66K79Q8ND24,Q8ND24Q9NWF4,Q8ND24Q9HCZ1,Q8ND24Q9H213,Q8ND24Q9NQS1,Q8ND24Q8TD33,Q5VV63Q8ND24,Q8ND24Q9UJT0,Q8ND24Q9UM63,O00458Q8ND24,Q8ND24Q9HC96,Q14974Q8ND24,Q8ND24Q9BYD9,P02538Q8ND24,Q86X76Q8ND24,Q8ND24Q9BXJ0,Q15256Q8ND24,O60258Q8ND24,Q8ND24Q99677,Q8IW03Q8ND24,P02489Q8ND24,Q8ND24Q96P70,Q8ND24Q9H871,Q8NCH0Q8ND24,Q8ND24Q9UPU9,Q8ND24Q9H019,P0DPH9Q8ND24,P51888Q8ND24,Q02487Q8ND24,Q8ND24Q9Y2Q3,Q13239Q8ND24,A1A4F0Q8ND24,Q8ND24Q9NX24,P30038Q8ND24,Q8ND24Q96G30,Q8ND24Q8NH19,O43610Q8ND24,O75607Q8ND24,P78358Q8ND24,Q8ND24Q9NRM6,O95159Q8ND24,Q13516Q8ND24,A6NC98Q8ND24,Q8ND24Q9BY50,Q8ND24Q9NR97,O43542Q8ND24,P24593Q8ND24,P00390Q8ND24,Q8ND24Q8TEU7,Q8ND24Q9H9Y6,O75962Q8ND24,Q8ND24Q9BXS0,O14965Q8ND24,Q13233Q8ND24,P63252Q8ND24,Q8ND24Q8TD46,Q8ND24Q9H3M0,Q8ND24Q96L21,Q8N485Q8ND24,Q8N6T3Q8ND24","0.2802838683128357,0.1435594111680984,0.202826589345932,0.2385516166687011,0.053060732781887,0.3439720273017883,0.4556458592414856,0.2394257485866546,0.1622052490711212,0.2736181318759918,0.3379181623458862,0.294033408164978,0.2127093821763992,0.4522116780281067,0.0812058299779892,0.4167293906211853,0.3805631995201111,0.3017296195030212,0.1182480007410049,0.4485357403755188,0.3197001218795776,0.2140704840421676,0.4638898968696594,0.5004968643188477,0.359300434589386,0.0532767474651336,0.5905631184577942,0.4529847502708435,0.2802390456199646,0.2203740775585174,0.3115846812725067,0.2733423113822937,0.3782048523426056,0.3022057712078094,0.3203871846199035,0.2519410252571106,0.258149653673172,0.3563121855258941,0.3872415423393249,0.4350469708442688,0.5151177048683167,0.2210328578948974,0.3454995453357696,0.4011991024017334,0.6206377744674683,0.2959139943122864,0.0549395084381103,0.4333228468894958,0.2412984371185302,0.3298710882663727,0.5756961107254028,0.4319326281547546,0.6155644655227661,0.1995889395475387,0.4182226657867431,0.3417193591594696,0.2416422367095947,0.2725169062614441,0.2492796629667282,0.2151846438646316,0.0691414475440979,0.4252102971076965",0.31743350949498916,2.620194213362111e-12
3,"Q8ND24Q9UMS5,Q8N661Q8ND24,Q5JTC6Q8ND24,P26371Q8ND24,Q8ND24Q9H9D4,P42336Q8ND24,P84157Q8ND24,Q8N7X8Q8ND24,Q08499Q8ND24,P54886Q8ND24,O60476Q8ND24,Q86WT6Q8ND24,O75683Q8ND24,P61421Q8ND24,Q8ND24Q96QE2,P28329Q8ND24,A8MZ97Q8ND24,A8MV81Q8ND24,Q8ND24Q96PC3,Q8ND24Q9NRX1,Q5JTB6Q8ND24,Q6Q788Q8ND24,Q06141Q8ND24,P59665Q8ND24,Q8ND24Q92934,Q7Z7M0Q8ND24,Q8ND24Q9NPE3,P02792Q8ND24,P61204Q8ND24,O15525Q8ND24,O75829Q8ND24,P51858Q8ND24,Q8ND24Q9BWW9,Q8ND24Q8TEQ0,Q8ND24Q9P0U4,Q8ND24Q9NX07,Q7Z3Y8Q8ND24,Q5DT21Q8ND24,P35558Q8ND24,P55290Q8ND24,O95248Q8ND24,Q8ND24Q969H4,Q8ND24Q9UI30,Q8ND24Q8WU79,Q8ND24Q92526,Q8ND24Q9UKY0,A5D8W1Q8ND24,O60347Q8ND24,Q07960Q8ND24,P78383Q8ND24,Q08050Q8ND24,Q8ND24Q96SJ8,Q8ND24Q9BRR9,O15068Q8ND24,Q8ND24Q9BYQ3,Q5MJ07Q8ND24,Q8ND24Q9UFP1,Q8ND24Q9UN74,O00322Q8ND24,P17655Q8ND24,Q14135Q8ND24,O95139Q8ND24","0.0225341767072677,0.3359657227993011,0.6673383712768555,0.3554690778255462,0.5979434251785278,0.4078423082828522,0.3921415209770202,0.4453935623168945,0.4826543927192688,0.2104343622922897,0.1455471217632293,0.4084154069423675,0.3702773749828338,0.326798141002655,0.1809973418712616,0.1206225007772445,0.1299182474613189,0.3184382319450378,0.4984968602657318,0.339106798171997,0.3634015917778015,0.2186610996723175,0.0112999696284532,0.3701566755771637,0.0872500240802764,0.0731580704450607,0.4149414896965027,0.3774797618389129,0.2328416556119918,0.424903392791748,0.1545262783765792,0.4636703133583069,0.1287618577480316,0.4513134956359863,0.4866727888584137,0.2760592699050903,0.493340402841568,0.126556783914566,0.4710072875022888,0.2319982349872589,0.3646268844604492,0.3519268631935119,0.359438806772232,0.5428562760353088,0.3075844347476959,0.0834905356168747,0.4031122624874115,0.1815454661846161,0.3627646565437317,0.2630807757377624,0.3201059997081756,0.0984378904104232,0.5540891289710999,0.2208914756774902,0.4339780211448669,0.3410399556159973,0.028191938996315,0.4709789752960205,0.2287380695343017,0.3970412313938141,0.3660441637039184,0.1494919061660766",0.3136095340033212,9.797687977932536e-12
4,"O95834Q8ND24,Q14761Q8ND24,Q13015Q8ND24,Q8ND24Q8NI35,A6NI28Q8ND24,Q8IWV7Q8ND24,Q8ND24Q9UJT2,O43617Q8ND24,Q8ND24Q9P1Y5,Q8ND24Q9ULG6,Q5XUX1Q8ND24,Q8ND24Q9BWU1,Q15773Q8ND24,Q6I9Y2Q8ND24,Q14703Q8ND24,Q8ND24Q8WYN0,P37023Q8ND24,P19021Q8ND24,Q8ND24Q8TAG5,O14530Q8ND24,P62495Q8ND24,Q3ZCQ8Q8ND24,P40763Q8ND24,Q8ND24Q9GZV1,Q1XH10Q8ND24,Q70E73Q8ND24,P28325Q8ND24,Q8ND24Q9HD23,Q8ND24Q9BT49,O43809Q8ND24,Q15032Q8ND24,P30556Q8ND24,P35609Q8ND24,Q16181Q8ND24,Q86XA9Q8ND24,Q8ND24Q96KC9,Q01831Q8ND24,Q8IX04Q8ND24,Q5JSZ5Q8ND24,Q5W0B7Q8ND24,Q8ND24Q96PX1,O14647Q8ND24,Q8ND24Q9Y5B8,O75935Q8ND24,P23471Q8ND24,P78552Q8ND24,Q8ND24Q96EK6,Q15390Q8ND24,Q8ND24Q9NVQ4,O60503Q8ND24,O14512Q8ND24,O14524Q8ND24,Q8IWB1Q8ND24,Q8ND24Q9BPX7,Q6VN20Q8ND24,Q8ND24Q9BXM7,Q6PCD5Q8ND24,O95807Q8ND24,O75360Q8ND24,A6H8Z2Q8ND24,O75131Q8ND24,Q8ND24Q9H227","0.4443539977073669,0.2436165362596511,0.1823943555355072,0.6445667147636414,0.3513456583023071,0.3166750967502594,0.3928372859954834,0.1148675456643104,0.5399361848831177,0.1876576989889145,0.1815100461244583,0.474229484796524,0.3971589803695678,0.3188114464282989,0.2487499266862869,0.1913279294967651,0.1147443205118179,0.1594451367855072,0.1493300348520279,0.3991945385932922,0.3793926537036896,0.3441908061504364,0.3798839449882507,0.3489420413970947,0.3877337276935577,0.5977537631988525,0.3507044911384582,0.3374183177947998,0.6113876104354858,0.4718206524848938,0.4506694376468658,0.1592376828193664,0.2512614130973816,0.3602769076824188,0.4373005330562591,0.2814627587795257,0.4365976452827453,0.2799476981163025,0.5532361268997192,0.193606823682785,0.3067218661308288,0.5617464184761047,0.4831344187259674,0.379710853099823,0.3891444206237793,0.1544998884201049,0.1675948202610016,0.3142391741275787,0.351178377866745,0.3196688294410705,0.4713253378868103,0.3321148753166199,0.2138938456773758,0.2265366315841674,0.3224191665649414,0.2999606430530548,0.3684448599815368,0.2878803312778473,0.4447488188743591,0.4757482409477234,0.2515593469142914,0.2090199440717697",0.3386591784656048,7.436410670934789e-11
5,"Q86YW7Q8ND24,A8MVS5Q8ND24,P46531Q8ND24,Q8ND24Q9BV44,Q8ND24Q9Y6K1,Q8ND24Q9BVW5,O75460Q8ND24,Q14807Q8ND24,Q86VD9Q8ND24,P21757Q8ND24,Q16666Q8ND24,O75594Q8ND24,Q5T0F9Q8ND24,O75155Q8ND24,P16581Q8ND24,O95136Q8ND24,P62873Q8ND24,Q68D91Q8ND24,Q7Z739Q8ND24,Q8ND24Q9BQG2,Q14995Q8ND24,Q15477Q8ND24,Q8ND24Q8TF42,P46059Q8ND24,P15621Q8ND24,P13164Q8ND24,P52849Q8ND24,Q8IXS2Q8ND24,Q5GJ75Q8ND24,P52945Q8ND24,Q86SJ2Q8ND24,Q02790Q8ND24,Q8ND24Q9H3K6,Q8ND24Q96JT2,Q8ND24Q9NXE4,P36406Q8ND24,Q8ND24Q9H1C7,Q8N594Q8ND24,P43628Q8ND24,Q8ND24Q9H3T2,P35270Q8ND24,Q8ND24Q96HB5,Q8ND24Q96JY6,O14983Q8ND24,Q8ND24Q9Y3B8,O00750Q8ND24,Q8ND24Q9NQ25,Q6P2D8Q8ND24,Q8ND24Q9BZJ8,Q8ND24Q92565,Q8ND24Q96HU1,Q8ND24Q9Y5P8,Q2Q1W2Q8ND24,Q7Z7G2Q8ND24,P55318Q8ND24,Q8ND24Q9NV29,O95393Q8ND24,P40616Q8ND24,P26572Q8ND24,Q8ND24Q96RD9,O75678Q8ND24,Q8ND24Q99594","0.2129265815019607,0.4135264456272125,0.3679372668266296,0.4930424094200134,0.4369024336338043,0.3554452061653137,0.1225642412900924,0.628729522228241,0.0610907785594463,0.1709828078746795,0.3914066553115845,0.1395088732242584,0.3591178357601166,0.5811830759048462,0.1717602908611297,0.4411292672157287,0.4997898638248443,0.2409617006778717,0.6083918809890747,0.3714891374111175,0.3750607371330261,0.2678188383579254,0.5627986192703247,0.2832491993904114,0.4005042612552643,0.1351720839738845,0.0779649913311004,0.301415741443634,0.204230710864067,0.3888857364654541,0.0357322990894317,0.1365182846784591,0.448856920003891,0.1046195849776268,0.42247074842453,0.6434749364852905,0.4030045568943023,0.4217096269130707,0.2001774311065673,0.1040289029479026,0.3858940899372101,0.580910325050354,0.3713087439537048,0.3997412025928497,0.2523171901702881,0.3969608247280121,0.2850779891014099,0.0722360461950302,0.1470385044813156,0.411416620016098,0.2642110288143158,0.5611807107925415,0.4246458113193512,0.2999079823493957,0.3705525398254394,0.3218266665935516,0.2797343134880066,0.3901774883270263,0.1693237125873565,0.1894676238298416,0.4101645946502685,0.4450504183769226",0.32926975665313585,1.0647230041911144e-10
6,"O95336Q8ND24,Q8N184Q8ND24,Q8ND24Q9H251,Q3LI64Q8ND24,Q07108Q8ND24,Q5TID7Q8ND24,Q8ND24Q9Y3P9,P60602Q8ND24,P28070Q8ND24,P54105Q8ND24,Q6P9G9Q8ND24,O15467Q8ND24,Q8ND24Q9Y2B4,Q6EEV4Q8ND24,Q8ND24Q8WUY9,O43653Q8ND24,Q8ND24Q8NE31,Q8ND24Q9HCG7,Q8ND24Q9H8G1,Q8ND24Q9BQS8,Q8ND24Q9BX95,P83731Q8ND24,P56211Q8ND24,Q4AC94Q8ND24,Q8ND24Q9P0J1,Q6UX06Q8ND24,P31995Q8ND24,Q8ND24Q92562,P0CF97Q8ND24,O75147Q8ND24,Q8ND24Q96PB8,Q86UD5Q8ND24,P35908Q8ND24,P49840Q8ND24,Q8N966Q8ND24,Q8ND24Q9P2J3,Q16557Q8ND24,Q8ND24Q9H2P0,Q5TA45Q8ND24,O96011Q8ND24,Q8ND24Q9P0W8,Q8ND24Q9NP90,Q76LX8Q8ND24,Q8ND24Q9BRT8,Q00653Q8ND24,P06576Q8ND24,Q8ND24Q9HCM1,Q6P4A7Q8ND24,Q8ND24Q9P2G3,Q8ND24Q9H8L6,Q8ND24Q9BRP7,Q5JSP0Q8ND24,Q8ND24Q9Y2D2,Q8ND24Q9Y530,P05120Q8ND24,Q13145Q8ND24,Q8ND24Q9ULX6,O43900Q8ND24,P49675Q8ND24,Q8ND24Q9NSY0,Q8ND24Q9NUP1,Q8ND24Q9Y4R8","0.3127591013908386,0.3366365730762481,0.3723769783973694,0.4471773505210876,0.1249080449342727,0.0842181593179702,0.6807886958122253,0.2471727132797241,0.4046476781368255,0.3911779224872589,0.288713663816452,0.4361751675605774,0.3124999105930328,0.5026952028274536,0.3576075434684753,0.2217448949813842,0.404404729604721,0.3094097971916199,0.5383564233779907,0.4106297492980957,0.1357918679714203,0.3567672371864319,0.1976647824048996,0.377481460571289,0.2709117829799652,0.1866988837718963,0.102669358253479,0.4976784586906433,0.031571440398693,0.4519376158714294,0.0507871434092521,0.1321596056222915,0.2957213521003723,0.372345358133316,0.2424125224351883,0.0929197296500206,0.370195984840393,0.5118252635002136,0.495589405298233,0.3506092727184295,0.2891130447387695,0.3118042945861816,0.2606485486030578,0.282674103975296,0.4665112495422363,0.3305107951164245,0.2916581630706787,0.0346497409045696,0.328029453754425,0.1971402466297149,0.3127650618553161,0.3911579251289367,0.0832719504833221,0.3260487914085388,0.4962107539176941,0.0218784250319004,0.4602512717247009,0.5234784483909607,0.2799795567989349,0.3289013504981994,0.3347848057746887,0.3080289661884308",0.31237638345168484,2.275862661284701e-12
7,"P54886Q8ND24,Q8ND24Q9BUU2,Q5DT21Q8ND24,Q8ND24Q9Y2D2,Q8ND24Q9UMD9,O60575Q8ND24,Q8ND24Q96QR1,P17655Q8ND24,Q8ND24Q8NG11,Q8ND24Q9H0K6,Q8ND24Q8WYN0,Q8ND24Q9UHP3,Q15084Q8ND24,Q8ND24Q9Y6Z7,Q15506Q8ND24,Q14202Q8ND24,P0DMR2Q8ND24,P14373Q8ND24,Q8ND24Q9P2N7,O75600Q8ND24,Q8NBS9Q8ND24,Q6PEV8Q8ND24,Q8ND24Q9NVN3,Q8ND24Q8TEQ0,P29122Q8ND24,Q8ND24Q9BYE7,O75936Q8ND24,Q8ND24Q96MV8,O60927Q8ND24,Q01469Q8ND24,Q6P1Q0Q8ND24,Q8ND24Q9BVV6,Q8ND24Q9P2P5,Q2QGD7Q8ND24,Q6P4R8Q8ND24,Q32P41Q8ND24,Q8IZP9Q8ND24,P16520Q8ND24,Q8IWQ3Q8ND24,Q7L0Y3Q8ND24,Q8ND24Q9NPE2,O75556Q8ND24,Q6ZNJ1Q8ND24,P49748Q8ND24,Q6ZNG9Q8ND24,Q8ND24Q9NU53,Q6P1A2Q8ND24,Q8ND24Q96BW1,Q8ND24Q96CD2,O60637Q8ND24,Q8ND24Q8NHQ1,Q8ND24Q9H553,P24863Q8ND24,P56645Q8ND24,O60663Q8ND24,Q8ND24Q9Y2Y8,O75356Q8ND24,Q3B7J2Q8ND24,P10606Q8ND24,Q15053Q8ND24,P11171Q8ND24,Q3SY17Q8ND24","0.2104343622922897,0.2053606212139129,0.126556783914566,0.0832719504833221,0.5266120433807373,0.155423879623413,0.1718942821025848,0.3970412313938141,0.0713070407509803,0.2835922539234161,0.1913279294967651,0.4003646969795227,0.4725858271121979,0.1788435280323028,0.2994662523269653,0.526748776435852,0.1727745532989502,0.6418484449386597,0.3382712602615356,0.2272609025239944,0.4654007852077484,0.3403640985488891,0.4167730212211609,0.4513134956359863,0.0664256811141967,0.506694495677948,0.4259514212608337,0.2621846497058868,0.2897011339664459,0.3339700102806091,0.1380624771118164,0.5955962538719177,0.4394338726997375,0.4921028017997741,0.4527353346347809,0.2893598079681396,0.3022077679634094,0.0647983103990554,0.4345011711120605,0.2329774349927902,0.404388815164566,0.3048310577869415,0.3085188567638397,0.3340331017971039,0.1473346203565597,0.3314255774021148,0.1502415239810943,0.3965154588222503,0.3164594769477844,0.1301930844783783,0.4869094789028168,0.1483486890792846,0.4572437405586242,0.4691947996616363,0.6134069561958313,0.2413190901279449,0.127803236246109,0.1800086200237274,0.5449113249778748,0.2419082671403885,0.4554033279418945,0.0869849249720573",0.31546652701593214,5.094023446272932e-11
8,"Q6P6B1Q8ND24,P29475Q8ND24,Q8ND24Q8WXF1,Q6ZSA7Q8ND24,Q8ND24Q9UHE8,Q86XF7Q8ND24,P19838Q8ND24,Q8ND24Q9BY64,Q8ND24Q96C24,Q8ND24Q9H3Q1,P40198Q8ND24,Q8ND24Q9HCH5,Q8ND24Q99570,P49773Q8ND24,Q8ND24Q96AQ8,P54829Q8ND24,Q6UXX9Q8ND24,P0C7X2Q8ND24,Q8ND24Q9BQB6,Q8ND24Q9H2B2,O95497Q8ND24,A0AVI4Q8ND24,P13385Q8ND24,Q8ND24Q9HBA9,Q15782Q8ND24,Q8ND24Q96JB8,Q8IYM1Q8ND24,O75631Q8ND24,P49796Q8ND24,Q05682Q8ND24,Q8ND24Q8NEK8,Q6ZMB5Q8ND24,Q8ND24Q9HCM7,Q8ND24Q9HCH0,Q6GMV2Q8ND24,P10828Q8ND24,Q8ND24Q9UKP3,Q8ND24Q9NVR2,A4D1T9Q8ND24,Q8N9N7Q8ND24,Q8N392Q8ND24,P54219Q8ND24,Q8ND24Q9UKF7,Q5TEC6Q8ND24,P01009Q8ND24,Q8ND24Q8WXW3,P49448Q8ND24,O14656Q8ND24,P17538Q8ND24,Q8ND24Q9UGJ1,Q8ND24Q9UMR5,O14653Q8ND24,Q8ND24Q9UHD9,Q8ND24Q9Y6N5,Q7L0J3Q8ND24,Q8ND24Q96JN8,Q8ND24Q8TBZ2,Q8ND24Q9Y4E1,Q8IXQ6Q8ND24,Q8NC60Q8ND24,Q13029Q8ND24,Q05655Q8ND24","0.3440519273281097,0.4689374566078186,0.3903118371963501,0.1679860800504684,0.0987673178315162,0.4489186406135559,0.556740403175354,0.1003744155168533,0.7474437952041626,0.5534592866897583,0.1365502029657364,0.4089838564395904,0.4609038233757019,0.3921731412410736,0.1156154870986938,0.3476797342300415,0.2583694458007812,0.6518305540084839,0.35614675283432,0.3710132241249084,0.2571738660335541,0.0636627897620201,0.3480234444141388,0.1318364441394806,0.1613405644893646,0.4618373811244964,0.1218056678771972,0.1997725367546081,0.4898426532745361,0.4220176637172699,0.3111696541309356,0.2857886850833893,0.4373288154602051,0.5208801031112671,0.2373363077640533,0.4637370705604553,0.3438290953636169,0.3116078078746795,0.2639359533786773,0.2293849438428878,0.3859649300575256,0.291007250547409,0.3597788214683532,0.3465157151222229,0.3447631895542145,0.3101527094841003,0.3895529210567474,0.3181189894676208,0.2076109200716018,0.24757781624794,0.104582592844963,0.2476191967725753,0.6992394924163818,0.375545859336853,0.3503808379173279,0.4324067234992981,0.261581689119339,0.451190173625946,0.2858647108078003,0.3010275661945343,0.4533867239952087,0.4435208737850189",0.33945094409488863,1.6474362152585762e-10
9,"Q8ND24Q9H209,Q674X7Q8ND24,O60609Q8ND24,Q8ND24Q8ND56,Q8ND24Q96LZ2,Q8NCK7Q8ND24,P46089Q8ND24,Q8ND24Q96RD9,A1KZ92Q8ND24,Q8ND24Q9NYJ7,Q5VVH5Q8ND24,Q5SRE5Q8ND24,Q16637Q8ND24,Q86SS6Q8ND24,O14524Q8ND24,B4DXR9Q8ND24,Q14240Q8ND24,Q8ND24Q9BV19,Q8ND24Q9H840,Q5VUJ9Q8ND24,O15370Q8ND24,Q8ND24Q9NS87,Q8ND24Q96G03,Q8ND24Q9H0V9,Q14774Q8ND24,H3BU77Q8ND24,P46952Q8ND24,P0C7P4Q8ND24,Q8ND24Q9Y6I7,Q8ND24Q9BUH8,Q15397Q8ND24,Q6XYQ8Q8ND24,Q6UWW9Q8ND24,Q5HYN5Q8ND24,Q6UX34Q8ND24,Q8ND24Q8TCB0,P25208Q8ND24,O43752Q8ND24,Q8ND24Q99675,Q8IY37Q8ND24,A6NHZ5Q8ND24,Q8ND24Q9NSI6,Q8ND24Q969I6,Q6NZY4Q8ND24,P13807Q8ND24,O15195Q8ND24,Q8ND24Q9HD90,Q68D10Q8ND24,Q8ND24Q9NUE0,Q8ND24Q9ULA0,Q8ND24Q9UIQ6,Q8ND24Q9H040,Q7RTY0Q8ND24,Q8ND24Q99805,O60359Q8ND24,Q8ND24Q9H6A0,Q8IVF7Q8ND24,Q7LDG7Q8ND24,Q1HG44Q8ND24,P27361Q8ND24,Q6FIF0Q8ND24,Q8ND24Q9H1Z9","0.0467885509133338,0.629091739654541,0.1513269543647766,0.4929391741752624,0.3597092032432556,0.263679027557373,0.2620240449905395,0.1894676238298416,0.2856836915016174,0.099097803235054,0.5009145736694336,0.474811315536499,0.5075499415397644,0.0791338011622428,0.3321148753166199,0.3599858582019806,0.2920355796813965,0.3559196293354034,0.4079982340335846,0.2314708679914474,0.1962718516588211,0.5202924013137817,0.2153491675853729,0.2283774614334106,0.5108476877212524,0.3388477563858032,0.2174149751663208,0.20305797457695,0.3673179745674133,0.3718854188919067,0.4009009003639221,0.1013300791382789,0.2407539784908294,0.3616093397140503,0.227861687541008,0.1027952805161476,0.5246755480766296,0.4409919679164886,0.2195658385753631,0.3729799091815948,0.1157074943184852,0.4873557686805725,0.0878713428974151,0.4053366184234619,0.2308741509914398,0.203508585691452,0.4004200994968414,0.3787088990211487,0.1276343464851379,0.4021221101284027,0.4739895462989807,0.3601625263690948,0.1311154514551162,0.1392278522253036,0.2786898016929626,0.4002365171909332,0.5329175591468811,0.1684622019529342,0.2464044541120529,0.4484176635742187,0.5390976071357727,0.2276752740144729",0.31081944451697413,4.2770922903011324e-12
