,protein_list,cos.sim,mean_cossim,pv
0,"P56199Q9UPW6,Q8IV56Q9UPW6,Q15842Q9UPW6,Q9UKJ1Q9UPW6,O14653Q9UPW6,P09228Q9UPW6,Q96MT4Q9UPW6,Q8IYT4Q9UPW6,Q96N28Q9UPW6,O60469Q9UPW6,Q6L9W6Q9UPW6,O77932Q9UPW6,P86478Q9UPW6,Q16581Q9UPW6,Q96HW7Q9UPW6,Q9UPW6Q9Y2X0,Q8TAM6Q9UPW6,Q9HCL0Q9UPW6,Q8N129Q9UPW6,P31260Q9UPW6","0.4447731971740722,0.3576992154121399,0.1724776923656463,0.2782306373119354,0.3077905774116516,0.4626436829566955,0.1843507438898086,0.2961455285549164,0.3483925759792328,0.3198474943637848,0.305069237947464,0.319221168756485,0.6071555018424988,0.4819194376468658,0.4559628069400787,0.568639874458313,0.3166689574718475,0.2877052724361419,0.2085277289152145,0.3535955846309662",0.35384084582328795,7.074398504212945e-06
1,"B7U540Q9UPW6,P69892Q9UPW6,Q8WV60Q9UPW6,P53680Q9UPW6,O75145Q9UPW6,P17096Q9UPW6,Q15517Q9UPW6,Q8TF09Q9UPW6,Q13042Q9UPW6,Q8TCN5Q9UPW6,Q7Z5K2Q9UPW6,Q14839Q9UPW6,P00338Q9UPW6,Q8NCL9Q9UPW6,Q8IXA5Q9UPW6,O15085Q9UPW6,Q92901Q9UPW6,Q9H7B4Q9UPW6,O00624Q9UPW6,P48201Q9UPW6","0.1352762132883072,0.1809137016534805,0.4544733464717865,0.349955141544342,0.4560860693454742,0.558661937713623,0.4178899824619293,0.186032623052597,0.5013096928596497,0.583752453327179,0.5820698738098145,0.6069321632385254,0.476504236459732,0.1212502941489219,0.0777791067957878,0.4054388105869293,0.3197682499885559,0.477576732635498,0.4529672563076019,0.1762283742427826",0.3760433129966259,0.00028145177994706375
2,"Q6ZMZ0Q9UPW6,Q96RY7Q9UPW6,Q66K79Q9UPW6,Q9NWD9Q9UPW6,Q9HCY8Q9UPW6,Q9H211Q9UPW6,Q9NQR4Q9UPW6,Q8TD31Q9UPW6,Q5VV63Q9UPW6,Q9UJS0Q9UPW6,Q9UM54Q9UPW6,O00458Q9UPW6,Q9HC84Q9UPW6,Q14974Q9UPW6,Q9BYD6Q9UPW6,P02538Q9UPW6,Q86X76Q9UPW6,Q9BXI9Q9UPW6,Q15256Q9UPW6,O60258Q9UPW6","0.4497577548027038,0.347807377576828,0.2504432797431946,0.3796669840812683,0.3993676006793976,0.5509153008460999,0.4504706859588623,0.3592300713062286,0.1349792927503585,0.4902049899101257,0.5720497369766235,0.2286648005247116,0.4453077316284179,0.542833685874939,0.4560142159461975,0.2994739711284637,0.5428537130355835,0.3795639276504516,0.1875327676534652,0.4883841872215271",0.3977761037647724,8.049066982959198e-05
3,"Q9UMS4Q9UPW6,Q8N661Q9UPW6,Q5JTC6Q9UPW6,P26371Q9UPW6,Q9H9C1Q9UPW6,P42336Q9UPW6,P84157Q9UPW6,Q8N7X8Q9UPW6,Q08499Q9UPW6,P54886Q9UPW6,O60476Q9UPW6,Q86WT6Q9UPW6,O75683Q9UPW6,P61421Q9UPW6,Q96QD9Q9UPW6,P28329Q9UPW6,A8MZ97Q9UPW6,A8MV81Q9UPW6,Q96PC2Q9UPW6,Q9NRW7Q9UPW6","0.6104763150215149,0.4084387719631195,0.6325066685676575,0.4564417898654938,0.2896081805229187,0.571102499961853,0.4748905599117279,0.510291576385498,0.4282736778259277,0.3197688460350036,0.2373929917812347,0.5364975929260254,0.4870778024196625,0.4268558919429779,0.5254127383232117,0.220829039812088,0.0764749124646186,0.4541745185852051,0.5875205397605896,0.2727119922637939",0.4263373453170061,0.0032785963226400843
4,"O95834Q9UPW6,Q14761Q9UPW6,Q13015Q9UPW6,Q8NI32Q9UPW6,A6NI28Q9UPW6,Q8IWV7Q9UPW6,Q9UJT1Q9UPW6,O43617Q9UPW6,Q9P1W9Q9UPW6,Q9ULG1Q9UPW6,Q5XUX1Q9UPW6,Q9BWU0Q9UPW6,Q15773Q9UPW6,Q6I9Y2Q9UPW6,Q14703Q9UPW6,Q8WYL5Q9UPW6,P37023Q9UPW6,P19021Q9UPW6,Q8TAF8Q9UPW6,O14530Q9UPW6","0.4946759343147278,0.1903495192527771,0.2056212425231933,0.3300825953483581,0.4138627648353576,0.4341268539428711,0.1513726562261581,0.2819932401180267,0.406724065542221,0.5922831892967224,0.2988588213920593,0.5837939381599426,0.2870292067527771,0.4393759667873382,0.309737890958786,0.3380858898162842,0.1477037370204925,0.259010374546051,0.371199756860733,0.4952032566070556",0.35155454501509664,1.852557985281469e-05
5,"Q86YW7Q9UPW6,A8MVS5Q9UPW6,P46531Q9UPW6,Q9BV40Q9UPW6,Q9UPW6Q9Y6K1,Q9BVV7Q9UPW6,O75460Q9UPW6,Q14807Q9UPW6,Q86VD9Q9UPW6,P21757Q9UPW6,Q16666Q9UPW6,O75594Q9UPW6,Q5T0F9Q9UPW6,O75155Q9UPW6,P16581Q9UPW6,O95136Q9UPW6,P62873Q9UPW6,Q68D91Q9UPW6,Q7Z739Q9UPW6,Q9BQG1Q9UPW6","0.2710633873939514,0.5710099935531616,0.3747760653495788,0.1033151298761367,0.4960803091526031,0.3069130480289459,0.3438721001148224,0.6577743291854858,0.0507747344672679,0.2354965656995773,0.4435165524482727,0.218205377459526,0.3183149695396423,0.5445231795310974,0.3335417807102203,0.5611333847045898,0.5153351426124573,0.3464159965515136,0.5255776047706604,0.2881852090358734",0.37529124300926925,0.0001690974050146689
6,"O95336Q9UPW6,Q8N184Q9UPW6,Q9H246Q9UPW6,Q3LI64Q9UPW6,Q07108Q9UPW6,Q5TID7Q9UPW6,Q9UPW6Q9Y3P9,P60602Q9UPW6,P28070Q9UPW6,P54105Q9UPW6,Q6P9G9Q9UPW6,O15467Q9UPW6,Q9UPW6Q9Y2B4,Q6EEV4Q9UPW6,Q8WUY8Q9UPW6,O43653Q9UPW6,Q8NE28Q9UPW6,Q9HCF6Q9UPW6,Q9H8E8Q9UPW6,Q9BQS6Q9UPW6","0.3781666159629822,0.3443618416786194,0.086993008852005,0.5033022165298462,0.2641768753528595,0.1045524030923843,0.636124312877655,0.3494781851768493,0.4543095231056213,0.3987864255905151,0.3865546882152557,0.4131002426147461,0.3732361197471618,0.6066528558731079,0.4766358733177185,0.3103441298007965,0.2952030599117279,0.4844017624855041,0.6249773502349854,0.4669978022575378",0.39791776463389394,0.00028145177994706375
7,"P54886Q9UPW6,Q9BUT9Q9UPW6,Q5DT21Q9UPW6,Q9UPW6Q9Y2D2,Q9UM82Q9UPW6,O60575Q9UPW6,Q96QP1Q9UPW6,P17655Q9UPW6,Q8NG08Q9UPW6,Q9H0K4Q9UPW6,Q8WYL5Q9UPW6,Q9UHN6Q9UPW6,Q15084Q9UPW6,Q9UPW6Q9Y6Z7,Q15506Q9UPW6,Q14202Q9UPW6,P0DMR2Q9UPW6,P14373Q9UPW6,Q9P2N6Q9UPW6,O75600Q9UPW6","0.3197688460350036,0.5113862156867981,0.0564832091331481,0.0603069141507148,0.4625280499458313,0.198315218091011,0.4193687438964844,0.5725654363632202,0.3054018020629883,0.5349114537239075,0.3380858898162842,0.2542704939842224,0.549247145652771,0.2571799159049988,0.4447656571865082,0.5713379979133606,0.1477011293172836,0.7111756205558777,0.5398162603378296,0.2314970940351486",0.3743056546896696,0.0005579736175885056
8,"Q6P6B1Q9UPW6,P29475Q9UPW6,Q8WXF0Q9UPW6,Q6ZSA7Q9UPW6,Q9UHE5Q9UPW6,Q86XF7Q9UPW6,P19838Q9UPW6,Q9BY50Q9UPW6,Q96C23Q9UPW6,Q9H3P7Q9UPW6,P40198Q9UPW6,Q9HCH3Q9UPW6,Q99569Q9UPW6,P49773Q9UPW6,Q96AQ7Q9UPW6,P54829Q9UPW6,Q6UXX9Q9UPW6,P0C7X2Q9UPW6,Q9BQB4Q9UPW6,Q9H2A9Q9UPW6","0.2477543354034423,0.5272661447525024,0.4495886862277984,0.3428621292114258,0.4392021596431732,0.5114029049873352,0.6092154383659363,0.3714487254619598,0.4760111272335052,0.5734802484512329,0.1814304739236831,0.6275652647018433,0.4429860115051269,0.4934366345405578,0.4340144693851471,0.4791577756404876,0.3438515067100525,0.6215811371803284,0.4799033105373382,0.4120583534240722",0.45321084186434746,0.004522698392502755
9,"Q9H204Q9UPW6,Q674X7Q9UPW6,O60609Q9UPW6,Q8ND30Q9UPW6,Q96LY2Q9UPW6,Q8NCK7Q9UPW6,P46089Q9UPW6,Q96RD7Q9UPW6,A1KZ92Q9UPW6,Q9NYJ1Q9UPW6,Q5VVH5Q9UPW6,Q5SRE5Q9UPW6,Q16637Q9UPW6,Q86SS6Q9UPW6,O14524Q9UPW6,B4DXR9Q9UPW6,Q14240Q9UPW6,Q9BV10Q9UPW6,Q9H832Q9UPW6,Q5VUJ9Q9UPW6","0.5246850848197937,0.6215635538101196,0.2625800967216491,0.4884399473667145,0.3889400362968445,0.494705855846405,0.3409741818904876,0.457808256149292,0.3125806450843811,0.2016580998897552,0.5488399267196655,0.5209481120109558,0.559097409248352,0.2560341358184814,0.4040589928627014,0.3597091734409332,0.3793708682060241,0.1953873932361602,0.4824407696723938,0.3379796147346496",0.40689010769128797,0.00015239945835147264
