Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,12,0.3124,20.62,172.5,0.09497,0.998527,"Q8IYL3 Q01831 P49916 P06746 Q6FI13 P05114 Q8N4N3 P05204 Q8IW19 Q9NUW8 Q9UGN5 O00479"
2,4,0.3503,2.102,17.30,0.07671,0.903035,"O75828 P16152 Q8IWE5 A2RUS2"
3,20,0.3073,58.38,898.9,0.05854,0.999995,"P62745 Q9BQD3 Q96A65 Q9UID3 O60645 Q8IYI6 P35613 Q9NV70 Q9UPT5 Q96EV8 Q86VI1 O00471 Q8TAG9 P27930 Q9Y2D4 Q96KP1 Q14574 Q96JG6 Q53HC9 Q5VIR6"
4,4,0.3595,2.157,39.54,0.04340,0.984809,"P27469 O76041 Q15027 Q7Z5A7"
5,5,0.3205,3.205,23.88,0.08642,0.952654,"Q9NQ87 P49354 Q9BSE5 Q6DCA0 P53609"
6,91,0.3004,1230,8075,0.1297,0.899792,"O95159 Q5VT25 O15400 Q14254 P62330 Q96A22 Q03135 P78310 O75955 P17302 Q8N144 P11279 P13473 Q9UQV4 Q6IAA8 P06239 P07948 P29966 Q16625 Q96RD7 P62491 P61019 Q15286 P51148 P62745 O43752 O00559 Q9H2H9 Q9UJF2 Q92692 O95661 Q9P2W7 P15311 Q8TAA9 Q8TEW0 O96013 Q7KZI7 P27448 Q16181 Q9Y6R0 O95819 O14654 Q96AC1 Q4KMP7 P49757 Q14126 O60716 Q9P2D6 Q86W92 Q9NYI0 Q8IXS6 P29317 P49257 Q9HCM4 Q9NNW5 Q01082 Q13480 Q12846 Q86YQ8 Q9Y2G0 Q14156 Q9H3P7 P55011 Q92953 Q9Y6M7 Q9H2J7 Q02487 Q12923 P08195 P14209 Q15043 Q01650 Q96QD8 P48029 Q8WUY9 Q96J84 O15020 Q8N4S9 Q00587 Q5T2T1 Q12959 P52799 Q15334 Q8IUW5 Q96TA1 O95490 Q9C0B5 Q9Y287 Q9HB21 Q9Y6M5 Q6ZVF9"
7,21,0.2940,61.74,259.0,0.1702,0.999463,"Q9HAH7 Q8IY57 Q86SE9 P61962 Q9BYE7 Q8N488 P78364 Q3KNV8 Q8WXX7 Q99496 Q06587 Q9HCM7 Q8IXK0 O75461 Q14188 Q9BPX1 Q14186 P35227 O95931 Q8NDX5 P35226"
8,13,0.3005,23.44,195.5,0.09571,0.999705,"Q9NQC1 P46100 Q9UNL4 Q9HAF1 Q02880 O95696 Q9ULD4 Q92613 Q8WYH8 P55201 O95251 Q6IE81 P26439"
9,9,0.3001,10.80,186.1,0.05027,0.999001,"O60906 Q9UN71 Q8NEN9 P23468 Q8IZK6 Q9NRJ7 Q9Y5E2 Q9Y5G2 Q5T2D2"
10,5,0.3621,3.621,41.06,0.06622,0.851865,"O00505 Q92731 Q8NA19 Q2YD98 O14529"
11,4,0.3012,1.807,15.66,0.07097,0.992931,"O60762 P20645 Q7Z569 Q8IY21"
