Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
COPB2,PLEKHA5,P35606,Q9HAU0,0.869745075702667,0.941242039203643,0.22136802971363,0.25399762392044
SHKBP1,PLEKHA5,Q8TBC3,Q9HAU0,0.869745075702667,0.941242039203643,0.07601968199014601,0.389278978109359
ANAPC4,PLEKHA5,Q9UJX5,Q9HAU0,0.869745075702667,0.941242039203643,0.052828520536422,0.093311950564384
PLEKHA5,PLEKHA5,Q9HAU0,Q9HAU0,0.869745075702667,0.941242039203643,0.869745075702667,0.941242039203643
SLC25A5,PLEKHA5,P05141,Q9HAU0,0.869745075702667,0.941242039203643,0.5795818567276001,0.6628844141960141
PDZD11,PLEKHA5,Q5EBL8,Q9HAU0,0.869745075702667,0.941242039203643,0.10584753751754701,0.284767687320709
KCTD3,PLEKHA5,Q9Y597,Q9HAU0,0.869745075702667,0.941242039203643,0.287042558193206,0.479544550180435
ANAPC5,PLEKHA5,Q9UJX4,Q9HAU0,0.869745075702667,0.941242039203643,0.047193400561809006,0.089920036494731
CDC16,PLEKHA5,Q13042,Q9HAU0,0.869745075702667,0.941242039203643,0.14969573915004702,0.27832627296447704
MAP4,PLEKHA5,P27816,Q9HAU0,0.869745075702667,0.941242039203643,0.7518705725669861,0.8798587918281551
CDC23,PLEKHA5,Q9UJX2,Q9HAU0,0.869745075702667,0.941242039203643,0.24628111720085102,0.141568794846534
CDC27,PLEKHA5,P30260,Q9HAU0,0.869745075702667,0.941242039203643,0.614138484001159,0.887655556201934
SNX27,PLEKHA5,Q96L92,Q9HAU0,0.869745075702667,0.941242039203643,0.8072119951248161,0.8685724139213561
HECTD1,PLEKHA5,Q9ULT8,Q9HAU0,0.869745075702667,0.941242039203643,0.509215891361236,0.735394954681396
FHL3,PLEKHA5,Q13643,Q9HAU0,0.869745075702667,0.941242039203643,0.065175138413906,0.22540161013603202
A2M,PLEKHA5,P01023,Q9HAU0,0.869745075702667,0.941242039203643,0.059184692800045006,0.28794485330581604
MISP,PLEKHA5,Q8IVT2,Q9HAU0,0.869745075702667,0.941242039203643,0.856061100959777,0.9378359913825981
TRIM27,PLEKHA5,P14373,Q9HAU0,0.869745075702667,0.941242039203643,0.051024198532104006,0.033844623714685
HNRNPA2B1,PLEKHA5,P22626,Q9HAU0,0.869745075702667,0.941242039203643,0.9508429765701291,0.9583996534347531
TRIM7,PLEKHA5,Q9C029,Q9HAU0,0.869745075702667,0.941242039203643,0.065283022820949,0.06748109310865401
PDIA6,PLEKHA5,Q15084,Q9HAU0,0.869745075702667,0.941242039203643,0.44097486138343805,0.6057357192039491
CBX3,PLEKHA5,Q13185,Q9HAU0,0.869745075702667,0.941242039203643,0.82945841550827,0.8836170434951781
EFHD2,PLEKHA5,Q96C19,Q9HAU0,0.869745075702667,0.941242039203643,0.799529075622558,0.906884014606475
VIM,PLEKHA5,P08670,Q9HAU0,0.869745075702667,0.941242039203643,0.877829194068908,0.956689357757568
FLOT1,PLEKHA5,O75955,Q9HAU0,0.869745075702667,0.941242039203643,0.26148456335067705,0.26329356431961004
SEC23B,PLEKHA5,Q15437,Q9HAU0,0.869745075702667,0.941242039203643,0.045444309711456,0.047496058046817
ACTN4,PLEKHA5,O43707,Q9HAU0,0.869745075702667,0.941242039203643,0.8169784545898431,0.9432820081710811
SLC25A5,PLEKHA5,P05141,Q9HAU0,0.869745075702667,0.941242039203643,0.5795818567276001,0.6628844141960141
STT3A,PLEKHA5,P46977,Q9HAU0,0.869745075702667,0.941242039203643,0.09532839059829701,0.082042969763278
HSPH1,PLEKHA5,Q92598,Q9HAU0,0.869745075702667,0.941242039203643,0.670248389244079,0.879881858825683
MYO1B,PLEKHA5,O43795,Q9HAU0,0.869745075702667,0.941242039203643,0.052316516637802006,0.667979478836059
PPP2R1A,PLEKHA5,P30153,Q9HAU0,0.869745075702667,0.941242039203643,0.09232197701931,0.14074483513832
TPI1,PLEKHA5,P60174,Q9HAU0,0.869745075702667,0.941242039203643,0.11242233216762501,0.046699233353137005
PPP2R2A,PLEKHA5,P63151,Q9HAU0,0.869745075702667,0.941242039203643,0.052301488816738004,0.372705191373825
IMMT,PLEKHA5,Q16891,Q9HAU0,0.869745075702667,0.941242039203643,0.5051859617233271,0.772271633148193
TPM4,PLEKHA5,P67936,Q9HAU0,0.869745075702667,0.941242039203643,0.619767487049102,0.55419898033142
PARP1,PLEKHA5,P09874,Q9HAU0,0.869745075702667,0.941242039203643,0.8500396013259881,0.9057420492172241
MYO6,PLEKHA5,Q9UM54,Q9HAU0,0.869745075702667,0.941242039203643,0.39598912000656106,0.7868182659149171
HNRNPUL1,PLEKHA5,Q9BUJ2,Q9HAU0,0.869745075702667,0.941242039203643,0.8471181988716121,0.761973857879638
SCRIB,PLEKHA5,Q14160,Q9HAU0,0.869745075702667,0.941242039203643,0.7628489136695861,0.835612595081329
PFAS,PLEKHA5,O15067,Q9HAU0,0.869745075702667,0.941242039203643,0.049731399863958005,0.214896157383918
MYL6,PLEKHA5,P60660,Q9HAU0,0.869745075702667,0.941242039203643,0.632035076618194,0.7239663600921631
MYL10,PLEKHA5,Q9BUA6,Q9HAU0,0.869745075702667,0.941242039203643,0.076046951115131,0.21954795718193001
RUVBL1,PLEKHA5,Q9Y265,Q9HAU0,0.869745075702667,0.941242039203643,0.30482253432273804,0.496859163045883
MYO1C,PLEKHA5,O00159,Q9HAU0,0.869745075702667,0.941242039203643,0.252226173877716,0.8653729557991021
TUBB4B,PLEKHA5,P68371,Q9HAU0,0.869745075702667,0.941242039203643,0.463245064020156,0.713144659996032
YBX2,PLEKHA5,Q9Y2T7,Q9HAU0,0.869745075702667,0.941242039203643,0.8727841377258301,0.7384680509567261
VDAC2,PLEKHA5,P45880,Q9HAU0,0.869745075702667,0.941242039203643,0.565926551818847,0.825998961925506
CAPZA1,PLEKHA5,P52907,Q9HAU0,0.869745075702667,0.941242039203643,0.48135381937026905,0.30453547835350003
HNRNPA1L2,PLEKHA5,Q32P51,Q9HAU0,0.869745075702667,0.941242039203643,0.939874172210693,0.9266913533210751
MYH11,PLEKHA5,P35749,Q9HAU0,0.869745075702667,0.941242039203643,0.429401159286499,0.7759624719619751
MYL9,PLEKHA5,P24844,Q9HAU0,0.869745075702667,0.941242039203643,0.746167540550231,0.8839146494865411
MYL6,PLEKHA5,P60660,Q9HAU0,0.869745075702667,0.941242039203643,0.632035076618194,0.7239663600921631
NCL,PLEKHA5,P19338,Q9HAU0,0.869745075702667,0.941242039203643,0.9307319521903991,0.9547532796859741
YWHAQ,PLEKHA5,P27348,Q9HAU0,0.869745075702667,0.941242039203643,0.391722947359085,0.8240553140640251
NUP98,PLEKHA5,P52948,Q9HAU0,0.869745075702667,0.941242039203643,0.9433375597000121,0.9014013409614561
GRB2,PLEKHA5,P62993,Q9HAU0,0.869745075702667,0.941242039203643,0.692278921604156,0.9120968580245971
LIMCH1,PLEKHA5,Q9UPQ0,Q9HAU0,0.869745075702667,0.941242039203643,0.8392288088798521,0.8100702166557311
HSPA2,PLEKHA5,P54652,Q9HAU0,0.869745075702667,0.941242039203643,0.8019583821296691,0.7620913386344911
RPN1,PLEKHA5,P04843,Q9HAU0,0.869745075702667,0.941242039203643,0.25094354152679405,0.318942010402679
RPS6KA3,PLEKHA5,P51812,Q9HAU0,0.869745075702667,0.941242039203643,0.653258502483367,0.619254469871521
MYH9,PLEKHA5,P35579,Q9HAU0,0.869745075702667,0.941242039203643,0.749034285545349,0.8638456463813781
PLEC,PLEKHA5,Q15149,Q9HAU0,0.869745075702667,0.941242039203643,0.8916857838630671,0.9012457132339471
RPL8,PLEKHA5,P62917,Q9HAU0,0.869745075702667,0.941242039203643,0.339173644781112,0.7620944976806641
MATR3,PLEKHA5,P43243,Q9HAU0,0.869745075702667,0.941242039203643,0.898189544677734,0.9514467120170591
TUBA4A,PLEKHA5,P68366,Q9HAU0,0.869745075702667,0.941242039203643,0.369484394788742,0.46902090311050404
PCNA,PLEKHA5,P12004,Q9HAU0,0.869745075702667,0.941242039203643,0.202818363904953,0.181548207998275
RPL10A,PLEKHA5,P62906,Q9HAU0,0.869745075702667,0.941242039203643,0.195744425058364,0.670071482658386
PRKDC,PLEKHA5,P78527,Q9HAU0,0.869745075702667,0.941242039203643,0.26440209150314303,0.5351788401603691
LIMA1,PLEKHA5,Q9UHB6,Q9HAU0,0.869745075702667,0.941242039203643,0.904221415519714,0.921862781047821
ACTN4,PLEKHA5,O43707,Q9HAU0,0.869745075702667,0.941242039203643,0.8169784545898431,0.9432820081710811
HSPA1A,PLEKHA5,P0DMV8,Q9HAU0,0.869745075702667,0.941242039203643,0.7300615310668941,0.923791587352752
POTEE,PLEKHA5,Q6S8J3,Q9HAU0,0.869745075702667,0.941242039203643,0.6105939149856561,0.6645187735557551
TPM3,PLEKHA5,P06753,Q9HAU0,0.869745075702667,0.941242039203643,0.45568281412124606,0.5949387550354001
CAPZB,PLEKHA5,P47756,Q9HAU0,0.869745075702667,0.941242039203643,0.617505848407745,0.5862357020378111
RPS6,PLEKHA5,P62753,Q9HAU0,0.869745075702667,0.941242039203643,0.8726701736450191,0.8431590795516961
ANXA7,PLEKHA5,P20073,Q9HAU0,0.869745075702667,0.941242039203643,0.860009491443634,0.784795045852661
CPS1,PLEKHA5,P31327,Q9HAU0,0.869745075702667,0.941242039203643,0.6778576970100401,0.6742841005325311
RTCB,PLEKHA5,Q9Y3I0,Q9HAU0,0.869745075702667,0.941242039203643,0.05891989544034001,0.30335909128189004
RPS2,PLEKHA5,P15880,Q9HAU0,0.869745075702667,0.941242039203643,0.7288851141929621,0.800292313098907
MYH9,PLEKHA5,P35579,Q9HAU0,0.869745075702667,0.941242039203643,0.749034285545349,0.8638456463813781
TUBA1B,PLEKHA5,P68363,Q9HAU0,0.869745075702667,0.941242039203643,0.361786663532257,0.48399886488914406
TPM2,PLEKHA5,P07951,Q9HAU0,0.869745075702667,0.941242039203643,0.633873760700225,0.755370140075683
PABPC1,PLEKHA5,P11940,Q9HAU0,0.869745075702667,0.941242039203643,0.846898555755615,0.945850253105163
YWHAZ,PLEKHA5,P63104,Q9HAU0,0.869745075702667,0.941242039203643,0.48651868104934604,0.8846585154533381
TUBB6,PLEKHA5,Q9BUF5,Q9HAU0,0.869745075702667,0.941242039203643,0.46941456198692305,0.5867041945457451
DBN1,PLEKHA5,Q16643,Q9HAU0,0.869745075702667,0.941242039203643,0.8368625640869141,0.8208845853805541
EPPK1,PLEKHA5,P58107,Q9HAU0,0.869745075702667,0.941242039203643,0.7252146601676941,0.671195209026336
TRAP1,PLEKHA5,Q12931,Q9HAU0,0.869745075702667,0.941242039203643,0.22540637850761402,0.327450484037399
PPP1R12A,PLEKHA5,O14974,Q9HAU0,0.869745075702667,0.941242039203643,0.909542202949523,0.9365397691726681
TPM3,PLEKHA5,P06753,Q9HAU0,0.869745075702667,0.941242039203643,0.45568281412124606,0.5949387550354001
HSPA9,PLEKHA5,P38646,Q9HAU0,0.869745075702667,0.941242039203643,0.792765915393829,0.9252788424491881
NADK2,PLEKHA5,Q4G0N4,Q9HAU0,0.869745075702667,0.941242039203643,0.056676745414733005,0.769546866416931
CLTC,PLEKHA5,Q00610,Q9HAU0,0.869745075702667,0.941242039203643,0.676146268844604,0.42692026495933505
TUBB4B,PLEKHA5,P68371,Q9HAU0,0.869745075702667,0.941242039203643,0.463245064020156,0.713144659996032
HSP90B1,PLEKHA5,P14625,Q9HAU0,0.869745075702667,0.941242039203643,0.84064757823944,0.8777219653129571
TUBB,PLEKHA5,P07437,Q9HAU0,0.869745075702667,0.941242039203643,0.43427926301956105,0.7308996915817261
TUBA1B,PLEKHA5,P68363,Q9HAU0,0.869745075702667,0.941242039203643,0.361786663532257,0.48399886488914406
GEMIN5,PLEKHA5,Q8TEQ6,Q9HAU0,0.869745075702667,0.941242039203643,0.05076773092150601,0.5525881052017211
PSMC4,PLEKHA5,P43686,Q9HAU0,0.869745075702667,0.941242039203643,0.42402562499046303,0.509923756122589
HNRNPK,PLEKHA5,P61978,Q9HAU0,0.869745075702667,0.941242039203643,0.9139078855514521,0.9390789270401001
XRCC6,PLEKHA5,P12956,Q9HAU0,0.869745075702667,0.941242039203643,0.8818343281745911,0.9424995183944701
RPL26L1,PLEKHA5,Q9UNX3,Q9HAU0,0.869745075702667,0.941242039203643,0.7696871161460871,0.754168689250946
RAB9A,PLEKHA5,P51151,Q9HAU0,0.869745075702667,0.941242039203643,0.20488734543323503,0.6649343371391291
SFPQ,PLEKHA5,P23246,Q9HAU0,0.869745075702667,0.941242039203643,0.93021935224533,0.9414206743240351
RPL4,PLEKHA5,P36578,Q9HAU0,0.869745075702667,0.941242039203643,0.912571728229522,0.9468111991882321
MCM7,PLEKHA5,P33993,Q9HAU0,0.869745075702667,0.941242039203643,0.36773040890693603,0.715516686439514
YWHAG,PLEKHA5,P61981,Q9HAU0,0.869745075702667,0.941242039203643,0.49775823950767506,0.869952976703643
RPL6,PLEKHA5,Q02878,Q9HAU0,0.869745075702667,0.941242039203643,0.83153086900711,0.8054785728454591
LMNB1,PLEKHA5,P20700,Q9HAU0,0.869745075702667,0.941242039203643,0.784134209156036,0.914153218269348
