,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,IGF2BP2,Q9Y6M1,P51398,29395067,DAP3,0.7169618606567381,0.877931773662567,0.466707170009613,0.442288011312484,0.6413795351982117
1,IGF2BP2,Q9Y6M1,Q3MHD2,29395067,LSM12,0.7169618606567381,0.877931773662567,0.170231625437736,0.389593958854675,0.6333063840866089
2,IGF2BP2,Q9Y6M1,Q9NRA8,29395067,EIF4ENIF1,0.7169618606567381,0.877931773662567,0.918528199195861,0.8912989497184751,0.5737439393997192
3,IGF2BP2,Q9Y6M1,Q99873,29395067,PRMT1,0.7169618606567381,0.877931773662567,0.087812408804893,0.236959978938102,0.7831239104270935
4,IGF2BP2,Q9Y6M1,P11940,29395067,PABPC1,0.7169618606567381,0.877931773662567,0.846898555755615,0.945850253105163,0.7556116580963135
5,IGF2BP2,Q9Y6M1,Q9BYJ9,29395067,YTHDF1,0.7169618606567381,0.877931773662567,0.8564839363098141,0.6895709037780761,0.5528463125228882
6,IGF2BP2,Q9Y6M1,Q96Q15,29395067,SMG1,0.7169618606567381,0.877931773662567,0.163601413369178,0.310367941856384,0.3315313458442688
7,IGF2BP2,Q9Y6M1,P22626,29395067,HNRNPA2B1,0.7169618606567381,0.877931773662567,0.9508429765701292,0.9583996534347532,0.8285812139511108
8,IGF2BP2,Q9Y6M1,Q92900,29395067,UPF1,0.7169618606567381,0.877931773662567,0.747238278388977,0.7646963596343991,0.8340275883674622
9,IGF2BP2,Q9Y6M1,Q14694,29395067,USP10,0.7169618606567381,0.877931773662567,0.7744724154472351,0.946593940258026,0.6183701753616333
10,IGF2BP2,Q9Y6M1,P51991,29395067,HNRNPA3,0.7169618606567381,0.877931773662567,0.950252830982208,0.945144057273864,0.7833400964736938
11,IGF2BP2,Q9Y6M1,Q92879,29395067,CELF1,0.7169618606567381,0.877931773662567,0.289840072393417,0.365710258483886,0.8426027297973633
12,IGF2BP2,Q9Y6M1,Q9BX40,29395067,LSM14B,0.7169618606567381,0.877931773662567,0.9151313900947572,0.9035645723342892,0.7528315782546997
13,IGF2BP2,Q9Y6M1,Q15717,29395067,ELAVL1,0.7169618606567381,0.877931773662567,0.7135714888572691,0.9461595416069032,0.8167980909347534
14,IGF2BP2,Q9Y6M1,O60783,29395067,MRPS14,0.7169618606567381,0.877931773662567,0.059987336397171,0.273433804512023,0.4711557924747467
15,IGF2BP2,Q9Y6M1,Q15032,29395067,R3HDM1,0.7169618606567381,0.877931773662567,0.9339957237243652,0.8198994398117061,0.4961693286895752
16,IGF2BP2,Q9Y6M1,Q8NCA5,29395067,FAM98A,0.7169618606567381,0.877931773662567,0.896835446357727,0.863439083099365,0.7222212553024292
17,IGF2BP2,Q9Y6M1,Q8IWR0,29395067,ZC3H7A,0.7169618606567381,0.877931773662567,0.065534330904483,0.528411209583282,0.6950556635856628
18,IGF2BP2,Q9Y6M1,Q13242,29395067,SRSF9,0.7169618606567381,0.877931773662567,0.8649741411209101,0.948163628578186,0.8161352872848511
19,IGF2BP2,Q9Y6M1,O60333,29395067,KIF1B,0.7169618606567381,0.877931773662567,0.24660500884056,0.7511826753616331,0.3991847634315491
20,IGF2BP2,Q9Y6M1,Q9UKV8,29395067,AGO2,0.7169618606567381,0.877931773662567,0.125312715768814,0.8902974128723141,0.5681489706039429
21,IGF2BP2,Q9Y6M1,Q12849,29395067,GRSF1,0.7169618606567381,0.877931773662567,0.371622174978256,0.321883380413055,0.7028225660324097
22,IGF2BP2,Q9Y6M1,Q96T21,29395067,SECISBP2,0.7169618606567381,0.877931773662567,0.086988382041454,0.257862985134124,0.5141133069992065
23,IGF2BP2,Q9Y6M1,Q9Y3D9,29395067,MRPS23,0.7169618606567381,0.877931773662567,0.068621695041656,0.090401448309421,0.6273455619812012
24,IGF2BP2,Q9Y6M1,Q9NUD5,29395067,ZCCHC3,0.7169618606567381,0.877931773662567,0.111842513084411,0.501195549964904,0.8472563028335571
25,IGF2BP2,Q9Y6M1,Q8IZH2,29395067,XRN1,0.7169618606567381,0.877931773662567,0.385329663753509,0.270378917455673,0.6127739548683167
26,IGF2BP2,Q9Y6M1,Q5TC82,29395067,RC3H1,0.7169618606567381,0.877931773662567,0.473352253437042,0.488165706396102,0.5918322205543518
27,IGF2BP2,Q9Y6M1,Q9BUJ2,29395067,HNRNPUL1,0.7169618606567381,0.877931773662567,0.8471181988716121,0.761973857879638,0.5367761254310608
28,IGF2BP2,Q9Y6M1,P62995,29395067,TRA2B,0.7169618606567381,0.877931773662567,0.9048864245414732,0.9517022371292112,0.8084222674369812
29,IGF2BP2,Q9Y6M1,Q9Y520,29395067,PRRC2C,0.7169618606567381,0.877931773662567,0.9226905703544612,0.859529852867126,0.5985854268074036
30,IGF2BP2,Q9Y6M1,Q14671,29395067,PUM1,0.7169618606567381,0.877931773662567,0.937265396118164,0.923454403877258,0.8972237706184387
31,IGF2BP2,Q9Y6M1,O00178,29395067,GTPBP1,0.7169618606567381,0.877931773662567,0.713772177696228,0.446460396051406,0.4954253137111664
32,IGF2BP2,Q9Y6M1,Q9NUL3,29395067,STAU2,0.7169618606567381,0.877931773662567,0.8798784017562861,0.8653655052185051,0.8559691309928894
33,IGF2BP2,Q9Y6M1,Q53GS7,29395067,GLE1,0.7169618606567381,0.877931773662567,0.050243891775608,0.251061677932739,0.6489883661270142
34,IGF2BP2,Q9Y6M1,Q5T6F2,29395067,UBAP2,0.7169618606567381,0.877931773662567,0.912895202636718,0.7844543457031251,0.5374617576599121
35,IGF2BP2,Q9Y6M1,P26196,29395067,DDX6,0.7169618606567381,0.877931773662567,0.7578027248382561,0.9421802759170532,0.5585997104644775
36,IGF2BP2,Q9Y6M1,Q92665,29395067,MRPS31,0.7169618606567381,0.877931773662567,0.376237899065017,0.6828134059906,0.7574464082717896
37,IGF2BP2,Q9Y6M1,Q9BYN8,29395067,MRPS26,0.7169618606567381,0.877931773662567,0.054418038576841,0.191674038767814,0.6302576065063477
38,IGF2BP2,Q9Y6M1,Q15365,29395067,PCBP1,0.7169618606567381,0.877931773662567,0.558648109436035,0.693042695522308,0.7609893083572388
39,IGF2BP2,Q9Y6M1,Q9UL18,29395067,AGO1,0.7169618606567381,0.877931773662567,0.061913449317216,0.142578333616256,0.6266459226608276
40,IGF2BP2,Q9Y6M1,Q96I24,29395067,FUBP3,0.7169618606567381,0.877931773662567,0.927373111248016,0.896067440509796,0.7570632696151733
41,IGF2BP2,Q9Y6M1,Q9Y5A9,29395067,YTHDF2,0.7169618606567381,0.877931773662567,0.942174553871154,0.9018615484237672,0.7711280584335327
42,IGF2BP2,Q9Y6M1,Q8IWZ3,29395067,ANKHD1,0.7169618606567381,0.877931773662567,0.6686410307884211,0.484839290380477,0.6125070452690125
