,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,ALK,Q9UM73,Q8TF72,34273398,SHROOM3,0.409000813961029,0.224089473485946,0.8623777627944941,0.636990547180175,0.4376741349697113
1,ALK,Q9UM73,Q9HBM0,34273398,VEZT,0.409000813961029,0.224089473485946,0.055294245481491,0.157996088266372,0.3204724192619324
2,ALK,Q9UM73,Q8N5K1,34273398,CISD2,0.409000813961029,0.224089473485946,0.05434913188219,0.157862707972526,0.369805634021759
3,ALK,Q9UM73,P11387,34273398,TOP1,0.409000813961029,0.224089473485946,0.7018611431121821,0.8555550575256341,0.3698645234107971
4,ALK,Q9UM73,Q14739,34273398,LBR,0.409000813961029,0.224089473485946,0.418950408697128,0.334378689527511,0.4953555464744568
5,ALK,Q9UM73,Q9BZF9,34273398,UACA,0.409000813961029,0.224089473485946,0.053842343389987,0.358881533145904,0.4179811477661133
6,ALK,Q9UM73,P00966,34273398,ASS1,0.409000813961029,0.224089473485946,0.478999942541122,0.5559033155441281,0.3995623588562011
7,ALK,Q9UM73,P62280,34273398,RPS11,0.409000813961029,0.224089473485946,0.712270617485046,0.8977368474006651,0.2781319618225097
8,ALK,Q9UM73,Q9H6L5,34273398,RETREG1,0.409000813961029,0.224089473485946,0.172442182898521,0.130276381969451,0.2593161463737488
9,ALK,Q9UM73,O95819,34273398,MAP4K4,0.409000813961029,0.224089473485946,0.903744518756866,0.948223769664764,0.4347730576992035
10,ALK,Q9UM73,Q9HCU5,34273398,PREB,0.409000813961029,0.224089473485946,0.045366935431957,0.06296818703413,0.453131765127182
11,ALK,Q9UM73,Q5JSH3,34273398,WDR44,0.409000813961029,0.224089473485946,0.8369809985160821,0.876807570457458,0.4386328756809234
12,ALK,Q9UM73,Q9BSJ8,34273398,ESYT1,0.409000813961029,0.224089473485946,0.6062819361686701,0.431197941303253,0.493336021900177
13,ALK,Q9UM73,P04843,34273398,RPN1,0.409000813961029,0.224089473485946,0.250943541526794,0.318942010402679,0.4949637055397033
14,ALK,Q9UM73,P46109,34273398,CRKL,0.409000813961029,0.224089473485946,0.571638584136962,0.805967926979064,0.3493273854255676
15,ALK,Q9UM73,Q9ULC8,34273398,ZDHHC8,0.409000813961029,0.224089473485946,0.7543374300003051,0.517875015735626,0.2822917997837066
16,ALK,Q9UM73,Q68DQ2,34273398,CRYBG3,0.409000813961029,0.224089473485946,0.450598239898681,0.6399484872817991,0.4910267889499664
17,ALK,Q9UM73,P12236,34273398,SLC25A6,0.409000813961029,0.224089473485946,0.561028659343719,0.5380701422691341,0.3717191219329834
18,ALK,Q9UM73,O15446,34273398,POLR1G,0.409000813961029,0.224089473485946,0.8885273933410641,0.917405486106872,0.4241156578063965
19,ALK,Q9UM73,Q8WXH0,34273398,SYNE2,0.409000813961029,0.224089473485946,0.141695216298103,0.612692236900329,0.3877319693565368
20,ALK,Q9UM73,P50914,34273398,RPL14,0.409000813961029,0.224089473485946,0.060722433030605,0.307815492153167,0.3034268021583557
21,ALK,Q9UM73,Q9BVA1,34273398,TUBB2B,0.409000813961029,0.224089473485946,0.6558786034584041,0.8701100349426271,0.3111331760883331
22,ALK,Q9UM73,P06733,34273398,ENO1,0.409000813961029,0.224089473485946,0.605673968791961,0.794546842575073,0.3769332766532898
23,ALK,Q9UM73,Q9Y385,34273398,UBE2J1,0.409000813961029,0.224089473485946,0.502227902412414,0.7425273060798641,0.3531871140003204
24,ALK,Q9UM73,Q15418,34273398,RPS6KA1,0.409000813961029,0.224089473485946,0.464066803455352,0.8447329401969911,0.3540635108947754
25,ALK,Q9UM73,O60841,34273398,EIF5B,0.409000813961029,0.224089473485946,0.706597387790679,0.744186878204345,0.3256468772888183
26,ALK,Q9UM73,O43609,34273398,SPRY1,0.409000813961029,0.224089473485946,0.442608058452606,0.341345250606536,0.4122744500637054
27,ALK,Q9UM73,Q92575,34273398,UBXN4,0.409000813961029,0.224089473485946,0.372203946113586,0.7866442799568171,0.4422529637813568
28,ALK,Q9UM73,P42677,34273398,RPS27,0.409000813961029,0.224089473485946,0.217304110527038,0.358985066413879,0.3137159943580627
29,ALK,Q9UM73,Q8N0X7,34273398,SPART,0.409000813961029,0.224089473485946,0.100604370236396,0.40608325600624,0.391085535287857
30,ALK,Q9UM73,P62424,34273398,RPL7A,0.409000813961029,0.224089473485946,0.327555358409881,0.816807150840759,0.3663094043731689
31,ALK,Q9UM73,Q9ULI4,34273398,KIF26A,0.409000813961029,0.224089473485946,0.405490785837173,0.217643216252326,0.2893691658973694
32,ALK,Q9UM73,P45880,34273398,VDAC2,0.409000813961029,0.224089473485946,0.565926551818847,0.825998961925506,0.4015471041202545
33,ALK,Q9UM73,Q9P0L0,34273398,VAPA,0.409000813961029,0.224089473485946,0.50729352235794,0.8786071538925171,0.3067396283149719
34,ALK,Q9UM73,O95197,34273398,RTN3,0.409000813961029,0.224089473485946,0.387663185596466,0.5757285952568051,0.5023597478866577
35,ALK,Q9UM73,P20020,34273398,ATP2B1,0.409000813961029,0.224089473485946,0.242712810635566,0.471894919872283,0.4049859642982483
36,ALK,Q9UM73,P50990,34273398,CCT8,0.409000813961029,0.224089473485946,0.5758818387985231,0.267839610576629,0.3636098802089691
37,ALK,Q9UM73,Q96GA3,34273398,LTV1,0.409000813961029,0.224089473485946,0.86389935016632,0.871933758258819,0.3605528473854065
38,ALK,Q9UM73,Q9NVP1,34273398,DDX18,0.409000813961029,0.224089473485946,0.8384298086166381,0.623128831386566,0.3575119078159332
39,ALK,Q9UM73,Q13177,34273398,PAK2,0.409000813961029,0.224089473485946,0.770987212657928,0.8510586023330681,0.3847792744636535
40,ALK,Q9UM73,Q9HCM4,34273398,EPB41L5,0.409000813961029,0.224089473485946,0.20411467552185,0.8569900393486021,0.4651561379432678
41,ALK,Q9UM73,Q8N511,34273398,TMEM199,0.409000813961029,0.224089473485946,0.065182045102119,0.271614104509353,0.3755974173545837
42,ALK,Q9UM73,Q12931,34273398,TRAP1,0.409000813961029,0.224089473485946,0.225406378507614,0.327450484037399,0.4409622251987457
43,ALK,Q9UM73,P23284,34273398,PPIB,0.409000813961029,0.224089473485946,0.6474031805992121,0.8042466044425961,0.337586760520935
44,ALK,Q9UM73,O43426,34273398,SYNJ1,0.409000813961029,0.224089473485946,0.792448878288269,0.6542500257492061,0.4788082242012024
45,ALK,Q9UM73,Q9ULS5,34273398,TMCC3,0.409000813961029,0.224089473485946,0.491840422153472,0.7014279961585991,0.2210572212934494
46,ALK,Q9UM73,Q9BRU9,34273398,UTP23,0.409000813961029,0.224089473485946,0.642081260681152,0.850852012634277,0.4496305584907532
47,ALK,Q9UM73,O95696,34273398,BRD1,0.409000813961029,0.224089473485946,0.877662181854248,0.8885674476623531,0.2508447766304016
48,ALK,Q9UM73,Q15019,34273398,SEPTIN2,0.409000813961029,0.224089473485946,0.41475161910057,0.93663465976715,0.351747065782547
49,ALK,Q9UM73,Q9P0V3,34273398,SH3BP4,0.409000813961029,0.224089473485946,0.090789571404457,0.310819417238235,0.3508985042572021
50,ALK,Q9UM73,Q01974,34273398,ROR2,0.409000813961029,0.224089473485946,0.6411607265472411,0.474065363407135,0.4291910231113434
51,ALK,Q9UM73,Q9NQC3,34273398,RTN4,0.409000813961029,0.224089473485946,0.601467251777648,0.507771134376525,0.4610776007175445
52,ALK,Q9UM73,Q6PCB5,34273398,RSBN1L,0.409000813961029,0.224089473485946,0.202944234013557,0.337278127670288,0.3821561932563782
53,ALK,Q9UM73,P19634,34273398,SLC9A1,0.409000813961029,0.224089473485946,0.305848032236099,0.245198726654052,0.4256036281585693
54,ALK,Q9UM73,O14641,34273398,DVL2,0.409000813961029,0.224089473485946,0.894402682781219,0.9272572398185732,0.5038599967956543
55,ALK,Q9UM73,Q92574,34273398,TSC1,0.409000813961029,0.224089473485946,0.795498430728912,0.779256761074066,0.4045566916465759
56,ALK,Q9UM73,Q9BT88,34273398,SYT11,0.409000813961029,0.224089473485946,0.062382914125919,0.088192947208881,0.3443455398082733
57,ALK,Q9UM73,Q9UBH6,34273398,XPR1,0.409000813961029,0.224089473485946,0.06243210285902,0.053097873926162,0.4897576868534088
58,ALK,Q9UM73,O00161,34273398,SNAP23,0.409000813961029,0.224089473485946,0.884714782238006,0.952365219593048,0.170393630862236
59,ALK,Q9UM73,Q9NZ43,34273398,USE1,0.409000813961029,0.224089473485946,0.128068909049034,0.434392601251602,0.3072914481163025
60,ALK,Q9UM73,Q7Z2K8,34273398,GPRIN1,0.409000813961029,0.224089473485946,0.92313402891159,0.5316421985626221,0.47463458776474
61,ALK,Q9UM73,Q99614,34273398,TTC1,0.409000813961029,0.224089473485946,0.8294712305068971,0.7550836801528931,0.3788517415523529
62,ALK,Q9UM73,Q8IZ21,34273398,PHACTR4,0.409000813961029,0.224089473485946,0.8080450296401971,0.925937473773956,0.4373016357421875
63,ALK,Q9UM73,Q12959,34273398,DLG1,0.409000813961029,0.224089473485946,0.7253642082214351,0.9143344163894652,0.4996839165687561
64,ALK,Q9UM73,Q9H0A0,34273398,NAT10,0.409000813961029,0.224089473485946,0.152111068367958,0.185813769698143,0.4370267391204834
65,ALK,Q9UM73,Q96NE9,34273398,FRMD6,0.409000813961029,0.224089473485946,0.548514068126678,0.596393704414367,0.313323825597763
66,ALK,Q9UM73,Q8IVL1,34273398,NAV2,0.409000813961029,0.224089473485946,0.944604575634002,0.8406882286071771,0.360634833574295
67,ALK,Q9UM73,P60866,34273398,RPS20,0.409000813961029,0.224089473485946,0.391802906990051,0.8316246867179871,0.3053199648857116
68,ALK,Q9UM73,P50851,34273398,LRBA,0.409000813961029,0.224089473485946,0.148845881223678,0.267237186431884,0.4985219836235046
69,ALK,Q9UM73,P21359,34273398,NF1,0.409000813961029,0.224089473485946,0.079944871366024,0.489068180322647,0.4444324374198913
70,ALK,Q9UM73,Q15084,34273398,PDIA6,0.409000813961029,0.224089473485946,0.440974861383438,0.6057357192039491,0.3698765337467193
71,ALK,Q9UM73,O60763,34273398,USO1,0.409000813961029,0.224089473485946,0.16841085255146,0.452100604772567,0.4722941815853119
72,ALK,Q9UM73,Q8IWB9,34273398,TEX2,0.409000813961029,0.224089473485946,0.8181554079055781,0.7375581860542291,0.4694690108299255
73,ALK,Q9UM73,P00533,34273398,EGFR,0.409000813961029,0.224089473485946,0.7521615028381341,0.8662506341934201,0.3526679575443268
74,ALK,Q9UM73,Q96J84,34273398,KIRREL1,0.409000813961029,0.224089473485946,0.732739686965942,0.8156822919845581,0.411116361618042
75,ALK,Q9UM73,P42684,34273398,ABL2,0.409000813961029,0.224089473485946,0.8519257307052611,0.8717740178108211,0.3834163844585418
76,ALK,Q9UM73,O60716,34273398,CTNND1,0.409000813961029,0.224089473485946,0.869763553142547,0.952052235603332,0.4024878144264221
77,ALK,Q9UM73,Q9UHD8,34273398,SEPTIN9,0.409000813961029,0.224089473485946,0.7736076712608331,0.906700313091278,0.3621076941490173
78,ALK,Q9UM73,Q8TEV9,34273398,SMCR8,0.409000813961029,0.224089473485946,0.370648860931396,0.711305499076843,0.4984401762485504
79,ALK,Q9UM73,Q03113,34273398,GNA12,0.409000813961029,0.224089473485946,0.050604932010173,0.61556327342987,0.2393530309200287
80,ALK,Q9UM73,P57740,34273398,NUP107,0.409000813961029,0.224089473485946,0.235922053456306,0.630455732345581,0.4505399167537689
81,ALK,Q9UM73,Q13136,34273398,PPFIA1,0.409000813961029,0.224089473485946,0.7730891108512871,0.94848883152008,0.2956215441226959
82,ALK,Q9UM73,Q9Y4L1,34273398,HYOU1,0.409000813961029,0.224089473485946,0.066707417368888,0.7952891588211061,0.4337259829044342
83,ALK,Q9UM73,P51572,34273398,BCAP31,0.409000813961029,0.224089473485946,0.051188938319683,0.141313895583152,0.4493600726127624
84,ALK,Q9UM73,Q14160,34273398,SCRIB,0.409000813961029,0.224089473485946,0.7628489136695861,0.835612595081329,0.4969963431358337
85,ALK,Q9UM73,Q5SNT2,34273398,TMEM201,0.409000813961029,0.224089473485946,0.309261441230773,0.224685624241828,0.4189065396785736
86,ALK,Q9UM73,Q9H2M9,34273398,RAB3GAP2,0.409000813961029,0.224089473485946,0.073174230754375,0.122847810387611,0.4266795516014099
87,ALK,Q9UM73,Q07157,34273398,TJP1,0.409000813961029,0.224089473485946,0.9402920603752132,0.915646255016326,0.4520106911659241
88,ALK,Q9UM73,Q6P995,34273398,FAM171B,0.409000813961029,0.224089473485946,0.070446528494358,0.259375929832458,0.524039626121521
89,ALK,Q9UM73,Q86UP2,34273398,KTN1,0.409000813961029,0.224089473485946,0.2543286383152,0.7076205611228941,0.3953751921653747
90,ALK,Q9UM73,P61204,34273398,ARF3,0.409000813961029,0.224089473485946,0.305057823657989,0.194658353924751,0.090460754930973
91,ALK,Q9UM73,O00232,34273398,PSMD12,0.409000813961029,0.224089473485946,0.119438365101814,0.5424011945724481,0.4156569540500641
92,ALK,Q9UM73,Q08378,34273398,GOLGA3,0.409000813961029,0.224089473485946,0.6427317261695861,0.926845371723175,0.5025267004966736
93,ALK,Q9UM73,P14625,34273398,HSP90B1,0.409000813961029,0.224089473485946,0.84064757823944,0.8777219653129571,0.2953070998191833
94,ALK,Q9UM73,Q5JTV8,34273398,TOR1AIP1,0.409000813961029,0.224089473485946,0.8370233774185181,0.924859046936035,0.5235551595687866
95,ALK,Q9UM73,P04920,34273398,SLC4A2,0.409000813961029,0.224089473485946,0.189055562019348,0.129087001085281,0.4535094201564789
96,ALK,Q9UM73,Q12923,34273398,PTPN13,0.409000813961029,0.224089473485946,0.5636107325553891,0.833070933818817,0.548235297203064
97,ALK,Q9UM73,O60858,34273398,TRIM13,0.409000813961029,0.224089473485946,0.049416407942771,0.187857955694198,0.4230550229549408
98,ALK,Q9UM73,Q8TBA6,34273398,GOLGA5,0.409000813961029,0.224089473485946,0.8230379223823541,0.9084925651550292,0.5315008759498596
99,ALK,Q9UM73,Q8IZP0,34273398,ABI1,0.409000813961029,0.224089473485946,0.8879209756851191,0.941683113574981,0.4073590636253357
100,ALK,Q9UM73,Q9Y6W5,34273398,WASF2,0.409000813961029,0.224089473485946,0.7569147944450371,0.9144644737243652,0.4466976225376129
101,ALK,Q9UM73,P49757,34273398,NUMB,0.409000813961029,0.224089473485946,0.647538244724273,0.707066655158996,0.4459392130374908
102,ALK,Q9UM73,A2A2Y4,34273398,FRMD3,0.409000813961029,0.224089473485946,0.051324237138032,0.08535311371088,0.3393531441688537
103,ALK,Q9UM73,Q96HY6,34273398,DDRGK1,0.409000813961029,0.224089473485946,0.5970907211303711,0.80882728099823,0.4670164585113525
104,ALK,Q9UM73,Q13813,34273398,SPTAN1,0.409000813961029,0.224089473485946,0.8188093304634091,0.8384706377983091,0.4253780245780945
105,ALK,Q9UM73,Q9UBF2,34273398,COPG2,0.409000813961029,0.224089473485946,0.055635415017604,0.058763079345226,0.4092303216457367
106,ALK,Q9UM73,Q86UE4,34273398,MTDH,0.409000813961029,0.224089473485946,0.8910396695137021,0.916218161582946,0.4433712959289551
107,ALK,Q9UM73,Q9H5Y7,34273398,SLITRK6,0.409000813961029,0.224089473485946,0.04943399503827,0.150407940149307,0.3215100169181824
108,ALK,Q9UM73,Q86UX7,34273398,FERMT3,0.409000813961029,0.224089473485946,0.185194760560989,0.5644153356552121,0.3932445645332336
109,ALK,Q9UM73,P13667,34273398,PDIA4,0.409000813961029,0.224089473485946,0.7911778688430781,0.959105491638183,0.5182592868804932
110,ALK,Q9UM73,Q9Y6N7,34273398,ROBO1,0.409000813961029,0.224089473485946,0.5476497411727901,0.318856656551361,0.3656692206859588
111,ALK,Q9UM73,Q9Y250,34273398,LZTS1,0.409000813961029,0.224089473485946,0.8558181524276731,0.904627323150634,0.4231038987636566
112,ALK,Q9UM73,O00213,34273398,APBB1,0.409000813961029,0.224089473485946,0.263429999351501,0.447896718978881,0.4267779886722564
113,ALK,Q9UM73,Q9UGP8,34273398,SEC63,0.409000813961029,0.224089473485946,0.328695803880691,0.6818805932998651,0.5268743634223938
114,ALK,Q9UM73,Q96AG4,34273398,LRRC59,0.409000813961029,0.224089473485946,0.145397394895553,0.554470419883728,0.4134231209754944
115,ALK,Q9UM73,P27824,34273398,CANX,0.409000813961029,0.224089473485946,0.509299278259277,0.854438960552215,0.4550657272338867
116,ALK,Q9UM73,Q9UEY8,34273398,ADD3,0.409000813961029,0.224089473485946,0.72104388475418,0.766959011554718,0.4831556379795074
117,ALK,Q9UM73,Q99497,34273398,PARK7,0.409000813961029,0.224089473485946,0.337573021650314,0.255039423704147,0.3972082734107971
118,ALK,Q9UM73,Q13009,34273398,TIAM1,0.409000813961029,0.224089473485946,0.786470830440521,0.7394998073577881,0.3958723545074463
119,ALK,Q9UM73,P16615,34273398,ATP2A2,0.409000813961029,0.224089473485946,0.327116131782531,0.22946360707283,0.5177766680717468
120,ALK,Q9UM73,P27448,34273398,MARK3,0.409000813961029,0.224089473485946,0.7967392206192011,0.928407669067382,0.5186108350753784
