,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
20,MOB3C,RPP30,Q70IA8,P78346,0.058517724275588004,0.409743964672088,0.124128401279449,0.17874689400196
27,MOB3C,RPP30,Q70IA8,P78346,0.058517724275588004,0.409743964672088,0.124128401279449,0.17874689400196
56,MOB3C,RPP14,Q70IA8,O95059,0.058517724275588004,0.409743964672088,0.072389289736747,0.24506247043609602
63,MOB3C,POP4,Q70IA8,O95707,0.058517724275588004,0.409743964672088,0.7851570844650261,0.834824085235595
75,MOB3C,POP1,Q70IA8,Q99575,0.058517724275588004,0.409743964672088,0.060665201395750004,0.6077162027359001
82,MOB3C,RAB35,Q70IA8,Q15286,0.058517724275588004,0.409743964672088,0.625965416431427,0.6447240114212031
84,MOB3C,C18orf21,Q70IA8,Q32NC0,0.058517724275588004,0.409743964672088,0.625057339668273,0.8252713084220881
89,MOB3C,RPP40,Q70IA8,O75818,0.058517724275588004,0.409743964672088,0.07683710753917601,0.064347565174102
98,MOB3C,CAV1,Q70IA8,Q03135,0.058517724275588004,0.409743964672088,0.22389444708824102,0.285907864570617
103,MOB3C,POP4,Q70IA8,O95707,0.058517724275588004,0.409743964672088,0.7851570844650261,0.834824085235595
105,MOB3C,POP1,Q70IA8,Q99575,0.058517724275588004,0.409743964672088,0.060665201395750004,0.6077162027359001
109,MOB3C,SLC4A7,Q70IA8,Q9Y6M7,0.058517724275588004,0.409743964672088,0.626138925552368,0.275566846132278
112,MOB3C,ERCC5,Q70IA8,P28715,0.058517724275588004,0.409743964672088,0.708804011344909,0.9001636505126951
125,MOB3C,DOCK7,Q70IA8,Q96N67,0.058517724275588004,0.409743964672088,0.694895446300506,0.79361480474472
128,MOB3C,SLC4A7,Q70IA8,Q9Y6M7,0.058517724275588004,0.409743964672088,0.626138925552368,0.275566846132278
134,MOB3C,COIL,Q70IA8,P38432,0.058517724275588004,0.409743964672088,0.942740082740783,0.876527309417724
153,MOB3C,DOCK7,Q70IA8,Q96N67,0.058517724275588004,0.409743964672088,0.694895446300506,0.79361480474472
167,MOB3C,NOP53,Q70IA8,Q9NZM5,0.058517724275588004,0.409743964672088,0.23161613941192602,0.794180929660797
173,MOB3C,STON2,Q70IA8,Q8WXE9,0.058517724275588004,0.409743964672088,0.054024927318096,0.20460872352123202
174,MOB3C,FARP1,Q70IA8,Q9Y4F1,0.058517724275588004,0.409743964672088,0.686863541603088,0.761362671852111
176,MOB3C,ROBO1,Q70IA8,Q9Y6N7,0.058517724275588004,0.409743964672088,0.5476497411727901,0.31885665655136103
179,MOB3C,PTPN14,Q70IA8,Q15678,0.058517724275588004,0.409743964672088,0.7634588479995721,0.834039330482482
182,MOB3C,MAP4K4,Q70IA8,O95819,0.058517724275588004,0.409743964672088,0.9037445187568661,0.9482237696647641
183,MOB3C,ERCC5,Q70IA8,P28715,0.058517724275588004,0.409743964672088,0.708804011344909,0.9001636505126951
198,MOB3C,SPECC1,Q70IA8,Q5M775,0.058517724275588004,0.409743964672088,0.829383552074432,0.8977634310722351
