Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
ACTG1,HDAC8,P63261,Q9BY41,0.045887291431427,0.07385682314634301,0.484309136867523,0.554189801216125
AHCY,HDAC8,P23526,Q9BY41,0.045887291431427,0.07385682314634301,0.22080738842487302,0.19544091820716802
ALDOA,HDAC8,P04075,Q9BY41,0.045887291431427,0.07385682314634301,0.44249954819679205,0.48221009969711304
ANKRD36B,HDAC8,Q8N2N9,Q9BY41,0.045887291431427,0.07385682314634301,0.050781451165676006,0.302143514156341
ATG3,HDAC8,Q9NT62,Q9BY41,0.045887291431427,0.07385682314634301,0.051620054990053,0.700250446796417
BCL9L,HDAC8,Q86UU0,Q9BY41,0.045887291431427,0.07385682314634301,0.945184350013732,0.640317142009735
BRD8,HDAC8,Q9H0E9,Q9BY41,0.045887291431427,0.07385682314634301,0.050343304872512006,0.5935155153274531
CA5B,HDAC8,Q9Y2D0,Q9BY41,0.045887291431427,0.07385682314634301,0.10177004337310701,0.033672824501991
CACYBP,HDAC8,Q9HB71,Q9BY41,0.045887291431427,0.07385682314634301,0.6761005520820611,0.8408962488174431
CCT6A,HDAC8,P40227,Q9BY41,0.045887291431427,0.07385682314634301,0.10861972719430901,0.28980877995491
CCT8,HDAC8,P50990,Q9BY41,0.045887291431427,0.07385682314634301,0.5758818387985231,0.26783961057662903
CDC37,HDAC8,Q16543,Q9BY41,0.045887291431427,0.07385682314634301,0.8181125521659851,0.8317760229110711
CSRP1,HDAC8,P21291,Q9BY41,0.045887291431427,0.07385682314634301,0.6945806741714471,0.868321061134338
CTTN,HDAC8,Q14247,Q9BY41,0.045887291431427,0.07385682314634301,0.8998081088066101,0.946021676063537
CYFIP1,HDAC8,Q7L576,Q9BY41,0.045887291431427,0.07385682314634301,0.112160339951515,0.359585225582122
DCD,HDAC8,P81605,Q9BY41,0.045887291431427,0.07385682314634301,0.051167272031307005,0.399990797042846
EEF1G,HDAC8,P26641,Q9BY41,0.045887291431427,0.07385682314634301,0.075974904000759,0.45326575636863703
EEF2,HDAC8,P13639,Q9BY41,0.045887291431427,0.07385682314634301,0.6126466393470761,0.7202965021133421
EIF4B,HDAC8,P23588,Q9BY41,0.045887291431427,0.07385682314634301,0.9116272926330561,0.8763440251350401
EIF5A2,HDAC8,Q9GZV4,Q9BY41,0.045887291431427,0.07385682314634301,0.21165080368518802,0.334972769021987
ENO1,HDAC8,P06733,Q9BY41,0.045887291431427,0.07385682314634301,0.605673968791961,0.794546842575073
EP300,HDAC8,Q09472,Q9BY41,0.045887291431427,0.07385682314634301,0.9226801991462701,0.7266434431076051
FASN,HDAC8,P49327,Q9BY41,0.045887291431427,0.07385682314634301,0.535791456699371,0.47226962447166404
FLNA,HDAC8,P21333,Q9BY41,0.045887291431427,0.07385682314634301,0.748573184013366,0.8762679100036621
FOSL2,HDAC8,P15408,Q9BY41,0.045887291431427,0.07385682314634301,0.8325675725936891,0.925797462463378
FUBP1,HDAC8,Q96AE4,Q9BY41,0.045887291431427,0.07385682314634301,0.9466724395751951,0.7661437392234801
HMGCL,HDAC8,P35914,Q9BY41,0.045887291431427,0.07385682314634301,0.07226745039224601,0.038920812308788
HNRNPA1,HDAC8,P09651,Q9BY41,0.045887291431427,0.07385682314634301,0.949794888496398,0.9450014829635621
HNRNPK,HDAC8,P61978,Q9BY41,0.045887291431427,0.07385682314634301,0.9139078855514521,0.9390789270401001
HNRNPU,HDAC8,Q00839,Q9BY41,0.045887291431427,0.07385682314634301,0.9469245076179501,0.9420068860054011
HSP90AA1,HDAC8,P07900,Q9BY41,0.045887291431427,0.07385682314634301,0.8365033864974971,0.936855137348175
HSPA1B,HDAC8,P0DMV9,Q9BY41,0.045887291431427,0.07385682314634301,0.074429459869861,0.16872975230216902
HSPA8,HDAC8,P11142,Q9BY41,0.045887291431427,0.07385682314634301,0.8378546833992001,0.9269744753837581
HYPK,HDAC8,Q9NX55,Q9BY41,0.045887291431427,0.07385682314634301,0.29772835969924905,0.57575786113739
ILK,HDAC8,Q13418,Q9BY41,0.045887291431427,0.07385682314634301,0.065125085413455,0.27584347128868103
ING4,HDAC8,Q9UNL4,Q9BY41,0.045887291431427,0.07385682314634301,0.090061098337173,0.46157631278038
JADE2,HDAC8,Q9NQC1,Q9BY41,0.045887291431427,0.07385682314634301,0.132650896906852,0.270817935466766
JADE3,HDAC8,Q92613,Q9BY41,0.045887291431427,0.07385682314634301,0.818688511848449,0.783582270145416
KMT2B,HDAC8,Q9UMN6,Q9BY41,0.045887291431427,0.07385682314634301,0.6845542192459101,0.594275832176208
KPNA2,HDAC8,P52292,Q9BY41,0.045887291431427,0.07385682314634301,0.355177283287048,0.16665731370449002
LASP1,HDAC8,Q14847,Q9BY41,0.045887291431427,0.07385682314634301,0.8743783235549921,0.9388374090194701
