,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,TNRC6C,Q9HCJ0,Q9UM82,29395067,SPATA2,0.9321408271789552,0.615372955799102,0.523724853992462,0.582949578762054,0.6413989067077637
1,TNRC6C,Q9HCJ0,O15061,29395067,SYNM,0.9321408271789552,0.615372955799102,0.858780682086944,0.87831437587738,0.5959597826004028
2,TNRC6C,Q9HCJ0,Q9UGP4,29395067,LIMD1,0.9321408271789552,0.615372955799102,0.8812453150749201,0.84871768951416,0.5661376118659973
3,TNRC6C,Q9HCJ0,P53680,29395067,AP2S1,0.9321408271789552,0.615372955799102,0.097444757819175,0.450831800699234,0.4752947688102722
4,TNRC6C,Q9HCJ0,Q8IZD4,29395067,DCP1B,0.9321408271789552,0.615372955799102,0.706972122192382,0.6831697821617121,0.7136833071708679
5,TNRC6C,Q9HCJ0,O43318,29395067,MAP3K7,0.9321408271789552,0.615372955799102,0.779477059841156,0.459363371133804,0.5057744979858398
6,TNRC6C,Q9HCJ0,Q4KMZ1,29395067,IQCC,0.9321408271789552,0.615372955799102,0.066085167229175,0.595822632312774,0.1421145349740982
7,TNRC6C,Q9HCJ0,P15924,29395067,DSP,0.9321408271789552,0.615372955799102,0.909830927848815,0.933256030082702,0.5767791271209717
8,TNRC6C,Q9HCJ0,Q9H9A5,29395067,CNOT10,0.9321408271789552,0.615372955799102,0.048076625913381,0.130353718996047,0.6033512353897095
9,TNRC6C,Q9HCJ0,Q15643,29395067,TRIP11,0.9321408271789552,0.615372955799102,0.311014324426651,0.738289535045623,0.6115552186965942
10,TNRC6C,Q9HCJ0,O75420,29395067,GIGYF1,0.9321408271789552,0.615372955799102,0.8790502548217771,0.863427340984344,0.6682124733924866
11,TNRC6C,Q9HCJ0,Q9BVL2,29395067,NUP58,0.9321408271789552,0.615372955799102,0.5920892953872681,0.170661494135856,0.7045656442642212
12,TNRC6C,Q9HCJ0,Q6P3W7,29395067,SCYL2,0.9321408271789552,0.615372955799102,0.6688102483749391,0.728242993354797,0.7333890199661255
13,TNRC6C,Q9HCJ0,Q9UKV8,29395067,AGO2,0.9321408271789552,0.615372955799102,0.125312715768814,0.8902974128723141,0.5493202805519104
14,TNRC6C,Q9HCJ0,Q2M2Z5,29395067,KIZ,0.9321408271789552,0.615372955799102,0.817925453186035,0.832185626029968,0.4170584082603454
15,TNRC6C,Q9HCJ0,Q8N5C8,29395067,TAB3,0.9321408271789552,0.615372955799102,0.944413065910339,0.8510497808456421,0.5175420045852661
16,TNRC6C,Q9HCJ0,Q13362,29395067,PPP2R5C,0.9321408271789552,0.615372955799102,0.058604069054126,0.307426363229751,0.5282734036445618
17,TNRC6C,Q9HCJ0,Q9H3S7,29395067,PTPN23,0.9321408271789552,0.615372955799102,0.6911263465881341,0.923000633716583,0.5824558138847351
18,TNRC6C,Q9HCJ0,P56945,29395067,BCAR1,0.9321408271789552,0.615372955799102,0.8840838670730591,0.8112551569938661,0.5274695754051208
19,TNRC6C,Q9HCJ0,O95486,29395067,SEC24A,0.9321408271789552,0.615372955799102,0.64576232433319,0.5352712869644161,0.5956483483314514
20,TNRC6C,Q9HCJ0,Q15436,29395067,SEC23A,0.9321408271789552,0.615372955799102,0.108338117599487,0.186510950326919,0.5806491374969482
21,TNRC6C,Q9HCJ0,Q5T9S5,29395067,CCDC18,0.9321408271789552,0.615372955799102,0.050406239926815,0.21238374710083,0.6971166729927063
22,TNRC6C,Q9HCJ0,Q15750,29395067,TAB1,0.9321408271789552,0.615372955799102,0.7070764303207391,0.8197949528694151,0.5383792519569397
23,TNRC6C,Q9HCJ0,Q9C0C2,29395067,TNKS1BP1,0.9321408271789552,0.615372955799102,0.8767286539077751,0.7583819031715391,0.5919756889343262
24,TNRC6C,Q9HCJ0,Q53EZ4,29395067,CEP55,0.9321408271789552,0.615372955799102,0.7967752218246461,0.740389466285705,0.6599313616752625
25,TNRC6C,Q9HCJ0,O75175,29395067,CNOT3,0.9321408271789552,0.615372955799102,0.8002820014953611,0.7462113499641411,0.5305651426315308
26,TNRC6C,Q9HCJ0,A5YKK6,29395067,CNOT1,0.9321408271789552,0.615372955799102,0.167425766587257,0.152645871043205,0.6900827884674072
27,TNRC6C,Q9HCJ0,Q14106,29395067,TOB2,0.9321408271789552,0.615372955799102,0.414141833782196,0.353406816720962,0.5177325010299683
28,TNRC6C,Q9HCJ0,O94973,29395067,AP2A2,0.9321408271789552,0.615372955799102,0.048806641250848,0.05170689150691,0.6559315323829651
29,TNRC6C,Q9HCJ0,Q9UIV1,29395067,CNOT7,0.9321408271789552,0.615372955799102,0.049496985971927,0.074488848447799,0.4895984232425689
30,TNRC6C,Q9HCJ0,Q8NB25,29395067,FAM184A,0.9321408271789552,0.615372955799102,0.059820741415023,0.131934687495231,0.5415024757385254
31,TNRC6C,Q9HCJ0,Q8IUW3,29395067,SPATA2L,0.9321408271789552,0.615372955799102,0.046884190291166,0.06729420274496,0.2276626527309417
32,TNRC6C,Q9HCJ0,Q15654,29395067,TRIP6,0.9321408271789552,0.615372955799102,0.8500564694404601,0.720671236515045,0.6009376645088196
33,TNRC6C,Q9HCJ0,Q504Q3,29395067,PAN2,0.9321408271789552,0.615372955799102,0.048762954771518,0.084575772285461,0.5616625547409058
34,TNRC6C,Q9HCJ0,O14641,29395067,DVL2,0.9321408271789552,0.615372955799102,0.894402682781219,0.9272572398185732,0.7152131795883179
35,TNRC6C,Q9HCJ0,Q9NZN8,29395067,CNOT2,0.9321408271789552,0.615372955799102,0.8796504139900201,0.9464982748031612,0.5923296213150024
36,TNRC6C,Q9HCJ0,Q92734,29395067,TFG,0.9321408271789552,0.615372955799102,0.919938385486602,0.8269848823547361,0.6453772187232971
37,TNRC6C,Q9HCJ0,P52594,29395067,AGFG1,0.9321408271789552,0.615372955799102,0.8743426203727721,0.820988178253173,0.7916553020477295
38,TNRC6C,Q9HCJ0,Q9BRK4,29395067,LZTS2,0.9321408271789552,0.615372955799102,0.760938048362731,0.65320861339569,0.5406569242477417
39,TNRC6C,Q9HCJ0,Q9UHD2,29395067,TBK1,0.9321408271789552,0.615372955799102,0.257528513669967,0.688123047351837,0.6048331260681152
40,TNRC6C,Q9HCJ0,Q58A45,29395067,PAN3,0.9321408271789552,0.615372955799102,0.330154985189437,0.081479206681251,0.6258494257926941
41,TNRC6C,Q9HCJ0,Q9NZQ3,29395067,NCKIPSD,0.9321408271789552,0.615372955799102,0.306006908416748,0.140759408473968,0.5816200375556946
42,TNRC6C,Q9HCJ0,Q8TCU4,29395067,ALMS1,0.9321408271789552,0.615372955799102,0.261659920215606,0.5576434135437011,0.6293666362762451
43,TNRC6C,Q9HCJ0,Q92600,29395067,CNOT9,0.9321408271789552,0.615372955799102,0.080263473093509,0.085335381329059,0.5160263776779175
44,TNRC6C,Q9HCJ0,Q9UPQ9,29395067,TNRC6B,0.9321408271789552,0.615372955799102,0.915812849998474,0.9256454706192012,0.8123520016670227
45,TNRC6C,Q9HCJ0,O95782,29395067,AP2A1,0.9321408271789552,0.615372955799102,0.101775608956813,0.098419055342674,0.6208375096321106
46,TNRC6C,Q9HCJ0,Q7Z3B4,29395067,NUP54,0.9321408271789552,0.615372955799102,0.700649261474609,0.7247763872146601,0.5742380023002625
47,TNRC6C,Q9HCJ0,Q15437,29395067,SEC23B,0.9321408271789552,0.615372955799102,0.045444309711456,0.047496058046817,0.5617220997810364
48,TNRC6C,Q9HCJ0,O95487,29395067,SEC24B,0.9321408271789552,0.615372955799102,0.9213336706161492,0.7453871965408321,0.5969422459602356
49,TNRC6C,Q9HCJ0,Q9H9G7,29395067,AGO3,0.9321408271789552,0.615372955799102,0.072453312575817,0.351395457983016,0.5313310623168945
