,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
79605,LSM4,AGO2,Q9Y4Z0,Q9UKV8,0.09307809919118801,0.261316120624542,0.125312715768814,0.8902974128723141
79661,LSM4,ASCC2,Q9Y4Z0,Q9H1I8,0.09307809919118801,0.261316120624542,0.055656693875789004,0.41419497132301303
79760,LSM4,CD2BP2,Q9Y4Z0,O95400,0.09307809919118801,0.261316120624542,0.9287493824958801,0.8623639345169061
79768,LSM4,CDCA2,Q9Y4Z0,Q69YH5,0.09307809919118801,0.261316120624542,0.9083366394042961,0.6187341809272761
79769,LSM4,CDCA8,Q9Y4Z0,Q53HL2,0.09307809919118801,0.261316120624542,0.845072090625762,0.953853905200958
79780,LSM4,CEBPZ,Q9Y4Z0,Q03701,0.09307809919118801,0.261316120624542,0.276380896568298,0.8146425485610961
79781,LSM4,CENPC,Q9Y4Z0,Q03188,0.09307809919118801,0.261316120624542,0.879465699195861,0.964263260364532
79807,LSM4,CKAP2,Q9Y4Z0,Q8WWK9,0.09307809919118801,0.261316120624542,0.770462930202484,0.8850510716438291
79813,LSM4,CLNS1A,Q9Y4Z0,P54105,0.09307809919118801,0.261316120624542,0.8458648920059201,0.9448860287666321
79821,LSM4,COIL,Q9Y4Z0,P38432,0.09307809919118801,0.261316120624542,0.942740082740783,0.876527309417724
79877,LSM4,DDX20,Q9Y4Z0,Q9UHI6,0.09307809919118801,0.261316120624542,0.6811448335647581,0.7236361503601071
79879,LSM4,DDX23,Q9Y4Z0,Q9BUQ8,0.09307809919118801,0.261316120624542,0.7879667878150941,0.8658872842788691
79954,LSM4,EFTUD2,Q9Y4Z0,Q15029,0.09307809919118801,0.261316120624542,0.24692590534687,0.535955607891082
79980,LSM4,EIF4ENIF1,Q9Y4Z0,Q9NRA8,0.09307809919118801,0.261316120624542,0.918528199195861,0.8912989497184751
80031,LSM4,FAM120A,Q9Y4Z0,Q9NZB2,0.09307809919118801,0.261316120624542,0.8501178622245781,0.8586925268173211
80044,LSM4,FBXO38,Q9Y4Z0,Q6PIJ6,0.09307809919118801,0.261316120624542,0.5810691714286801,0.7846720814704891
80054,LSM4,FUBP3,Q9Y4Z0,Q96I24,0.09307809919118801,0.261316120624542,0.927373111248016,0.896067440509796
80070,LSM4,GEMIN4,Q9Y4Z0,P57678,0.09307809919118801,0.261316120624542,0.07834466546773901,0.058770585805177
80072,LSM4,GEMIN6,Q9Y4Z0,Q8WXD5,0.09307809919118801,0.261316120624542,0.068999387323856,0.193133637309074
80073,LSM4,GEMIN8,Q9Y4Z0,Q9NWZ8,0.09307809919118801,0.261316120624542,0.547690510749816,0.883135974407196
80185,LSM4,IGF2BP2,Q9Y4Z0,Q9Y6M1,0.09307809919118801,0.261316120624542,0.7169618606567381,0.877931773662567
80191,LSM4,INCENP,Q9Y4Z0,Q9NQS7,0.09307809919118801,0.261316120624542,0.8889630436897271,0.9631721377372741
80276,LSM4,LSM1,Q9Y4Z0,O15116,0.09307809919118801,0.261316120624542,0.060449838638305005,0.30547326803207403
80281,LSM4,LSM2,Q9Y4Z0,Q9Y333,0.09307809919118801,0.261316120624542,0.179838389158248,0.49471378326416005
80282,LSM4,LSM3,Q9Y4Z0,P62310,0.09307809919118801,0.261316120624542,0.046093560755252005,0.323222458362579
80283,LSM4,LSM5,Q9Y4Z0,Q9Y4Y9,0.09307809919118801,0.261316120624542,0.08878573030233301,0.12412935495376501
80284,LSM4,LSM6,Q9Y4Z0,P62312,0.09307809919118801,0.261316120624542,0.08005154877901001,0.037402782589197006
