,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
65429,IPO11,BIRC6,Q9UI26,Q9NR09,0.084862798452377,0.029000764712691002,0.17446057498455,0.14830791950225802
65445,IPO11,BYSL,Q9UI26,Q13895,0.084862798452377,0.029000764712691002,0.10541991144418701,0.287927567958831
65446,IPO11,BZW1,Q9UI26,Q7L1Q6,0.084862798452377,0.029000764712691002,0.052934199571609004,0.43938288092613204
65447,IPO11,BZW2,Q9UI26,Q9Y6E2,0.084862798452377,0.029000764712691002,0.13541725277900601,0.5903525352478021
66011,IPO11,MCM3AP,Q9UI26,O60318,0.084862798452377,0.029000764712691002,0.180064722895622,0.26042070984840304
66073,IPO11,NCOA6,Q9UI26,Q14686,0.084862798452377,0.029000764712691002,0.910249233245849,0.566056072711944
66081,IPO11,NELFA,Q9UI26,Q9H3P2,0.084862798452377,0.029000764712691002,0.66919720172882,0.789710640907287
66119,IPO11,NUP54,Q9UI26,Q7Z3B4,0.084862798452377,0.029000764712691002,0.700649261474609,0.7247763872146601
66344,IPO11,RPA2,Q9UI26,P15927,0.084862798452377,0.029000764712691002,0.5286818742752071,0.651308178901672
66525,IPO11,SNX18,Q9UI26,Q96RF0,0.084862798452377,0.029000764712691002,0.668489515781402,0.801651358604431
66615,IPO11,TFCP2,Q9UI26,Q12800,0.084862798452377,0.029000764712691002,0.156916409730911,0.302303969860076
66690,IPO11,UBP1,Q9UI26,Q9NZI7,0.084862798452377,0.029000764712691002,0.264662265777587,0.352738708257675
66791,IPO11,ZNF136,Q9UI26,P52737,0.084862798452377,0.029000764712691002,0.39206773042678805,0.856233596801757
