,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
31496,EDC3,AGO2,Q96F86,Q9UKV8,0.6413281559944151,0.819340884685516,0.125312715768814,0.8902974128723141
31513,EDC3,ALMS1,Q96F86,Q8TCU4,0.6413281559944151,0.819340884685516,0.261659920215606,0.5576434135437011
31518,EDC3,ANKRD52,Q96F86,Q8NB46,0.6413281559944151,0.819340884685516,0.10190691053867301,0.22405306994915003
31637,EDC3,CEP192,Q96F86,Q8TEP8,0.6413281559944151,0.819340884685516,0.069603644311428,0.137897923588752
31710,EDC3,DCP1A,Q96F86,Q9NPI6,0.6413281559944151,0.819340884685516,0.41658067703247004,0.9291802644729611
31711,EDC3,DCP1B,Q96F86,Q8IZD4,0.6413281559944151,0.819340884685516,0.706972122192382,0.6831697821617121
31712,EDC3,DCP2,Q96F86,Q8IU60,0.6413281559944151,0.819340884685516,0.9018924832344051,0.9095847010612481
31732,EDC3,DDX6,Q96F86,P26196,0.6413281559944151,0.819340884685516,0.7578027248382561,0.9421802759170531
31775,EDC3,EDC4,Q96F86,Q6P2E9,0.6413281559944151,0.819340884685516,0.72339904308319,0.47514921426773005
31804,EDC3,EIF4ENIF1,Q96F86,Q9NRA8,0.6413281559944151,0.819340884685516,0.918528199195861,0.8912989497184751
32001,EDC3,KIAA1671,Q96F86,Q9BY89,0.6413281559944151,0.819340884685516,0.8085337877273561,0.6534734964370721
32044,EDC3,LSM14A,Q96F86,Q8ND56,0.6413281559944151,0.819340884685516,0.931010067462921,0.93739902973175
32063,EDC3,MARF1,Q96F86,Q9Y4F3,0.6413281559944151,0.819340884685516,0.10917707532644201,0.290735512971878
32187,EDC3,PATL1,Q96F86,Q86TB9,0.6413281559944151,0.819340884685516,0.6750744581222531,0.5648705363273621
32500,EDC3,SMG7,Q96F86,Q92540,0.6413281559944151,0.819340884685516,0.7485496997833251,0.6801263689994811
32569,EDC3,TBK1,Q96F86,Q9UHD2,0.6413281559944151,0.819340884685516,0.25752851366996704,0.688123047351837
32671,EDC3,VCPIP1,Q96F86,Q96JH7,0.6413281559944151,0.819340884685516,0.42927742004394503,0.625678539276123
32701,EDC3,XRN1,Q96F86,Q8IZH2,0.6413281559944151,0.819340884685516,0.385329663753509,0.270378917455673
32712,EDC3,YWHAE,Q96F86,P62258,0.6413281559944151,0.819340884685516,0.531742691993713,0.8701206445693971
32713,EDC3,YWHAG,Q96F86,P61981,0.6413281559944151,0.819340884685516,0.49775823950767506,0.869952976703643
32714,EDC3,YWHAH,Q96F86,Q04917,0.6413281559944151,0.819340884685516,0.47259107232093805,0.810484707355499
