Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
ESYT2,G3BP1,A0FGR8,Q13283,0.9298263788223261,0.5750792622566221,0.42114847898483204,0.7099205255508421
ILVBL,G3BP1,A1L0T0,Q13283,0.9298263788223261,0.5750792622566221,0.060635041445493004,0.063409611582756
GTPBP10,G3BP1,A4D1E9,Q13283,0.9298263788223261,0.5750792622566221,0.050613898783922,0.22622612118721003
CNOT1,G3BP1,A5YKK6,Q13283,0.9298263788223261,0.5750792622566221,0.16742576658725702,0.152645871043205
PGP,G3BP1,A6NDG6,Q13283,0.9298263788223261,0.5750792622566221,0.06884391605854001,0.06341986358165701
RIMOC1,G3BP1,A6NDU8,Q13283,0.9298263788223261,0.5750792622566221,0.050695151090621005,0.20167203247547102
FBLL1,G3BP1,A6NHQ2,Q13283,0.9298263788223261,0.5750792622566221,0.48362049460411005,0.155296310782432
SMCHD1,G3BP1,A6NHR9,Q13283,0.9298263788223261,0.5750792622566221,0.066517755389213,0.22187897562980602
RGPD3,G3BP1,A6NKT7,Q13283,0.9298263788223261,0.5750792622566221,0.875945210456848,0.915290653705596
,G3BP1,Q7Z3J3,Q13283,0.9298263788223261,0.5750792622566221,0.880722403526306,0.9014531970024101
RGPD8,G3BP1,O14715,Q13283,0.9298263788223261,0.5750792622566221,0.8507521748542781,0.8910728693008421
RGPD6,G3BP1,Q99666,Q13283,0.9298263788223261,0.5750792622566221,0.8862866163253781,0.896793723106384
POM121C,G3BP1,A8CG34,Q13283,0.9298263788223261,0.5750792622566221,0.860631108283996,0.870845973491668
POM121,G3BP1,Q96HA1,Q13283,0.9298263788223261,0.5750792622566221,0.8348199725151061,0.817598521709442
SNRPG,G3BP1,P62308,Q13283,0.9298263788223261,0.5750792622566221,0.102544449269771,0.16623857617378202
SNRPGP15,G3BP1,A8MWD9,Q13283,0.9298263788223261,0.5750792622566221,0.062930010259151,0.361439883708953
MCRIP1,G3BP1,C9JLW8,Q13283,0.9298263788223261,0.5750792622566221,0.46052724123001104,0.7145357131958
,G3BP1,P00761,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__P00761,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__P02662,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,P02662,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__P02663,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,P02663,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__P02666,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,P02666,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__P02668,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__P02754,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,P02754,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,P02769,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__P02769,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__P07477,Q13283,0.9298263788223261,0.5750792622566221,,
PRSS3P2,G3BP1,Q8NHM4,Q13283,0.9298263788223261,0.5750792622566221,0.15976180136203702,0.047029577195644004
PRSS2,G3BP1,P07478,Q13283,0.9298263788223261,0.5750792622566221,0.074693150818347,0.21043956279754603
PRSS1,G3BP1,P07477,Q13283,0.9298263788223261,0.5750792622566221,0.046686321496963,0.093073710799217
,G3BP1,CON__P08779,Q13283,0.9298263788223261,0.5750792622566221,,
KRT16,G3BP1,P08779,Q13283,0.9298263788223261,0.5750792622566221,0.915060341358184,0.9524758458137511
,G3BP1,CON__P02533,Q13283,0.9298263788223261,0.5750792622566221,,
KRT14,G3BP1,P02533,Q13283,0.9298263788223261,0.5750792622566221,0.912277996540069,0.9481946229934691
,G3BP1,CON__P19012,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,CON__A2A4G1,Q13283,0.9298263788223261,0.5750792622566221,,
KRT15,G3BP1,P19012,Q13283,0.9298263788223261,0.5750792622566221,0.891178905963897,0.795065104961395
,G3BP1,CON__P13645,Q13283,0.9298263788223261,0.5750792622566221,,
KRT10,G3BP1,P13645,Q13283,0.9298263788223261,0.5750792622566221,0.9353412389755241,0.9304668307304381
,G3BP1,CON__P35527,Q13283,0.9298263788223261,0.5750792622566221,,
,G3BP1,P35527,Q13283,0.9298263788223261,0.5750792622566221,0.940465092658996,0.9161936044692991
,G3BP1,CON__Q28194,Q13283,0.9298263788223261,0.5750792622566221,,
