,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
122596,SMG6,AGO1,Q86US8,Q9UL18,0.9220386743545531,0.8902567625045771,0.061913449317216006,0.14257833361625602
122597,SMG6,AGO2,Q86US8,Q9UKV8,0.9220386743545531,0.8902567625045771,0.125312715768814,0.8902974128723141
122613,SMG6,ALG13,Q86US8,Q9NP73,0.9220386743545531,0.8902567625045771,0.364426672458648,0.10586695373058301
122620,SMG6,ANKHD1,Q86US8,Q8IWZ3,0.9220386743545531,0.8902567625045771,0.6686410307884211,0.484839290380477
122627,SMG6,AP2A1,Q86US8,O95782,0.9220386743545531,0.8902567625045771,0.10177560895681301,0.098419055342674
122630,SMG6,AP2M1,Q86US8,Q96CW1,0.9220386743545531,0.8902567625045771,0.28420495986938404,0.273447036743164
122636,SMG6,APC,Q86US8,P25054,0.9220386743545531,0.8902567625045771,0.8914861679077141,0.9267865419387811
122650,SMG6,ASAP1,Q86US8,Q9ULH1,0.9220386743545531,0.8902567625045771,0.7876180410385131,0.625235438346862
122667,SMG6,ATXN2,Q86US8,Q99700,0.9220386743545531,0.8902567625045771,0.9192976951599121,0.844794750213623
122677,SMG6,BCR,Q86US8,P11274,0.9220386743545531,0.8902567625045771,0.779595255851745,0.786240220069885
122685,SMG6,BRIX1,Q86US8,Q8TDN6,0.9220386743545531,0.8902567625045771,0.054569147527217005,0.22167651355266502
122715,SMG6,CCDC138,Q86US8,Q96M89,0.9220386743545531,0.8902567625045771,0.36944326758384705,0.733980536460876
122720,SMG6,CCSER2,Q86US8,Q9H7U1,0.9220386743545531,0.8902567625045771,0.7321401834487911,0.5225425958633421
122745,SMG6,CEP131,Q86US8,Q9UPN4,0.9220386743545531,0.8902567625045771,0.8886953592300411,0.91155070066452
122748,SMG6,CEP192,Q86US8,Q8TEP8,0.9220386743545531,0.8902567625045771,0.069603644311428,0.137897923588752
122749,SMG6,CEP350,Q86US8,Q5VT06,0.9220386743545531,0.8902567625045771,0.858241915702819,0.8765743970870971
122753,SMG6,CEP85,Q86US8,Q6P2H3,0.9220386743545531,0.8902567625045771,0.686874747276306,0.628072619438171
