,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
96882,PAIP1,AGO2,Q9H074,Q9UKV8,0.605273842811584,0.5891982316970821,0.125312715768814,0.8902974128723141
96905,PAIP1,ANKHD1,Q9H074,Q8IWZ3,0.605273842811584,0.5891982316970821,0.6686410307884211,0.484839290380477
96934,PAIP1,ASCC1,Q9H074,Q8N9N2,0.605273842811584,0.5891982316970821,0.06393130123615201,0.206371545791625
96935,PAIP1,ASCC2,Q9H074,Q9H1I8,0.605273842811584,0.5891982316970821,0.055656693875789004,0.41419497132301303
96936,PAIP1,ASCC3,Q9H074,Q8N3C0,0.605273842811584,0.5891982316970821,0.05681109428405701,0.253184735774993
96953,PAIP1,ATXN2,Q9H074,Q99700,0.605273842811584,0.5891982316970821,0.9192976951599121,0.844794750213623
97056,PAIP1,CNOT1,Q9H074,A5YKK6,0.605273842811584,0.5891982316970821,0.16742576658725702,0.152645871043205
97057,PAIP1,CNOT10,Q9H074,Q9H9A5,0.605273842811584,0.5891982316970821,0.048076625913381,0.130353718996047
97058,PAIP1,CNOT11,Q9H074,Q9UKZ1,0.605273842811584,0.5891982316970821,0.22426322102546603,0.13013821840286202
97059,PAIP1,CNOT2,Q9H074,Q9NZN8,0.605273842811584,0.5891982316970821,0.8796504139900201,0.9464982748031611
97060,PAIP1,CNOT3,Q9H074,O75175,0.605273842811584,0.5891982316970821,0.8002820014953611,0.7462113499641411
97061,PAIP1,CNOT7,Q9H074,Q9UIV1,0.605273842811584,0.5891982316970821,0.049496985971927004,0.074488848447799
97063,PAIP1,CNOT9,Q9H074,Q92600,0.605273842811584,0.5891982316970821,0.08026347309350901,0.085335381329059
97093,PAIP1,CTIF,Q9H074,O43310,0.605273842811584,0.5891982316970821,0.48196253180503806,0.5972880125045771
97160,PAIP1,DOCK4,Q9H074,Q8N1I0,0.605273842811584,0.5891982316970821,0.09998704493045801,0.604189753532409
97347,PAIP1,HELZ,Q9H074,P42694,0.605273842811584,0.5891982316970821,0.8446741104125971,0.836807429790496
97461,PAIP1,LARP1B,Q9H074,Q659C4,0.605273842811584,0.5891982316970821,0.902065575122833,0.8965162038803101
97462,PAIP1,LARP4,Q9H074,Q71RC2,0.605273842811584,0.5891982316970821,0.8875218629837031,0.9059172868728631
97463,PAIP1,LARP4B,Q9H074,Q92615,0.605273842811584,0.5891982316970821,0.7897013425827021,0.913986682891845
97528,PAIP1,MKRN2,Q9H074,Q9H000,0.605273842811584,0.5891982316970821,0.14131464064121202,0.425341367721557
97532,PAIP1,MOV10,Q9H074,Q9HCE1,0.605273842811584,0.5891982316970821,0.096921250224113,0.313997954130172
97625,PAIP1,PABPC1,Q9H074,P11940,0.605273842811584,0.5891982316970821,0.846898555755615,0.945850253105163
97627,PAIP1,PABPC4,Q9H074,Q13310,0.605273842811584,0.5891982316970821,0.902287125587463,0.9297712445259091
97953,PAIP1,SMG7,Q9H074,Q92540,0.605273842811584,0.5891982316970821,0.7485496997833251,0.6801263689994811
98052,PAIP1,TDRD3,Q9H074,Q9H7E2,0.605273842811584,0.5891982316970821,0.8975397944450371,0.883250415325164
98053,PAIP1,TDRD7,Q9H074,Q8NHU6,0.605273842811584,0.5891982316970821,0.07308381795883101,0.256961673498153
98072,PAIP1,TNKS1BP1,Q9H074,Q9C0C2,0.605273842811584,0.5891982316970821,0.8767286539077751,0.7583819031715391
98077,PAIP1,TNRC6B,Q9H074,Q9UPQ9,0.605273842811584,0.5891982316970821,0.9158128499984741,0.9256454706192011
98080,PAIP1,TOP3B,Q9H074,O95985,0.605273842811584,0.5891982316970821,0.05074363946914601,0.062615826725959
98142,PAIP1,UPF1,Q9H074,Q92900,0.605273842811584,0.5891982316970821,0.747238278388977,0.7646963596343991
98149,PAIP1,USP10,Q9H074,Q14694,0.605273842811584,0.5891982316970821,0.7744724154472351,0.9465939402580261
