,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,PAIP2,Q9BPZ3,Q504Q3,29395067,PAN2,0.212680459022521,0.5408221483230591,0.048762954771518,0.084575772285461,0.22103051841259
1,PAIP2,Q9BPZ3,O14979,29395067,HNRNPDL,0.212680459022521,0.5408221483230591,0.944182753562927,0.8330107927322381,0.1577571332454681
2,PAIP2,Q9BPZ3,P51659,29395067,HSD17B4,0.212680459022521,0.5408221483230591,0.465385109186172,0.386175572872161,0.1564783453941345
3,PAIP2,Q9BPZ3,P29558,29395067,RBMS1,0.212680459022521,0.5408221483230591,0.819132804870605,0.8230159878730771,0.1209234744310379
4,PAIP2,Q9BPZ3,P11940,29395067,PABPC1,0.212680459022521,0.5408221483230591,0.846898555755615,0.945850253105163,0.13961723446846
5,PAIP2,Q9BPZ3,P26196,29395067,DDX6,0.212680459022521,0.5408221483230591,0.7578027248382561,0.9421802759170532,0.1529858112335205
6,PAIP2,Q9BPZ3,Q8NEN9,29395067,PDZD8,0.212680459022521,0.5408221483230591,0.089544624090194,0.576348662376403,0.1600661277770996
7,PAIP2,Q9BPZ3,Q9NSK0,29395067,KLC4,0.212680459022521,0.5408221483230591,0.81509906053543,0.701821088790893,0.1716330051422119
8,PAIP2,Q9BPZ3,Q92900,29395067,UPF1,0.212680459022521,0.5408221483230591,0.747238278388977,0.7646963596343991,0.1799423992633819
9,PAIP2,Q9BPZ3,O43390,29395067,HNRNPR,0.212680459022521,0.5408221483230591,0.94803649187088,0.922120869159698,0.1495355367660522
10,PAIP2,Q9BPZ3,Q9HCE1,29395067,MOV10,0.212680459022521,0.5408221483230591,0.096921250224113,0.313997954130172,0.103619672358036
11,PAIP2,Q9BPZ3,Q07955,29395067,SRSF1,0.212680459022521,0.5408221483230591,0.887233912944793,0.9587386846542352,0.1140042170882225
12,PAIP2,Q9BPZ3,Q9UL18,29395067,AGO1,0.212680459022521,0.5408221483230591,0.061913449317216,0.142578333616256,0.2235046327114105
13,PAIP2,Q9BPZ3,Q96I24,29395067,FUBP3,0.212680459022521,0.5408221483230591,0.927373111248016,0.896067440509796,0.2257492542266845
14,PAIP2,Q9BPZ3,Q58A45,29395067,PAN3,0.212680459022521,0.5408221483230591,0.330154985189437,0.081479206681251,0.0642189309000969
15,PAIP2,Q9BPZ3,P51991,29395067,HNRNPA3,0.212680459022521,0.5408221483230591,0.950252830982208,0.945144057273864,0.1348699033260345
16,PAIP2,Q9BPZ3,Q9Y5A9,29395067,YTHDF2,0.212680459022521,0.5408221483230591,0.942174553871154,0.9018615484237672,0.1880844086408615
17,PAIP2,Q9BPZ3,Q8IWZ3,29395067,ANKHD1,0.212680459022521,0.5408221483230591,0.6686410307884211,0.484839290380477,0.2253693789243698
