2,mean.cos.sim
A0A024RBG1Q13283,0.1365466
A0A087WUL8Q13283,0.4340516
A0A087X1G2Q13283,0.35723558
A0A096LP49Q13283,0.57354563
A0A0B4J2A2Q13283,0.32475224
A0A0B4J2D5Q13283,0.41332364
A0A0U1RQF7Q13283,0.42465124
A0A1B0GTR3Q13283,0.56245273
A0A1B0GTZ2Q13283,0.54876053
A0A1B0GUV7Q13283,0.3718157
A0AUZ9Q13283,0.42085567
A0AV02Q13283,0.13479477
A0AV96Q13283,0.6949302
A0AVF1Q13283,0.28084794
A0AVI4Q13283,0.0
A0AVK6Q13283,0.414419
A0AVT1Q13283,0.48258644
A0FGR8Q13283,0.4215092
A0JLT2Q13283,0.6723537
A0JNW5Q13283,0.51823527
A0JP26Q13283,0.21763039
A0M8Q6Q13283,0.105138876
A0MZ66Q13283,0.6079544
A0PG75Q13283,0.43333405
A0PJE2Q13283,0.11235489
A0PJK1Q13283,0.36234158
A0PJW6Q13283,0.07916759
A0PJW8Q13283,0.34556487
A0PJX0Q13283,0.2970071
A0PJX2Q13283,0.1590926
A0PJX4Q13283,0.12124183
A0PJX8Q13283,0.008315476
A0PJY2Q13283,0.31770363
A0PJZ3Q13283,0.07270468
A0PK00Q13283,0.25885797
A0PK05Q13283,0.17007469
A0PK11Q13283,0.03723527
A1A4F0Q13283,0.20999046
A1A4G5Q13283,0.21881294
A1A4S6Q13283,0.38254198
A1A4Y4Q13283,0.30943418
A1A519Q13283,0.52638113
A1A580Q13283,0.25954133
A1A5B4Q13283,0.22470364
A1A5C7Q13283,0.20192473
A1A5D9Q13283,0.27338925
A1E959Q13283,0.51018643
A1IGU5Q13283,0.105044946
A1KXE4Q13283,0.6256064
A1KZ92Q13283,0.19999933
A1L020Q13283,0.40897632
A1L0T0Q13283,0.47287178
A1L157Q13283,0.06299659
A1L162Q13283,0.39853525
A1L168Q13283,0.60694253
A1L170Q13283,0.72027755
A1L188Q13283,0.08878355
A1L190Q13283,0.46428165
A1L390Q13283,0.40367085
A1L3X0Q13283,0.17536396
A1L443Q13283,0.59214795
A1L4H1Q13283,0.4750699
A1L4K1Q13283,0.5471348
A1L4L8Q13283,0.23010466
A1X283Q13283,0.53914756
A1XBS5Q13283,0.39764777
A1YPR0Q13283,0.56759506
A1Z1Q3Q13283,0.27550063
A2A2V5Q13283,0.21264665
A2A2Y4Q13283,0.27963036
A2A368Q13283,0.18844016
A2A3K4Q13283,0.32121605
A2A3N6Q13283,0.531736
A2AJT9Q13283,0.43620762
A2IDD5Q13283,0.024007408
A2RRD8Q13283,0.44688725
A2RRH5Q13283,0.113061085
A2RRL7Q13283,0.10767224
A2RRP1Q13283,0.35811195
A2RTX5Q13283,0.19339839
A2RTY3Q13283,0.2178396
A2RU14Q13283,0.20185602
A2RU30Q13283,0.30900353
A2RU37Q13283,0.2926364
A2RU48Q13283,0.18109827
A2RU49Q13283,0.3401596
A2RU67Q13283,0.29972282
A2RUB1Q13283,0.29955906
A2RUB6Q13283,0.565943
A2RUC4Q13283,0.44084278
A2RUG3Q13283,0.15140016
A2RUH7Q13283,0.1977906
A2RUQ5Q13283,0.09683256
A2RUS2Q13283,0.10703872
A2RUT3Q13283,0.04273276
A2RUU4Q13283,0.17141643
A2VCK2Q13283,0.2298527
A2VDF0Q13283,0.27104667
A2VDJ0Q13283,0.20155427
A3KMH1Q13283,0.30562344
A3KN83Q13283,0.6945435
A4D0S4Q13283,0.18382807
A4D161Q13283,0.39292264
A4D1E9Q13283,0.6305312
A4D1P6Q13283,0.50877225
A4D1S0Q13283,0.44900912
A4D1S5Q13283,0.090552494
A4D1T9Q13283,0.24038641
A4D1U4Q13283,0.23537834
A4D2B0Q13283,0.25238436
A4D2G3Q13283,0.015641522
A4D2P6Q13283,0.09598434
A4FU01Q13283,0.28876665
A4FU69Q13283,0.48699576
A4GXA9Q13283,0.12547189
A4QMS7Q13283,0.2606832
A4QPH2Q13283,0.49303374
A4UGR9Q13283,0.45016727
A5A3E0Q13283,0.33262014
A5D8T8Q13283,0.094208956
A5D8V6Q13283,0.6754226
A5D8V7Q13283,0.47778526
A5D8W1Q13283,0.28918028
A5LHX3Q13283,0.40387455
A5PL33Q13283,0.3347363
A5PLL7Q13283,0.06383926
A5PLN9Q13283,0.37737364
A5X5Y0Q13283,0.01258944
A5YKK6Q13283,0.60495126
A5YM69Q13283,0.20722595
A6BM72Q13283,0.39356512
A6H8M9Q13283,0.02035518
A6H8Y1Q13283,0.58070266
A6H8Z2Q13283,0.3789611
A6NC42Q13283,0.32097468
A6NC98Q13283,0.4427746
A6NCE7Q13283,0.19467397
A6NCF5Q13283,0.00014580149
A6NCL1Q13283,0.19800495
A6NCL7Q13283,0.12458686
A6NCN2Q13283,0.26978227
A6NCS6Q13283,0.03800531
A6ND36Q13283,0.4158616
A6ND48Q13283,0.013047418
A6ND91Q13283,0.41628772
A6NDB9Q13283,0.0812297
A6NDG6Q13283,0.17477447
A6NDK9Q13283,0.25550777
A6NDN3Q13283,0.24268308
A6NDP7Q13283,0.2391607
A6NDS4Q13283,0.4575549
A6NDU8Q13283,0.19770733
A6NDV4Q13283,0.022502381
A6NDY0Q13283,0.47134408
A6NE02Q13283,0.21503606
A6NE82Q13283,0.05062335
A6NED2Q13283,0.4366375
A6NEL2Q13283,0.44718832
A6NEM1Q13283,0.5173151
A6NEQ0Q13283,0.56193244
A6NER0Q13283,0.015179262
A6NER3Q13283,0.24412751
A6NFD8Q13283,0.35114282
A6NFI3Q13283,0.5108147
A6NFN3Q13283,0.44489336
A6NFQ2Q13283,0.11350825
A6NFU0Q13283,0.20552596
A6NFY4Q13283,0.027959824
A6NFY7Q13283,0.16535066
A6NGB9Q13283,0.60150254
A6NGC4Q13283,0.07289612
A6NGK3Q13283,0.24665661
A6NGQ2Q13283,0.46939716
A6NGR9Q13283,0.15244183
A6NGS2Q13283,0.107427
A6NGU5Q13283,0.022766417
A6NH52Q13283,0.1548343
A6NHC0Q13283,0.53834635
A6NHJ4Q13283,0.1357951
A6NHL2Q13283,0.12150618
A6NHP3Q13283,0.3972587
A6NHQ2Q13283,0.6841472
A6NHQ4Q13283,0.38624364
A6NHR9Q13283,0.59743243
A6NHX0Q13283,0.36460954
A6NHZ5Q13283,0.1870317
A6NI15Q13283,0.3536938
A6NI28Q13283,0.52109325
A6NI73Q13283,0.25135127
A6NI79Q13283,0.4024899
A6NIH7Q13283,0.5377299
A6NIX2Q13283,0.088949926
A6NIZ1Q13283,0.48253316
A6NJ78Q13283,0.36326644
A6NJB7Q13283,0.29011503
A6NJL1Q13283,0.5941886
A6NJU9Q13283,0.18020353
A6NJZ7Q13283,0.32262304
A6NK44Q13283,0.1619116
A6NK58Q13283,0.24852046
A6NK59Q13283,0.19943601
A6NK89Q13283,0.4758398
A6NKB5Q13283,0.14108357
A6NKD2Q13283,0.22265835
A6NKD9Q13283,0.56541646
A6NKF2Q13283,0.33353013
A6NKK0Q13283,0.09531864
A6NKQ9Q13283,0.15020414
A6NKT7Q13283,0.6152631
A6NKU9Q13283,0.24466375
A6NLJ0Q13283,0.4716424
A6NLU0Q13283,0.37436166
A6NLX3Q13283,0.4546671
A6NM10Q13283,0.28319004
A6NM11Q13283,0.18291274
A6NMB1Q13283,0.10528483
A6NMB9Q13283,0.3350678
A6NMD0Q13283,0.19781853
A6NMD2Q13283,0.20168641
A6NMK7Q13283,0.64945376
A6NMT0Q13283,0.10309668
A6NMX2Q13283,0.30857122
A6NMY6Q13283,0.4491663
A6NNB3Q13283,0.15715876
A6NNF4Q13283,0.07762984
A6NNL5Q13283,0.05315576
A6NNX1Q13283,0.21837267
A6NNY8Q13283,0.5254003
A6NNZ2Q13283,0.06158796
A6NP61Q13283,0.46532902
A6QL63Q13283,0.15901913
A6QL64Q13283,0.5772998
A6XGL0Q13283,0.23000076
A6ZKI3Q13283,0.41804653
A7E2F4Q13283,0.27817115
A7E2U8Q13283,0.45405364
A7E2V4Q13283,0.37002903
A7E2Y1Q13283,0.5028163
A7KAX9Q13283,0.48986787
A7MCY6Q13283,0.43308964
A7MD48Q13283,0.63432443
A8CG34Q13283,0.64505064
A8K0Z3Q13283,0.4269952
A8K2U0Q13283,0.3194474
A8K4G0Q13283,0.20448585
A8K855Q13283,0.38976425
A8K8P3Q13283,0.132864
A8K8V0Q13283,0.41473007
A8K979Q13283,0.31448993
A8MPP1Q13283,0.18014231
A8MPS7Q13283,0.34426805
A8MQ03Q13283,0.3952158
A8MQ11Q13283,0.36721945
A8MQ14Q13283,0.19020918
A8MRT5Q13283,0.1805968
A8MT33Q13283,0.5536458
A8MT65Q13283,0.03275024
A8MT69Q13283,0.30227962
A8MT70Q13283,0.23633675
A8MTA8Q13283,0.43209785
A8MTJ3Q13283,0.11133738
A8MTQ0Q13283,0.4556002
A8MTY0Q13283,0.45984524
A8MU46Q13283,0.3411932
A8MUP2Q13283,0.3074356
A8MV65Q13283,0.4547268
A8MV81Q13283,0.32051462
A8MVS5Q13283,0.41749644
A8MVW0Q13283,0.3923567
A8MVW5Q13283,0.3735633
A8MW92Q13283,0.5024594
A8MW99Q13283,0.37268728
A8MWD9Q13283,0.5416477
A8MWX3Q13283,0.5144694
A8MWY0Q13283,0.08599971
A8MXD5Q13283,0.39066425
A8MXJ8Q13283,0.38310346
A8MXV4Q13283,0.30348176
A8MXV6Q13283,0.0096838195
A8MYP8Q13283,0.176304
A8MZ59Q13283,0.3370146
A8MZ97Q13283,0.062018782
A8MZA4Q13283,0.030536115
A9UHW6Q13283,0.55482066
B0FP48Q13283,0.027669683
B0I1T2Q13283,0.3578219
B0YJ81Q13283,0.22592199
B1AK53Q13283,0.42302918
B1ATL7Q13283,0.70781755
B2RNN3Q13283,0.19663605
B2RPK0Q13283,0.38548926
B2RTY4Q13283,0.37802285
B2RU33Q13283,0.46548215
B2RUY7Q13283,0.268313
B2RUZ4Q13283,0.2933084
B2RV13Q13283,0.14934357
B2RXF5Q13283,0.41206646
B2RXH4Q13283,0.50098324
B2RXH8Q13283,0.7949273
B3EWF7Q13283,0.17819473
B3EWG3Q13283,0.13065766
B3EWG5Q13283,0.13065766
B3EWG6Q13283,0.13065766
B3SHH9Q13283,0.058975853
B4DXR9Q13283,0.25256976
B5MCY1Q13283,0.41540155
B5ME19Q13283,0.6312224
B7U540Q13283,0.109845564
B7ZAP0Q13283,0.6344764
B7ZAQ6Q13283,0.102994636
B9A064Q13283,0.39020008
C4AMC7Q13283,0.55439514
C9J7I0Q13283,0.19582841
C9JCN9Q13283,0.2895227
C9JG80Q13283,0.18428949
C9JH25Q13283,0.16029423
C9JLW8Q13283,0.37321836
C9JRZ8Q13283,0.13443367
D6RF30Q13283,0.47633904
D6RGH6Q13283,0.41243348
D6RGX4Q13283,0.39104587
