,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
121571,SMAP2,ACBD3,Q8WU79,Q9H3P7,0.870141685009002,0.8791758418083191,0.925505757331848,0.9513220787048341
121582,SMAP2,AFTPH,Q8WU79,Q6ULP2,0.870141685009002,0.8791758418083191,0.541034340858459,0.8082926869392391
121583,SMAP2,AGFG1,Q8WU79,P52594,0.870141685009002,0.8791758418083191,0.8743426203727721,0.820988178253173
121585,SMAP2,AGO1,Q8WU79,Q9UL18,0.870141685009002,0.8791758418083191,0.061913449317216006,0.14257833361625602
121586,SMAP2,AGO2,Q8WU79,Q9UKV8,0.870141685009002,0.8791758418083191,0.125312715768814,0.8902974128723141
121588,SMAP2,AHCY,Q8WU79,P23526,0.870141685009002,0.8791758418083191,0.22080738842487302,0.19544091820716802
121598,SMAP2,ALG13,Q8WU79,Q9NP73,0.870141685009002,0.8791758418083191,0.364426672458648,0.10586695373058301
121603,SMAP2,ANKRD17,Q8WU79,O75179,0.870141685009002,0.8791758418083191,0.8482596278190611,0.7491549253463741
121605,SMAP2,ANKRD40,Q8WU79,Q6AI12,0.870141685009002,0.8791758418083191,0.12761570513248402,0.080890327692031
121608,SMAP2,AP1B1,Q8WU79,Q10567,0.870141685009002,0.8791758418083191,0.17115104198455802,0.147030875086784
121609,SMAP2,AP1G1,Q8WU79,O43747,0.870141685009002,0.8791758418083191,0.04998990148305801,0.038641802966594
121610,SMAP2,AP1M1,Q8WU79,Q9BXS5,0.870141685009002,0.8791758418083191,0.13851360976696,0.320341676473617
121613,SMAP2,AP2A1,Q8WU79,O95782,0.870141685009002,0.8791758418083191,0.10177560895681301,0.098419055342674
121615,SMAP2,AP2B1,Q8WU79,P63010,0.870141685009002,0.8791758418083191,0.12178151309490201,0.14100667834281902
121616,SMAP2,AP2M1,Q8WU79,Q96CW1,0.870141685009002,0.8791758418083191,0.28420495986938404,0.273447036743164
121624,SMAP2,AP4E1,Q8WU79,Q9UPM8,0.870141685009002,0.8791758418083191,0.08122292906045901,0.055367477238178
121650,SMAP2,ATXN2,Q8WU79,Q99700,0.870141685009002,0.8791758418083191,0.9192976951599121,0.844794750213623
121657,SMAP2,BMP2K,Q8WU79,Q9NSY1,0.870141685009002,0.8791758418083191,0.941374659538269,0.8161709904670711
121668,SMAP2,C1orf226,Q8WU79,A1L170,0.870141685009002,0.8791758418083191,0.659073233604431,0.454950153827667
121675,SMAP2,CAPRIN1,Q8WU79,Q14444,0.870141685009002,0.8791758418083191,0.9350892305374141,0.92366886138916
121681,SMAP2,CASC3,Q8WU79,O15234,0.870141685009002,0.8791758418083191,0.921288311481475,0.8672043681144711
121689,SMAP2,CCT2,Q8WU79,P78371,0.870141685009002,0.8791758418083191,0.559201598167419,0.40054732561111406
