,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,DDIT4,Q9NX09,Q14C86,35563580,GAPVD1,0.118732586503028,0.059997446835041,0.6413391828536981,0.8602780103683471,0.1610597670078277
1,DDIT4,Q9NX09,P15531,35563580,NME1,0.118732586503028,0.059997446835041,0.568373322486877,0.643221735954284,0.5558828115463257
2,DDIT4,Q9NX09,P82930,35563580,MRPS34,0.118732586503028,0.059997446835041,0.047504432499408,0.297109067440032,0.2190227508544922
3,DDIT4,Q9NX09,Q9BYR3,35563580,KRTAP4-4,0.118732586503028,0.059997446835041,0.079638741910457,0.045911628752946,0.1459937691688537
4,DDIT4,Q9NX09,P52272,35563580,HNRNPM,0.118732586503028,0.059997446835041,0.8337320089340211,0.806473612785339,0.0900483727455139
5,DDIT4,Q9NX09,Q86TB3,35563580,ALPK2,0.118732586503028,0.059997446835041,0.146126717329025,0.139346569776535,0.1777465045452118
6,DDIT4,Q9NX09,A6NMY6,35563580,ANXA2P2,0.118732586503028,0.059997446835041,0.073119454085826,0.621489346027374,0.1849250495433807
7,DDIT4,Q9NX09,P62910,35563580,RPL32,0.118732586503028,0.059997446835041,0.52150958776474,0.688029885292053,0.1382252871990203
8,DDIT4,Q9NX09,O75821,35563580,EIF3G,0.118732586503028,0.059997446835041,0.810005187988281,0.908269762992858,0.1203729733824729
9,DDIT4,Q9NX09,Q9P015,35563580,MRPL15,0.118732586503028,0.059997446835041,0.058800391852855,0.393127739429473,0.2614009976387024
10,DDIT4,Q9NX09,P13646,35563580,KRT13,0.118732586503028,0.059997446835041,0.9102058410644532,0.928506195545196,0.1957641839981079
11,DDIT4,Q9NX09,Q969S3,35563580,ZNF622,0.118732586503028,0.059997446835041,0.628869473934173,0.802281558513641,0.1403855085372924
12,DDIT4,Q9NX09,P08708,35563580,RPS17,0.118732586503028,0.059997446835041,0.440060526132583,0.8970975875854491,0.1026089638471603
13,DDIT4,Q9NX09,Q86Y46,35563580,KRT73,0.118732586503028,0.059997446835041,0.535849928855896,0.483612149953842,0.1257700622081756
14,DDIT4,Q9NX09,Q9P1A6,35563580,DLGAP2,0.118732586503028,0.059997446835041,0.086994394659996,0.141637355089187,0.0797446593642234
15,DDIT4,Q9NX09,Q6UWP8,35563580,SBSN,0.118732586503028,0.059997446835041,0.309759646654129,0.098393969237804,0.1758732497692108
16,DDIT4,Q9NX09,Q8IYD8,35563580,FANCM,0.118732586503028,0.059997446835041,0.052067428827285,0.296989977359771,0.172830730676651
