,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,BRD4,O60885,P62191,35987950,PSMC1,0.9142820239067072,0.881799042224884,0.45264321565628,0.832610428333282,0.5728775262832642
1,BRD4,O60885,P33240,35987950,CSTF2,0.9142820239067072,0.881799042224884,0.94278460741043,0.8882927894592281,0.6516179442405701
2,BRD4,O60885,Q9H7S9,35987950,ZNF703,0.9142820239067072,0.881799042224884,0.817590117454528,0.5082152485847471,0.5543521046638489
3,BRD4,O60885,P49915,35987950,GMPS,0.9142820239067072,0.881799042224884,0.0704136043787,0.351172655820846,0.5995654463768005
4,BRD4,O60885,P09874,35987950,PARP1,0.9142820239067072,0.881799042224884,0.8500396013259881,0.905742049217224,0.8514080047607422
5,BRD4,O60885,O15160,35987950,POLR1C,0.9142820239067072,0.881799042224884,0.15517134964466,0.210209652781486,0.5733969807624817
6,BRD4,O60885,Q9Y237,35987950,PIN4,0.9142820239067072,0.881799042224884,0.072432056069374,0.413693815469741,0.5240119695663452
7,BRD4,O60885,O00767,35987950,SCD,0.9142820239067072,0.881799042224884,0.113025411963462,0.076749391853809,0.4441210329532623
8,BRD4,O60885,P98175,35987950,RBM10,0.9142820239067072,0.881799042224884,0.9387074708938592,0.9432729482650752,0.6720790266990662
9,BRD4,O60885,P51858,35987950,HDGF,0.9142820239067072,0.881799042224884,0.8690991401672361,0.8400915861129761,0.7402763366699219
10,BRD4,O60885,Q9UPT8,35987950,ZC3H4,0.9142820239067072,0.881799042224884,0.9039334058761592,0.836405277252197,0.7361974716186523
11,BRD4,O60885,P82979,35987950,SARNP,0.9142820239067072,0.881799042224884,0.7411505579948421,0.775706589221954,0.7543307542800903
12,BRD4,O60885,Q9UKJ3,35987950,GPATCH8,0.9142820239067072,0.881799042224884,0.922741055488586,0.9309733510017392,0.7506638765335083
13,BRD4,O60885,Q9NRY2,35987950,INIP,0.9142820239067072,0.881799042224884,0.069109417498111,0.05847169086337,0.5560665726661682
14,BRD4,O60885,Q12874,35987950,SF3A3,0.9142820239067072,0.881799042224884,0.686619639396667,0.9109722375869752,0.7698736786842346
15,BRD4,O60885,P00338,35987950,LDHA,0.9142820239067072,0.881799042224884,0.384854733943939,0.484086573123931,0.5716665387153625
16,BRD4,O60885,P33316,35987950,DUT,0.9142820239067072,0.881799042224884,0.592082500457763,0.7103751301765441,0.5822513103485107
17,BRD4,O60885,Q9NTZ6,35987950,RBM12,0.9142820239067072,0.881799042224884,0.8921653032302851,0.669243812561035,0.6974923014640808
18,BRD4,O60885,Q9H0E3,35987950,SAP130,0.9142820239067072,0.881799042224884,0.303999811410903,0.124216832220554,0.7520543932914734
19,BRD4,O60885,Q969G3,35987950,SMARCE1,0.9142820239067072,0.881799042224884,0.8557632565498351,0.9500962495803832,0.5678221583366394
20,BRD4,O60885,O14776,35987950,TCERG1,0.9142820239067072,0.881799042224884,0.7894660234451291,0.651003360748291,0.7489667534828186
21,BRD4,O60885,O94776,35987950,MTA2,0.9142820239067072,0.881799042224884,0.6954792737960811,0.8431367874145501,0.8232665061950684
22,BRD4,O60885,P09429,35987950,HMGB1,0.9142820239067072,0.881799042224884,0.875457167625427,0.8053451776504511,0.7402082681655884
23,BRD4,O60885,P05455,35987950,SSB,0.9142820239067072,0.881799042224884,0.7526218295097351,0.8608263731002801,0.7683826684951782
24,BRD4,O60885,Q04726,35987950,TLE3,0.9142820239067072,0.881799042224884,0.7433589696884151,0.8980054855346681,0.5654242038726807
25,BRD4,O60885,Q9H307,35987950,PNN,0.9142820239067072,0.881799042224884,0.915894329547882,0.948989987373352,0.6911827325820923
26,BRD4,O60885,Q8IWX8,35987950,CHERP,0.9142820239067072,0.881799042224884,0.8930259943008421,0.8676603436470031,0.494295209646225
27,BRD4,O60885,P49756,35987950,RBM25,0.9142820239067072,0.881799042224884,0.7370941638946531,0.9183903932571412,0.6742823719978333
28,BRD4,O60885,Q8N4P3,35987950,HDDC3,0.9142820239067072,0.881799042224884,0.04734493419528,0.307612121105194,0.3664722740650177
29,BRD4,O60885,Q7Z5L9,35987950,IRF2BP2,0.9142820239067072,0.881799042224884,0.8283092379570001,0.7403125166893001,0.6188914179801941
30,BRD4,O60885,Q05519,35987950,SRSF11,0.9142820239067072,0.881799042224884,0.9022965431213372,0.953120589256286,0.6220396757125854
31,BRD4,O60885,O94888,35987950,UBXN7,0.9142820239067072,0.881799042224884,0.558146119117736,0.8365452885627741,0.7132626175880432
32,BRD4,O60885,Q13428,35987950,TCOF1,0.9142820239067072,0.881799042224884,0.9414838552474972,0.8864967226982111,0.8116744160652161
33,BRD4,O60885,Q6W2J9,35987950,BCOR,0.9142820239067072,0.881799042224884,0.853329479694366,0.614456474781036,0.7693893313407898
34,BRD4,O60885,O75400,35987950,PRPF40A,0.9142820239067072,0.881799042224884,0.916608035564422,0.947467625141143,0.7161108255386353
35,BRD4,O60885,Q8WXI9,35987950,GATAD2B,0.9142820239067072,0.881799042224884,0.8501977920532221,0.736870646476745,0.6535490155220032
36,BRD4,O60885,Q16630,35987950,CPSF6,0.9142820239067072,0.881799042224884,0.873725235462188,0.908324062824249,0.7441140413284302
37,BRD4,O60885,Q99459,35987950,CDC5L,0.9142820239067072,0.881799042224884,0.8283196687698361,0.8730228543281551,0.639844536781311
38,BRD4,O60885,Q8WXF1,35987950,PSPC1,0.9142820239067072,0.881799042224884,0.913940906524658,0.8955783843994141,0.5472197532653809
39,BRD4,O60885,O00193,35987950,SMAP,0.9142820239067072,0.881799042224884,0.875684916973114,0.721243739128112,0.7407225370407104
40,BRD4,O60885,Q01167,35987950,FOXK2,0.9142820239067072,0.881799042224884,0.7840059399604791,0.853672862052917,0.6935074329376221
41,BRD4,O60885,Q15428,35987950,SF3A2,0.9142820239067072,0.881799042224884,0.685212671756744,0.100270137190818,0.7320313453674316
42,BRD4,O60885,O75152,35987950,ZC3H11A,0.9142820239067072,0.881799042224884,0.8109792470932,0.89901053905487,0.761557936668396
43,BRD4,O60885,Q5T8P6,35987950,RBM26,0.9142820239067072,0.881799042224884,0.802100777626037,0.9249763488769532,0.7743507623672485
44,BRD4,O60885,Q14566,35987950,MCM6,0.9142820239067072,0.881799042224884,0.449498265981674,0.870540797710418,0.6886202096939087
45,BRD4,O60885,Q8TAQ2,35987950,SMARCC2,0.9142820239067072,0.881799042224884,0.9138598442077632,0.8833014369010921,0.7258275747299194
46,BRD4,O60885,Q16576,35987950,RBBP7,0.9142820239067072,0.881799042224884,0.376483142375946,0.322929501533508,0.776161253452301
47,BRD4,O60885,O75643,35987950,SNRNP200,0.9142820239067072,0.881799042224884,0.10391391813755,0.727765202522277,0.6613913774490356
48,BRD4,O60885,P18669,35987950,PGAM1,0.9142820239067072,0.881799042224884,0.507895231246948,0.7977971434593201,0.3385789692401886
49,BRD4,O60885,Q13363,35987950,CTBP1,0.9142820239067072,0.881799042224884,0.049536626785993,0.04188210517168,0.6256619691848755
50,BRD4,O60885,P62318,35987950,SNRPD3,0.9142820239067072,0.881799042224884,0.307663261890411,0.542262732982635,0.7107811570167542
51,BRD4,O60885,O14770,35987950,MEIS2,0.9142820239067072,0.881799042224884,0.5813744068145751,0.270092606544494,0.5435887575149536
52,BRD4,O60885,O15347,35987950,HMGB3,0.9142820239067072,0.881799042224884,0.632780909538269,0.782153189182281,0.6387859582901001
53,BRD4,O60885,Q14320,35987950,FAM50A,0.9142820239067072,0.881799042224884,0.6826460957527161,0.7864638566970821,0.7822510600090027
54,BRD4,O60885,Q9NZM4,35987950,BICRA,0.9142820239067072,0.881799042224884,0.6001508235931391,0.171152979135513,0.7277016043663025
55,BRD4,O60885,Q01105,35987950,SET,0.9142820239067072,0.881799042224884,0.6859944462776181,0.6324194073677061,0.6620133519172668
56,BRD4,O60885,P61956,35987950,SUMO2,0.9142820239067072,0.881799042224884,0.564872145652771,0.5184779763221741,0.536319375038147
57,BRD4,O60885,Q71UI9,35987950,H2AZ2,0.9142820239067072,0.881799042224884,0.148511186242103,0.327077567577362,0.6589726209640503
58,BRD4,O60885,Q9Y618,35987950,NCOR2,0.9142820239067072,0.881799042224884,0.915248751640319,0.8444350361824031,0.6355735063552856
59,BRD4,O60885,O43719,35987950,HTATSF1,0.9142820239067072,0.881799042224884,0.8749059438705441,0.942995846271514,0.7693754434585571
60,BRD4,O60885,Q09028,35987950,RBBP4,0.9142820239067072,0.881799042224884,0.229144886136055,0.442891776561737,0.7871966361999512
61,BRD4,O60885,P26583,35987950,HMGB2,0.9142820239067072,0.881799042224884,0.8839274644851681,0.868848204612731,0.6897751092910767
62,BRD4,O60885,Q13435,35987950,SF3B2,0.9142820239067072,0.881799042224884,0.894457817077636,0.8759469985961911,0.7377089262008667
63,BRD4,O60885,Q7LBC6,35987950,KDM3B,0.9142820239067072,0.881799042224884,0.8355115056037901,0.8019768595695491,0.691120982170105
64,BRD4,O60885,Q15648,35987950,MED1,0.9142820239067072,0.881799042224884,0.931457996368408,0.8536103367805481,0.8228744268417358
65,BRD4,O60885,Q7Z4V5,35987950,HDGFL2,0.9142820239067072,0.881799042224884,0.800866246223449,0.8470603823661801,0.8516471982002258
66,BRD4,O60885,Q8NFC6,35987950,BOD1L1,0.9142820239067072,0.881799042224884,0.8557215929031371,0.900276482105255,0.7460982799530029
67,BRD4,O60885,Q9C0J8,35987950,WDR33,0.9142820239067072,0.881799042224884,0.868471622467041,0.7702869176864621,0.7053066492080688
68,BRD4,O60885,Q2KHR3,35987950,QSER1,0.9142820239067072,0.881799042224884,0.8550639152526851,0.905227661132812,0.6308125853538513
69,BRD4,O60885,P63244,35987950,RACK1,0.9142820239067072,0.881799042224884,0.51106059551239,0.6694561839103691,0.6174907088279724
70,BRD4,O60885,Q8IWS0,35987950,PHF6,0.9142820239067072,0.881799042224884,0.8917511105537411,0.958864390850067,0.7250493168830872
71,BRD4,O60885,Q8IYB3,35987950,SRRM1,0.9142820239067072,0.881799042224884,0.893278896808624,0.9253711700439452,0.7501300573348999
72,BRD4,O60885,P51610,35987950,HCFC1,0.9142820239067072,0.881799042224884,0.674918055534362,0.406061232089996,0.6990326642990112
