Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
AGO2,Q9UKV8,A7E2V4,29395067,ZSWIM8,0.125312715768814,0.8902974128723141,0.36421242356300304,0.146776258945465,0.38502994179725647
AGO2,Q9UKV8,Q8NDV7,29395067,TNRC6A,0.125312715768814,0.8902974128723141,0.94635409116745,0.9126369357109071,0.5973074436187744
AGO2,Q9UKV8,Q96EB6,29395067,SIRT1,0.125312715768814,0.8902974128723141,0.731578409671783,0.60180926322937,0.5547655820846558
AGO2,Q9UKV8,Q9NPI6,29395067,DCP1A,0.125312715768814,0.8902974128723141,0.41658067703247004,0.9291802644729611,0.46766695380210876
AGO2,Q9UKV8,Q13895,29395067,BYSL,0.125312715768814,0.8902974128723141,0.10541991144418701,0.287927567958831,0.4290359914302826
AGO2,Q9UKV8,Q9NRA8,29395067,EIF4ENIF1,0.125312715768814,0.8902974128723141,0.918528199195861,0.8912989497184751,0.5269640684127808
AGO2,Q9UKV8,Q9HBD1,29395067,RC3H2,0.125312715768814,0.8902974128723141,0.380768567323684,0.385693252086639,0.5388132333755493
AGO2,Q9UKV8,Q9NZN8,29395067,CNOT2,0.125312715768814,0.8902974128723141,0.8796504139900201,0.9464982748031611,0.4513714909553528
AGO2,Q9UKV8,Q96GA3,29395067,LTV1,0.125312715768814,0.8902974128723141,0.86389935016632,0.871933758258819,0.5686510801315308
AGO2,Q9UKV8,P26196,29395067,DDX6,0.125312715768814,0.8902974128723141,0.7578027248382561,0.9421802759170531,0.452167272567749
AGO2,Q9UKV8,Q13451,29395067,FKBP5,0.125312715768814,0.8902974128723141,0.11210431903600601,0.395610362291336,0.4001583158969879
AGO2,Q9UKV8,P07737,29395067,PFN1,0.125312715768814,0.8902974128723141,0.448358535766601,0.5157226920127861,0.49285975098609924
AGO2,Q9UKV8,Q92900,29395067,UPF1,0.125312715768814,0.8902974128723141,0.747238278388977,0.7646963596343991,0.5865846872329712
AGO2,Q9UKV8,Q9HCE1,29395067,MOV10,0.125312715768814,0.8902974128723141,0.096921250224113,0.313997954130172,0.5438141226768494
AGO2,Q9UKV8,Q06787,29395067,FMR1,0.125312715768814,0.8902974128723141,0.5003023147583,0.9142025709152221,0.578058123588562
AGO2,Q9UKV8,Q96I24,29395067,FUBP3,0.125312715768814,0.8902974128723141,0.927373111248016,0.896067440509796,0.5228341817855835
AGO2,Q9UKV8,Q01804,29395067,OTUD4,0.125312715768814,0.8902974128723141,0.7899363040924071,0.5325272679328911,0.5335512161254883
AGO2,Q9UKV8,O15405,29395067,TOX3,0.125312715768814,0.8902974128723141,0.84827709197998,0.32525414228439303,0.4070623815059662
AGO2,Q9UKV8,Q9Y5A9,29395067,YTHDF2,0.125312715768814,0.8902974128723141,0.9421745538711541,0.9018615484237671,0.6217024922370911
AGO2,Q9UKV8,Q8IWZ3,29395067,ANKHD1,0.125312715768814,0.8902974128723141,0.6686410307884211,0.484839290380477,0.5450016260147095
AGO2,Q9UKV8,Q9BX40,29395067,LSM14B,0.125312715768814,0.8902974128723141,0.9151313900947571,0.9035645723342891,0.5038167238235474
AGO2,Q9UKV8,Q92615,29395067,LARP4B,0.125312715768814,0.8902974128723141,0.7897013425827021,0.913986682891845,0.5038834810256958
AGO2,Q9UKV8,Q8IZD4,29395067,DCP1B,0.125312715768814,0.8902974128723141,0.706972122192382,0.6831697821617121,0.5742880702018738
AGO2,Q9UKV8,Q9H7E2,29395067,TDRD3,0.125312715768814,0.8902974128723141,0.8975397944450371,0.883250415325164,0.5720416307449341
AGO2,Q9UKV8,O43396,29395067,TXNL1,0.125312715768814,0.8902974128723141,0.280564069747924,0.82830411195755,0.5222229957580566
AGO2,Q9UKV8,Q92600,29395067,CNOT9,0.125312715768814,0.8902974128723141,0.08026347309350901,0.085335381329059,0.3369101583957672
AGO2,Q9UKV8,Q9UPQ9,29395067,TNRC6B,0.125312715768814,0.8902974128723141,0.9158128499984741,0.9256454706192011,0.5972590446472168
AGO2,Q9UKV8,Q9P2D0,29395067,IBTK,0.125312715768814,0.8902974128723141,0.135052159428596,0.5361476540565491,0.6089977025985718
