,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
149542,TRIM56,AGO2,Q9BRZ2,Q9UKV8,0.046740718185901,0.297699868679046,0.125312715768814,0.8902974128723141
149563,TRIM56,ALDH9A1,Q9BRZ2,P49189,0.046740718185901,0.297699868679046,0.060355164110660005,0.039362244307994
149564,TRIM56,ALG13,Q9BRZ2,Q9NP73,0.046740718185901,0.297699868679046,0.364426672458648,0.10586695373058301
149572,TRIM56,ANKRD28,Q9BRZ2,O15084,0.046740718185901,0.297699868679046,0.046481158584356,0.118532933294773
149594,TRIM56,ASCC1,Q9BRZ2,Q8N9N2,0.046740718185901,0.297699868679046,0.06393130123615201,0.206371545791625
149595,TRIM56,ASCC2,Q9BRZ2,Q9H1I8,0.046740718185901,0.297699868679046,0.055656693875789004,0.41419497132301303
149596,TRIM56,ASCC3,Q9BRZ2,Q8N3C0,0.046740718185901,0.297699868679046,0.05681109428405701,0.253184735774993
149611,TRIM56,ATXN2,Q9BRZ2,Q99700,0.046740718185901,0.297699868679046,0.9192976951599121,0.844794750213623
149636,TRIM56,CAMSAP1,Q9BRZ2,Q5T5Y3,0.046740718185901,0.297699868679046,0.7958456873893731,0.783901572227478
149692,TRIM56,CLUH,Q9BRZ2,O75153,0.046740718185901,0.297699868679046,0.056396357715129006,0.185147255659103
149772,TRIM56,DGKH,Q9BRZ2,Q86XP1,0.046740718185901,0.297699868679046,0.054966200143098005,0.312936604022979
149781,TRIM56,DHX57,Q9BRZ2,Q6P158,0.046740718185901,0.297699868679046,0.30006697773933405,0.46088534593582103
149789,TRIM56,DNAJA1,Q9BRZ2,P31689,0.046740718185901,0.297699868679046,0.8359858393669121,0.9187051653862001
149790,TRIM56,DNAJA2,Q9BRZ2,O60884,0.046740718185901,0.297699868679046,0.18818025290966,0.698748648166656
149855,TRIM56,EIF4ENIF1,Q9BRZ2,Q9NRA8,0.046740718185901,0.297699868679046,0.918528199195861,0.8912989497184751
149878,TRIM56,EPS15,Q9BRZ2,P42566,0.046740718185901,0.297699868679046,0.8010489344596861,0.71837317943573
149893,TRIM56,FAM120A,Q9BRZ2,Q9NZB2,0.046740718185901,0.297699868679046,0.8501178622245781,0.8586925268173211
149894,TRIM56,FAM120C,Q9BRZ2,Q9NX05,0.046740718185901,0.297699868679046,0.23158136010169902,0.102664865553379
149907,TRIM56,FKBP4,Q9BRZ2,Q02790,0.046740718185901,0.297699868679046,0.770568668842315,0.9029511213302611
149910,TRIM56,FMR1,Q9BRZ2,Q06787,0.046740718185901,0.297699868679046,0.5003023147583,0.9142025709152221
149912,TRIM56,FUBP3,Q9BRZ2,Q96I24,0.046740718185901,0.297699868679046,0.927373111248016,0.896067440509796
149917,TRIM56,G3BP2,Q9BRZ2,Q9UN86,0.046740718185901,0.297699868679046,0.827478051185607,0.9036784172058101
149948,TRIM56,GTPBP1,Q9BRZ2,O00178,0.046740718185901,0.297699868679046,0.713772177696228,0.446460396051406
150027,TRIM56,IGF2BP2,Q9BRZ2,Q9Y6M1,0.046740718185901,0.297699868679046,0.7169618606567381,0.877931773662567
150053,TRIM56,KHNYN,Q9BRZ2,O15037,0.046740718185901,0.297699868679046,0.600474894046783,0.651879549026489
150080,TRIM56,LARP1B,Q9BRZ2,Q659C4,0.046740718185901,0.297699868679046,0.902065575122833,0.8965162038803101
150098,TRIM56,LSM14A,Q9BRZ2,Q8ND56,0.046740718185901,0.297699868679046,0.931010067462921,0.93739902973175
150118,TRIM56,MARF1,Q9BRZ2,Q9Y4F3,0.046740718185901,0.297699868679046,0.10917707532644201,0.290735512971878
