Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
DHX9,IMP1,Q08211,Q9NZI8,0.525628864765167,0.7955076098442071,0.917462527751922,0.8891407251358031
HNRNPU,IMP1,Q00839,Q9NZI8,0.525628864765167,0.7955076098442071,0.9469245076179501,0.9420068860054011
NCL,IMP1,P19338,Q9NZI8,0.525628864765167,0.7955076098442071,0.9307319521903991,0.9547532796859741
PABPC1,IMP1,P11940,Q9NZI8,0.525628864765167,0.7955076098442071,0.846898555755615,0.945850253105163
ILF3,IMP1,Q12906,Q9NZI8,0.525628864765167,0.7955076098442071,0.951803565025329,0.9412482976913451
HNRNPR,IMP1,O43390,Q9NZI8,0.525628864765167,0.7955076098442071,0.9480364918708801,0.922120869159698
NCBP1,IMP1,Q09161,Q9NZI8,0.525628864765167,0.7955076098442071,0.056551434099674,0.17103108763694702
PABPC4,IMP1,Q13310,Q9NZI8,0.525628864765167,0.7955076098442071,0.902287125587463,0.9297712445259091
PABPN1,IMP1,Q86U42,Q9NZI8,0.525628864765167,0.7955076098442071,0.8594149351119991,0.8333586454391481
SYNCRIP,IMP1,O60506,Q9NZI8,0.525628864765167,0.7955076098442071,0.9453929662704461,0.9018948674201961
HNRNPL,IMP1,P14866,Q9NZI8,0.525628864765167,0.7955076098442071,0.8918371200561521,0.86549699306488
RO60,IMP1,P10155,Q9NZI8,0.525628864765167,0.7955076098442071,0.053539346903562005,0.127002105116844
YBX1,IMP1,P67809,Q9NZI8,0.525628864765167,0.7955076098442071,0.939954459667205,0.940206825733184
ILF2,IMP1,Q12905,Q9NZI8,0.525628864765167,0.7955076098442071,0.34543451666831904,0.20666465163230802
HNRNPD,IMP1,Q14103,Q9NZI8,0.525628864765167,0.7955076098442071,0.9480615854263301,0.9498662948608391
HNRNPD,IMP1,Q14103,Q9NZI8,0.525628864765167,0.7955076098442071,0.9480615854263301,0.9498662948608391
HNRNPAB,IMP1,Q99729,Q9NZI8,0.525628864765167,0.7955076098442071,0.920922875404357,0.9196254611015321
HNRNPA2B1,IMP1,P22626,Q9NZI8,0.525628864765167,0.7955076098442071,0.9508429765701291,0.9583996534347531
HNRNPA2B1,IMP1,P22626,Q9NZI8,0.525628864765167,0.7955076098442071,0.9508429765701291,0.9583996534347531
RPLP0,IMP1,P05388,Q9NZI8,0.525628864765167,0.7955076098442071,0.29337698221206604,0.279459953308105
HNRNPA1,IMP1,P09651,Q9NZI8,0.525628864765167,0.7955076098442071,0.949794888496398,0.9450014829635621
RPS3A,IMP1,P61247,Q9NZI8,0.525628864765167,0.7955076098442071,0.8025962114334101,0.8848974108695981
RPS3,IMP1,P23396,Q9NZI8,0.525628864765167,0.7955076098442071,0.49388557672500605,0.5887519121170041
RPS4X,IMP1,P62701,Q9NZI8,0.525628864765167,0.7955076098442071,0.656596899032592,0.672099411487579
RPS8,IMP1,P62241,Q9NZI8,0.525628864765167,0.7955076098442071,0.818818569183349,0.927514731884002
RPS9,IMP1,P46781,Q9NZI8,0.525628864765167,0.7955076098442071,0.8286309242248531,0.825777411460876
ACTB,IMP1,P60709,Q9NZI8,0.525628864765167,0.7955076098442071,0.498498767614364,0.541361808776855
,IMP1,P08107,Q9NZI8,0.525628864765167,0.7955076098442071,,
HSPA8,IMP1,P11142,Q9NZI8,0.525628864765167,0.7955076098442071,0.8378546833992001,0.9269744753837581
ACTN4,IMP1,O43707,Q9NZI8,0.525628864765167,0.7955076098442071,0.8169784545898431,0.9432820081710811
,IMP1,P11308,Q9NZI8,0.525628864765167,0.7955076098442071,0.6727970838546751,0.579741179943084
