Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
TAOK2,Q9UL54,P55081,36417873,MFAP1,0.055180501192808006,0.6088515520095821,0.800705790519714,0.822628378868103,0.3716171383857727
TAOK2,Q9UL54,Q96HW7,36417873,INTS4,0.055180501192808006,0.6088515520095821,0.071789696812629,0.06808091700077,0.4401261806488037
TAOK2,Q9UL54,Q8NEL9,36417873,DDHD1,0.055180501192808006,0.6088515520095821,0.5205194950103761,0.39029538631439203,0.43419018387794495
TAOK2,Q9UL54,Q7Z6E9,36417873,RBBP6,0.055180501192808006,0.6088515520095821,0.9128370285034181,0.9011510014533991,0.4909418225288391
TAOK2,Q9UL54,Q9BZF9,36417873,UACA,0.055180501192808006,0.6088515520095821,0.053842343389987,0.35888153314590404,0.47589820623397827
TAOK2,Q9UL54,P17480,36417873,UBTF,0.055180501192808006,0.6088515520095821,0.8725005984306331,0.8459479212760921,0.5335278511047363
TAOK2,Q9UL54,Q13586,36417873,STIM1,0.055180501192808006,0.6088515520095821,0.837684452533721,0.6984013915061951,0.5049217343330383
TAOK2,Q9UL54,Q6WCQ1,36417873,MPRIP,0.055180501192808006,0.6088515520095821,0.8395533561706541,0.9102351069450371,0.4767114520072937
TAOK2,Q9UL54,Q13573,36417873,SNW1,0.055180501192808006,0.6088515520095821,0.904046356678009,0.8782021403312681,0.5374089479446411
TAOK2,Q9UL54,Q8IZD4,36417873,DCP1B,0.055180501192808006,0.6088515520095821,0.706972122192382,0.6831697821617121,0.5325319170951843
TAOK2,Q9UL54,P49756,36417873,RBM25,0.055180501192808006,0.6088515520095821,0.7370941638946531,0.9183903932571411,0.5019277334213257
TAOK2,Q9UL54,Q12905,36417873,ILF2,0.055180501192808006,0.6088515520095821,0.34543451666831904,0.20666465163230802,0.7240322828292847
TAOK2,Q9UL54,P18085,36417873,ARF4,0.055180501192808006,0.6088515520095821,0.19492988288402502,0.144222512841224,0.42629915475845337
TAOK2,Q9UL54,O95983,36417873,MBD3,0.055180501192808006,0.6088515520095821,0.6947304606437681,0.800449967384338,0.4347258508205414
TAOK2,Q9UL54,O15357,36417873,INPPL1,0.055180501192808006,0.6088515520095821,0.6902495622634881,0.686562299728393,0.5231031775474548
TAOK2,Q9UL54,Q96AG4,36417873,LRRC59,0.055180501192808006,0.6088515520095821,0.145397394895553,0.554470419883728,0.39304685592651367
TAOK2,Q9UL54,Q9BYB0,36417873,SHANK3,0.055180501192808006,0.6088515520095821,0.8970565795898431,0.5883738994598381,0.4002183973789215
TAOK2,Q9UL54,O75122,36417873,CLASP2,0.055180501192808006,0.6088515520095821,0.807239532470703,0.9520069360733031,0.563451886177063
TAOK2,Q9UL54,Q8WW12,36417873,PCNP,0.055180501192808006,0.6088515520095821,0.9139901995658871,0.9438921213150021,0.4182571768760681
TAOK2,Q9UL54,Q9NRY5,36417873,FAM114A2,0.055180501192808006,0.6088515520095821,0.059934400022029,0.2548149228096,0.3016974925994873
TAOK2,Q9UL54,Q5JSH3,36417873,WDR44,0.055180501192808006,0.6088515520095821,0.8369809985160821,0.876807570457458,0.3799964189529419
TAOK2,Q9UL54,Q9BSJ8,36417873,ESYT1,0.055180501192808006,0.6088515520095821,0.6062819361686701,0.431197941303253,0.3412654995918274
TAOK2,Q9UL54,Q9UEY8,36417873,ADD3,0.055180501192808006,0.6088515520095821,0.72104388475418,0.766959011554718,0.5298141241073608
TAOK2,Q9UL54,Q13185,36417873,CBX3,0.055180501192808006,0.6088515520095821,0.82945841550827,0.8836170434951781,0.4175683557987213
TAOK2,Q9UL54,Q8IX01,36417873,SUGP2,0.055180501192808006,0.6088515520095821,0.78794264793396,0.6586810946464531,0.45132938027381897
TAOK2,Q9UL54,Q6Y7W6,36417873,GIGYF2,0.055180501192808006,0.6088515520095821,0.935945630073547,0.938090026378631,0.5398197174072266
TAOK2,Q9UL54,Q9Y6M5,36417873,SLC30A1,0.055180501192808006,0.6088515520095821,0.19158212840557,0.104948841035366,0.30340319871902466
TAOK2,Q9UL54,P61201,36417873,COPS2,0.055180501192808006,0.6088515520095821,0.054844349622726,0.492038577795028,0.37234485149383545
TAOK2,Q9UL54,Q76FK4,36417873,NOL8,0.055180501192808006,0.6088515520095821,0.9286092519760131,0.8510907292366021,0.5163155794143677
TAOK2,Q9UL54,Q14151,36417873,SAFB2,0.055180501192808006,0.6088515520095821,0.9217971563339231,0.800364792346954,0.4967444837093353
TAOK2,Q9UL54,Q15428,36417873,SF3A2,0.055180501192808006,0.6088515520095821,0.685212671756744,0.10027013719081801,0.5020908117294312
TAOK2,Q9UL54,Q13433,36417873,SLC39A6,0.055180501192808006,0.6088515520095821,0.048338934779167,0.35296788811683605,0.3772214949131012
TAOK2,Q9UL54,P35579,36417873,MYH9,0.055180501192808006,0.6088515520095821,0.749034285545349,0.8638456463813781,0.5044037103652954
TAOK2,Q9UL54,Q7Z5K2,36417873,WAPL,0.055180501192808006,0.6088515520095821,0.82525634765625,0.7849432826042171,0.42662039399147034
TAOK2,Q9UL54,Q16181,36417873,SEPTIN7,0.055180501192808006,0.6088515520095821,0.751222431659698,0.8839928507804871,0.4774746894836426
TAOK2,Q9UL54,Q96T21,36417873,SECISBP2,0.055180501192808006,0.6088515520095821,0.08698838204145401,0.25786298513412403,0.4064401090145111
TAOK2,Q9UL54,P08195,36417873,SLC3A2,0.055180501192808006,0.6088515520095821,0.5474551916122431,0.283306777477264,0.38500744104385376
TAOK2,Q9UL54,Q8IZH2,36417873,XRN1,0.055180501192808006,0.6088515520095821,0.385329663753509,0.270378917455673,0.4831143319606781
TAOK2,Q9UL54,Q15154,36417873,PCM1,0.055180501192808006,0.6088515520095821,0.9136637449264521,0.9543150663375851,0.49473556876182556
TAOK2,Q9UL54,P78310,36417873,CXADR,0.055180501192808006,0.6088515520095821,0.661145806312561,0.569099605083465,0.4999668002128601
TAOK2,Q9UL54,Q9Y2J2,36417873,EPB41L3,0.055180501192808006,0.6088515520095821,0.8376559019088741,0.8468633890151971,0.570009708404541
TAOK2,Q9UL54,Q8IYB3,36417873,SRRM1,0.055180501192808006,0.6088515520095821,0.893278896808624,0.9253711700439451,0.4770379960536957
TAOK2,Q9UL54,Q09666,36417873,AHNAK,0.055180501192808006,0.6088515520095821,0.882196128368377,0.946096897125244,0.4414811134338379
TAOK2,Q9UL54,Q9BW27,36417873,NUP85,0.055180501192808006,0.6088515520095821,0.071647308766841,0.106988273561,0.4520612359046936
TAOK2,Q9UL54,Q9NPI6,36417873,DCP1A,0.055180501192808006,0.6088515520095821,0.41658067703247004,0.9291802644729611,0.35598623752593994
TAOK2,Q9UL54,P61619,36417873,SEC61A1,0.055180501192808006,0.6088515520095821,0.20169088244438102,0.194921255111694,0.5244873762130737
TAOK2,Q9UL54,P53985,36417873,SLC16A1,0.055180501192808006,0.6088515520095821,0.07481573522090901,0.16514892876148202,0.4863879680633545
TAOK2,Q9UL54,P46821,36417873,MAP1B,0.055180501192808006,0.6088515520095821,0.880201041698455,0.9375912547111511,0.3005193769931793
TAOK2,Q9UL54,Q96GA3,36417873,LTV1,0.055180501192808006,0.6088515520095821,0.86389935016632,0.871933758258819,0.4852428436279297
