,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
92954,NXF1,AATF,Q9UBU9,Q9NY61,0.634416103363037,0.7915906310081481,0.897929191589355,0.759698510169982
92996,NXF1,ANP32E,Q9UBU9,Q9BTT0,0.634416103363037,0.7915906310081481,0.058991778641939004,0.422802686691284
93004,NXF1,API5,Q9UBU9,Q9BZZ5,0.634416103363037,0.7915906310081481,0.14261569082736902,0.564770877361297
93005,NXF1,AQR,Q9UBU9,O60306,0.634416103363037,0.7915906310081481,0.06666328012943201,0.139973536133766
93012,NXF1,ARID3A,Q9UBU9,Q99856,0.634416103363037,0.7915906310081481,0.8628880381584161,0.8800581693649291
93013,NXF1,ARID3B,Q9UBU9,Q8IVW6,0.634416103363037,0.7915906310081481,0.585354685783386,0.42383736371994
93044,NXF1,BCLAF1,Q9UBU9,Q9NYF8,0.634416103363037,0.7915906310081481,0.9303821325302121,0.892946720123291
93049,NXF1,BMS1,Q9UBU9,Q14692,0.634416103363037,0.7915906310081481,0.07657121121883301,0.501774668693542
93063,NXF1,BYSL,Q9UBU9,Q13895,0.634416103363037,0.7915906310081481,0.10541991144418701,0.287927567958831
93071,NXF1,C19orf47,Q9UBU9,Q8N9M1,0.634416103363037,0.7915906310081481,0.32374054193496704,0.44308933615684504
93077,NXF1,CACTIN,Q9UBU9,Q8WUQ7,0.634416103363037,0.7915906310081481,0.5397652387619011,0.6840378642082211
93088,NXF1,CCAR1,Q9UBU9,Q8IX12,0.634416103363037,0.7915906310081481,0.8194368481636041,0.926390826702117
93113,NXF1,CDC73,Q9UBU9,Q6P1J9,0.634416103363037,0.7915906310081481,0.11370609700679701,0.5292645096778871
93114,NXF1,CDCA2,Q9UBU9,Q69YH5,0.634416103363037,0.7915906310081481,0.9083366394042961,0.6187341809272761
93124,NXF1,CEBPZ,Q9UBU9,Q03701,0.634416103363037,0.7915906310081481,0.276380896568298,0.8146425485610961
93127,NXF1,CENPC,Q9UBU9,Q03188,0.634416103363037,0.7915906310081481,0.879465699195861,0.964263260364532
93153,NXF1,CLP1,Q9UBU9,Q92989,0.634416103363037,0.7915906310081481,0.051709782332181,0.06933261454105301
93156,NXF1,CLSPN,Q9UBU9,Q9HAW4,0.634416103363037,0.7915906310081481,0.9291354417800901,0.7749610543251031
93163,NXF1,COIL,Q9UBU9,P38432,0.634416103363037,0.7915906310081481,0.942740082740783,0.876527309417724
93178,NXF1,CPSF4,Q9UBU9,O95639,0.634416103363037,0.7915906310081481,0.813794314861297,0.8418163061141961
93179,NXF1,CPSF6,Q9UBU9,Q16630,0.634416103363037,0.7915906310081481,0.873725235462188,0.908324062824249
93180,NXF1,CPSF7,Q9UBU9,Q8N684,0.634416103363037,0.7915906310081481,0.806454062461853,0.8767009973526001
93187,NXF1,CSNK2A2,Q9UBU9,P19784,0.634416103363037,0.7915906310081481,0.298951238393783,0.607534527778625
93207,NXF1,DACH1,Q9UBU9,Q9UI36,0.634416103363037,0.7915906310081481,0.9403282403945921,0.8812292218208311
93208,NXF1,DAP3,Q9UBU9,P51398,0.634416103363037,0.7915906310081481,0.46670717000961304,0.442288011312484
93228,NXF1,DDX41,Q9UBU9,Q9UJV9,0.634416103363037,0.7915906310081481,0.09992539137601801,0.8053313493728631
93233,NXF1,DDX5,Q9UBU9,P17844,0.634416103363037,0.7915906310081481,0.931342720985412,0.940866947174072
93242,NXF1,DGCR8,Q9UBU9,Q8WYQ5,0.634416103363037,0.7915906310081481,0.8413621783256531,0.8342933654785151
93246,NXF1,DHX16,Q9UBU9,O60231,0.634416103363037,0.7915906310081481,0.056765418499708,0.703187584877014
93250,NXF1,DHX38,Q9UBU9,Q92620,0.634416103363037,0.7915906310081481,0.19670540094375602,0.764453113079071
93251,NXF1,DHX40,Q9UBU9,Q8IX18,0.634416103363037,0.7915906310081481,0.054080009460449004,0.33491030335426303
93252,NXF1,DHX8,Q9UBU9,Q14562,0.634416103363037,0.7915906310081481,0.084005445241928,0.840636730194091
93286,NXF1,E2F6,Q9UBU9,O75461,0.634416103363037,0.7915906310081481,0.08840299397706901,0.708997070789337
93341,NXF1,ESF1,Q9UBU9,Q9H501,0.634416103363037,0.7915906310081481,0.8310578465461731,0.740713477134704
93363,NXF1,FANCI,Q9UBU9,Q9NVI1,0.634416103363037,0.7915906310081481,0.0513351932168,0.126738861203193
93376,NXF1,FUBP1,Q9UBU9,Q96AE4,0.634416103363037,0.7915906310081481,0.9466724395751951,0.7661437392234801
93394,NXF1,GLE1,Q9UBU9,Q53GS7,0.634416103363037,0.7915906310081481,0.05024389177560801,0.25106167793273904
93452,NXF1,HLTF,Q9UBU9,Q14527,0.634416103363037,0.7915906310081481,0.09748598933219901,0.795101523399353
93454,NXF1,HMGB1,Q9UBU9,P09429,0.634416103363037,0.7915906310081481,0.875457167625427,0.8053451776504511
93461,NXF1,HNRNPA2B1,Q9UBU9,P22626,0.634416103363037,0.7915906310081481,0.9508429765701291,0.9583996534347531
93466,NXF1,HNRNPDL,Q9UBU9,O14979,0.634416103363037,0.7915906310081481,0.944182753562927,0.8330107927322381
93471,NXF1,HNRNPK,Q9UBU9,P61978,0.634416103363037,0.7915906310081481,0.9139078855514521,0.9390789270401001
93476,NXF1,HNRNPUL1,Q9UBU9,Q9BUJ2,0.634416103363037,0.7915906310081481,0.8471181988716121,0.761973857879638
93509,NXF1,INTS4,Q9UBU9,Q96HW7,0.634416103363037,0.7915906310081481,0.071789696812629,0.06808091700077
93547,NXF1,KPNA3,Q9UBU9,O00505,0.634416103363037,0.7915906310081481,0.06658290326595301,0.114040575921535
93548,NXF1,KPNA4,Q9UBU9,O00629,0.634416103363037,0.7915906310081481,0.049508489668369,0.033578488975763
93608,NXF1,MCM10,Q9UBU9,Q7L590,0.634416103363037,0.7915906310081481,0.8735687136650081,0.8502258062362671
93611,NXF1,MCM3AP,Q9UBU9,O60318,0.634416103363037,0.7915906310081481,0.180064722895622,0.26042070984840304
93632,NXF1,MLLT6,Q9UBU9,P55198,0.634416103363037,0.7915906310081481,0.72869735956192,0.6424074769020081
