,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
100946,PATL1,AGO1,Q86TB9,Q9UL18,0.6750744581222531,0.5648705363273621,0.061913449317216006,0.14257833361625602
100947,PATL1,AGO2,Q86TB9,Q9UKV8,0.6750744581222531,0.5648705363273621,0.125312715768814,0.8902974128723141
100948,PATL1,AGO3,Q86TB9,Q9H9G7,0.6750744581222531,0.5648705363273621,0.07245331257581701,0.351395457983016
100967,PATL1,ANKHD1,Q86TB9,Q8IWZ3,0.6750744581222531,0.5648705363273621,0.6686410307884211,0.484839290380477
100970,PATL1,ANKRD52,Q86TB9,Q8NB46,0.6750744581222531,0.5648705363273621,0.10190691053867301,0.22405306994915003
100972,PATL1,AP2A1,Q86TB9,O95782,0.6750744581222531,0.5648705363273621,0.10177560895681301,0.098419055342674
100975,PATL1,AP2M1,Q86TB9,Q96CW1,0.6750744581222531,0.5648705363273621,0.28420495986938404,0.273447036743164
100980,PATL1,APC,Q86TB9,P25054,0.6750744581222531,0.5648705363273621,0.8914861679077141,0.9267865419387811
101034,PATL1,CACYBP,Q86TB9,Q9HB71,0.6750744581222531,0.5648705363273621,0.6761005520820611,0.8408962488174431
101048,PATL1,CCDC138,Q86TB9,Q96M89,0.6750744581222531,0.5648705363273621,0.36944326758384705,0.733980536460876
101073,PATL1,CEP131,Q86TB9,Q9UPN4,0.6750744581222531,0.5648705363273621,0.8886953592300411,0.91155070066452
101076,PATL1,CEP192,Q86TB9,Q8TEP8,0.6750744581222531,0.5648705363273621,0.069603644311428,0.137897923588752
101080,PATL1,CEP85,Q86TB9,Q6P2H3,0.6750744581222531,0.5648705363273621,0.686874747276306,0.628072619438171
101082,PATL1,CEP97,Q86TB9,Q8IW35,0.6750744581222531,0.5648705363273621,0.273443013429641,0.5560342073440551
101100,PATL1,CNOT1,Q86TB9,A5YKK6,0.6750744581222531,0.5648705363273621,0.16742576658725702,0.152645871043205
101101,PATL1,CNOT10,Q86TB9,Q9H9A5,0.6750744581222531,0.5648705363273621,0.048076625913381,0.130353718996047
101102,PATL1,CNOT11,Q86TB9,Q9UKZ1,0.6750744581222531,0.5648705363273621,0.22426322102546603,0.13013821840286202
101103,PATL1,CNOT2,Q86TB9,Q9NZN8,0.6750744581222531,0.5648705363273621,0.8796504139900201,0.9464982748031611
101104,PATL1,CNOT3,Q86TB9,O75175,0.6750744581222531,0.5648705363273621,0.8002820014953611,0.7462113499641411
