,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
0,MOB2,TP53,Q70IA6,P04637,0.06571278721094101,0.032605137676000005,0.611152946949005,0.8451592326164241
1,MOB2,STK38L,Q70IA6,Q9Y2H1,0.06571278721094101,0.032605137676000005,0.340080916881561,0.706978023052215
2,MOB2,STK38,Q70IA6,Q15208,0.06571278721094101,0.032605137676000005,0.767200708389282,0.842919826507568
3,MOB2,STK38L,Q70IA6,Q9Y2H1,0.06571278721094101,0.032605137676000005,0.340080916881561,0.706978023052215
4,MOB2,STK38,Q70IA6,Q15208,0.06571278721094101,0.032605137676000005,0.767200708389282,0.842919826507568
16,MOB2,RAD50,Q70IA6,Q92878,0.06571278721094101,0.032605137676000005,0.05076614767313,0.283144652843475
18,MOB2,KRT1,Q70IA6,P04264,0.06571278721094101,0.032605137676000005,0.9295971989631651,0.9363520741462701
22,MOB2,NBN,Q70IA6,O60934,0.06571278721094101,0.032605137676000005,0.8640257120132441,0.892363250255584
35,MOB2,TXNL1,Q70IA6,O43396,0.06571278721094101,0.032605137676000005,0.280564069747924,0.82830411195755
45,MOB2,KRT10,Q70IA6,P13645,0.06571278721094101,0.032605137676000005,0.9353412389755241,0.9304668307304381
59,MOB2,LRRC49,Q70IA6,Q8IUZ0,0.06571278721094101,0.032605137676000005,0.048118501901626004,0.213115260004997
65,MOB2,RPL35,Q70IA6,P42766,0.06571278721094101,0.032605137676000005,0.496975719928741,0.506664276123046
76,MOB2,KRI1,Q70IA6,Q8N9T8,0.06571278721094101,0.032605137676000005,0.8932437896728511,0.7627396583557121
85,MOB2,TOP2B,Q70IA6,Q02880,0.06571278721094101,0.032605137676000005,0.9176777005195611,0.8627386093139641
101,MOB2,EPHA2,Q70IA6,P29317,0.06571278721094101,0.032605137676000005,0.48222407698631203,0.455854594707489
106,MOB2,KRT5,Q70IA6,P13647,0.06571278721094101,0.032605137676000005,0.8957449197769161,0.9532092809677121
110,MOB2,MED20,Q70IA6,Q9H944,0.06571278721094101,0.032605137676000005,0.11918811500072402,0.041179627180099
113,MOB2,UBR5,Q70IA6,O95071,0.06571278721094101,0.032605137676000005,0.835959434509277,0.684727072715759
114,MOB2,NSFL1C,Q70IA6,Q9UNZ2,0.06571278721094101,0.032605137676000005,0.6213439702987671,0.41277837753295904
116,MOB2,KRT14,Q70IA6,P02533,0.06571278721094101,0.032605137676000005,0.912277996540069,0.9481946229934691
140,MOB2,SLC4A7,Q70IA6,Q9Y6M7,0.06571278721094101,0.032605137676000005,0.626138925552368,0.275566846132278
144,MOB2,PDHB,Q70IA6,P11177,0.06571278721094101,0.032605137676000005,0.13252548873424502,0.32032805681228604
158,MOB2,MAP2K1,Q70IA6,Q02750,0.06571278721094101,0.032605137676000005,0.44961470365524203,0.327995359897613
159,MOB2,MED17,Q70IA6,Q9NVC6,0.06571278721094101,0.032605137676000005,0.055360686033964004,0.256957828998565
161,MOB2,CD44,Q70IA6,P16070,0.06571278721094101,0.032605137676000005,0.800391674041748,0.7186809182167051
162,MOB2,VCP,Q70IA6,P55072,0.06571278721094101,0.032605137676000005,0.809028446674346,0.962984383106231
170,MOB2,WDR6,Q70IA6,Q9NNW5,0.06571278721094101,0.032605137676000005,0.085609972476959,0.07718250155448901
171,MOB2,KIAA0753,Q70IA6,Q2KHM9,0.06571278721094101,0.032605137676000005,0.12037269771099,0.529889464378356
181,MOB2,ROBO1,Q70IA6,Q9Y6N7,0.06571278721094101,0.032605137676000005,0.5476497411727901,0.31885665655136103
193,MOB2,BRWD1,Q70IA6,Q9NSI6,0.06571278721094101,0.032605137676000005,0.895789444446563,0.923971772193908
196,MOB2,SLC12A2,Q70IA6,P55011,0.06571278721094101,0.032605137676000005,0.603521227836608,0.515893936157226
202,MOB2,PPHLN1,Q70IA6,Q8NEY8,0.06571278721094101,0.032605137676000005,0.8771616220474241,0.9214071035385131
205,MOB2,VAMP3,Q70IA6,Q15836,0.06571278721094101,0.032605137676000005,0.187606528401374,0.33849605917930603
207,MOB2,MUC13,Q70IA6,Q9H3R2,0.06571278721094101,0.032605137676000005,0.055146675556898006,0.041095908731222
208,MOB2,SNAP23,Q70IA6,O00161,0.06571278721094101,0.032605137676000005,0.884714782238006,0.9523652195930481
212,MOB2,VPS33B,Q70IA6,Q9H267,0.06571278721094101,0.032605137676000005,0.07276152819395,0.39864885807037304
217,MOB2,SLC12A2,Q70IA6,P55011,0.06571278721094101,0.032605137676000005,0.603521227836608,0.515893936157226
219,MOB2,AMER1,Q70IA6,Q5JTC6,0.06571278721094101,0.032605137676000005,0.279864966869354,0.24877779185771903
222,MOB2,CCDC88A,Q70IA6,Q3V6T2,0.06571278721094101,0.032605137676000005,0.8583024144172661,0.92137986421585
232,MOB2,VANGL2,Q70IA6,Q9ULK5,0.06571278721094101,0.032605137676000005,0.135949522256851,0.189925402402877
237,MOB2,USP11,Q70IA6,P51784,0.06571278721094101,0.032605137676000005,0.268640637397766,0.6753271818161011
240,MOB2,FARP1,Q70IA6,Q9Y4F1,0.06571278721094101,0.032605137676000005,0.686863541603088,0.761362671852111
241,MOB2,TXNL1,Q70IA6,O43396,0.06571278721094101,0.032605137676000005,0.280564069747924,0.82830411195755
243,MOB2,KRT2,Q70IA6,P35908,0.06571278721094101,0.032605137676000005,0.928291201591491,0.9001879692077631
249,MOB2,LCK,Q70IA6,P06239,0.06571278721094101,0.032605137676000005,0.7035393118858331,0.8868877291679381
251,MOB2,ATP2B1,Q70IA6,P20020,0.06571278721094101,0.032605137676000005,0.24271281063556602,0.47189491987228305
253,MOB2,VANGL1,Q70IA6,Q8TAA9,0.06571278721094101,0.032605137676000005,0.379739463329315,0.210851937532424
255,MOB2,SCAMP1,Q70IA6,O15126,0.06571278721094101,0.032605137676000005,0.22223754227161402,0.079199895262718
258,MOB2,VANGL1,Q70IA6,Q8TAA9,0.06571278721094101,0.032605137676000005,0.379739463329315,0.210851937532424
267,MOB2,STOML2,Q70IA6,Q9UJZ1,0.06571278721094101,0.032605137676000005,0.435761630535125,0.293178141117095
271,MOB2,BRPF1,Q70IA6,P55201,0.06571278721094101,0.032605137676000005,0.9146174192428581,0.8921675682067871
276,MOB2,CCDC61,Q70IA6,Q9Y6R9,0.06571278721094101,0.032605137676000005,0.870554447174072,0.7736821770668031
283,MOB2,FLOT1,Q70IA6,O75955,0.06571278721094101,0.032605137676000005,0.26148456335067705,0.26329356431961004
284,MOB2,KIF22,Q70IA6,Q14807,0.06571278721094101,0.032605137676000005,0.29204136133193903,0.784520030021667
289,MOB2,GLUD1,Q70IA6,P00367,0.06571278721094101,0.032605137676000005,0.69995093345642,0.7380677461624141
290,MOB2,HLA-A,Q70IA6,P04439,0.06571278721094101,0.032605137676000005,0.440503031015396,0.8237566947937011
291,MOB2,BSG,Q70IA6,P35613,0.06571278721094101,0.032605137676000005,0.08169115334749201,0.14241808652877802
293,MOB2,CEP131,Q70IA6,Q9UPN4,0.06571278721094101,0.032605137676000005,0.8886953592300411,0.91155070066452
299,MOB2,TFRC,Q70IA6,P02786,0.06571278721094101,0.032605137676000005,0.639575600624084,0.6523411870002741
301,MOB2,PSMD1,Q70IA6,Q99460,0.06571278721094101,0.032605137676000005,0.202228635549545,0.215206310153007
302,MOB2,SLC7A5,Q70IA6,Q01650,0.06571278721094101,0.032605137676000005,0.06158585473895001,0.034569971263408
304,MOB2,MED27,Q70IA6,Q6P2C8,0.06571278721094101,0.032605137676000005,0.22645254433155002,0.22649805247783603
305,MOB2,NSFL1C,Q70IA6,Q9UNZ2,0.06571278721094101,0.032605137676000005,0.6213439702987671,0.41277837753295904
306,MOB2,SLC3A2,Q70IA6,P08195,0.06571278721094101,0.032605137676000005,0.5474551916122431,0.283306777477264
307,MOB2,KRT14,Q70IA6,P02533,0.06571278721094101,0.032605137676000005,0.912277996540069,0.9481946229934691
315,MOB2,KRT2,Q70IA6,P35908,0.06571278721094101,0.032605137676000005,0.928291201591491,0.9001879692077631
