Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
G3BP1,Q13283,Q3MHD2,29395067,LSM12,0.9298263788223261,0.5750792622566221,0.170231625437736,0.389593958854675,0.6525663733482361
G3BP1,Q13283,P48634,29395067,PRRC2A,0.9298263788223261,0.5750792622566221,0.920958399772644,0.771147608757019,0.6379582285881042
G3BP1,Q13283,Q86XZ4,29395067,SPATS2,0.9298263788223261,0.5750792622566221,0.86821049451828,0.880097866058349,0.6607075929641724
G3BP1,Q13283,Q9Y6M1,29395067,IGF2BP2,0.9298263788223261,0.5750792622566221,0.7169618606567381,0.877931773662567,0.7817713618278503
G3BP1,Q13283,Q5T6F2,29395067,UBAP2,0.9298263788223261,0.5750792622566221,0.9128952026367181,0.7844543457031251,0.5795459747314453
G3BP1,Q13283,O75179,29395067,ANKRD17,0.9298263788223261,0.5750792622566221,0.8482596278190611,0.7491549253463741,0.5346872210502625
G3BP1,Q13283,Q9NRA8,29395067,EIF4ENIF1,0.9298263788223261,0.5750792622566221,0.918528199195861,0.8912989497184751,0.6706833243370056
G3BP1,Q13283,P29558,29395067,RBMS1,0.9298263788223261,0.5750792622566221,0.819132804870605,0.8230159878730771,0.5726934671401978
G3BP1,Q13283,Q9HBD1,29395067,RC3H2,0.9298263788223261,0.5750792622566221,0.380768567323684,0.385693252086639,0.717029333114624
G3BP1,Q13283,Q9NZN8,29395067,CNOT2,0.9298263788223261,0.5750792622566221,0.8796504139900201,0.9464982748031611,0.49792927503585815
G3BP1,Q13283,Q99873,29395067,PRMT1,0.9298263788223261,0.5750792622566221,0.08781240880489301,0.23695997893810203,0.6462973952293396
G3BP1,Q13283,Q86US8,29395067,SMG6,0.9298263788223261,0.5750792622566221,0.9220386743545531,0.8902567625045771,0.49763426184654236
G3BP1,Q13283,P26196,29395067,DDX6,0.9298263788223261,0.5750792622566221,0.7578027248382561,0.9421802759170531,0.5355223417282104
G3BP1,Q13283,Q9Y3I0,29395067,RTCB,0.9298263788223261,0.5750792622566221,0.05891989544034001,0.30335909128189004,0.6333092451095581
G3BP1,Q13283,Q92900,29395067,UPF1,0.9298263788223261,0.5750792622566221,0.747238278388977,0.7646963596343991,0.7568865418434143
G3BP1,Q13283,Q8WWM7,29395067,ATXN2L,0.9298263788223261,0.5750792622566221,0.9328096508979791,0.9160457849502561,0.592697262763977
G3BP1,Q13283,Q06787,29395067,FMR1,0.9298263788223261,0.5750792622566221,0.5003023147583,0.9142025709152221,0.7116543054580688
G3BP1,Q13283,Q9UL18,29395067,AGO1,0.9298263788223261,0.5750792622566221,0.061913449317216006,0.14257833361625602,0.6579552888870239
G3BP1,Q13283,Q96I24,29395067,FUBP3,0.9298263788223261,0.5750792622566221,0.927373111248016,0.896067440509796,0.6816366314888
G3BP1,Q13283,Q01804,29395067,OTUD4,0.9298263788223261,0.5750792622566221,0.7899363040924071,0.5325272679328911,0.6158598065376282
G3BP1,Q13283,Q14258,29395067,TRIM25,0.9298263788223261,0.5750792622566221,0.37402802705764704,0.8078976869583131,0.37120765447616577
G3BP1,Q13283,Q9Y5A9,29395067,YTHDF2,0.9298263788223261,0.5750792622566221,0.9421745538711541,0.9018615484237671,0.730789303779602
G3BP1,Q13283,Q8WU79,29395067,SMAP2,0.9298263788223261,0.5750792622566221,0.870141685009002,0.8791758418083191,0.5970932841300964
G3BP1,Q13283,Q86UK7,29395067,ZNF598,0.9298263788223261,0.5750792622566221,0.41906195878982505,0.487267971038818,0.6545639038085938
G3BP1,Q13283,Q9BX40,29395067,LSM14B,0.9298263788223261,0.5750792622566221,0.9151313900947571,0.9035645723342891,0.7403990626335144
G3BP1,Q13283,Q92615,29395067,LARP4B,0.9298263788223261,0.5750792622566221,0.7897013425827021,0.913986682891845,0.6226491928100586
G3BP1,Q13283,Q9H7E2,29395067,TDRD3,0.9298263788223261,0.5750792622566221,0.8975397944450371,0.883250415325164,0.7721861600875854
G3BP1,Q13283,Q9UPQ9,29395067,TNRC6B,0.9298263788223261,0.5750792622566221,0.9158128499984741,0.9256454706192011,0.7328336834907532
G3BP1,Q13283,Q71RC2,29395067,LARP4,0.9298263788223261,0.5750792622566221,0.8875218629837031,0.9059172868728631,0.5926030874252319
G3BP1,Q13283,Q9P2D0,29395067,IBTK,0.9298263788223261,0.5750792622566221,0.135052159428596,0.5361476540565491,0.708350419998169
G3BP1,Q13283,Q15032,29395067,R3HDM1,0.9298263788223261,0.5750792622566221,0.9339957237243651,0.8198994398117061,0.5556871891021729
G3BP1,Q13283,Q5JSZ5,29395067,PRRC2B,0.9298263788223261,0.5750792622566221,0.9129469990730281,0.7642971277236931,0.6172756552696228
G3BP1,Q13283,Q659C4,29395067,LARP1B,0.9298263788223261,0.5750792622566221,0.902065575122833,0.8965162038803101,0.6839797496795654
G3BP1,Q13283,Q8NCA5,29395067,FAM98A,0.9298263788223261,0.5750792622566221,0.896835446357727,0.863439083099365,0.7652465105056763
G3BP1,Q13283,Q17RY0,29395067,CPEB4,0.9298263788223261,0.5750792622566221,0.7140009999275201,0.7536411285400391,0.7056765556335449
G3BP1,Q13283,P06730,29395067,EIF4E,0.9298263788223261,0.5750792622566221,0.6839362382888791,0.718624532222747,0.6254934072494507
G3BP1,Q13283,Q8IWR0,29395067,ZC3H7A,0.9298263788223261,0.5750792622566221,0.065534330904483,0.528411209583282,0.7259562015533447
G3BP1,Q13283,P51116,29395067,FXR2,0.9298263788223261,0.5750792622566221,0.909103691577911,0.93657237291336,0.7164093852043152
G3BP1,Q13283,Q99700,29395067,ATXN2,0.9298263788223261,0.5750792622566221,0.9192976951599121,0.844794750213623,0.7260817289352417
G3BP1,Q13283,Q92499,29395067,DDX1,0.9298263788223261,0.5750792622566221,0.388328939676284,0.785437881946563,0.6308131814002991
G3BP1,Q13283,A5YKK6,29395067,CNOT1,0.9298263788223261,0.5750792622566221,0.16742576658725702,0.152645871043205,0.6049512624740601
G3BP1,Q13283,Q7Z3B4,29395067,NUP54,0.9298263788223261,0.5750792622566221,0.700649261474609,0.7247763872146601,0.4622286260128021
G3BP1,Q13283,O95985,29395067,TOP3B,0.9298263788223261,0.5750792622566221,0.05074363946914601,0.062615826725959,0.4112347960472107
G3BP1,Q13283,C9JLW8,29395067,MCRIP1,0.9298263788223261,0.5750792622566221,0.46052724123001104,0.7145357131958,0.3732183575630188
G3BP1,Q13283,Q9H9A5,29395067,CNOT10,0.9298263788223261,0.5750792622566221,0.048076625913381,0.130353718996047,0.4855848252773285
G3BP1,Q13283,Q9BY12,29395067,SCAPER,0.9298263788223261,0.5750792622566221,0.060099463909864,0.592139840126037,0.6540430784225464
G3BP1,Q13283,Q9UIV1,29395067,CNOT7,0.9298263788223261,0.5750792622566221,0.049496985971927004,0.074488848447799,0.44329142570495605
G3BP1,Q13283,Q8N6H7,29395067,ARFGAP2,0.9298263788223261,0.5750792622566221,0.845222115516662,0.9366458058357231,0.5872451066970825
G3BP1,Q13283,Q7KZF4,29395067,SND1,0.9298263788223261,0.5750792622566221,0.7212389111518861,0.8198496103286741,0.6761329174041748
G3BP1,Q13283,Q9BUT9,29395067,MCRIP2,0.9298263788223261,0.5750792622566221,0.573536276817321,0.40689116716384804,0.7052902579307556
G3BP1,Q13283,Q9UKV8,29395067,AGO2,0.9298263788223261,0.5750792622566221,0.125312715768814,0.8902974128723141,0.5711804032325745
G3BP1,Q13283,Q14671,29395067,PUM1,0.9298263788223261,0.5750792622566221,0.9372653961181641,0.9234544038772581,0.7498682737350464
G3BP1,Q13283,Q9H9G7,29395067,AGO3,0.9298263788223261,0.5750792622566221,0.07245331257581701,0.351395457983016,0.6405643224716187
G3BP1,Q13283,Q14444,29395067,CAPRIN1,0.9298263788223261,0.5750792622566221,0.9350892305374141,0.92366886138916,0.7168375253677368
G3BP1,Q13283,Q7Z739,29395067,YTHDF3,0.9298263788223261,0.5750792622566221,0.9342164993286131,0.743057370185852,0.7950356006622314
G3BP1,Q13283,Q5TC82,29395067,RC3H1,0.9298263788223261,0.5750792622566221,0.473352253437042,0.488165706396102,0.6106250286102295
G3BP1,Q13283,Q14157,29395067,UBAP2L,0.9298263788223261,0.5750792622566221,0.9456149339675901,0.953562080860137,0.8177117109298706
G3BP1,Q13283,P51114,29395067,FXR1,0.9298263788223261,0.5750792622566221,0.8444389104843141,0.922883689403533,0.672927975654602
G3BP1,Q13283,Q9UNY4,29395067,TTF2,0.9298263788223261,0.5750792622566221,0.47924309968948303,0.487728834152221,0.553970456123352
G3BP1,Q13283,Q9Y520,29395067,PRRC2C,0.9298263788223261,0.5750792622566221,0.9226905703544611,0.859529852867126,0.6200203895568848
G3BP1,Q13283,P42694,29395067,HELZ,0.9298263788223261,0.5750792622566221,0.8446741104125971,0.836807429790496,0.5973356366157532
G3BP1,Q13283,Q8TB72,29395067,PUM2,0.9298263788223261,0.5750792622566221,0.9371489286422731,0.8310171961784361,0.7455059289932251
G3BP1,Q13283,Q9NUL3,29395067,STAU2,0.9298263788223261,0.5750792622566221,0.8798784017562861,0.8653655052185051,0.7521613836288452
