Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
IMP1,Q9NZI8,Q14103,17289661,HNRNPD,0.525628864765167,0.7955076098442071,0.9480615854263301,0.9498662948608391,0.7089759111404419
IMP1,Q9NZI8,Q08211,17289661,DHX9,0.525628864765167,0.7955076098442071,0.917462527751922,0.8891407251358031,0.7872107625007629
IMP1,Q9NZI8,P61247,17289661,RPS3A,0.525628864765167,0.7955076098442071,0.8025962114334101,0.8848974108695981,0.7279084324836731
IMP1,Q9NZI8,P11940,17289661,PABPC1,0.525628864765167,0.7955076098442071,0.846898555755615,0.945850253105163,0.7807989716529846
IMP1,Q9NZI8,P22626,17289661,HNRNPA2B1,0.525628864765167,0.7955076098442071,0.9508429765701291,0.9583996534347531,0.8382525444030762
IMP1,Q9NZI8,P11142,17289661,HSPA8,0.525628864765167,0.7955076098442071,0.8378546833992001,0.9269744753837581,0.47569918632507324
IMP1,Q9NZI8,O43390,17289661,HNRNPR,0.525628864765167,0.7955076098442071,0.9480364918708801,0.922120869159698,0.8081274032592773
IMP1,Q9NZI8,P67809,17289661,YBX1,0.525628864765167,0.7955076098442071,0.939954459667205,0.940206825733184,0.7599338293075562
IMP1,Q9NZI8,Q09161,17289661,NCBP1,0.525628864765167,0.7955076098442071,0.056551434099674,0.17103108763694702,0.5004045367240906
IMP1,Q9NZI8,P14866,17289661,HNRNPL,0.525628864765167,0.7955076098442071,0.8918371200561521,0.86549699306488,0.8523024320602417
IMP1,Q9NZI8,P46781,17289661,RPS9,0.525628864765167,0.7955076098442071,0.8286309242248531,0.825777411460876,0.6922522187232971
IMP1,Q9NZI8,Q12905,17289661,ILF2,0.525628864765167,0.7955076098442071,0.34543451666831904,0.20666465163230802,0.5326474905014038
IMP1,Q9NZI8,O60506,17289661,SYNCRIP,0.525628864765167,0.7955076098442071,0.9453929662704461,0.9018948674201961,0.6811038255691528
IMP1,Q9NZI8,P60709,17289661,ACTB,0.525628864765167,0.7955076098442071,0.498498767614364,0.541361808776855,0.4978574812412262
IMP1,Q9NZI8,P19338,17289661,NCL,0.525628864765167,0.7955076098442071,0.9307319521903991,0.9547532796859741,0.8026690483093262
IMP1,Q9NZI8,Q86U42,17289661,PABPN1,0.525628864765167,0.7955076098442071,0.8594149351119991,0.8333586454391481,0.798556923866272
IMP1,Q9NZI8,O43707,17289661,ACTN4,0.525628864765167,0.7955076098442071,0.8169784545898431,0.9432820081710811,0.41473978757858276
IMP1,Q9NZI8,P62701,17289661,RPS4X,0.525628864765167,0.7955076098442071,0.656596899032592,0.672099411487579,0.6113405823707581
IMP1,Q9NZI8,P05388,17289661,RPLP0,0.525628864765167,0.7955076098442071,0.29337698221206604,0.279459953308105,0.7515644431114197
IMP1,Q9NZI8,Q12906,17289661,ILF3,0.525628864765167,0.7955076098442071,0.951803565025329,0.9412482976913451,0.7591278553009033
IMP1,Q9NZI8,Q99729,17289661,HNRNPAB,0.525628864765167,0.7955076098442071,0.920922875404357,0.9196254611015321,0.7125519514083862
IMP1,Q9NZI8,Q13310,17289661,PABPC4,0.525628864765167,0.7955076098442071,0.902287125587463,0.9297712445259091,0.7108654379844666
IMP1,Q9NZI8,P62241,17289661,RPS8,0.525628864765167,0.7955076098442071,0.818818569183349,0.927514731884002,0.6285965442657471
IMP1,Q9NZI8,P10155,17289661,RO60,0.525628864765167,0.7955076098442071,0.053539346903562005,0.127002105116844,0.7370495200157166
IMP1,Q9NZI8,P23396,17289661,RPS3,0.525628864765167,0.7955076098442071,0.49388557672500605,0.5887519121170041,0.7073444128036499
