Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
SAP130,BRD4,Q9H0E3,O60885,,,0.303999811,0.124216832
MEIS2,BRD4,O14770,O60885,,,0.581374407,0.270092607
MED1,BRD4,Q15648,O60885,,,0.931457996,0.853610337
NCOR2,BRD4,Q9Y618,O60885,,,0.915248752,0.844435036
BICRA,BRD4,Q9NZM4,O60885,,,0.600150824,0.171152979
GATAD2B,BRD4,Q8WXI9,O60885,,,0.850197792,0.736870646
HDDC3,BRD4,Q8N4P3,O60885,,,0.047344934,0.307612121
PSPC1,BRD4,Q8WXF1,O60885,,,0.913940907,0.895578384
FOXK2,BRD4,Q01167,O60885,,,0.78400594,0.853672862
SMARCC2,BRD4,Q8TAQ2,O60885,,,0.913859844,0.883301437
CTBP1,BRD4,Q13363,O60885,,,0.049536627,0.041882105
RBM25,BRD4,P49756,O60885,,,0.737094164,0.918390393
SMARCE1,BRD4,Q969G3,O60885,,,0.855763257,0.95009625
RBBP4,BRD4,Q09028,O60885,,,0.229144886,0.442891777
RBM12,BRD4,Q9NTZ6,O60885,,,0.892165303,0.669243813
TLE3,BRD4,Q04726,O60885,,,0.74335897,0.898005486
MCM6,BRD4,Q14566,O60885,,,0.449498266,0.870540798
INIP,BRD4,Q9NRY2,O60885,,,0.069109417,0.058471691
UBXN7,BRD4,O94888,O60885,,,0.558146119,0.836545289
CPSF6,BRD4,Q16630,O60885,,,0.873725235,0.908324063
SMAP,BRD4,O00193,O60885,,,0.875684917,0.721243739
PGAM1,BRD4,P18669,O60885,,,0.507895231,0.797797143
CDC5L,BRD4,Q99459,O60885,,,0.828319669,0.873022854
IRF2BP2,BRD4,Q7Z5L9,O60885,,,0.828309238,0.740312517
CSTF2,BRD4,P33240,O60885,,,0.942784607,0.888292789
FAM50A,BRD4,Q14320,O60885,,,0.682646096,0.786463857
SF3A2,BRD4,Q15428,O60885,,,0.685212672,0.100270137
SSB,BRD4,P05455,O60885,,,0.75262183,0.860826373
SRRM1,BRD4,Q8IYB3,O60885,,,0.893278897,0.92537117
QSER1,BRD4,Q2KHR3,O60885,,,0.855063915,0.905227661
ZC3H4,BRD4,Q9UPT8,O60885,,,0.903933406,0.836405277
RBBP7,BRD4,Q16576,O60885,,,0.376483142,0.322929502
HDGFL2,BRD4,Q7Z4V5,O60885,,,0.800866246,0.847060382
TCERG1,BRD4,O14776,O60885,,,0.789466023,0.651003361
BCOR,BRD4,Q6W2J9,O60885,,,0.85332948,0.614456475
SNRNP200,BRD4,O75643,O60885,,,0.103913918,0.727765203
WDR33,BRD4,Q9C0J8,O60885,,,0.868471622,0.770286918
PIN4,BRD4,Q9Y237,O60885,,,0.072432056,0.413693815
HTATSF1,BRD4,O43719,O60885,,,0.874905944,0.942995846
NUMA1,BRD4,Q14980,O60885,,,0.83949995,0.940074801
HMGB2,BRD4,P26583,O60885,,,0.883927464,0.868848205
HMGB3,BRD4,O15347,O60885,,,0.63278091,0.782153189
HMGB1,BRD4,P09429,O60885,,,0.875457168,0.805345178
SET,BRD4,Q01105,O60885,,,0.685994446,0.632419407
CHERP,BRD4,Q8IWX8,O60885,,,0.893025994,0.867660344
HCFC1,BRD4,P51610,O60885,,,0.674918056,0.406061232
BOD1L1,BRD4,Q8NFC6,O60885,,,0.855721593,0.900276482
PSMC1,BRD4,P62191,O60885,,,0.452643216,0.832610428
ZC3H11A,BRD4,O75152,O60885,,,0.810979247,0.899010539
MTA2,BRD4,O94776,O60885,,,0.695479274,0.843136787
RBM10,BRD4,P98175,O60885,,,0.938707471,0.943272948
SRSF11,BRD4,Q05519,O60885,,,0.902296543,0.953120589
SARNP,BRD4,P82979,O60885,,,0.741150558,0.775706589
GPATCH8,BRD4,Q9UKJ3,O60885,,,0.922741055,0.930973351
SF3A3,BRD4,Q12874,O60885,,,0.686619639,0.910972238
DUT,BRD4,P33316,O60885,,,0.5920825,0.71037513
POLR1C,BRD4,O15160,O60885,,,0.15517135,0.210209653
LDHA,BRD4,P00338,O60885,,,0.384854734,0.484086573
PHF6,BRD4,Q8IWS0,O60885,,,0.891751111,0.958864391
SUMO2,BRD4,P61956,O60885,,,0.564872146,0.518477976
HDGF,BRD4,P51858,O60885,,,0.86909914,0.840091586
KDM3B,BRD4,Q7LBC6,O60885,,,0.835511506,0.80197686
PARP1,BRD4,P09874,O60885,,,0.850039601,0.905742049
PRPF40A,BRD4,O75400,O60885,,,0.916608036,0.947467625
ZNF703,BRD4,Q9H7S9,O60885,,,0.817590117,0.508215249
H2AZ2,BRD4,Q71UI9,O60885,,,0.148511186,0.327077568
RACK1,BRD4,P63244,O60885,,,0.511060596,0.669456184
GMPS,BRD4,P49915,O60885,,,0.070413604,0.351172656
SCD,BRD4,O00767,O60885,,,0.113025412,0.076749392
SF3B2,BRD4,Q13435,O60885,,,0.894457817,0.875946999
SNRPD3,BRD4,P62318,O60885,,,0.307663262,0.542262733
PNN,BRD4,Q9H307,O60885,,,0.91589433,0.948989987
TCOF1,BRD4,Q13428,O60885,,,0.941483855,0.886496723
RBM26,BRD4,Q5T8P6,O60885,,,0.802100778,0.924976349
