,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
48923,FUBP3,AGO1,Q96I24,Q9UL18,0.927373111248016,0.896067440509796,0.061913449317216006,0.14257833361625602
48924,FUBP3,AGO2,Q96I24,Q9UKV8,0.927373111248016,0.896067440509796,0.125312715768814,0.8902974128723141
48925,FUBP3,AGO3,Q96I24,Q9H9G7,0.927373111248016,0.896067440509796,0.07245331257581701,0.351395457983016
48928,FUBP3,AIFM1,Q96I24,O95831,0.927373111248016,0.896067440509796,0.6040244698524471,0.545754075050354
48933,FUBP3,ALG13,Q96I24,Q9NP73,0.927373111248016,0.896067440509796,0.364426672458648,0.10586695373058301
48939,FUBP3,AP2A1,Q96I24,O95782,0.927373111248016,0.896067440509796,0.10177560895681301,0.098419055342674
48969,FUBP3,ATXN2,Q96I24,Q99700,0.927373111248016,0.896067440509796,0.9192976951599121,0.844794750213623
48996,FUBP3,CAPRIN1,Q96I24,Q14444,0.927373111248016,0.896067440509796,0.9350892305374141,0.92366886138916
49004,FUBP3,CCAR1,Q96I24,Q8IX12,0.927373111248016,0.896067440509796,0.8194368481636041,0.926390826702117
49029,FUBP3,CDS2,Q96I24,O95674,0.927373111248016,0.896067440509796,0.128048777580261,0.24132911860942802
49032,FUBP3,CELF1,Q96I24,Q92879,0.927373111248016,0.896067440509796,0.289840072393417,0.36571025848388605
49033,FUBP3,CELF2,Q96I24,O95319,0.927373111248016,0.896067440509796,0.6175681352615351,0.626740992069244
49035,FUBP3,CEP85,Q96I24,Q6P2H3,0.927373111248016,0.896067440509796,0.686874747276306,0.628072619438171
49052,FUBP3,CNOT1,Q96I24,A5YKK6,0.927373111248016,0.896067440509796,0.16742576658725702,0.152645871043205
49053,FUBP3,CNOT10,Q96I24,Q9H9A5,0.927373111248016,0.896067440509796,0.048076625913381,0.130353718996047
49054,FUBP3,CNOT11,Q96I24,Q9UKZ1,0.927373111248016,0.896067440509796,0.22426322102546603,0.13013821840286202
49055,FUBP3,CNOT2,Q96I24,Q9NZN8,0.927373111248016,0.896067440509796,0.8796504139900201,0.9464982748031611
49056,FUBP3,CNOT3,Q96I24,O75175,0.927373111248016,0.896067440509796,0.8002820014953611,0.7462113499641411
49058,FUBP3,CNOT7,Q96I24,Q9UIV1,0.927373111248016,0.896067440509796,0.049496985971927004,0.074488848447799
49060,FUBP3,CNOT9,Q96I24,Q92600,0.927373111248016,0.896067440509796,0.08026347309350901,0.085335381329059
49071,FUBP3,CPEB4,Q96I24,Q17RY0,0.927373111248016,0.896067440509796,0.7140009999275201,0.7536411285400391
49077,FUBP3,CPSF6,Q96I24,Q16630,0.927373111248016,0.896067440509796,0.873725235462188,0.908324062824249
49078,FUBP3,CPSF7,Q96I24,Q8N684,0.927373111248016,0.896067440509796,0.806454062461853,0.8767009973526001
49096,FUBP3,DAP3,Q96I24,P51398,0.927373111248016,0.896067440509796,0.46670717000961304,0.442288011312484
49097,FUBP3,DAZAP1,Q96I24,Q96EP5,0.927373111248016,0.896067440509796,0.927461624145507,0.676906406879425
49103,FUBP3,DDX1,Q96I24,Q92499,0.927373111248016,0.896067440509796,0.388328939676284,0.785437881946563
49115,FUBP3,DDX6,Q96I24,P26196,0.927373111248016,0.896067440509796,0.7578027248382561,0.9421802759170531
49145,FUBP3,DZIP3,Q96I24,Q86Y13,0.927373111248016,0.896067440509796,0.048956498503685004,0.258854359388351
49170,FUBP3,EIF4ENIF1,Q96I24,Q9NRA8,0.927373111248016,0.896067440509796,0.918528199195861,0.8912989497184751
49188,FUBP3,ESRP2,Q96I24,Q9H6T0,0.927373111248016,0.896067440509796,0.08741116523742601,0.062109589576721004
49193,FUBP3,FAM120A,Q96I24,Q9NZB2,0.927373111248016,0.896067440509796,0.8501178622245781,0.8586925268173211
49194,FUBP3,FAM120C,Q96I24,Q9NX05,0.927373111248016,0.896067440509796,0.23158136010169902,0.102664865553379
49196,FUBP3,FAM98A,Q96I24,Q8NCA5,0.927373111248016,0.896067440509796,0.896835446357727,0.863439083099365
49210,FUBP3,FMR1,Q96I24,Q06787,0.927373111248016,0.896067440509796,0.5003023147583,0.9142025709152221
49212,FUBP3,FUBP1,Q96I24,Q96AE4,0.927373111248016,0.896067440509796,0.9466724395751951,0.7661437392234801
49213,FUBP3,FUS,Q96I24,P35637,0.927373111248016,0.896067440509796,0.9297906756401061,0.9113988876342771
49217,FUBP3,G3BP2,Q96I24,Q9UN86,0.927373111248016,0.896067440509796,0.827478051185607,0.9036784172058101
49222,FUBP3,GIGYF1,Q96I24,O75420,0.927373111248016,0.896067440509796,0.8790502548217771,0.863427340984344
49224,FUBP3,GLE1,Q96I24,Q53GS7,0.927373111248016,0.896067440509796,0.05024389177560801,0.25106167793273904
49234,FUBP3,GRSF1,Q96I24,Q12849,0.927373111248016,0.896067440509796,0.371622174978256,0.32188338041305503
49239,FUBP3,GTPBP1,Q96I24,O00178,0.927373111248016,0.896067440509796,0.713772177696228,0.446460396051406
49251,FUBP3,HELZ,Q96I24,P42694,0.927373111248016,0.896067440509796,0.8446741104125971,0.836807429790496
49265,FUBP3,HNRNPA2B1,Q96I24,P22626,0.927373111248016,0.896067440509796,0.9508429765701291,0.9583996534347531
49280,FUBP3,HNRNPUL1,Q96I24,Q9BUJ2,0.927373111248016,0.896067440509796,0.8471181988716121,0.761973857879638
49301,FUBP3,IGF2BP1,Q96I24,Q9NZI8,0.927373111248016,0.896067440509796,0.525628864765167,0.7955076098442071
49302,FUBP3,IGF2BP2,Q96I24,Q9Y6M1,0.927373111248016,0.896067440509796,0.7169618606567381,0.877931773662567
49303,FUBP3,IGF2BP3,Q96I24,O00425,0.927373111248016,0.896067440509796,0.408983945846557,0.649566054344177
49322,FUBP3,KHSRP,Q96I24,Q92945,0.927373111248016,0.896067440509796,0.9505808949470521,0.8972858190536491
49338,FUBP3,LARP4B,Q96I24,Q92615,0.927373111248016,0.896067440509796,0.7897013425827021,0.913986682891845
49351,FUBP3,LSM12,Q96I24,Q3MHD2,0.927373111248016,0.896067440509796,0.170231625437736,0.389593958854675
49352,FUBP3,LSM14A,Q96I24,Q8ND56,0.927373111248016,0.896067440509796,0.931010067462921,0.93739902973175
49353,FUBP3,LSM14B,Q96I24,Q9BX40,0.927373111248016,0.896067440509796,0.9151313900947571,0.9035645723342891
49360,FUBP3,MAGED1,Q96I24,Q9Y5V3,0.927373111248016,0.896067440509796,0.701351046562194,0.623210549354553
49364,FUBP3,MARF1,Q96I24,Q9Y4F3,0.927373111248016,0.896067440509796,0.10917707532644201,0.290735512971878
49376,FUBP3,MCRIP1,Q96I24,C9JLW8,0.927373111248016,0.896067440509796,0.46052724123001104,0.7145357131958
49377,FUBP3,MCRIP2,Q96I24,Q9BUT9,0.927373111248016,0.896067440509796,0.573536276817321,0.40689116716384804
49380,FUBP3,MEX3A,Q96I24,A1L020,0.927373111248016,0.896067440509796,0.23238852620124803,0.26905071735382
49384,FUBP3,MKRN2,Q96I24,Q9H000,0.927373111248016,0.896067440509796,0.14131464064121202,0.425341367721557
49387,FUBP3,MOV10,Q96I24,Q9HCE1,0.927373111248016,0.896067440509796,0.096921250224113,0.313997954130172
49397,FUBP3,MRPS26,Q96I24,Q9BYN8,0.927373111248016,0.896067440509796,0.05441803857684101,0.19167403876781403
49399,FUBP3,MRPS31,Q96I24,Q92665,0.927373111248016,0.896067440509796,0.37623789906501703,0.6828134059906
49403,FUBP3,MRPS7,Q96I24,Q9Y2R9,0.927373111248016,0.896067440509796,0.18747591972351002,0.611598908901214
49424,FUBP3,NCOA5,Q96I24,Q9HCD5,0.927373111248016,0.896067440509796,0.933055102825164,0.9504990577697751
49443,FUBP3,NUFIP2,Q96I24,Q7Z417,0.927373111248016,0.896067440509796,0.9265759587287901,0.961228013038635
49456,FUBP3,OTUD4,Q96I24,Q01804,0.927373111248016,0.896067440509796,0.7899363040924071,0.5325272679328911
49457,FUBP3,PABPC1,Q96I24,P11940,0.927373111248016,0.896067440509796,0.846898555755615,0.945850253105163
49458,FUBP3,PABPC4,Q96I24,Q13310,0.927373111248016,0.896067440509796,0.902287125587463,0.9297712445259091
49468,FUBP3,PARP12,Q96I24,Q9H0J9,0.927373111248016,0.896067440509796,0.047143492847681004,0.09982393682003
49469,FUBP3,PATL1,Q96I24,Q86TB9,0.927373111248016,0.896067440509796,0.6750744581222531,0.5648705363273621
49536,FUBP3,PRRC2A,Q96I24,P48634,0.927373111248016,0.896067440509796,0.920958399772644,0.771147608757019
49537,FUBP3,PRRC2B,Q96I24,Q5JSZ5,0.927373111248016,0.896067440509796,0.9129469990730281,0.7642971277236931
49538,FUBP3,PRRC2C,Q96I24,Q9Y520,0.927373111248016,0.896067440509796,0.9226905703544611,0.859529852867126
49543,FUBP3,PSPC1,Q96I24,Q8WXF1,0.927373111248016,0.896067440509796,0.9139409065246581,0.8955783843994141
49546,FUBP3,PTBP3,Q96I24,O95758,0.927373111248016,0.896067440509796,0.42364820837974504,0.45767813920974704
49550,FUBP3,PUM1,Q96I24,Q14671,0.927373111248016,0.896067440509796,0.9372653961181641,0.9234544038772581
49551,FUBP3,PUM2,Q96I24,Q8TB72,0.927373111248016,0.896067440509796,0.9371489286422731,0.8310171961784361
49558,FUBP3,R3HDM1,Q96I24,Q15032,0.927373111248016,0.896067440509796,0.9339957237243651,0.8198994398117061
49559,FUBP3,R3HDM2,Q96I24,Q9Y2K5,0.927373111248016,0.896067440509796,0.9390373229980461,0.7770942449569701
49574,FUBP3,RAVER1,Q96I24,Q8IY67,0.927373111248016,0.896067440509796,0.552187025547027,0.46709433197975103
49579,FUBP3,RBM12,Q96I24,Q9NTZ6,0.927373111248016,0.896067440509796,0.8921653032302851,0.669243812561035
49585,FUBP3,RBM20,Q96I24,Q5T481,0.927373111248016,0.896067440509796,0.555946171283721,0.502674341201782
49590,FUBP3,RBM33,Q96I24,Q96EV2,0.927373111248016,0.896067440509796,0.8338820338249201,0.8911052942276001
49595,FUBP3,RBM6,Q96I24,P78332,0.927373111248016,0.896067440509796,0.9158465266227721,0.883028388023376
49596,FUBP3,RBMS1,Q96I24,P29558,0.927373111248016,0.896067440509796,0.819132804870605,0.8230159878730771
49597,FUBP3,RBMS2,Q96I24,Q15434,0.927373111248016,0.896067440509796,0.822883307933807,0.83216392993927
49599,FUBP3,RC3H1,Q96I24,Q5TC82,0.927373111248016,0.896067440509796,0.473352253437042,0.488165706396102
49600,FUBP3,RC3H2,Q96I24,Q9HBD1,0.927373111248016,0.896067440509796,0.380768567323684,0.385693252086639
49695,FUBP3,SECISBP2,Q96I24,Q96T21,0.927373111248016,0.896067440509796,0.08698838204145401,0.25786298513412403
49701,FUBP3,SF1,Q96I24,Q15637,0.927373111248016,0.896067440509796,0.909808754920959,0.847805202007293
49732,FUBP3,SMAP2,Q96I24,Q8WU79,0.927373111248016,0.896067440509796,0.870141685009002,0.8791758418083191
49738,FUBP3,SMG5,Q96I24,Q9UPR3,0.927373111248016,0.896067440509796,0.056534428149461004,0.08168867975473401
49739,FUBP3,SMG7,Q96I24,Q92540,0.927373111248016,0.896067440509796,0.7485496997833251,0.6801263689994811
49795,FUBP3,SYNCRIP,Q96I24,O60506,0.927373111248016,0.896067440509796,0.9453929662704461,0.9018948674201961
49806,FUBP3,TDRD3,Q96I24,Q9H7E2,0.927373111248016,0.896067440509796,0.8975397944450371,0.883250415325164
49807,FUBP3,TDRD7,Q96I24,Q8NHU6,0.927373111248016,0.896067440509796,0.07308381795883101,0.256961673498153
49812,FUBP3,TIAL1,Q96I24,Q01085,0.927373111248016,0.896067440509796,0.921915829181671,0.862836241722106
