,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
127207,ST7,AAAS,Q9NRC1,Q9NRG9,0.044443540275096005,0.03499112650752,0.144291877746582,0.19227409362792902
127222,ST7,ACBD3,Q9NRC1,Q9H3P7,0.044443540275096005,0.03499112650752,0.925505757331848,0.9513220787048341
127223,ST7,ACBD5,Q9NRC1,Q5T8D3,0.044443540275096005,0.03499112650752,0.891287446022033,0.7779191732406611
127225,ST7,ACSL3,Q9NRC1,O95573,0.044443540275096005,0.03499112650752,0.05993826314806901,0.2918022274971
127232,ST7,ADCY9,Q9NRC1,O60503,0.044443540275096005,0.03499112650752,0.04831591993570301,0.22206287086009902
127237,ST7,AFG3L2,Q9NRC1,Q9Y4W6,0.044443540275096005,0.03499112650752,0.06611200422048501,0.293616086244583
127248,ST7,AKAP11,Q9NRC1,Q9UKA4,0.044443540275096005,0.03499112650752,0.587787747383117,0.8515966534614561
127253,ST7,ALDH3A2,Q9NRC1,P51648,0.044443540275096005,0.03499112650752,0.054093427956104,0.06557263433933201
127254,ST7,ALG9,Q9NRC1,Q9H6U8,0.044443540275096005,0.03499112650752,0.064876936376094,0.041206028312444
127256,ST7,ANKLE2,Q9NRC1,Q86XL3,0.044443540275096005,0.03499112650752,0.759124457836151,0.899663090705871
127260,ST7,ANO6,Q9NRC1,Q4KMQ2,0.044443540275096005,0.03499112650752,0.048043683171272,0.05125167965888901
127274,ST7,ARFGAP2,Q9NRC1,Q8N6H7,0.044443540275096005,0.03499112650752,0.845222115516662,0.9366458058357231
127276,ST7,ARHGAP1,Q9NRC1,Q07960,0.044443540275096005,0.03499112650752,0.28443232178688005,0.353564918041229
127280,ST7,ARL6IP5,Q9NRC1,O75915,0.044443540275096005,0.03499112650752,0.060518641024827007,0.07261599600315001
127284,ST7,ATF6,Q9NRC1,P18850,0.044443540275096005,0.03499112650752,0.08449874818325001,0.07375004142522801
127287,ST7,ATL1,Q9NRC1,Q8WXF7,0.044443540275096005,0.03499112650752,0.056005258113145,0.11385808885097501
127292,ST7,ATP2B1,Q9NRC1,P20020,0.044443540275096005,0.03499112650752,0.24271281063556602,0.47189491987228305
127296,ST7,ATP6AP1,Q9NRC1,Q15904,0.044443540275096005,0.03499112650752,0.05351551622152301,0.030472194775938002
127297,ST7,ATP6AP2,Q9NRC1,O75787,0.044443540275096005,0.03499112650752,0.084394484758377,0.047850068658590005
127299,ST7,ATP6V1F,Q9NRC1,Q16864,0.044443540275096005,0.03499112650752,0.072097294032573,0.469684690237045
127302,ST7,AUP1,Q9NRC1,Q9Y679,0.044443540275096005,0.03499112650752,0.28510552644729603,0.23522762954235002
127306,ST7,BCAP31,Q9NRC1,P51572,0.044443540275096005,0.03499112650752,0.051188938319683006,0.14131389558315202
