,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
61955,IGF2BP1,AGO1,Q9NZI8,Q9UL18,0.525628864765167,0.7955076098442071,0.061913449317216006,0.14257833361625602
61956,IGF2BP1,AGO2,Q9NZI8,Q9UKV8,0.525628864765167,0.7955076098442071,0.125312715768814,0.8902974128723141
61967,IGF2BP1,ALG13,Q9NZI8,Q9NP73,0.525628864765167,0.7955076098442071,0.364426672458648,0.10586695373058301
62006,IGF2BP1,ATXN2,Q9NZI8,Q99700,0.525628864765167,0.7955076098442071,0.9192976951599121,0.844794750213623
62034,IGF2BP1,CAPRIN1,Q9NZI8,Q14444,0.525628864765167,0.7955076098442071,0.9350892305374141,0.92366886138916
62058,IGF2BP1,CELF1,Q9NZI8,Q92879,0.525628864765167,0.7955076098442071,0.289840072393417,0.36571025848388605
62059,IGF2BP1,CELF2,Q9NZI8,O95319,0.525628864765167,0.7955076098442071,0.6175681352615351,0.626740992069244
62095,IGF2BP1,CPEB4,Q9NZI8,Q17RY0,0.525628864765167,0.7955076098442071,0.7140009999275201,0.7536411285400391
62104,IGF2BP1,CSDE1,Q9NZI8,O75534,0.525628864765167,0.7955076098442071,0.41829934716224604,0.8530446887016291
62120,IGF2BP1,DAP3,Q9NZI8,P51398,0.525628864765167,0.7955076098442071,0.46670717000961304,0.442288011312484
62127,IGF2BP1,DDX1,Q9NZI8,Q92499,0.525628864765167,0.7955076098442071,0.388328939676284,0.785437881946563
62137,IGF2BP1,DDX3X,Q9NZI8,O00571,0.525628864765167,0.7955076098442071,0.943722367286682,0.9560965299606321
62145,IGF2BP1,DDX6,Q9NZI8,P26196,0.525628864765167,0.7955076098442071,0.7578027248382561,0.9421802759170531
62219,IGF2BP1,EIF4ENIF1,Q9NZI8,Q9NRA8,0.525628864765167,0.7955076098442071,0.918528199195861,0.8912989497184751
62244,IGF2BP1,FAM120A,Q9NZI8,Q9NZB2,0.525628864765167,0.7955076098442071,0.8501178622245781,0.8586925268173211
62245,IGF2BP1,FAM120C,Q9NZI8,Q9NX05,0.525628864765167,0.7955076098442071,0.23158136010169902,0.102664865553379
62246,IGF2BP1,FAM98A,Q9NZI8,Q8NCA5,0.525628864765167,0.7955076098442071,0.896835446357727,0.863439083099365
62260,IGF2BP1,FMR1,Q9NZI8,Q06787,0.525628864765167,0.7955076098442071,0.5003023147583,0.9142025709152221
62262,IGF2BP1,FUBP3,Q9NZI8,Q96I24,0.525628864765167,0.7955076098442071,0.927373111248016,0.896067440509796
62266,IGF2BP1,G3BP1,Q9NZI8,Q13283,0.525628864765167,0.7955076098442071,0.9298263788223261,0.5750792622566221
62267,IGF2BP1,G3BP2,Q9NZI8,Q9UN86,0.525628864765167,0.7955076098442071,0.827478051185607,0.9036784172058101
62284,IGF2BP1,GRSF1,Q9NZI8,Q12849,0.525628864765167,0.7955076098442071,0.371622174978256,0.32188338041305503
62303,IGF2BP1,HELZ,Q9NZI8,P42694,0.525628864765167,0.7955076098442071,0.8446741104125971,0.836807429790496
62320,IGF2BP1,HNRNPAB,Q9NZI8,Q99729,0.525628864765167,0.7955076098442071,0.920922875404357,0.9196254611015321
62323,IGF2BP1,HNRNPDL,Q9NZI8,O14979,0.525628864765167,0.7955076098442071,0.944182753562927,0.8330107927322381
62359,IGF2BP1,IGF2BP2,Q9NZI8,Q9Y6M1,0.525628864765167,0.7955076098442071,0.7169618606567381,0.877931773662567
62360,IGF2BP1,IGF2BP3,Q9NZI8,O00425,0.525628864765167,0.7955076098442071,0.408983945846557,0.649566054344177
62399,IGF2BP1,LARP1B,Q9NZI8,Q659C4,0.525628864765167,0.7955076098442071,0.902065575122833,0.8965162038803101
62400,IGF2BP1,LARP4,Q9NZI8,Q71RC2,0.525628864765167,0.7955076098442071,0.8875218629837031,0.9059172868728631
