Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
NXF1,Q9UBU9,Q03701,29395067,CEBPZ,0.634416103363037,0.7915906310081481,0.276380896568298,0.8146425485610961,0.6187301874160767
NXF1,Q9UBU9,P51398,29395067,DAP3,0.634416103363037,0.7915906310081481,0.46670717000961304,0.442288011312484,0.5939768552780151
NXF1,Q9UBU9,Q96HW7,29395067,INTS4,0.634416103363037,0.7915906310081481,0.071789696812629,0.06808091700077,0.4976997971534729
NXF1,Q9UBU9,O00712,29395067,NFIB,0.634416103363037,0.7915906310081481,0.681492686271667,0.8011502027511591,0.5127350091934204
NXF1,Q9UBU9,Q92989,29395067,CLP1,0.634416103363037,0.7915906310081481,0.051709782332181,0.06933261454105301,0.5037132501602173
NXF1,Q9UBU9,Q99873,29395067,PRMT1,0.634416103363037,0.7915906310081481,0.08781240880489301,0.23695997893810203,0.5441796183586121
NXF1,Q9UBU9,P98175,29395067,RBM10,0.634416103363037,0.7915906310081481,0.9387074708938591,0.9432729482650751,0.589034914970398
NXF1,Q9UBU9,O95104,29395067,SCAF4,0.634416103363037,0.7915906310081481,0.8121811747550961,0.8054254651069641,0.6559818983078003
NXF1,Q9UBU9,Q14527,29395067,HLTF,0.634416103363037,0.7915906310081481,0.09748598933219901,0.795101523399353,0.6121763586997986
NXF1,Q9UBU9,P55198,29395067,MLLT6,0.634416103363037,0.7915906310081481,0.72869735956192,0.6424074769020081,0.6497453451156616
NXF1,Q9UBU9,Q8IXM3,29395067,MRPL41,0.634416103363037,0.7915906310081481,0.055657975375652,0.11538808047771401,0.4776797890663147
NXF1,Q9UBU9,P22626,29395067,HNRNPA2B1,0.634416103363037,0.7915906310081481,0.9508429765701291,0.9583996534347531,0.5011081695556641
NXF1,Q9UBU9,Q7Z6E9,29395067,RBBP6,0.634416103363037,0.7915906310081481,0.9128370285034181,0.9011510014533991,0.5938544869422913
NXF1,Q9UBU9,Q92621,29395067,NUP205,0.634416103363037,0.7915906310081481,0.052066206932067004,0.10552529245615001,0.6167218089103699
NXF1,Q9UBU9,Q8N9M1,29395067,C19orf47,0.634416103363037,0.7915906310081481,0.32374054193496704,0.44308933615684504,0.4139463007450104
NXF1,Q9UBU9,O60231,29395067,DHX16,0.634416103363037,0.7915906310081481,0.056765418499708,0.703187584877014,0.5894333124160767
NXF1,Q9UBU9,P17480,29395067,UBTF,0.634416103363037,0.7915906310081481,0.8725005984306331,0.8459479212760921,0.6266711950302124
NXF1,Q9UBU9,P62244,29395067,RPS15A,0.634416103363037,0.7915906310081481,0.18825611472129802,0.25874349474906905,0.5306346416473389
NXF1,Q9UBU9,Q96EL2,29395067,MRPS24,0.634416103363037,0.7915906310081481,0.059699077159166,0.08907265961170101,0.5467293858528137
NXF1,Q9UBU9,O43396,29395067,TXNL1,0.634416103363037,0.7915906310081481,0.280564069747924,0.82830411195755,0.592995285987854
NXF1,Q9UBU9,P52756,29395067,RBM5,0.634416103363037,0.7915906310081481,0.9291881322860711,0.9209715723991391,0.3029668927192688
NXF1,Q9UBU9,P62829,29395067,RPL23,0.634416103363037,0.7915906310081481,0.517028212547302,0.44695058465003906,0.5244410634040833
NXF1,Q9UBU9,Q8N684,29395067,CPSF7,0.634416103363037,0.7915906310081481,0.806454062461853,0.8767009973526001,0.6829887628555298
