,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,PATL1,Q86TB9,Q96KQ4,29395067,PPP1R13B,0.6750744581222531,0.5648705363273621,0.150505438446998,0.136277213692665,0.7455480098724365
1,PATL1,Q86TB9,Q9NRA8,29395067,EIF4ENIF1,0.6750744581222531,0.5648705363273621,0.918528199195861,0.8912989497184751,0.5540919899940491
2,PATL1,Q86TB9,Q99873,29395067,PRMT1,0.6750744581222531,0.5648705363273621,0.087812408804893,0.236959978938102,0.4150676727294922
3,PATL1,Q86TB9,Q9P2F8,29395067,SIPA1L2,0.6750744581222531,0.5648705363273621,0.8288046121597291,0.60322368144989,0.66895991563797
4,PATL1,Q86TB9,Q92900,29395067,UPF1,0.6750744581222531,0.5648705363273621,0.747238278388977,0.7646963596343991,0.635215163230896
5,PATL1,Q86TB9,Q8IZD4,29395067,DCP1B,0.6750744581222531,0.5648705363273621,0.706972122192382,0.6831697821617121,0.7652363777160645
6,PATL1,Q86TB9,Q96PC5,29395067,MIA2,0.6750744581222531,0.5648705363273621,0.42403045296669,0.564513981342315,0.5236973762512207
7,PATL1,Q86TB9,Q15032,29395067,R3HDM1,0.6750744581222531,0.5648705363273621,0.9339957237243652,0.8198994398117061,0.5195862650871277
8,PATL1,Q86TB9,Q8IWR0,29395067,ZC3H7A,0.6750744581222531,0.5648705363273621,0.065534330904483,0.528411209583282,0.5831426382064819
9,PATL1,Q86TB9,Q9H9A5,29395067,CNOT10,0.6750744581222531,0.5648705363273621,0.048076625913381,0.130353718996047,0.7289469838142395
10,PATL1,Q86TB9,O75420,29395067,GIGYF1,0.6750744581222531,0.5648705363273621,0.8790502548217771,0.863427340984344,0.5652668476104736
11,PATL1,Q86TB9,Q2KHM9,29395067,KIAA0753,0.6750744581222531,0.5648705363273621,0.12037269771099,0.529889464378356,0.5635634660720825
12,PATL1,Q86TB9,Q9UKV8,29395067,AGO2,0.6750744581222531,0.5648705363273621,0.125312715768814,0.8902974128723141,0.4329636693000793
13,PATL1,Q86TB9,Q96T21,29395067,SECISBP2,0.6750744581222531,0.5648705363273621,0.086988382041454,0.257862985134124,0.4335088729858398
14,PATL1,Q86TB9,Q8IZH2,29395067,XRN1,0.6750744581222531,0.5648705363273621,0.385329663753509,0.270378917455673,0.5351051092147827
15,PATL1,Q86TB9,Q9Y4F3,29395067,MARF1,0.6750744581222531,0.5648705363273621,0.109177075326442,0.290735512971878,0.5296809673309326
16,PATL1,Q86TB9,Q5TC82,29395067,RC3H1,0.6750744581222531,0.5648705363273621,0.473352253437042,0.488165706396102,0.500440239906311
17,PATL1,Q86TB9,Q14671,29395067,PUM1,0.6750744581222531,0.5648705363273621,0.937265396118164,0.923454403877258,0.593079686164856
18,PATL1,Q86TB9,O60884,29395067,DNAJA2,0.6750744581222531,0.5648705363273621,0.18818025290966,0.698748648166656,0.5304428339004517
19,PATL1,Q86TB9,O00178,29395067,GTPBP1,0.6750744581222531,0.5648705363273621,0.713772177696228,0.446460396051406,0.4171212315559387
20,PATL1,Q86TB9,Q86UW6,29395067,N4BP2,0.6750744581222531,0.5648705363273621,0.209052443504333,0.684999763965606,0.6118615865707397
21,PATL1,Q86TB9,P26196,29395067,DDX6,0.6750744581222531,0.5648705363273621,0.7578027248382561,0.9421802759170532,0.598703145980835
22,PATL1,Q86TB9,Q99666,29395067,RGPD6,0.6750744581222531,0.5648705363273621,0.8862866163253781,0.896793723106384,0.7023184895515442
23,PATL1,Q86TB9,Q9UL18,29395067,AGO1,0.6750744581222531,0.5648705363273621,0.061913449317216,0.142578333616256,0.4595993459224701
24,PATL1,Q86TB9,Q96I24,29395067,FUBP3,0.6750744581222531,0.5648705363273621,0.927373111248016,0.896067440509796,0.7118183374404907
25,PATL1,Q86TB9,Q9Y5A9,29395067,YTHDF2,0.6750744581222531,0.5648705363273621,0.942174553871154,0.9018615484237672,0.6151024699211121
26,PATL1,Q86TB9,Q8IWZ3,29395067,ANKHD1,0.6750744581222531,0.5648705363273621,0.6686410307884211,0.484839290380477,0.6755908727645874
27,PATL1,Q86TB9,Q9C0C2,29395067,TNKS1BP1,0.6750744581222531,0.5648705363273621,0.8767286539077751,0.7583819031715391,0.6993764638900757
28,PATL1,Q86TB9,Q8IVD9,29395067,NUDCD3,0.6750744581222531,0.5648705363273621,0.053778309375047,0.7358319163322441,0.4300792217254638
29,PATL1,Q86TB9,Q5JSZ5,29395067,PRRC2B,0.6750744581222531,0.5648705363273621,0.912946999073028,0.7642971277236931,0.6219788789749146
30,PATL1,Q86TB9,O75175,29395067,CNOT3,0.6750744581222531,0.5648705363273621,0.8002820014953611,0.7462113499641411,0.6868422627449036
31,PATL1,Q86TB9,A5YKK6,29395067,CNOT1,0.6750744581222531,0.5648705363273621,0.167425766587257,0.152645871043205,0.7744097709655762
32,PATL1,Q86TB9,Q96F86,29395067,EDC3,0.6750744581222531,0.5648705363273621,0.6413281559944151,0.819340884685516,0.6740608215332031
33,PATL1,Q86TB9,O43164,29395067,PJA2,0.6750744581222531,0.5648705363273621,0.8533995747566221,0.739930748939514,0.5457906126976013
34,PATL1,Q86TB9,O43172,29395067,PRPF4,0.6750744581222531,0.5648705363273621,0.052915804088115,0.3874232172966,0.5983077883720398
35,PATL1,Q86TB9,O95985,29395067,TOP3B,0.6750744581222531,0.5648705363273621,0.050743639469146,0.062615826725959,0.4073712229728699
36,PATL1,Q86TB9,Q9UPR3,29395067,SMG5,0.6750744581222531,0.5648705363273621,0.056534428149461,0.081688679754734,0.3358906209468841
37,PATL1,Q86TB9,Q9UIV1,29395067,CNOT7,0.6750744581222531,0.5648705363273621,0.049496985971927,0.074488848447799,0.7125867605209351
38,PATL1,Q86TB9,Q96M89,29395067,CCDC138,0.6750744581222531,0.5648705363273621,0.369443267583847,0.733980536460876,0.5735020637512207
39,PATL1,Q86TB9,Q8ND56,29395067,LSM14A,0.6750744581222531,0.5648705363273621,0.931010067462921,0.93739902973175,0.5744192004203796
40,PATL1,Q86TB9,Q9UHI6,29395067,DDX20,0.6750744581222531,0.5648705363273621,0.6811448335647581,0.7236361503601071,0.446434736251831
41,PATL1,Q86TB9,O75665,29395067,OFD1,0.6750744581222531,0.5648705363273621,0.622474312782287,0.8247987627983091,0.595666229724884
42,PATL1,Q86TB9,Q9HBD1,29395067,RC3H2,0.6750744581222531,0.5648705363273621,0.380768567323684,0.385693252086639,0.6588574647903442
43,PATL1,Q86TB9,Q9NZN8,29395067,CNOT2,0.6750744581222531,0.5648705363273621,0.8796504139900201,0.9464982748031612,0.7058728933334351
44,PATL1,Q86TB9,Q9BRK4,29395067,LZTS2,0.6750744581222531,0.5648705363273621,0.760938048362731,0.65320861339569,0.6768397092819214
45,PATL1,Q86TB9,Q5JRA6,29395067,MIA3,0.6750744581222531,0.5648705363273621,0.621209442615509,0.7640144228935241,0.5884647965431213
46,PATL1,Q86TB9,Q9UHD2,29395067,TBK1,0.6750744581222531,0.5648705363273621,0.257528513669967,0.688123047351837,0.606708824634552
47,PATL1,Q86TB9,Q9H7E2,29395067,TDRD3,0.6750744581222531,0.5648705363273621,0.8975397944450371,0.883250415325164,0.6297815442085266
48,PATL1,Q86TB9,Q92600,29395067,CNOT9,0.6750744581222531,0.5648705363273621,0.080263473093509,0.085335381329059,0.6833657026290894
49,PATL1,Q86TB9,Q9UPQ9,29395067,TNRC6B,0.6750744581222531,0.5648705363273621,0.915812849998474,0.9256454706192012,0.6637176275253296
50,PATL1,Q86TB9,P06730,29395067,EIF4E,0.6750744581222531,0.5648705363273621,0.6839362382888791,0.718624532222747,0.5157105326652527
51,PATL1,Q86TB9,O95782,29395067,AP2A1,0.6750744581222531,0.5648705363273621,0.101775608956813,0.098419055342674,0.5854702591896057
52,PATL1,Q86TB9,Q7Z3B4,29395067,NUP54,0.6750744581222531,0.5648705363273621,0.700649261474609,0.7247763872146601,0.5007978677749634
53,PATL1,Q86TB9,Q8NB46,29395067,ANKRD52,0.6750744581222531,0.5648705363273621,0.101906910538673,0.22405306994915,0.5695256590843201
