Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
MARF1,Q9Y4F3,Q6XZF7,29395067,DNMBP,0.10917707532644201,0.290735512971878,0.87366497516632,0.8006566762924191,0.596502423286438
MARF1,Q9Y4F3,Q9NRA8,29395067,EIF4ENIF1,0.10917707532644201,0.290735512971878,0.918528199195861,0.8912989497184751,0.6050993204116821
MARF1,Q9Y4F3,A7MCY6,29395067,TBKBP1,0.10917707532644201,0.290735512971878,0.826540350914001,0.911098837852478,0.4248568117618561
MARF1,Q9Y4F3,P46108,29395067,CRK,0.10917707532644201,0.290735512971878,0.910518646240234,0.9445121884346,0.5362480878829956
MARF1,Q9Y4F3,Q9NZN8,29395067,CNOT2,0.10917707532644201,0.290735512971878,0.8796504139900201,0.9464982748031611,0.6123367547988892
MARF1,Q9Y4F3,Q99873,29395067,PRMT1,0.10917707532644201,0.290735512971878,0.08781240880489301,0.23695997893810203,0.5471327900886536
MARF1,Q9Y4F3,Q16795,29395067,NDUFA9,0.10917707532644201,0.290735512971878,0.069075688719749,0.036512773483991005,0.4168151319026947
MARF1,Q9Y4F3,P26196,29395067,DDX6,0.10917707532644201,0.290735512971878,0.7578027248382561,0.9421802759170531,0.510077953338623
MARF1,Q9Y4F3,Q9BYJ9,29395067,YTHDF1,0.10917707532644201,0.290735512971878,0.8564839363098141,0.6895709037780761,0.491964727640152
MARF1,Q9Y4F3,Q9UHD2,29395067,TBK1,0.10917707532644201,0.290735512971878,0.25752851366996704,0.688123047351837,0.4453667104244232
MARF1,Q9Y4F3,Q92900,29395067,UPF1,0.10917707532644201,0.290735512971878,0.747238278388977,0.7646963596343991,0.6242334246635437
MARF1,Q9Y4F3,Q96I24,29395067,FUBP3,0.10917707532644201,0.290735512971878,0.927373111248016,0.896067440509796,0.5743246078491211
MARF1,Q9Y4F3,Q9Y399,29395067,MRPS2,0.10917707532644201,0.290735512971878,0.074320703744888,0.06266940385103201,0.5234438180923462
MARF1,Q9Y4F3,Q8IU60,29395067,DCP2,0.10917707532644201,0.290735512971878,0.9018924832344051,0.9095847010612481,0.6107397675514221
MARF1,Q9Y4F3,Q9Y5A9,29395067,YTHDF2,0.10917707532644201,0.290735512971878,0.9421745538711541,0.9018615484237671,0.6006324887275696
MARF1,Q9Y4F3,Q9BX40,29395067,LSM14B,0.10917707532644201,0.290735512971878,0.9151313900947571,0.9035645723342891,0.5328471064567566
MARF1,Q9Y4F3,P19623,29395067,SRM,0.10917707532644201,0.290735512971878,0.086182340979576,0.09100192040205,0.4404667019844055
MARF1,Q9Y4F3,Q8IZD4,29395067,DCP1B,0.10917707532644201,0.290735512971878,0.706972122192382,0.6831697821617121,0.5827771425247192
MARF1,Q9Y4F3,Q9H7E2,29395067,TDRD3,0.10917707532644201,0.290735512971878,0.8975397944450371,0.883250415325164,0.6022549867630005
MARF1,Q9Y4F3,Q6Q0C0,29395067,TRAF7,0.10917707532644201,0.290735512971878,0.28094649314880304,0.296774983406066,0.5478633046150208
MARF1,Q9Y4F3,Q92600,29395067,CNOT9,0.10917707532644201,0.290735512971878,0.08026347309350901,0.085335381329059,0.5263097882270813
MARF1,Q9Y4F3,Q9UPQ9,29395067,TNRC6B,0.10917707532644201,0.290735512971878,0.9158128499984741,0.9256454706192011,0.6265347599983215
MARF1,Q9Y4F3,Q9H000,29395067,MKRN2,0.10917707532644201,0.290735512971878,0.14131464064121202,0.425341367721557,0.5795206427574158
MARF1,Q9Y4F3,Q15032,29395067,R3HDM1,0.10917707532644201,0.290735512971878,0.9339957237243651,0.8198994398117061,0.511384904384613
MARF1,Q9Y4F3,Q17RY0,29395067,CPEB4,0.10917707532644201,0.290735512971878,0.7140009999275201,0.7536411285400391,0.719783365726471
MARF1,Q9Y4F3,Q9NQC7,29395067,CYLD,0.10917707532644201,0.290735512971878,0.38614088296890203,0.6849821805953981,0.5789717435836792
MARF1,Q9Y4F3,O75175,29395067,CNOT3,0.10917707532644201,0.290735512971878,0.8002820014953611,0.7462113499641411,0.5054131746292114
MARF1,Q9Y4F3,Q9H6S0,29395067,YTHDC2,0.10917707532644201,0.290735512971878,0.353436380624771,0.6989003419876091,0.5316464900970459
