,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,ZSCAN4,Q8NAM6,Q99856,38297188,ARID3A,0.08750656992197,0.097521528601646,0.8628880381584161,0.8800581693649291,0.3730690777301788
1,ZSCAN4,Q8NAM6,Q03164,38297188,KMT2A,0.08750656992197,0.097521528601646,0.894177913665771,0.6923249959945671,0.4626973271369934
2,ZSCAN4,Q8NAM6,Q6P4R8,38297188,NFRKB,0.08750656992197,0.097521528601646,0.417142003774642,0.297662645578384,0.5191295146942139
3,ZSCAN4,Q8NAM6,Q76L83,38297188,ASXL2,0.08750656992197,0.097521528601646,0.8904349207878111,0.763330459594726,0.4489354193210602
4,ZSCAN4,Q8NAM6,O60264,38297188,SMARCA5,0.08750656992197,0.097521528601646,0.552547931671142,0.8939219713211061,0.4366271495819092
5,ZSCAN4,Q8NAM6,Q96L91,38297188,EP400,0.08750656992197,0.097521528601646,0.9262725710868832,0.8487218618392941,0.4485345780849457
6,ZSCAN4,Q8NAM6,Q96KQ7,38297188,EHMT2,0.08750656992197,0.097521528601646,0.632556796073913,0.694043636322021,0.5027427673339844
7,ZSCAN4,Q8NAM6,Q9Y6J0,38297188,CABIN1,0.08750656992197,0.097521528601646,0.195406585931777,0.446572363376617,0.3955531120300293
8,ZSCAN4,Q8NAM6,Q92831,38297188,KAT2B,0.08750656992197,0.097521528601646,0.151816770434379,0.5737894773483271,0.5024428367614746
9,ZSCAN4,Q8NAM6,Q9ULG1,38297188,INO80,0.08750656992197,0.097521528601646,0.128553539514541,0.340622723102569,0.4685850143432617
10,ZSCAN4,Q8NAM6,Q6PJG2,38297188,MIDEAS,0.08750656992197,0.097521528601646,0.934908390045166,0.8523517847061151,0.5604845285415649
11,ZSCAN4,Q8NAM6,Q14781,38297188,CBX2,0.08750656992197,0.097521528601646,0.923794150352478,0.514031529426574,0.4445841312408447
12,ZSCAN4,Q8NAM6,O14593,38297188,RFXANK,0.08750656992197,0.097521528601646,0.057413391768932,0.048442687839269,0.3347635865211487
13,ZSCAN4,Q8NAM6,O15047,38297188,SETD1A,0.08750656992197,0.097521528601646,0.8975480794906611,0.8898701667785641,0.5018945336341858
14,ZSCAN4,Q8NAM6,Q9ULX6,38297188,AKAP8L,0.08750656992197,0.097521528601646,0.88402384519577,0.93467503786087,0.3532442450523376
15,ZSCAN4,Q8NAM6,Q8NBZ0,38297188,INO80E,0.08750656992197,0.097521528601646,0.8272409439086911,0.5003473758697511,0.5289685726165771
16,ZSCAN4,Q8NAM6,Q96KM6,38297188,ZNF512B,0.08750656992197,0.097521528601646,0.679442405700683,0.532916188240051,0.4649941325187683
17,ZSCAN4,Q8NAM6,Q8IWI9,38297188,MGA,0.08750656992197,0.097521528601646,0.89863908290863,0.6139672994613641,0.5290697813034058
18,ZSCAN4,Q8NAM6,Q8N1G0,38297188,ZNF687,0.08750656992197,0.097521528601646,0.7840780019760131,0.598265707492828,0.6232044100761414
19,ZSCAN4,Q8NAM6,Q9H9B1,38297188,EHMT1,0.08750656992197,0.097521528601646,0.056311398744583,0.5437101721763611,0.4807025790214538
20,ZSCAN4,Q8NAM6,Q92618,38297188,ZNF516,0.08750656992197,0.097521528601646,0.189256697893142,0.468013823032379,0.5543597936630249
21,ZSCAN4,Q8NAM6,Q9H2F5,38297188,EPC1,0.08750656992197,0.097521528601646,0.569348692893981,0.697648406028747,0.4249617159366607
22,ZSCAN4,Q8NAM6,O75362,38297188,ZNF217,0.08750656992197,0.097521528601646,0.8150327801704401,0.7866553068161011,0.5188014507293701
23,ZSCAN4,Q8NAM6,Q7Z589,38297188,EMSY,0.08750656992197,0.097521528601646,0.8583018183708191,0.7716549634933471,0.4739016592502594
24,ZSCAN4,Q8NAM6,Q96JM2,38297188,ZNF462,0.08750656992197,0.097521528601646,0.611397445201873,0.7868652939796441,0.3889850974082947
25,ZSCAN4,Q8NAM6,Q12830,38297188,BPTF,0.08750656992197,0.097521528601646,0.931955814361572,0.765294730663299,0.4878074526786804
26,ZSCAN4,Q8NAM6,Q7Z3K3,38297188,POGZ,0.08750656992197,0.097521528601646,0.7502111196517941,0.7358680963516231,0.3945615291595459
27,ZSCAN4,Q8NAM6,Q96QT6,38297188,PHF12,0.08750656992197,0.097521528601646,0.452909469604492,0.712287425994873,0.4183380007743835
28,ZSCAN4,Q8NAM6,Q5VZL5,38297188,ZMYM4,0.08750656992197,0.097521528601646,0.632875621318817,0.882994651794433,0.5492883324623108
29,ZSCAN4,Q8NAM6,Q96BD5,38297188,PHF21A,0.08750656992197,0.097521528601646,0.720266282558441,0.691616415977478,0.3938351571559906
30,ZSCAN4,Q8NAM6,Q92830,38297188,KAT2A,0.08750656992197,0.097521528601646,0.317253559827804,0.11975347995758,0.5174349546432495
31,ZSCAN4,Q8NAM6,Q9BYE7,38297188,PCGF6,0.08750656992197,0.097521528601646,0.244266957044601,0.6908073425292961,0.4935562014579773
32,ZSCAN4,Q8NAM6,Q92766,38297188,RREB1,0.08750656992197,0.097521528601646,0.8091465830802911,0.419720947742462,0.4995016455650329
33,ZSCAN4,Q8NAM6,Q9NPG3,38297188,UBN1,0.08750656992197,0.097521528601646,0.925063133239746,0.628114640712738,0.3709627389907837
34,ZSCAN4,Q8NAM6,Q8TE76,38297188,MORC4,0.08750656992197,0.097521528601646,0.051716554909944,0.322812616825103,0.3746028542518616
35,ZSCAN4,Q8NAM6,Q6ZU65,38297188,UBN2,0.08750656992197,0.097521528601646,0.616424441337585,0.684342086315155,0.4046568274497986
36,ZSCAN4,Q8NAM6,Q9UHF7,38297188,TRPS1,0.08750656992197,0.097521528601646,0.798263907432556,0.513080954551696,0.525701642036438
37,ZSCAN4,Q8NAM6,Q9H582,38297188,ZNF644,0.08750656992197,0.097521528601646,0.053212106227874,0.6640492677688591,0.5339905619621277
38,ZSCAN4,Q8NAM6,O95785,38297188,WIZ,0.08750656992197,0.097521528601646,0.317836731672287,0.422071635723114,0.5888773798942566
39,ZSCAN4,Q8NAM6,O15090,38297188,ZNF536,0.08750656992197,0.097521528601646,0.101045347750186,0.072728842496871,0.4316093921661377
40,ZSCAN4,Q8NAM6,P54198,38297188,HIRA,0.08750656992197,0.097521528601646,0.27421548962593,0.290708720684051,0.4240806996822357
41,ZSCAN4,Q8NAM6,Q5T3J3,38297188,LRIF1,0.08750656992197,0.097521528601646,0.49095731973648,0.670856118202209,0.4820913672447204
42,ZSCAN4,Q8NAM6,Q9H981,38297188,ACTR8,0.08750656992197,0.097521528601646,0.049878571182489,0.358847707509994,0.4510928988456726
