Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
UNK,Q9C0B0,Q96F24,29395067,NRBF2,0.272130399942398,0.432189553976058,0.097208745777606,0.6483745574951171,0.34168919920921326
UNK,Q9C0B0,Q3MHD2,29395067,LSM12,0.272130399942398,0.432189553976058,0.170231625437736,0.389593958854675,0.638353168964386
UNK,Q9C0B0,Q96KQ4,29395067,PPP1R13B,0.272130399942398,0.432189553976058,0.150505438446998,0.13627721369266502,0.7195683717727661
UNK,Q9C0B0,Q9UM82,29395067,SPATA2,0.272130399942398,0.432189553976058,0.523724853992462,0.582949578762054,0.663309633731842
UNK,Q9C0B0,Q9NRA8,29395067,EIF4ENIF1,0.272130399942398,0.432189553976058,0.918528199195861,0.8912989497184751,0.6057658195495605
UNK,Q9C0B0,P11940,29395067,PABPC1,0.272130399942398,0.432189553976058,0.846898555755615,0.945850253105163,0.7122713327407837
UNK,Q9C0B0,Q9BYJ9,29395067,YTHDF1,0.272130399942398,0.432189553976058,0.8564839363098141,0.6895709037780761,0.6561933755874634
UNK,Q9C0B0,Q96Q15,29395067,SMG1,0.272130399942398,0.432189553976058,0.16360141336917802,0.310367941856384,0.35830801725387573
UNK,Q9C0B0,Q92900,29395067,UPF1,0.272130399942398,0.432189553976058,0.747238278388977,0.7646963596343991,0.7428697347640991
UNK,Q9C0B0,Q14694,29395067,USP10,0.272130399942398,0.432189553976058,0.7744724154472351,0.9465939402580261,0.6156681776046753
UNK,Q9C0B0,Q6P1N0,29395067,CC2D1A,0.272130399942398,0.432189553976058,0.7124702930450441,0.6866430640220641,0.49809131026268005
UNK,Q9C0B0,Q86UK7,29395067,ZNF598,0.272130399942398,0.432189553976058,0.41906195878982505,0.487267971038818,0.7252724766731262
UNK,Q9C0B0,Q9BX40,29395067,LSM14B,0.272130399942398,0.432189553976058,0.9151313900947571,0.9035645723342891,0.734546959400177
UNK,Q9C0B0,Q92615,29395067,LARP4B,0.272130399942398,0.432189553976058,0.7897013425827021,0.913986682891845,0.7170105576515198
UNK,Q9C0B0,Q8IZD4,29395067,DCP1B,0.272130399942398,0.432189553976058,0.706972122192382,0.6831697821617121,0.7489687204360962
UNK,Q9C0B0,Q15032,29395067,R3HDM1,0.272130399942398,0.432189553976058,0.9339957237243651,0.8198994398117061,0.5928899049758911
UNK,Q9C0B0,Q8IWR0,29395067,ZC3H7A,0.272130399942398,0.432189553976058,0.065534330904483,0.528411209583282,0.6744803786277771
UNK,Q9C0B0,Q9NZB2,29395067,FAM120A,0.272130399942398,0.432189553976058,0.8501178622245781,0.8586925268173211,0.6780096292495728
UNK,Q9C0B0,P67936,29395067,TPM4,0.272130399942398,0.432189553976058,0.619767487049102,0.55419898033142,0.47061508893966675
UNK,Q9C0B0,Q9H9A5,29395067,CNOT10,0.272130399942398,0.432189553976058,0.048076625913381,0.130353718996047,0.6097391843795776
UNK,Q9C0B0,Q9H0L4,29395067,CSTF2T,0.272130399942398,0.432189553976058,0.944329440593719,0.8998327255249021,0.6641433835029602
UNK,Q9C0B0,Q9UKV8,29395067,AGO2,0.272130399942398,0.432189553976058,0.125312715768814,0.8902974128723141,0.5513783693313599
