Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
RGPD3,DDIT4,A6NKT7,Q9NX09,0.11873258650302801,0.059997446835041005,0.875945210456848,0.915290653705596
ANXA2P2,DDIT4,A6NMY6,Q9NX09,0.11873258650302801,0.059997446835041005,0.073119454085826,0.621489346027374
DDX3Y,DDIT4,O15523,Q9NX09,0.11873258650302801,0.059997446835041005,0.945766150951385,0.8991394042968751
PRMT3,DDIT4,O60678,Q9NX09,0.11873258650302801,0.059997446835041005,0.051685649901628,0.19903443753719302
OBSL1,DDIT4,O75147,Q9NX09,0.11873258650302801,0.059997446835041005,0.04878906160593,0.189065128564834
EIF3G,DDIT4,O75821,Q9NX09,0.11873258650302801,0.059997446835041005,0.810005187988281,0.9082697629928581
,DDIT4,P04436,Q9NX09,0.11873258650302801,0.059997446835041005,,
S100A8,DDIT4,P05109,Q9NX09,0.11873258650302801,0.059997446835041005,0.303830206394195,0.789319336414337
PCCA,DDIT4,P05165,Q9NX09,0.11873258650302801,0.059997446835041005,0.075603663921356,0.35501152276992803
,DDIT4,P0DMW4,Q9NX09,0.11873258650302801,0.059997446835041005,0.065954379737377,0.032675515860319006
KRT13,DDIT4,P13646,Q9NX09,0.11873258650302801,0.059997446835041005,0.9102058410644531,0.9285061955451961
NME1,DDIT4,P15531,Q9NX09,0.11873258650302801,0.059997446835041005,0.568373322486877,0.643221735954284
LMNB1,DDIT4,P20700,Q9NX09,0.11873258650302801,0.059997446835041005,0.784134209156036,0.914153218269348
PCMT1,DDIT4,P22061,Q9NX09,0.11873258650302801,0.059997446835041005,0.064367167651653,0.107295557856559
SPRR1B,DDIT4,P22528,Q9NX09,0.11873258650302801,0.059997446835041005,0.04901904612779601,0.049998279660940004
PRDX3,DDIT4,P30048,Q9NX09,0.11873258650302801,0.059997446835041005,0.12998495995998302,0.10501007735729201
,DDIT4,P30411,Q9NX09,0.11873258650302801,0.059997446835041005,0.06336897611618,0.096823893487453
DNA2,DDIT4,P51530,Q9NX09,0.11873258650302801,0.059997446835041005,0.06197040528059,0.130793422460556
ADAR,DDIT4,P55265,Q9NX09,0.11873258650302801,0.059997446835041005,0.83223021030426,0.746445953845977
RPL27,DDIT4,P61353,Q9NX09,0.11873258650302801,0.059997446835041005,0.5177646875381471,0.725743889808654
RAB11A,DDIT4,P62491,Q9NX09,0.11873258650302801,0.059997446835041005,0.528005957603454,0.9061401486396791
GNB1,DDIT4,P62873,Q9NX09,0.11873258650302801,0.059997446835041005,0.131653219461441,0.21732279658317502
RPL32,DDIT4,P62910,Q9NX09,0.11873258650302801,0.059997446835041005,0.52150958776474,0.688029885292053
CDK5,DDIT4,Q00535,Q9NX09,0.11873258650302801,0.059997446835041005,0.19907878339290602,0.25120443105697604
KRT17,DDIT4,Q04695,Q9NX09,0.11873258650302801,0.059997446835041005,0.857928395271301,0.936194896697998
TGM3,DDIT4,Q08188,Q9NX09,0.11873258650302801,0.059997446835041005,0.07060494273900901,0.337775200605392
ESPL1,DDIT4,Q14674,Q9NX09,0.11873258650302801,0.059997446835041005,0.047711506485939005,0.14773300290107702
KRT71,DDIT4,Q3SY84,Q9NX09,0.11873258650302801,0.059997446835041005,0.8566703796386711,0.7497571706771851
,DDIT4,Q5T750,Q9NX09,0.11873258650302801,0.059997446835041005,0.19855500757694203,0.059239715337753004
,DDIT4,Q6NVV1,Q9NX09,0.11873258650302801,0.059997446835041005,0.060014985501766004,0.224340751767158
,DDIT4,Q6ZRI0,Q9NX09,0.11873258650302801,0.059997446835041005,0.09279290586709901,0.038849703967571
KTN1,DDIT4,Q86UP2,Q9NX09,0.11873258650302801,0.059997446835041005,0.25432863831520003,0.7076205611228941
HTR3C,DDIT4,Q8WXA8,Q9NX09,0.11873258650302801,0.059997446835041005,0.053295888006687005,0.033402197062969
ZNF622,DDIT4,Q969S3,Q9NX09,0.11873258650302801,0.059997446835041005,0.628869473934173,0.802281558513641
H2AC12,DDIT4,Q96KK5,Q9NX09,0.11873258650302801,0.059997446835041005,0.5143243670463561,0.589759826660156
CCDC74B,DDIT4,Q96LY2,Q9NX09,0.11873258650302801,0.059997446835041005,0.09043584764003701,0.291878372430801
CDC5L,DDIT4,Q99459,Q9NX09,0.11873258650302801,0.059997446835041005,0.8283196687698361,0.8730228543281551
NCAPG,DDIT4,Q9BPX3,Q9NX09,0.11873258650302801,0.059997446835041005,0.196531742811203,0.287716329097747
,DDIT4,Q9BYW3,Q9NX09,0.11873258650302801,0.059997446835041005,0.06613270193338301,0.029235240072011004
DDIT4,DDIT4,Q9NX09,Q9NX09,0.11873258650302801,0.059997446835041005,0.11873258650302801,0.059997446835041005
LYAR,DDIT4,Q9NX58,Q9NX09,0.11873258650302801,0.059997446835041005,0.7247268557548521,0.875012695789337
KLHL13,DDIT4,Q9P2N7,Q9NX09,0.11873258650302801,0.059997446835041005,0.046320188790559005,0.053489319980144
SYNRG,DDIT4,Q9UMZ2,Q9NX09,0.11873258650302801,0.059997446835041005,0.9314238429069511,0.8607153892517091
SMC3,DDIT4,Q9UQE7,Q9NX09,0.11873258650302801,0.059997446835041005,0.5335897803306581,0.860744476318359
ANXA2P2,DDIT4,A6NMY6,Q9NX09,0.11873258650302801,0.059997446835041005,0.073119454085826,0.621489346027374
UTY,DDIT4,O14607,Q9NX09,0.11873258650302801,0.059997446835041005,0.06804250180721201,0.19870567321777302
ENC1,DDIT4,O14682,Q9NX09,0.11873258650302801,0.059997446835041005,0.05838482826948101,0.064029596745967
DDX3Y,DDIT4,O15523,Q9NX09,0.11873258650302801,0.059997446835041005,0.945766150951385,0.8991394042968751
KRT86,DDIT4,O43790,Q9NX09,0.11873258650302801,0.059997446835041005,0.351473718881607,0.497204393148422
NME2P1,DDIT4,O60361,Q9NX09,0.11873258650302801,0.059997446835041005,0.07375176250934601,0.213431358337402
,DDIT4,O76009,Q9NX09,0.11873258650302801,0.059997446835041005,0.048486657440662,0.27180379629135104
KRT34,DDIT4,O76011,Q9NX09,0.11873258650302801,0.059997446835041005,0.050378382205963,0.050094902515411
GCNT3,DDIT4,O95395,Q9NX09,0.11873258650302801,0.059997446835041005,0.07298353314399701,0.036219254136085004
GPANK1,DDIT4,O95872,Q9NX09,0.11873258650302801,0.059997446835041005,0.053421318531036,0.130073308944702
CYB5R3,DDIT4,P00387,Q9NX09,0.11873258650302801,0.059997446835041005,0.33863621950149503,0.125350996851921
CST4,DDIT4,P01036,Q9NX09,0.11873258650302801,0.059997446835041005,0.328328341245651,0.530511260032653
PCCA,DDIT4,P05165,Q9NX09,0.11873258650302801,0.059997446835041005,0.075603663921356,0.35501152276992803
LCK,DDIT4,P06239,Q9NX09,0.11873258650302801,0.059997446835041005,0.7035393118858331,0.8868877291679381
RPS17,DDIT4,P08708,Q9NX09,0.11873258650302801,0.059997446835041005,0.440060526132583,0.8970975875854491
VSIG8,DDIT4,P0DPA2,Q9NX09,0.11873258650302801,0.059997446835041005,0.072693541646003,0.09344733506441101
KRT13,DDIT4,P13646,Q9NX09,0.11873258650302801,0.059997446835041005,0.9102058410644531,0.9285061955451961
JUP,DDIT4,P14923,Q9NX09,0.11873258650302801,0.059997446835041005,0.398642510175704,0.5219264030456541
PGAM2,DDIT4,P15259,Q9NX09,0.11873258650302801,0.059997446835041005,0.318218648433685,0.6055551767349241
CHAT,DDIT4,P28329,Q9NX09,0.11873258650302801,0.059997446835041005,0.180616065859794,0.088353499770164
PHB1,DDIT4,P35232,Q9NX09,0.11873258650302801,0.059997446835041005,0.47638472914695706,0.247767120599746
DLST,DDIT4,P36957,Q9NX09,0.11873258650302801,0.059997446835041005,0.049471724778413,0.034317791461944004
RPL3,DDIT4,P39023,Q9NX09,0.11873258650302801,0.059997446835041005,0.575566053390502,0.9028822779655451
RPL13A,DDIT4,P40429,Q9NX09,0.11873258650302801,0.059997446835041005,0.08083395659923501,0.8684727549552911
IQGAP1,DDIT4,P46940,Q9NX09,0.11873258650302801,0.059997446835041005,0.6749221086502071,0.707932889461517
KRT6C,DDIT4,P48668,Q9NX09,0.11873258650302801,0.059997446835041005,0.8711656332015991,0.9550510644912721
HSD17B4,DDIT4,P51659,Q9NX09,0.11873258650302801,0.059997446835041005,0.46538510918617204,0.38617557287216103
HNRNPM,DDIT4,P52272,Q9NX09,0.11873258650302801,0.059997446835041005,0.8337320089340211,0.806473612785339
NKX2-5,DDIT4,P52952,Q9NX09,0.11873258650302801,0.059997446835041005,0.523231089115142,0.46835488080978305
ALDH18A1,DDIT4,P54886,Q9NX09,0.11873258650302801,0.059997446835041005,0.049333482980728004,0.130499213933944
