,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
155193,XRN1,AGO1,Q8IZH2,Q9UL18,0.385329663753509,0.270378917455673,0.061913449317216006,0.14257833361625602
155194,XRN1,AGO2,Q8IZH2,Q9UKV8,0.385329663753509,0.270378917455673,0.125312715768814,0.8902974128723141
155212,XRN1,ALG13,Q8IZH2,Q9NP73,0.385329663753509,0.270378917455673,0.364426672458648,0.10586695373058301
155214,XRN1,ALMS1,Q8IZH2,Q8TCU4,0.385329663753509,0.270378917455673,0.261659920215606,0.5576434135437011
155232,XRN1,APC,Q8IZH2,P25054,0.385329663753509,0.270378917455673,0.8914861679077141,0.9267865419387811
155259,XRN1,ATXN2,Q8IZH2,Q99700,0.385329663753509,0.270378917455673,0.9192976951599121,0.844794750213623
155301,XRN1,CCDC138,Q8IZH2,Q96M89,0.385329663753509,0.270378917455673,0.36944326758384705,0.733980536460876
155329,XRN1,CEP131,Q8IZH2,Q9UPN4,0.385329663753509,0.270378917455673,0.8886953592300411,0.91155070066452
155331,XRN1,CEP192,Q8IZH2,Q8TEP8,0.385329663753509,0.270378917455673,0.069603644311428,0.137897923588752
155354,XRN1,CNOT1,Q8IZH2,A5YKK6,0.385329663753509,0.270378917455673,0.16742576658725702,0.152645871043205
155374,XRN1,CPEB4,Q8IZH2,Q17RY0,0.385329663753509,0.270378917455673,0.7140009999275201,0.7536411285400391
155409,XRN1,DCP1A,Q8IZH2,Q9NPI6,0.385329663753509,0.270378917455673,0.41658067703247004,0.9291802644729611
155410,XRN1,DCP1B,Q8IZH2,Q8IZD4,0.385329663753509,0.270378917455673,0.706972122192382,0.6831697821617121
155432,XRN1,DDX6,Q8IZH2,P26196,0.385329663753509,0.270378917455673,0.7578027248382561,0.9421802759170531
155449,XRN1,DIS3L2,Q8IZH2,Q8IYB7,0.385329663753509,0.270378917455673,0.05515082925558001,0.43105274438858004
155453,XRN1,DLG5,Q8IZH2,Q8TDM6,0.385329663753509,0.270378917455673,0.756116449832916,0.714307785034179
155481,XRN1,DYRK1A,Q8IZH2,Q13627,0.385329663753509,0.270378917455673,0.8894637227058411,0.8902149200439451
155487,XRN1,EDC3,Q8IZH2,Q96F86,0.385329663753509,0.270378917455673,0.6413281559944151,0.819340884685516
155488,XRN1,EDC4,Q8IZH2,Q6P2E9,0.385329663753509,0.270378917455673,0.72339904308319,0.47514921426773005
155499,XRN1,EIF2AK2,Q8IZH2,P19525,0.385329663753509,0.270378917455673,0.8587436676025391,0.8271483182907101
155523,XRN1,EIF4ENIF1,Q8IZH2,Q9NRA8,0.385329663753509,0.270378917455673,0.918528199195861,0.8912989497184751
