Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
PC,EPHB4,P11498,P54760,0.43167844414711,0.45850905776023804,0.047976527363061,0.348335325717926
SHB,EPHB4,Q15464,P54760,0.43167844414711,0.45850905776023804,0.894238829612731,0.8755243420600891
UBB,EPHB4,P0CG47,P54760,0.43167844414711,0.45850905776023804,0.687756896018981,0.806820213794708
FRS2,EPHB4,Q8WU20,P54760,0.43167844414711,0.45850905776023804,0.8099207878112791,0.9276622533798211
GPRIN1,EPHB4,Q7Z2K8,P54760,0.43167844414711,0.45850905776023804,0.92313402891159,0.5316421985626221
GPRIN3,EPHB4,Q6ZVF9,P54760,0.43167844414711,0.45850905776023804,0.21506603062152801,0.308421671390533
PHACTR4,EPHB4,Q8IZ21,P54760,0.43167844414711,0.45850905776023804,0.8080450296401971,0.9259374737739561
ITGA2,EPHB4,P17301,P54760,0.43167844414711,0.45850905776023804,0.074826218187808,0.23399710655212402
DSG2,EPHB4,Q14126,P54760,0.43167844414711,0.45850905776023804,0.6336154937744141,0.6835451722145081
STXBP3,EPHB4,O00186,P54760,0.43167844414711,0.45850905776023804,0.074269667267799,0.6993359327316281
PARD3B,EPHB4,Q8TEW8,P54760,0.43167844414711,0.45850905776023804,0.920628726482391,0.7909992933273311
ITGA6,EPHB4,P23229,P54760,0.43167844414711,0.45850905776023804,0.283307254314422,0.613188385963439
JUP,EPHB4,P14923,P54760,0.43167844414711,0.45850905776023804,0.398642510175704,0.5219264030456541
USP6NL,EPHB4,Q92738,P54760,0.43167844414711,0.45850905776023804,0.7880775332450861,0.8910719156265251
TPGS1,EPHB4,Q6ZTW0,P54760,0.43167844414711,0.45850905776023804,0.061829220503568004,0.036350600421428
PRKCI,EPHB4,P41743,P54760,0.43167844414711,0.45850905776023804,0.6468676924705501,0.8960911035537721
SLC4A7,EPHB4,Q9Y6M7,P54760,0.43167844414711,0.45850905776023804,0.626138925552368,0.275566846132278
MARCKSL1,EPHB4,P49006,P54760,0.43167844414711,0.45850905776023804,0.8914558291435241,0.8556493520736691
CDC42EP4,EPHB4,Q9H3Q1,P54760,0.43167844414711,0.45850905776023804,0.721060633659362,0.9344022870063781
CDCA3,EPHB4,Q99618,P54760,0.43167844414711,0.45850905776023804,0.598570823669433,0.6677917242050171
CDH2,EPHB4,P19022,P54760,0.43167844414711,0.45850905776023804,0.046483889222145004,0.164413958787918
PEAK1,EPHB4,Q9H792,P54760,0.43167844414711,0.45850905776023804,0.8012564778327941,0.7799220085144041
DLG1,EPHB4,Q12959,P54760,0.43167844414711,0.45850905776023804,0.7253642082214351,0.9143344163894651
PACSIN2,EPHB4,Q9UNF0,P54760,0.43167844414711,0.45850905776023804,0.928845882415771,0.9036182165145871
PLXNB2,EPHB4,O15031,P54760,0.43167844414711,0.45850905776023804,0.052659697830677005,0.28913635015487604
ANKRD26,EPHB4,Q9UPS8,P54760,0.43167844414711,0.45850905776023804,0.057882629334926,0.561281263828277
PCDH19,EPHB4,Q8TAB3,P54760,0.43167844414711,0.45850905776023804,0.08853729814291,0.134350016713142
VAT1,EPHB4,Q99536,P54760,0.43167844414711,0.45850905776023804,0.188301548361778,0.08772178739309301
SLC39A10,EPHB4,Q9ULF5,P54760,0.43167844414711,0.45850905776023804,0.06421080231666501,0.192080929875373
WDR48,EPHB4,Q8TAF3,P54760,0.43167844414711,0.45850905776023804,0.050351001322269,0.526494860649108
ITGB1,EPHB4,P05556,P54760,0.43167844414711,0.45850905776023804,0.053682554513216005,0.611055016517639
ROR2,EPHB4,Q01974,P54760,0.43167844414711,0.45850905776023804,0.6411607265472411,0.474065363407135
WDR6,EPHB4,Q9NNW5,P54760,0.43167844414711,0.45850905776023804,0.085609972476959,0.07718250155448901
FERMT2,EPHB4,Q96AC1,P54760,0.43167844414711,0.45850905776023804,0.54044109582901,0.681082785129547
VANGL1,EPHB4,Q8TAA9,P54760,0.43167844414711,0.45850905776023804,0.379739463329315,0.210851937532424
CEMIP2,EPHB4,Q9UHN6,P54760,0.43167844414711,0.45850905776023804,0.06825087219476701,0.15812647342681801
TMEM51,EPHB4,Q9NW97,P54760,0.43167844414711,0.45850905776023804,0.5399867296218871,0.6370910406112671
AKAP12,EPHB4,Q02952,P54760,0.43167844414711,0.45850905776023804,0.908454895019531,0.9288336038589471
EHBP1,EPHB4,Q8NDI1,P54760,0.43167844414711,0.45850905776023804,0.787277936935424,0.9465996026992791
JPH1,EPHB4,Q9HDC5,P54760,0.43167844414711,0.45850905776023804,0.9130024909973141,0.6776907444000241
APBB1,EPHB4,O00213,P54760,0.43167844414711,0.45850905776023804,0.263429999351501,0.44789671897888106
BAIAP2,EPHB4,Q9UQB8,P54760,0.43167844414711,0.45850905776023804,0.8252321481704711,0.911631226539611
FCHO2,EPHB4,Q0JRZ9,P54760,0.43167844414711,0.45850905776023804,0.7657761573791501,0.793785989284515
SBF1,EPHB4,O95248,P54760,0.43167844414711,0.45850905776023804,0.265575110912323,0.49951642751693703
EPB41L5,EPHB4,Q9HCM4,P54760,0.43167844414711,0.45850905776023804,0.20411467552185,0.8569900393486021
EGFR,EPHB4,P00533,P54760,0.43167844414711,0.45850905776023804,0.7521615028381341,0.8662506341934201
NDUFAF2,EPHB4,Q8N183,P54760,0.43167844414711,0.45850905776023804,0.6908887624740601,0.531322121620178
