,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
102189,PDCD4,AQR,Q53EL6,O60306,0.7060028910636901,0.9523789286613461,0.06666328012943201,0.139973536133766
102199,PDCD4,ARID2,Q53EL6,Q68CP9,0.7060028910636901,0.9523789286613461,0.886040866374969,0.5421098470687861
102209,PDCD4,ATAD2,Q53EL6,Q6PL18,0.7060028910636901,0.9523789286613461,0.8693124055862421,0.941433310508728
102249,PDCD4,BRCA1,Q53EL6,P38398,0.7060028910636901,0.9523789286613461,0.8090798258781431,0.709205985069274
102279,PDCD4,CACTIN,Q53EL6,Q8WUQ7,0.7060028910636901,0.9523789286613461,0.5397652387619011,0.6840378642082211
102323,PDCD4,CDCA2,Q53EL6,Q69YH5,0.7060028910636901,0.9523789286613461,0.9083366394042961,0.6187341809272761
102354,PDCD4,CIC,Q53EL6,Q96RK0,0.7060028910636901,0.9523789286613461,0.9094964265823361,0.674268245697021
102367,PDCD4,COIL,Q53EL6,P38432,0.7060028910636901,0.9523789286613461,0.942740082740783,0.876527309417724
102386,PDCD4,CRNKL1,Q53EL6,Q9BZJ0,0.7060028910636901,0.9523789286613461,0.059319127351045005,0.22416272759437503
102398,PDCD4,CUL1,Q53EL6,Q13616,0.7060028910636901,0.9523789286613461,0.10184387117624201,0.41862350702285706
102403,PDCD4,CWC22,Q53EL6,Q9HCG8,0.7060028910636901,0.9523789286613461,0.742023468017578,0.8475653529167171
102405,PDCD4,CWF19L1,Q53EL6,Q69YN2,0.7060028910636901,0.9523789286613461,0.05082858726382201,0.09357423335313701
102503,PDCD4,EIF3D,Q53EL6,O15371,0.7060028910636901,0.9523789286613461,0.6831145286560051,0.84345805644989
102535,PDCD4,EP400,Q53EL6,Q96L91,0.7060028910636901,0.9523789286613461,0.9262725710868831,0.8487218618392941
102569,PDCD4,FAM50A,Q53EL6,Q14320,0.7060028910636901,0.9523789286613461,0.6826460957527161,0.7864638566970821
102720,PDCD4,INTS12,Q53EL6,Q96CB8,0.7060028910636901,0.9523789286613461,0.255623430013656,0.400841236114501
102759,PDCD4,KMT2B,Q53EL6,Q9UMN6,0.7060028910636901,0.9523789286613461,0.6845542192459101,0.594275832176208
102843,PDCD4,MFAP1,Q53EL6,P55081,0.7060028910636901,0.9523789286613461,0.800705790519714,0.822628378868103
102853,PDCD4,MORC2,Q53EL6,Q9Y6X9,0.7060028910636901,0.9523789286613461,0.6774661540985101,0.905042648315429
102905,PDCD4,NELFCD,Q53EL6,Q8IXH7,0.7060028910636901,0.9523789286613461,0.051773738116025,0.035724855959415006
102985,PDCD4,PARN,Q53EL6,O95453,0.7060028910636901,0.9523789286613461,0.829028308391571,0.731413900852203
102998,PDCD4,PCYT1A,Q53EL6,P49585,0.7060028910636901,0.9523789286613461,0.681787073612213,0.9259318113327021
103004,PDCD4,PDIA3,Q53EL6,P30101,0.7060028910636901,0.9523789286613461,0.812806963920593,0.9501544237136841
103062,PDCD4,POLR3C,Q53EL6,Q9BUI4,0.7060028910636901,0.9523789286613461,0.06253792345523801,0.45837599039077703
103220,PDCD4,RPA2,Q53EL6,P15927,0.7060028910636901,0.9523789286613461,0.5286818742752071,0.651308178901672
103305,PDCD4,RSF1,Q53EL6,Q96T23,0.7060028910636901,0.9523789286613461,0.8393497467041011,0.841776371002197
103362,PDCD4,SGO2,Q53EL6,Q562F6,0.7060028910636901,0.9523789286613461,0.596998512744903,0.8961734771728511
103383,PDCD4,SLC4A1AP,Q53EL6,Q9BWU0,0.7060028910636901,0.9523789286613461,0.6150071620941161,0.827597022056579
103387,PDCD4,SMARCA4,Q53EL6,P51532,0.7060028910636901,0.9523789286613461,0.9253937602043151,0.7949035167694091
103400,PDCD4,SMCHD1,Q53EL6,A6NHR9,0.7060028910636901,0.9523789286613461,0.066517755389213,0.22187897562980602
103437,PDCD4,SRPK2,Q53EL6,P78362,0.7060028910636901,0.9523789286613461,0.425532758235931,0.6738761663436891
103476,PDCD4,SUPT5H,Q53EL6,O00267,0.7060028910636901,0.9523789286613461,0.945541739463806,0.8569957017898561
103500,PDCD4,TCF20,Q53EL6,Q9UGU0,0.7060028910636901,0.9523789286613461,0.938023686408996,0.906962275505065
103523,PDCD4,TLK2,Q53EL6,Q86UE8,0.7060028910636901,0.9523789286613461,0.8514998555183411,0.655187249183654
103537,PDCD4,TOP2B,Q53EL6,Q02880,0.7060028910636901,0.9523789286613461,0.9176777005195611,0.8627386093139641
103538,PDCD4,TOPBP1,Q53EL6,Q92547,0.7060028910636901,0.9523789286613461,0.3506760597229,0.8482675552368161
103547,PDCD4,TRA2B,Q53EL6,P62995,0.7060028910636901,0.9523789286613461,0.9048864245414731,0.9517022371292111
103627,PDCD4,WDHD1,Q53EL6,O75717,0.7060028910636901,0.9523789286613461,0.7832458615303041,0.8864896893501281
103656,PDCD4,YAP1,Q53EL6,P46937,0.7060028910636901,0.9523789286613461,0.9448117017745971,0.841596484184265
103679,PDCD4,ZC3H4,Q53EL6,Q9UPT8,0.7060028910636901,0.9523789286613461,0.9039334058761591,0.836405277252197
