,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,SATB2,Q9UPW6,Q12873,38297188,CHD3,0.380608201026916,0.277171999216079,0.8584715127944941,0.906457901000976,0.585220992565155
1,SATB2,Q9UPW6,Q96DT7,38297188,ZBTB10,0.380608201026916,0.277171999216079,0.5852702260017391,0.197234526276588,0.6777288317680359
2,SATB2,Q9UPW6,Q63HK5,38297188,TSHZ3,0.380608201026916,0.277171999216079,0.9172309041023252,0.7546250820159911,0.6444900035858154
3,SATB2,Q9UPW6,Q9NSC2,38297188,SALL1,0.380608201026916,0.277171999216079,0.236197784543037,0.514240384101867,0.4759030938148498
4,SATB2,Q9UPW6,Q5T5X7,38297188,BEND3,0.380608201026916,0.277171999216079,0.7461804151535031,0.873614311218261,0.6218925714492798
5,SATB2,Q9UPW6,Q03112,38297188,MECOM,0.380608201026916,0.277171999216079,0.083625748753547,0.110490009188652,0.4184452593326568
6,SATB2,Q9UPW6,Q9UKY1,38297188,ZHX1,0.380608201026916,0.277171999216079,0.462083250284194,0.47070637345314,0.6233274936676025
7,SATB2,Q9UPW6,Q9Y6X8,38297188,ZHX2,0.380608201026916,0.277171999216079,0.362849056720733,0.630863845348358,0.5205951929092407
8,SATB2,Q9UPW6,Q9ULL5,38297188,PRR12,0.380608201026916,0.277171999216079,0.9016374349594112,0.7530444860458371,0.4856130182743072
9,SATB2,Q9UPW6,O14519,38297188,CDK2AP1,0.380608201026916,0.277171999216079,0.395813405513763,0.309259593486785,0.54042649269104
10,SATB2,Q9UPW6,Q8WXI9,38297188,GATAD2B,0.380608201026916,0.277171999216079,0.8501977920532221,0.736870646476745,0.6852529644966125
11,SATB2,Q9UPW6,Q96K83,38297188,ZNF521,0.380608201026916,0.277171999216079,0.049332611262798,0.08520096540451,0.4699055254459381
12,SATB2,Q9UPW6,Q8IVH2,38297188,FOXP4,0.380608201026916,0.277171999216079,0.8586987257003781,0.825622200965881,0.566202700138092
13,SATB2,Q9UPW6,Q16576,38297188,RBBP7,0.380608201026916,0.277171999216079,0.376483142375946,0.322929501533508,0.5846832394599915
14,SATB2,Q9UPW6,Q15911,38297188,ZFHX3,0.380608201026916,0.277171999216079,0.871009528636932,0.671064734458923,0.6500845551490784
15,SATB2,Q9UPW6,Q9UHF7,38297188,TRPS1,0.380608201026916,0.277171999216079,0.798263907432556,0.513080954551696,0.5622481107711792
16,SATB2,Q9UPW6,Q9UBB5,38297188,MBD2,0.380608201026916,0.277171999216079,0.5664933919906611,0.59124481678009,0.586286187171936
17,SATB2,Q9UPW6,Q86UP3,38297188,ZFHX4,0.380608201026916,0.277171999216079,0.7563455104827881,0.586164414882659,0.5626617074012756
18,SATB2,Q9UPW6,O15090,38297188,ZNF536,0.380608201026916,0.277171999216079,0.101045347750186,0.072728842496871,0.4055583477020263
19,SATB2,Q9UPW6,O60315,38297188,ZEB2,0.380608201026916,0.277171999216079,0.913469433784484,0.701518595218658,0.3864995837211609
