Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
PRKDC,PARP10,P78527,Q53GL7,0.11059232801198901,0.160882145166397,0.26440209150314303,0.5351788401603691
PARP1,PARP10,P09874,Q53GL7,0.11059232801198901,0.160882145166397,0.8500396013259881,0.9057420492172241
DHX9,PARP10,Q08211,Q53GL7,0.11059232801198901,0.160882145166397,0.917462527751922,0.8891407251358031
DDX17,PARP10,Q92841,Q53GL7,0.11059232801198901,0.160882145166397,0.9458964467048641,0.8992398977279661
XPO1,PARP10,O14980,Q53GL7,0.11059232801198901,0.160882145166397,0.07174831628799401,0.087893053889274
XRCC5,PARP10,P13010,Q53GL7,0.11059232801198901,0.160882145166397,0.6526910662651061,0.768329083919525
ILF2,PARP10,Q12905,Q53GL7,0.11059232801198901,0.160882145166397,0.34543451666831904,0.20666465163230802
CKAP5,PARP10,Q14008,Q53GL7,0.11059232801198901,0.160882145166397,0.05202397704124401,0.651074528694152
TPR,PARP10,P12270,Q53GL7,0.11059232801198901,0.160882145166397,0.9194509387016291,0.908265948295593
MYL6,PARP10,P60660,Q53GL7,0.11059232801198901,0.160882145166397,0.632035076618194,0.7239663600921631
SRP68,PARP10,Q9UHB9,Q53GL7,0.11059232801198901,0.160882145166397,0.135160744190216,0.718974232673645
AP3B1,PARP10,O00203,Q53GL7,0.11059232801198901,0.160882145166397,0.04923267289996101,0.326495915651321
DDX6,PARP10,P26196,Q53GL7,0.11059232801198901,0.160882145166397,0.7578027248382561,0.9421802759170531
MAP4,PARP10,P27816,Q53GL7,0.11059232801198901,0.160882145166397,0.7518705725669861,0.8798587918281551
RAB7A,PARP10,P51149,Q53GL7,0.11059232801198901,0.160882145166397,0.40143656730651806,0.6448485255241391
MCM7,PARP10,P33993,Q53GL7,0.11059232801198901,0.160882145166397,0.36773040890693603,0.715516686439514
SMC2,PARP10,O95347,Q53GL7,0.11059232801198901,0.160882145166397,0.055568195879459006,0.34537222981452903
