,Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
864,CDK2AP1,SATB1,O14519,Q01826,0.731394529342651,0.745593428611755,0.39581340551376304,0.309259593486785
865,ZNF536,SATB1,O15090,Q01826,0.731394529342651,0.745593428611755,0.101045347750186,0.072728842496871
866,CHD3,SATB1,Q12873,Q01826,0.731394529342651,0.745593428611755,0.8584715127944941,0.9064579010009761
867,ZFHX3,SATB1,Q15911,Q01826,0.731394529342651,0.745593428611755,0.871009528636932,0.671064734458923
868,TSHZ3,SATB1,Q63HK5,Q01826,0.731394529342651,0.745593428611755,0.9172309041023251,0.7546250820159911
869,ZFHX4,SATB1,Q86UP3,Q01826,0.731394529342651,0.745593428611755,0.7563455104827881,0.586164414882659
870,GATAD2B,SATB1,Q8WXI9,Q01826,0.731394529342651,0.745593428611755,0.8501977920532221,0.736870646476745
871,ZNF521,SATB1,Q96K83,Q01826,0.731394529342651,0.745593428611755,0.049332611262798004,0.08520096540451001
872,SALL1,SATB1,Q9NSC2,Q01826,0.731394529342651,0.745593428611755,0.23619778454303703,0.514240384101867
873,CHD7,SATB1,Q9P2D1,Q01826,0.731394529342651,0.745593428611755,0.8551883697509761,0.825227379798889
874,MBD2,SATB1,Q9UBB5,Q01826,0.731394529342651,0.745593428611755,0.5664933919906611,0.59124481678009
875,TRPS1,SATB1,Q9UHF7,Q01826,0.731394529342651,0.745593428611755,0.798263907432556,0.513080954551696
876,ZHX1,SATB1,Q9UKY1,Q01826,0.731394529342651,0.745593428611755,0.46208325028419406,0.47070637345314004
877,ZHX2,SATB1,Q9Y6X8,Q01826,0.731394529342651,0.745593428611755,0.36284905672073303,0.630863845348358
