Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
AARS2,FMR1,Q5JTZ9,Q06787,0.5003023147583,0.9142025709152221,0.044825937598943,0.041014414280653
ACIN1,FMR1,Q9UKV3,Q06787,0.5003023147583,0.9142025709152221,0.9040901064872741,0.8478371500968931
AGO2,FMR1,Q9UKV8,Q06787,0.5003023147583,0.9142025709152221,0.125312715768814,0.8902974128723141
AKAP13,FMR1,Q12802,Q06787,0.5003023147583,0.9142025709152221,0.8914597630500791,0.8486797213554381
AKAP8,FMR1,O43823,Q06787,0.5003023147583,0.9142025709152221,0.929825782775878,0.8914829492568971
ALPK2,FMR1,Q86TB3,Q06787,0.5003023147583,0.9142025709152221,0.14612671732902502,0.139346569776535
ALYREF,FMR1,Q86V81,Q06787,0.5003023147583,0.9142025709152221,0.9153844118118281,0.9237602353096
AMOTL2,FMR1,Q9Y2J4,Q06787,0.5003023147583,0.9142025709152221,0.7670264840126031,0.7337712049484251
APOBEC3C,FMR1,Q9NRW3,Q06787,0.5003023147583,0.9142025709152221,0.060038603842258,0.047472581267356005
ARID2,FMR1,Q68CP9,Q06787,0.5003023147583,0.9142025709152221,0.886040866374969,0.5421098470687861
ASNS,FMR1,P08243,Q06787,0.5003023147583,0.9142025709152221,0.053628254681825006,0.10443539917469001
ATAD2,FMR1,Q6PL18,Q06787,0.5003023147583,0.9142025709152221,0.8693124055862421,0.941433310508728
ATG16L1,FMR1,Q676U5,Q06787,0.5003023147583,0.9142025709152221,0.054114937782287,0.623270511627197
ATXN2,FMR1,Q99700,Q06787,0.5003023147583,0.9142025709152221,0.9192976951599121,0.844794750213623
ATXN2L,FMR1,Q8WWM7,Q06787,0.5003023147583,0.9142025709152221,0.9328096508979791,0.9160457849502561
BAZ1B,FMR1,Q9UIG0,Q06787,0.5003023147583,0.9142025709152221,0.852472126483917,0.913148701190948
BAZ2A,FMR1,Q9UIF9,Q06787,0.5003023147583,0.9142025709152221,0.23600730299949602,0.5550901889801021
BCLAF1,FMR1,Q9NYF8,Q06787,0.5003023147583,0.9142025709152221,0.9303821325302121,0.892946720123291
BLM,FMR1,P54132,Q06787,0.5003023147583,0.9142025709152221,0.889910817146301,0.714787006378173
BMS1,FMR1,Q14692,Q06787,0.5003023147583,0.9142025709152221,0.07657121121883301,0.501774668693542
BOD1L1,FMR1,Q8NFC6,Q06787,0.5003023147583,0.9142025709152221,0.8557215929031371,0.900276482105255
BRCA1,FMR1,P38398,Q06787,0.5003023147583,0.9142025709152221,0.8090798258781431,0.709205985069274
BUD31,FMR1,P41223,Q06787,0.5003023147583,0.9142025709152221,0.05853324010968201,0.22599320113658902
CAMSAP1,FMR1,Q5T5Y3,Q06787,0.5003023147583,0.9142025709152221,0.7958456873893731,0.783901572227478
CAPRIN1,FMR1,Q14444,Q06787,0.5003023147583,0.9142025709152221,0.9350892305374141,0.92366886138916
CAPZB,FMR1,P47756,Q06787,0.5003023147583,0.9142025709152221,0.617505848407745,0.5862357020378111
CASC3,FMR1,O15234,Q06787,0.5003023147583,0.9142025709152221,0.921288311481475,0.8672043681144711
CBX3,FMR1,Q13185,Q06787,0.5003023147583,0.9142025709152221,0.82945841550827,0.8836170434951781
CCAR1,FMR1,Q8IX12,Q06787,0.5003023147583,0.9142025709152221,0.8194368481636041,0.926390826702117
CCDC9,FMR1,Q9Y3X0,Q06787,0.5003023147583,0.9142025709152221,0.8843119740486141,0.7654430270195001
CCDC9B,FMR1,Q6ZUT6,Q06787,0.5003023147583,0.9142025709152221,0.342159807682037,0.6444792151451111
CDC20,FMR1,Q12834,Q06787,0.5003023147583,0.9142025709152221,0.53283017873764,0.620118856430053
CDC25C,FMR1,P30307,Q06787,0.5003023147583,0.9142025709152221,0.748581886291503,0.8545950651168821
CDC5L,FMR1,Q99459,Q06787,0.5003023147583,0.9142025709152221,0.8283196687698361,0.8730228543281551
CELF1,FMR1,Q92879,Q06787,0.5003023147583,0.9142025709152221,0.289840072393417,0.36571025848388605
CENPF,FMR1,P49454,Q06787,0.5003023147583,0.9142025709152221,0.7555242776870721,0.864892125129699
CEP152,FMR1,O94986,Q06787,0.5003023147583,0.9142025709152221,0.17812380194664001,0.54424500465393
CIRBP,FMR1,Q14011,Q06787,0.5003023147583,0.9142025709152221,0.923255264759063,0.902553856372833
CNBP,FMR1,P62633,Q06787,0.5003023147583,0.9142025709152221,0.7235615849494931,0.8506053686141961
COIL,FMR1,P38432,Q06787,0.5003023147583,0.9142025709152221,0.942740082740783,0.876527309417724
CPEB4,FMR1,Q17RY0,Q06787,0.5003023147583,0.9142025709152221,0.7140009999275201,0.7536411285400391
CREBBP,FMR1,Q92793,Q06787,0.5003023147583,0.9142025709152221,0.922878623008728,0.5410744547843931
CRNKL1,FMR1,Q9BZJ0,Q06787,0.5003023147583,0.9142025709152221,0.059319127351045005,0.22416272759437503
CRYBG1,FMR1,Q9Y4K1,Q06787,0.5003023147583,0.9142025709152221,0.9059988260269161,0.670075893402099
CSDE1,FMR1,O75534,Q06787,0.5003023147583,0.9142025709152221,0.41829934716224604,0.8530446887016291
CSNK1A1,FMR1,P48729,Q06787,0.5003023147583,0.9142025709152221,0.6421653628349301,0.623018741607666
CYFIP2,FMR1,Q96F07,Q06787,0.5003023147583,0.9142025709152221,0.097430683672428,0.08288138359785001
DAZAP1,FMR1,Q96EP5,Q06787,0.5003023147583,0.9142025709152221,0.927461624145507,0.676906406879425
DCP1A,FMR1,Q9NPI6,Q06787,0.5003023147583,0.9142025709152221,0.41658067703247004,0.9291802644729611
DCP1B,FMR1,Q8IZD4,Q06787,0.5003023147583,0.9142025709152221,0.706972122192382,0.6831697821617121
DDX1,FMR1,Q92499,Q06787,0.5003023147583,0.9142025709152221,0.388328939676284,0.785437881946563
DDX11,FMR1,Q96FC9,Q06787,0.5003023147583,0.9142025709152221,0.052321802824735,0.21327766776084903
DDX31,FMR1,Q9H8H2,Q06787,0.5003023147583,0.9142025709152221,0.23770990967750502,0.330950617790222
DDX3X,FMR1,O00571,Q06787,0.5003023147583,0.9142025709152221,0.943722367286682,0.9560965299606321
DDX50,FMR1,Q9BQ39,Q06787,0.5003023147583,0.9142025709152221,0.8592834472656251,0.8659180402755731
DDX6,FMR1,P26196,Q06787,0.5003023147583,0.9142025709152221,0.7578027248382561,0.9421802759170531
DGCR8,FMR1,Q8WYQ5,Q06787,0.5003023147583,0.9142025709152221,0.8413621783256531,0.8342933654785151
DHFR,FMR1,P00374,Q06787,0.5003023147583,0.9142025709152221,0.27983579039573603,0.61221820116043
DHX36,FMR1,Q9H2U1,Q06787,0.5003023147583,0.9142025709152221,0.42503792047500605,0.7768697738647461
DHX57,FMR1,Q6P158,Q06787,0.5003023147583,0.9142025709152221,0.30006697773933405,0.46088534593582103
DIDO1,FMR1,Q9BTC0,Q06787,0.5003023147583,0.9142025709152221,0.9011930227279661,0.887066960334777
DKC1,FMR1,O60832,Q06787,0.5003023147583,0.9142025709152221,0.526835620403289,0.910974144935607
DOCK4,FMR1,Q8N1I0,Q06787,0.5003023147583,0.9142025709152221,0.09998704493045801,0.604189753532409
DTL,FMR1,Q9NZJ0,Q06787,0.5003023147583,0.9142025709152221,0.8514693975448601,0.7716294527053831
EDC3,FMR1,Q96F86,Q06787,0.5003023147583,0.9142025709152221,0.6413281559944151,0.819340884685516
EDC4,FMR1,Q6P2E9,Q06787,0.5003023147583,0.9142025709152221,0.72339904308319,0.47514921426773005
EED,FMR1,O75530,Q06787,0.5003023147583,0.9142025709152221,0.27193567156791604,0.58019083738327
EIF3A,FMR1,Q14152,Q06787,0.5003023147583,0.9142025709152221,0.5604034066200251,0.7044663429260251
EIF3E,FMR1,P60228,Q06787,0.5003023147583,0.9142025709152221,0.08015146851539601,0.246593624353408
