,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,SUPT5H,O00267,Q68CP9,29395067,ARID2,0.945541739463806,0.8569957017898561,0.886040866374969,0.5421098470687861,0.6469237208366394
1,SUPT5H,O00267,Q10570,29395067,CPSF1,0.945541739463806,0.8569957017898561,0.046698998659849,0.220668673515319,0.4196749627590179
2,SUPT5H,O00267,Q6P4R8,29395067,NFRKB,0.945541739463806,0.8569957017898561,0.417142003774642,0.297662645578384,0.6272744536399841
3,SUPT5H,O00267,Q03164,29395067,KMT2A,0.945541739463806,0.8569957017898561,0.894177913665771,0.6923249959945671,0.6818510293960571
4,SUPT5H,O00267,Q96HW7,29395067,INTS4,0.945541739463806,0.8569957017898561,0.071789696812629,0.06808091700077,0.3999844193458557
5,SUPT5H,O00267,Q5VTR2,29395067,RNF20,0.945541739463806,0.8569957017898561,0.109088465571403,0.447483360767364,0.5411185026168823
6,SUPT5H,O00267,Q92989,29395067,CLP1,0.945541739463806,0.8569957017898561,0.051709782332181,0.069332614541053,0.4491775929927826
7,SUPT5H,O00267,O95104,29395067,SCAF4,0.945541739463806,0.8569957017898561,0.8121811747550961,0.8054254651069641,0.7062061429023743
8,SUPT5H,O00267,Q14207,29395067,NPAT,0.945541739463806,0.8569957017898561,0.270749270915985,0.5391300320625301,0.6101529598236084
9,SUPT5H,O00267,Q14004,29395067,CDK13,0.945541739463806,0.8569957017898561,0.8778949975967401,0.919147789478302,0.5811128616333008
10,SUPT5H,O00267,Q8N201,29395067,INTS1,0.945541739463806,0.8569957017898561,0.047040425240993,0.069968961179256,0.4297619462013244
11,SUPT5H,O00267,O14686,29395067,KMT2D,0.945541739463806,0.8569957017898561,0.925096809864044,0.841981589794158,0.5760864615440369
