Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
IGF2BP1,Q9NZI8,P51398,29395067,DAP3,0.525628864765167,0.7955076098442071,0.46670717000961304,0.442288011312484,0.5688927173614502
IGF2BP1,Q9NZI8,Q3MHD2,29395067,LSM12,0.525628864765167,0.7955076098442071,0.170231625437736,0.389593958854675,0.6109026074409485
IGF2BP1,Q9NZI8,P82930,29395067,MRPS34,0.525628864765167,0.7955076098442071,0.047504432499408,0.297109067440032,0.6642619371414185
IGF2BP1,Q9NZI8,Q9NRA8,29395067,EIF4ENIF1,0.525628864765167,0.7955076098442071,0.918528199195861,0.8912989497184751,0.5519218444824219
IGF2BP1,Q9NZI8,Q99873,29395067,PRMT1,0.525628864765167,0.7955076098442071,0.08781240880489301,0.23695997893810203,0.7065050005912781
IGF2BP1,Q9NZI8,P11940,29395067,PABPC1,0.525628864765167,0.7955076098442071,0.846898555755615,0.945850253105163,0.7807989716529846
IGF2BP1,Q9NZI8,Q9BYJ9,29395067,YTHDF1,0.525628864765167,0.7955076098442071,0.8564839363098141,0.6895709037780761,0.5894595384597778
IGF2BP1,Q9NZI8,Q96Q15,29395067,SMG1,0.525628864765167,0.7955076098442071,0.16360141336917802,0.310367941856384,0.2676181197166443
IGF2BP1,Q9NZI8,Q92900,29395067,UPF1,0.525628864765167,0.7955076098442071,0.747238278388977,0.7646963596343991,0.7563510537147522
IGF2BP1,Q9NZI8,Q9H2V7,29395067,SPNS1,0.525628864765167,0.7955076098442071,0.07134641706943501,0.031168118119239002,0.2057180106639862
IGF2BP1,Q9NZI8,Q14694,29395067,USP10,0.525628864765167,0.7955076098442071,0.7744724154472351,0.9465939402580261,0.6435773968696594
IGF2BP1,Q9NZI8,Q92879,29395067,CELF1,0.525628864765167,0.7955076098442071,0.289840072393417,0.36571025848388605,0.7858754396438599
IGF2BP1,Q9NZI8,P62244,29395067,RPS15A,0.525628864765167,0.7955076098442071,0.18825611472129802,0.25874349474906905,0.6972765922546387
IGF2BP1,Q9NZI8,Q9BX40,29395067,LSM14B,0.525628864765167,0.7955076098442071,0.9151313900947571,0.9035645723342891,0.7210164070129395
IGF2BP1,Q9NZI8,Q92615,29395067,LARP4B,0.525628864765167,0.7955076098442071,0.7897013425827021,0.913986682891845,0.6424705982208252
IGF2BP1,Q9NZI8,Q15032,29395067,R3HDM1,0.525628864765167,0.7955076098442071,0.9339957237243651,0.8198994398117061,0.5200730562210083
IGF2BP1,Q9NZI8,Q8NCA5,29395067,FAM98A,0.525628864765167,0.7955076098442071,0.896835446357727,0.863439083099365,0.688665509223938
IGF2BP1,Q9NZI8,Q8IWR0,29395067,ZC3H7A,0.525628864765167,0.7955076098442071,0.065534330904483,0.528411209583282,0.6307989358901978
IGF2BP1,Q9NZI8,Q9NZB2,29395067,FAM120A,0.525628864765167,0.7955076098442071,0.8501178622245781,0.8586925268173211,0.6877301335334778
