,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
139591,THOC1,BTAF1,Q96FV9,O14981,0.15408818423748002,0.317188084125518,0.049722783267498,0.117132268846035
139601,THOC1,C19orf47,Q96FV9,Q8N9M1,0.15408818423748002,0.317188084125518,0.32374054193496704,0.44308933615684504
139673,THOC1,CMTR1,Q96FV9,Q8N1G2,0.15408818423748002,0.317188084125518,0.47197389602661105,0.8571395874023431
139868,THOC1,FAM50A,Q96FV9,Q14320,0.15408818423748002,0.317188084125518,0.6826460957527161,0.7864638566970821
139901,THOC1,GCFC2,Q96FV9,P16383,0.15408818423748002,0.317188084125518,0.7084857225418091,0.780535638332366
139922,THOC1,GTF2E1,Q96FV9,P29083,0.15408818423748002,0.317188084125518,0.7109042406082151,0.7852588891983031
140021,THOC1,IRF2BP2,Q96FV9,Q7Z5L9,0.15408818423748002,0.317188084125518,0.8283092379570001,0.7403125166893001
140071,THOC1,LIG1,Q96FV9,P18858,0.15408818423748002,0.317188084125518,0.7917267084121701,0.8355767130851741
140103,THOC1,MASTL,Q96FV9,Q96GX5,0.15408818423748002,0.317188084125518,0.7282438874244691,0.942070841789245
140118,THOC1,MEF2D,Q96FV9,Q14814,0.15408818423748002,0.317188084125518,0.9296609759330751,0.8554493188858031
140136,THOC1,MRPL37,Q96FV9,Q9BZE1,0.15408818423748002,0.317188084125518,0.053262133151292,0.032799918204545
140262,THOC1,PCF11,Q96FV9,O94913,0.15408818423748002,0.317188084125518,0.9469074010848991,0.812957108020782
140275,THOC1,PDIA4,Q96FV9,P13667,0.15408818423748002,0.317188084125518,0.7911778688430781,0.959105491638183
140329,THOC1,PPIL2,Q96FV9,Q13356,0.15408818423748002,0.317188084125518,0.05338582396507201,0.402096331119537
140400,THOC1,PUS7,Q96FV9,Q96PZ0,0.15408818423748002,0.317188084125518,0.31249359250068603,0.541109681129455
140427,THOC1,RBBP6,Q96FV9,Q7Z6E9,0.15408818423748002,0.317188084125518,0.9128370285034181,0.9011510014533991
140431,THOC1,RBM11,Q96FV9,P57052,0.15408818423748002,0.317188084125518,0.10266538709402001,0.059771329164505005
140438,THOC1,RBM26,Q96FV9,Q5T8P6,0.15408818423748002,0.317188084125518,0.802100777626037,0.9249763488769531
140441,THOC1,RBM33,Q96FV9,Q96EV2,0.15408818423748002,0.317188084125518,0.8338820338249201,0.8911052942276001
140445,THOC1,RBM8A,Q96FV9,Q9Y5S9,0.15408818423748002,0.317188084125518,0.861937701702117,0.7296541333198541
140462,THOC1,RNF113A,Q96FV9,O15541,0.15408818423748002,0.317188084125518,0.8518357276916501,0.8132408261299131
140469,THOC1,RPA3,Q96FV9,P35244,0.15408818423748002,0.317188084125518,0.123822510242462,0.21820373833179402
140545,THOC1,RPS6KA5,Q96FV9,O75582,0.15408818423748002,0.317188084125518,0.490798473358154,0.777584671974182
140563,THOC1,SAE1,Q96FV9,Q9UBE0,0.15408818423748002,0.317188084125518,0.054085887968540004,0.496567726135253
140571,THOC1,SARNP,Q96FV9,P82979,0.15408818423748002,0.317188084125518,0.7411505579948421,0.775706589221954
140624,THOC1,SLC4A1AP,Q96FV9,Q9BWU0,0.15408818423748002,0.317188084125518,0.6150071620941161,0.827597022056579
140672,THOC1,SRPK2,Q96FV9,P78362,0.15408818423748002,0.317188084125518,0.425532758235931,0.6738761663436891
140676,THOC1,SRRM2,Q96FV9,Q9UQ35,0.15408818423748002,0.317188084125518,0.9130838513374321,0.9602382779121391
140678,THOC1,SRSF1,Q96FV9,Q07955,0.15408818423748002,0.317188084125518,0.887233912944793,0.9587386846542351
