Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
ABCD3,Arl5b,P28288,Q96KC2,0.12242269515991201,0.039213769137859004,0.14629311859607602,0.29120755195617604
ALDH3A2,Arl5b,P51648,Q96KC2,0.12242269515991201,0.039213769137859004,0.054093427956104,0.06557263433933201
ARF1,Arl5b,P84077,Q96KC2,0.12242269515991201,0.039213769137859004,0.220100164413452,0.14919516444206202
ARF3,Arl5b,P61204,Q96KC2,0.12242269515991201,0.039213769137859004,0.305057823657989,0.194658353924751
ARF4,Arl5b,P18085,Q96KC2,0.12242269515991201,0.039213769137859004,0.19492988288402502,0.144222512841224
ARF5,Arl5b,P84085,Q96KC2,0.12242269515991201,0.039213769137859004,0.344347596168518,0.146017521619796
ARL5A,Arl5b,Q9Y689,Q96KC2,0.12242269515991201,0.039213769137859004,0.064288713037967,0.04680111259222
ARL5B,Arl5b,Q96KC2,Q96KC2,0.12242269515991201,0.039213769137859004,0.12242269515991201,0.039213769137859004
ATG2B,Arl5b,Q96BY7,Q96KC2,0.12242269515991201,0.039213769137859004,0.047881990671157004,0.402205765247344
ATP5F1B,Arl5b,P06576,Q96KC2,0.12242269515991201,0.039213769137859004,0.46717157959938005,0.516115486621856
ATXN10,Arl5b,Q9UBB4,Q96KC2,0.12242269515991201,0.039213769137859004,0.047861639410257006,0.14462232589721602
CD44,Arl5b,P16070,Q96KC2,0.12242269515991201,0.039213769137859004,0.800391674041748,0.7186809182167051
DNAJA1,Arl5b,P31689,Q96KC2,0.12242269515991201,0.039213769137859004,0.8359858393669121,0.9187051653862001
DNAJA2,Arl5b,O60884,Q96KC2,0.12242269515991201,0.039213769137859004,0.18818025290966,0.698748648166656
DNAJB1,Arl5b,P25685,Q96KC2,0.12242269515991201,0.039213769137859004,0.88402110338211,0.904364943504333
DPM1,Arl5b,O60762,Q96KC2,0.12242269515991201,0.039213769137859004,0.253912836313247,0.338012039661407
ACBD3,Arl5b,Q9H3P7,Q96KC2,0.12242269515991201,0.039213769137859004,0.925505757331848,0.9513220787048341
GOPC,Arl5b,Q9HD26,Q96KC2,0.12242269515991201,0.039213769137859004,0.6516669988632201,0.775031447410583
GORASP2,Arl5b,Q9H8Y8,Q96KC2,0.12242269515991201,0.039213769137859004,0.693106055259704,0.30170124769210804
HDAC2,Arl5b,Q92769,Q96KC2,0.12242269515991201,0.039213769137859004,0.922975897789001,0.8548784255981441
HLA-A,Arl5b,P04439,Q96KC2,0.12242269515991201,0.039213769137859004,0.440503031015396,0.8237566947937011
HLA-C,Arl5b,P10321,Q96KC2,0.12242269515991201,0.039213769137859004,0.528708696365356,0.40553611516952504
EIF5A,Arl5b,P63241,Q96KC2,0.12242269515991201,0.039213769137859004,0.45827165246009804,0.5510624647140501
ITGA3,Arl5b,P26006,Q96KC2,0.12242269515991201,0.039213769137859004,0.051835589110851,0.162099391222
ITGA5,Arl5b,P08648,Q96KC2,0.12242269515991201,0.039213769137859004,0.047245793044567004,0.253566205501556
ITGB1,Arl5b,P05556,Q96KC2,0.12242269515991201,0.039213769137859004,0.053682554513216005,0.611055016517639
ZBTB33,Arl5b,Q86T24,Q96KC2,0.12242269515991201,0.039213769137859004,0.34732794761657704,0.8058387041091911
TMPO,Arl5b,P42166,Q96KC2,0.12242269515991201,0.039213769137859004,0.7278803586959831,0.7248176336288451
SLC7A5,Arl5b,Q01650,Q96KC2,0.12242269515991201,0.039213769137859004,0.06158585473895001,0.034569971263408
LDHB,Arl5b,P07195,Q96KC2,0.12242269515991201,0.039213769137859004,0.40767922997474604,0.30891722440719604
LMAN1,Arl5b,P49257,Q96KC2,0.12242269515991201,0.039213769137859004,0.12342743575572901,0.39322596788406305
LMNA,Arl5b,P02545,Q96KC2,0.12242269515991201,0.039213769137859004,0.8824079632759091,0.9551016092300411
MCAM,Arl5b,P43121,Q96KC2,0.12242269515991201,0.039213769137859004,0.05233037471771201,0.09992568939924201
NPRL3,Arl5b,Q12980,Q96KC2,0.12242269515991201,0.039213769137859004,0.044615127146244,0.042705751955509005
NUDC,Arl5b,Q9Y266,Q96KC2,0.12242269515991201,0.039213769137859004,0.8782745599746701,0.8706012964248651
