,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
12413,CNOT6L,AGO1,Q96LI5,Q9UL18,0.052588243037462006,0.054170239716768,0.061913449317216006,0.14257833361625602
12414,CNOT6L,AGO2,Q96LI5,Q9UKV8,0.052588243037462006,0.054170239716768,0.125312715768814,0.8902974128723141
12415,CNOT6L,AGO3,Q96LI5,Q9H9G7,0.052588243037462006,0.054170239716768,0.07245331257581701,0.351395457983016
12428,CNOT6L,ALMS1,Q96LI5,Q8TCU4,0.052588243037462006,0.054170239716768,0.261659920215606,0.5576434135437011
12433,CNOT6L,ANKHD1,Q96LI5,Q8IWZ3,0.052588243037462006,0.054170239716768,0.6686410307884211,0.484839290380477
12434,CNOT6L,ANKRD17,Q96LI5,O75179,0.052588243037462006,0.054170239716768,0.8482596278190611,0.7491549253463741
12467,CNOT6L,BTG3,Q96LI5,Q14201,0.052588243037462006,0.054170239716768,0.371736824512481,0.5334644317626951
12502,CNOT6L,CEP192,Q96LI5,Q8TEP8,0.052588243037462006,0.054170239716768,0.069603644311428,0.137897923588752
12505,CNOT6L,CEP85,Q96LI5,Q6P2H3,0.052588243037462006,0.054170239716768,0.686874747276306,0.628072619438171
12523,CNOT6L,CNOT1,Q96LI5,A5YKK6,0.052588243037462006,0.054170239716768,0.16742576658725702,0.152645871043205
12524,CNOT6L,CNOT10,Q96LI5,Q9H9A5,0.052588243037462006,0.054170239716768,0.048076625913381,0.130353718996047
12525,CNOT6L,CNOT11,Q96LI5,Q9UKZ1,0.052588243037462006,0.054170239716768,0.22426322102546603,0.13013821840286202
12526,CNOT6L,CNOT2,Q96LI5,Q9NZN8,0.052588243037462006,0.054170239716768,0.8796504139900201,0.9464982748031611
12527,CNOT6L,CNOT3,Q96LI5,O75175,0.052588243037462006,0.054170239716768,0.8002820014953611,0.7462113499641411
12528,CNOT6L,CNOT4,Q96LI5,O95628,0.052588243037462006,0.054170239716768,0.81230479478836,0.8261866569519041
12529,CNOT6L,CNOT6,Q96LI5,Q9ULM6,0.052588243037462006,0.054170239716768,0.04978821426630001,0.08510836213827101
12530,CNOT6L,CNOT7,Q96LI5,Q9UIV1,0.052588243037462006,0.054170239716768,0.049496985971927004,0.074488848447799
12531,CNOT6L,CNOT8,Q96LI5,Q9UFF9,0.052588243037462006,0.054170239716768,0.124943397939205,0.03493395447731
12532,CNOT6L,CNOT9,Q96LI5,Q92600,0.052588243037462006,0.054170239716768,0.08026347309350901,0.085335381329059
12650,CNOT6L,EIF4ENIF1,Q96LI5,Q9NRA8,0.052588243037462006,0.054170239716768,0.918528199195861,0.8912989497184751
12682,CNOT6L,FAM193A,Q96LI5,P78312,0.052588243037462006,0.054170239716768,0.262545526027679,0.46085977554321206
12718,CNOT6L,GPBP1,Q96LI5,Q86WP2,0.052588243037462006,0.054170239716768,0.9238476753234861,0.8661590814590451
12719,CNOT6L,GPBP1L1,Q96LI5,Q9HC44,0.052588243037462006,0.054170239716768,0.8472579121589661,0.7460471391677851
12743,CNOT6L,HELZ,Q96LI5,P42694,0.052588243037462006,0.054170239716768,0.8446741104125971,0.836807429790496
12802,CNOT6L,KIAA0232,Q96LI5,Q92628,0.052588243037462006,0.054170239716768,0.067868523299694,0.27435952425003
12839,CNOT6L,LRSAM1,Q96LI5,Q6UWE0,0.052588243037462006,0.054170239716768,0.118024542927742,0.48596495389938305
12867,CNOT6L,MIB1,Q96LI5,Q86YT6,0.052588243037462006,0.054170239716768,0.052893497049808,0.325507253408432
12889,CNOT6L,N4BP2,Q96LI5,Q86UW6,0.052588243037462006,0.054170239716768,0.20905244350433302,0.684999763965606
12941,CNOT6L,PATL1,Q96LI5,Q86TB9,0.052588243037462006,0.054170239716768,0.6750744581222531,0.5648705363273621
12993,CNOT6L,PPP1R7,Q96LI5,Q15435,0.052588243037462006,0.054170239716768,0.29704037308692904,0.679658889770507
13013,CNOT6L,PRRC2B,Q96LI5,Q5JSZ5,0.052588243037462006,0.054170239716768,0.9129469990730281,0.7642971277236931
13028,CNOT6L,PUM1,Q96LI5,Q14671,0.052588243037462006,0.054170239716768,0.9372653961181641,0.9234544038772581
13029,CNOT6L,PUM2,Q96LI5,Q8TB72,0.052588243037462006,0.054170239716768,0.9371489286422731,0.8310171961784361
13049,CNOT6L,RAVER1,Q96LI5,Q8IY67,0.052588243037462006,0.054170239716768,0.552187025547027,0.46709433197975103
13058,CNOT6L,RC3H1,Q96LI5,Q5TC82,0.052588243037462006,0.054170239716768,0.473352253437042,0.488165706396102
13059,CNOT6L,RC3H2,Q96LI5,Q9HBD1,0.052588243037462006,0.054170239716768,0.380768567323684,0.385693252086639
13154,CNOT6L,SEC16A,Q96LI5,O15027,0.052588243037462006,0.054170239716768,0.914153099060058,0.8749286532402031
13199,CNOT6L,SMG5,Q96LI5,Q9UPR3,0.052588243037462006,0.054170239716768,0.056534428149461004,0.08168867975473401
13200,CNOT6L,SMG7,Q96LI5,Q92540,0.052588243037462006,0.054170239716768,0.7485496997833251,0.6801263689994811
13231,CNOT6L,ST7,Q96LI5,Q9NRC1,0.052588243037462006,0.054170239716768,0.044443540275096005,0.03499112650752
13241,CNOT6L,SUGT1,Q96LI5,Q9Y2Z0,0.052588243037462006,0.054170239716768,0.694065928459167,0.45386987924575806
13257,CNOT6L,TBKBP1,Q96LI5,A7MCY6,0.052588243037462006,0.054170239716768,0.826540350914001,0.911098837852478
13262,CNOT6L,TDRD3,Q96LI5,Q9H7E2,0.052588243037462006,0.054170239716768,0.8975397944450371,0.883250415325164
13274,CNOT6L,TMEM131,Q96LI5,Q92545,0.052588243037462006,0.054170239716768,0.5689479112625121,0.44274908304214405
13278,CNOT6L,TMEM62,Q96LI5,Q0P6H9,0.052588243037462006,0.054170239716768,0.07925160229206,0.027824705466628002
13282,CNOT6L,TNKS1BP1,Q96LI5,Q9C0C2,0.052588243037462006,0.054170239716768,0.8767286539077751,0.7583819031715391
13283,CNOT6L,TNRC6A,Q96LI5,Q8NDV7,0.052588243037462006,0.054170239716768,0.94635409116745,0.9126369357109071
