,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
76001,LSM12,ALMS1,Q3MHD2,Q8TCU4,0.170231625437736,0.389593958854675,0.261659920215606,0.5576434135437011
76044,LSM12,ATXN2,Q3MHD2,Q99700,0.170231625437736,0.389593958854675,0.9192976951599121,0.844794750213623
76045,LSM12,ATXN2L,Q3MHD2,Q8WWM7,0.170231625437736,0.389593958854675,0.9328096508979791,0.9160457849502561
76081,LSM12,CASC3,Q3MHD2,O15234,0.170231625437736,0.389593958854675,0.921288311481475,0.8672043681144711
76180,LSM12,DDX1,Q3MHD2,Q92499,0.170231625437736,0.389593958854675,0.388328939676284,0.785437881946563
76198,LSM12,DDX6,Q3MHD2,P26196,0.170231625437736,0.389593958854675,0.7578027248382561,0.9421802759170531
76317,LSM12,FAM98A,Q3MHD2,Q8NCA5,0.170231625437736,0.389593958854675,0.896835446357727,0.863439083099365
76330,LSM12,FMR1,Q3MHD2,Q06787,0.170231625437736,0.389593958854675,0.5003023147583,0.9142025709152221
76337,LSM12,G3BP2,Q3MHD2,Q9UN86,0.170231625437736,0.389593958854675,0.827478051185607,0.9036784172058101
76386,LSM12,HELZ,Q3MHD2,P42694,0.170231625437736,0.389593958854675,0.8446741104125971,0.836807429790496
76546,LSM12,MCRIP1,Q3MHD2,C9JLW8,0.170231625437736,0.389593958854675,0.46052724123001104,0.7145357131958
76547,LSM12,MCRIP2,Q3MHD2,Q9BUT9,0.170231625437736,0.389593958854675,0.573536276817321,0.40689116716384804
76559,LSM12,MOV10,Q3MHD2,Q9HCE1,0.170231625437736,0.389593958854675,0.096921250224113,0.313997954130172
76623,LSM12,NUFIP2,Q3MHD2,Q7Z417,0.170231625437736,0.389593958854675,0.9265759587287901,0.961228013038635
76645,LSM12,OTUD4,Q3MHD2,Q01804,0.170231625437736,0.389593958854675,0.7899363040924071,0.5325272679328911
76648,LSM12,PABPC1,Q3MHD2,P11940,0.170231625437736,0.389593958854675,0.846898555755615,0.945850253105163
76650,LSM12,PABPC4,Q3MHD2,Q13310,0.170231625437736,0.389593958854675,0.902287125587463,0.9297712445259091
76653,LSM12,PALD1,Q3MHD2,Q9ULE6,0.170231625437736,0.389593958854675,0.055233467370271,0.038078896701335005
76768,LSM12,PUM1,Q3MHD2,Q14671,0.170231625437736,0.389593958854675,0.9372653961181641,0.9234544038772581
76895,LSM12,RTCB,Q3MHD2,Q9Y3I0,0.170231625437736,0.389593958854675,0.05891989544034001,0.30335909128189004
76986,LSM12,SNX6,Q3MHD2,Q9UNH7,0.170231625437736,0.389593958854675,0.212040156126022,0.516595721244812
77056,LSM12,TDRD3,Q3MHD2,Q9H7E2,0.170231625437736,0.389593958854675,0.8975397944450371,0.883250415325164
77080,LSM12,TOP3B,Q3MHD2,O95985,0.170231625437736,0.389593958854675,0.05074363946914601,0.062615826725959
77088,LSM12,TRA2B,Q3MHD2,P62995,0.170231625437736,0.389593958854675,0.9048864245414731,0.9517022371292111
77127,LSM12,UPF1,Q3MHD2,Q92900,0.170231625437736,0.389593958854675,0.747238278388977,0.7646963596343991
77130,LSM12,USP10,Q3MHD2,Q14694,0.170231625437736,0.389593958854675,0.7744724154472351,0.9465939402580261
77131,LSM12,USP11,Q3MHD2,P51784,0.170231625437736,0.389593958854675,0.268640637397766,0.6753271818161011
