,Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
878,ZEB2,SATB2,O60315,Q9UPW6,0.380608201026916,0.27717199921607905,0.9134694337844841,0.701518595218658
879,MECOM,SATB2,Q03112,Q9UPW6,0.380608201026916,0.27717199921607905,0.083625748753547,0.11049000918865201
880,CDK2AP1,SATB2,O14519,Q9UPW6,0.380608201026916,0.27717199921607905,0.39581340551376304,0.309259593486785
881,ZNF536,SATB2,O15090,Q9UPW6,0.380608201026916,0.27717199921607905,0.101045347750186,0.072728842496871
882,CHD3,SATB2,Q12873,Q9UPW6,0.380608201026916,0.27717199921607905,0.8584715127944941,0.9064579010009761
883,ZFHX3,SATB2,Q15911,Q9UPW6,0.380608201026916,0.27717199921607905,0.871009528636932,0.671064734458923
884,RBBP7,SATB2,Q16576,Q9UPW6,0.380608201026916,0.27717199921607905,0.37648314237594604,0.322929501533508
885,BEND3,SATB2,Q5T5X7,Q9UPW6,0.380608201026916,0.27717199921607905,0.7461804151535031,0.873614311218261
886,TSHZ3,SATB2,Q63HK5,Q9UPW6,0.380608201026916,0.27717199921607905,0.9172309041023251,0.7546250820159911
887,ZFHX4,SATB2,Q86UP3,Q9UPW6,0.380608201026916,0.27717199921607905,0.7563455104827881,0.586164414882659
888,FOXP4,SATB2,Q8IVH2,Q9UPW6,0.380608201026916,0.27717199921607905,0.8586987257003781,0.825622200965881
889,GATAD2B,SATB2,Q8WXI9,Q9UPW6,0.380608201026916,0.27717199921607905,0.8501977920532221,0.736870646476745
890,ZBTB10,SATB2,Q96DT7,Q9UPW6,0.380608201026916,0.27717199921607905,0.5852702260017391,0.19723452627658802
891,ZNF521,SATB2,Q96K83,Q9UPW6,0.380608201026916,0.27717199921607905,0.049332611262798004,0.08520096540451001
892,SALL1,SATB2,Q9NSC2,Q9UPW6,0.380608201026916,0.27717199921607905,0.23619778454303703,0.514240384101867
893,MBD2,SATB2,Q9UBB5,Q9UPW6,0.380608201026916,0.27717199921607905,0.5664933919906611,0.59124481678009
894,TRPS1,SATB2,Q9UHF7,Q9UPW6,0.380608201026916,0.27717199921607905,0.798263907432556,0.513080954551696
895,ZHX1,SATB2,Q9UKY1,Q9UPW6,0.380608201026916,0.27717199921607905,0.46208325028419406,0.47070637345314004
896,PRR12,SATB2,Q9ULL5,Q9UPW6,0.380608201026916,0.27717199921607905,0.9016374349594111,0.7530444860458371
897,ZHX2,SATB2,Q9Y6X8,Q9UPW6,0.380608201026916,0.27717199921607905,0.36284905672073303,0.630863845348358
