,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
103768,PRPF19,AP2A1,Q9UMS4,O95782,0.12300635874271301,0.25179237127304,0.10177560895681301,0.098419055342674
103776,PRPF19,AQR,Q9UMS4,O60306,0.12300635874271301,0.25179237127304,0.06666328012943201,0.139973536133766
103808,PRPF19,BCAS2,Q9UMS4,O75934,0.12300635874271301,0.25179237127304,0.21867851912975303,0.323692679405212
103832,PRPF19,C1orf52,Q9UMS4,Q8N6N3,0.12300635874271301,0.25179237127304,0.8333936929702751,0.603134989738464
103862,PRPF19,CCDC6,Q9UMS4,Q16204,0.12300635874271301,0.25179237127304,0.8177748918533321,0.907320320606231
103870,PRPF19,CCP110,Q9UMS4,O43303,0.12300635874271301,0.25179237127304,0.805342018604278,0.846168220043182
103884,PRPF19,CDC40,Q9UMS4,O60508,0.12300635874271301,0.25179237127304,0.205471113324165,0.6695420145988461
103885,PRPF19,CDC5L,Q9UMS4,Q99459,0.12300635874271301,0.25179237127304,0.8283196687698361,0.8730228543281551
103897,PRPF19,CEP170B,Q9UMS4,Q9Y4F5,0.12300635874271301,0.25179237127304,0.852787971496582,0.7049592137336731
103898,PRPF19,CEP192,Q9UMS4,Q8TEP8,0.12300635874271301,0.25179237127304,0.069603644311428,0.137897923588752
103944,PRPF19,CRNKL1,Q9UMS4,Q9BZJ0,0.12300635874271301,0.25179237127304,0.059319127351045005,0.22416272759437503
103953,PRPF19,CTNNBL1,Q9UMS4,Q8WYA6,0.12300635874271301,0.25179237127304,0.054278206080198,0.443033128976821
104116,PRPF19,FAM193A,Q9UMS4,P78312,0.12300635874271301,0.25179237127304,0.262545526027679,0.46085977554321206
104129,PRPF19,FNBP4,Q9UMS4,Q8N3X1,0.12300635874271301,0.25179237127304,0.8751695752143861,0.703818082809448
104243,PRPF19,IFT57,Q9UMS4,Q9NWB7,0.12300635874271301,0.25179237127304,0.055026859045028007,0.504666268825531
104244,PRPF19,IFT74,Q9UMS4,Q96LB3,0.12300635874271301,0.25179237127304,0.052106060087680005,0.477393150329589
104254,PRPF19,INTS9,Q9UMS4,Q9NV88,0.12300635874271301,0.25179237127304,0.089072704315185,0.048030510544776
