,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,TBK1,Q9UHD2,Q7Z7A1,29395067,CNTRL,0.257528513669967,0.688123047351837,0.15195420384407,0.377900570631027,0.6116631031036377
1,TBK1,Q9UHD2,Q8IXJ6,29395067,SIRT2,0.257528513669967,0.688123047351837,0.173480629920959,0.348937511444091,0.5101144909858704
2,TBK1,Q9UHD2,A7MCY6,29395067,TBKBP1,0.257528513669967,0.688123047351837,0.826540350914001,0.911098837852478,0.4515392780303955
3,TBK1,Q9UHD2,Q9BVM2,29395067,DPCD,0.257528513669967,0.688123047351837,0.084830090403556,0.14974159002304,0.3197560906410217
4,TBK1,Q9UHD2,Q9Y230,29395067,RUVBL2,0.257528513669967,0.688123047351837,0.5095028281211851,0.364178508520126,0.5300280451774597
5,TBK1,Q9UHD2,Q9H6S1,29395067,AZI2,0.257528513669967,0.688123047351837,0.709655165672302,0.924411416053772,0.6905521750450134
6,TBK1,Q9UHD2,Q8TCU4,29395067,ALMS1,0.257528513669967,0.688123047351837,0.261659920215606,0.5576434135437011,0.5929740071296692
7,TBK1,Q9UHD2,O95613,29395067,PCNT,0.257528513669967,0.688123047351837,0.281906843185424,0.9304172396659852,0.6684272885322571
8,TBK1,Q9UHD2,Q9NUQ3,29395067,TXLNG,0.257528513669967,0.688123047351837,0.621590018272399,0.8538137674331661,0.5035337209701538
9,TBK1,Q9UHD2,Q08378,29395067,GOLGA3,0.257528513669967,0.688123047351837,0.6427317261695861,0.926845371723175,0.713485836982727
10,TBK1,Q9UHD2,Q96CV9,29395067,OPTN,0.257528513669967,0.688123047351837,0.830765128135681,0.708109319210052,0.455439031124115
11,TBK1,Q9UHD2,Q9C026,29395067,TRIM9,0.257528513669967,0.688123047351837,0.065934509038925,0.136210858821868,0.5778613686561584
12,TBK1,Q9UHD2,P31689,29395067,DNAJA1,0.257528513669967,0.688123047351837,0.8359858393669121,0.9187051653862,0.4768645763397217
13,TBK1,Q9UHD2,Q96SN8,29395067,CDK5RAP2,0.257528513669967,0.688123047351837,0.745358407497406,0.900089740753173,0.6748271584510803
14,TBK1,Q9UHD2,Q5T5P2,29395067,KIAA1217,0.257528513669967,0.688123047351837,0.8452216386795041,0.7948635816574091,0.5937784910202026
15,TBK1,Q9UHD2,Q9HCK1,29395067,ZDBF2,0.257528513669967,0.688123047351837,0.050707124173641,0.557360589504241,0.3811515569686889
16,TBK1,Q9UHD2,O60884,29395067,DNAJA2,0.257528513669967,0.688123047351837,0.18818025290966,0.698748648166656,0.562819242477417
0,TBK1,Q9UHD2,P55081,37506885,MFAP1,0.257528513669967,0.688123047351837,0.800705790519714,0.822628378868103,0.3817004263401031
1,TBK1,Q9UHD2,P0C7P4,37506885,UQCRFS1P1,0.257528513669967,0.688123047351837,0.052127540111541,0.074010476469993,0.2273041754961013
2,TBK1,Q9UHD2,P56182,37506885,RRP1,0.257528513669967,0.688123047351837,0.421416819095611,0.7509662508964531,0.4421091675758362
3,TBK1,Q9UHD2,Q96A35,37506885,MRPL24,0.257528513669967,0.688123047351837,0.400615543127059,0.657899975776672,0.3770654797554016
4,TBK1,Q9UHD2,Q8N5K1,37506885,CISD2,0.257528513669967,0.688123047351837,0.05434913188219,0.157862707972526,0.3234894871711731
5,TBK1,Q9UHD2,P11387,37506885,TOP1,0.257528513669967,0.688123047351837,0.7018611431121821,0.8555550575256341,0.4934126734733581
6,TBK1,Q9UHD2,Q7Z6E9,37506885,RBBP6,0.257528513669967,0.688123047351837,0.912837028503418,0.9011510014533992,0.4416080415248871
7,TBK1,Q9UHD2,Q9UGP8,37506885,SEC63,0.257528513669967,0.688123047351837,0.328695803880691,0.6818805932998651,0.5409432053565979
8,TBK1,Q9UHD2,O43488,37506885,AKR7A2,0.257528513669967,0.688123047351837,0.067198738455772,0.068754598498344,0.2840829491615295
9,TBK1,Q9UHD2,Q9H307,37506885,PNN,0.257528513669967,0.688123047351837,0.915894329547882,0.948989987373352,0.442531019449234
11,TBK1,Q9UHD2,Q13501,37506885,SQSTM1,0.257528513669967,0.688123047351837,0.7442160844802851,0.938113033771514,0.5023113489151001
12,TBK1,Q9UHD2,Q9HCD5,37506885,NCOA5,0.257528513669967,0.688123047351837,0.933055102825164,0.9504990577697752,0.4445711076259613
13,TBK1,Q9UHD2,P05089,37506885,ARG1,0.257528513669967,0.688123047351837,0.484469890594482,0.331378638744354,0.399231880903244
14,TBK1,Q9UHD2,P04844,37506885,RPN2,0.257528513669967,0.688123047351837,0.089722521603107,0.065959602594375,0.517126202583313
15,TBK1,Q9UHD2,P11234,37506885,RALB,0.257528513669967,0.688123047351837,0.761385381221771,0.617660760879516,0.2878318130970001
16,TBK1,Q9UHD2,Q9Y3D6,37506885,FIS1,0.257528513669967,0.688123047351837,0.343092918395996,0.480840444564819,0.3617556989192962
17,TBK1,Q9UHD2,Q9BUQ8,37506885,DDX23,0.257528513669967,0.688123047351837,0.7879667878150941,0.8658872842788691,0.4508940279483795
18,TBK1,Q9UHD2,O95232,37506885,LUC7L3,0.257528513669967,0.688123047351837,0.8728672862052911,0.9055035710334772,0.4048124253749847
19,TBK1,Q9UHD2,P35606,37506885,COPB2,0.257528513669967,0.688123047351837,0.22136802971363,0.25399762392044,0.4676355719566345
20,TBK1,Q9UHD2,O75937,37506885,DNAJC8,0.257528513669967,0.688123047351837,0.5955567955970761,0.739922881126403,0.5374974012374878
21,TBK1,Q9UHD2,O43633,37506885,CHMP2A,0.257528513669967,0.688123047351837,0.527321577072143,0.680327057838439,0.5198004245758057
22,TBK1,Q9UHD2,Q8N0X7,37506885,SPART,0.257528513669967,0.688123047351837,0.100604370236396,0.40608325600624,0.5831465721130371
23,TBK1,Q9UHD2,Q9Y2J2,37506885,EPB41L3,0.257528513669967,0.688123047351837,0.8376559019088741,0.8468633890151971,0.5675442814826965
24,TBK1,Q9UHD2,O15143,37506885,ARPC1B,0.257528513669967,0.688123047351837,0.412511974573135,0.200316831469535,0.4154284596443176
25,TBK1,Q9UHD2,Q9UBB9,37506885,TFIP11,0.257528513669967,0.688123047351837,0.6401961445808411,0.79925513267517,0.4731588363647461
26,TBK1,Q9UHD2,P19784,37506885,CSNK2A2,0.257528513669967,0.688123047351837,0.298951238393783,0.607534527778625,0.4878124296665191
27,TBK1,Q9UHD2,Q92979,37506885,EMG1,0.257528513669967,0.688123047351837,0.169001743197441,0.156872734427452,0.3782332837581634
28,TBK1,Q9UHD2,Q13428,37506885,TCOF1,0.257528513669967,0.688123047351837,0.9414838552474972,0.8864967226982111,0.4800998270511627
29,TBK1,Q9UHD2,Q14244,37506885,MAP7,0.257528513669967,0.688123047351837,0.760242164134979,0.787647426128387,0.5708726644515991
30,TBK1,Q9UHD2,P04114,37506885,APOB,0.257528513669967,0.688123047351837,0.165862768888473,0.364464432001113,0.506783127784729
31,TBK1,Q9UHD2,Q9BZI7,37506885,UPF3B,0.257528513669967,0.688123047351837,0.761556684970855,0.817986607551574,0.4109924733638763
32,TBK1,Q9UHD2,P12270,37506885,TPR,0.257528513669967,0.688123047351837,0.9194509387016292,0.908265948295593,0.4084842205047607
33,TBK1,Q9UHD2,Q15287,37506885,RNPS1,0.257528513669967,0.688123047351837,0.8742988705635071,0.890032768249511,0.4512409269809723
34,TBK1,Q9UHD2,P55265,37506885,ADAR,0.257528513669967,0.688123047351837,0.83223021030426,0.746445953845977,0.5618851184844971
