Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
FMNL2,Q96PY5,P62269,38891874,RPS18,0.685338735580444,0.803763270378112,0.403224408626556,0.573610007762908,0.24371066689491272
FMNL2,Q96PY5,O00755,38891874,WNT7A,0.685338735580444,0.803763270378112,0.05428659170866,0.08444033563137,0.169964998960495
FMNL2,Q96PY5,P49959,38891874,MRE11,0.685338735580444,0.803763270378112,0.9253407716751091,0.918364822864532,0.23829741775989532
FMNL2,Q96PY5,P23921,38891874,RRM1,0.685338735580444,0.803763270378112,0.35580030083656305,0.8009147644042961,0.320387601852417
FMNL2,Q96PY5,O43684,38891874,BUB3,0.685338735580444,0.803763270378112,0.374361425638198,0.7024703025817871,0.23265747725963593
FMNL2,Q96PY5,P35573,38891874,AGL,0.685338735580444,0.803763270378112,0.058833926916122006,0.326186835765838,0.1966313272714615
FMNL2,Q96PY5,Q5JRX3,38891874,PITRM1,0.685338735580444,0.803763270378112,0.06346243619918801,0.145329937338829,0.13102692365646362
FMNL2,Q96PY5,P15531,38891874,NME1,0.685338735580444,0.803763270378112,0.568373322486877,0.643221735954284,0.35685697197914124
FMNL2,Q96PY5,Q9GZV4,38891874,EIF5A2,0.685338735580444,0.803763270378112,0.21165080368518802,0.334972769021987,0.2965719401836395
FMNL2,Q96PY5,P78344,38891874,EIF4G2,0.685338735580444,0.803763270378112,0.935107350349426,0.838588714599609,0.32708367705345154
FMNL2,Q96PY5,Q00341,38891874,HDLBP,0.685338735580444,0.803763270378112,0.527656733989715,0.88329392671585,0.2922441363334656
FMNL2,Q96PY5,P20340,38891874,RAB6A,0.685338735580444,0.803763270378112,0.563553571701049,0.543067574501037,0.13944970071315765
FMNL2,Q96PY5,Q9HCC0,38891874,MCCC2,0.685338735580444,0.803763270378112,0.049439419060945004,0.241557478904724,0.15772545337677002
FMNL2,Q96PY5,P62879,38891874,GNB2,0.685338735580444,0.803763270378112,0.15583436191082,0.197617024183273,0.2546476721763611
FMNL2,Q96PY5,Q9Y5X3,38891874,SNX5,0.685338735580444,0.803763270378112,0.38566344976425104,0.7764370441436761,0.1885090172290802
FMNL2,Q96PY5,Q8N5K1,38891874,CISD2,0.685338735580444,0.803763270378112,0.054349131882190004,0.15786270797252602,0.15372633934020996
FMNL2,Q96PY5,Q01081,38891874,U2AF1,0.685338735580444,0.803763270378112,0.859735310077667,0.907655537128448,0.34483879804611206
FMNL2,Q96PY5,P08708,38891874,RPS17,0.685338735580444,0.803763270378112,0.440060526132583,0.8970975875854491,0.3287604749202728
FMNL2,Q96PY5,P11387,38891874,TOP1,0.685338735580444,0.803763270378112,0.7018611431121821,0.8555550575256341,0.30081671476364136
FMNL2,Q96PY5,Q14739,38891874,LBR,0.685338735580444,0.803763270378112,0.418950408697128,0.33437868952751104,0.22954435646533966
FMNL2,Q96PY5,Q14974,38891874,KPNB1,0.685338735580444,0.803763270378112,0.09113700687885201,0.074117422103881,0.38476139307022095
FMNL2,Q96PY5,P24941,38891874,CDK2,0.685338735580444,0.803763270378112,0.13247555494308402,0.163240283727645,0.30662840604782104
FMNL2,Q96PY5,Q93009,38891874,USP7,0.685338735580444,0.803763270378112,0.065114803612232,0.35267251729965204,0.2965026795864105
FMNL2,Q96PY5,P27449,38891874,ATP6V0C,0.685338735580444,0.803763270378112,0.13409247994422901,0.048734411597251004,0.12169064581394196
FMNL2,Q96PY5,P12268,38891874,IMPDH2,0.685338735580444,0.803763270378112,0.320046216249465,0.56648188829422,0.35093218088150024
FMNL2,Q96PY5,Q5T4S7,38891874,UBR4,0.685338735580444,0.803763270378112,0.21612493693828502,0.39412483572959905,0.29916927218437195
FMNL2,Q96PY5,Q99832,38891874,CCT7,0.685338735580444,0.803763270378112,0.39618256688117903,0.239197224378585,0.2221713364124298
FMNL2,Q96PY5,P10768,38891874,ESD,0.685338735580444,0.803763270378112,0.25768417119979803,0.5619320869445801,0.21280412375926971
FMNL2,Q96PY5,P61513,38891874,RPL37A,0.685338735580444,0.803763270378112,0.29352656006813005,0.521021008491516,0.24637183547019958
FMNL2,Q96PY5,P62280,38891874,RPS11,0.685338735580444,0.803763270378112,0.712270617485046,0.8977368474006651,0.2512616515159607
FMNL2,Q96PY5,Q9Y678,38891874,COPG1,0.685338735580444,0.803763270378112,0.20397396385669703,0.24196429550647702,0.3601003587245941
FMNL2,Q96PY5,O14925,38891874,TIMM23,0.685338735580444,0.803763270378112,0.08220577985048201,0.082174755632877,0.20742936432361603
FMNL2,Q96PY5,Q9UKK9,38891874,NUDT5,0.685338735580444,0.803763270378112,0.428302466869354,0.5638548135757441,0.3430716395378113
FMNL2,Q96PY5,Q8IYD1,38891874,GSPT2,0.685338735580444,0.803763270378112,0.055335558950901004,0.586875438690185,0.2429364025592804
FMNL2,Q96PY5,O95819,38891874,MAP4K4,0.685338735580444,0.803763270378112,0.9037445187568661,0.9482237696647641,0.28619080781936646
FMNL2,Q96PY5,P49792,38891874,RANBP2,0.685338735580444,0.803763270378112,0.8792891502380371,0.9409412145614621,0.35973089933395386
FMNL2,Q96PY5,P41240,38891874,CSK,0.685338735580444,0.803763270378112,0.261618942022323,0.372071504592895,0.372052937746048
FMNL2,Q96PY5,Q9BSJ8,38891874,ESYT1,0.685338735580444,0.803763270378112,0.6062819361686701,0.431197941303253,0.22043275833129883
FMNL2,Q96PY5,Q13185,38891874,CBX3,0.685338735580444,0.803763270378112,0.82945841550827,0.8836170434951781,0.3846585154533386
FMNL2,Q96PY5,P04843,38891874,RPN1,0.685338735580444,0.803763270378112,0.25094354152679405,0.318942010402679,0.19248975813388824
FMNL2,Q96PY5,Q15185,38891874,PTGES3,0.685338735580444,0.803763270378112,0.8146872520446771,0.9434901475906371,0.2961425185203552
FMNL2,Q96PY5,P46109,38891874,CRKL,0.685338735580444,0.803763270378112,0.571638584136962,0.805967926979064,0.35336437821388245
FMNL2,Q96PY5,Q9H9B4,38891874,SFXN1,0.685338735580444,0.803763270378112,0.054716754704713,0.06574347615242,0.1868397742509842
FMNL2,Q96PY5,P67936,38891874,TPM4,0.685338735580444,0.803763270378112,0.619767487049102,0.55419898033142,0.29665589332580566
FMNL2,Q96PY5,P39748,38891874,FEN1,0.685338735580444,0.803763270378112,0.841848254203796,0.853359401226043,0.23527614772319794
FMNL2,Q96PY5,Q96QG7,38891874,MTMR9,0.685338735580444,0.803763270378112,0.14378093183040602,0.032139547169208,0.0931461825966835
FMNL2,Q96PY5,P07954,38891874,FH,0.685338735580444,0.803763270378112,0.33718377351760803,0.38056460022926303,0.24917466938495636
FMNL2,Q96PY5,Q96GK7,38891874,FAHD2A,0.685338735580444,0.803763270378112,0.165871128439903,0.033451814204454006,0.2191440314054489
FMNL2,Q96PY5,P12236,38891874,SLC25A6,0.685338735580444,0.803763270378112,0.561028659343719,0.5380701422691341,0.14555439352989197
FMNL2,Q96PY5,P18124,38891874,RPL7,0.685338735580444,0.803763270378112,0.47345089912414506,0.732934534549713,0.2829323709011078
FMNL2,Q96PY5,P62736,38891874,ACTA2,0.685338735580444,0.803763270378112,0.474418699741363,0.585259795188903,0.28690093755722046
FMNL2,Q96PY5,P20073,38891874,ANXA7,0.685338735580444,0.803763270378112,0.860009491443634,0.784795045852661,0.25012317299842834
FMNL2,Q96PY5,Q02952,38891874,AKAP12,0.685338735580444,0.803763270378112,0.908454895019531,0.9288336038589471,0.30071163177490234
FMNL2,Q96PY5,O95373,38891874,IPO7,0.685338735580444,0.803763270378112,0.052493594586849004,0.07876561582088401,0.35590454936027527
FMNL2,Q96PY5,P50914,38891874,RPL14,0.685338735580444,0.803763270378112,0.060722433030605004,0.307815492153167,0.26605695486068726
FMNL2,Q96PY5,P35579,38891874,MYH9,0.685338735580444,0.803763270378112,0.749034285545349,0.8638456463813781,0.4126904606819153
FMNL2,Q96PY5,P53396,38891874,ACLY,0.685338735580444,0.803763270378112,0.528128921985626,0.7460007667541501,0.15129990875720978
FMNL2,Q96PY5,Q6IBS0,38891874,TWF2,0.685338735580444,0.803763270378112,0.052236814051866004,0.228122800588607,0.2078314572572708
FMNL2,Q96PY5,Q9UDX5,38891874,MTFP1,0.685338735580444,0.803763270378112,0.11139503866434002,0.162976950407028,0.11443972587585449
FMNL2,Q96PY5,O00154,38891874,ACOT7,0.685338735580444,0.803763270378112,0.07011593878269101,0.09771633148193301,0.37073618173599243
FMNL2,Q96PY5,P06733,38891874,ENO1,0.685338735580444,0.803763270378112,0.605673968791961,0.794546842575073,0.25045862793922424
FMNL2,Q96PY5,P58546,38891874,MTPN,0.685338735580444,0.803763270378112,0.068208754062652,0.28404268622398304,0.2925529181957245
FMNL2,Q96PY5,P35268,38891874,RPL22,0.685338735580444,0.803763270378112,0.7265936136245721,0.8093632459640501,0.2951299250125885
FMNL2,Q96PY5,P25789,38891874,PSMA4,0.685338735580444,0.803763270378112,0.8669969439506531,0.7802849411964411,0.24545376002788544
FMNL2,Q96PY5,P42677,38891874,RPS27,0.685338735580444,0.803763270378112,0.21730411052703802,0.358985066413879,0.24126116931438446
FMNL2,Q96PY5,Q13464,38891874,ROCK1,0.685338735580444,0.803763270378112,0.640227198600769,0.826185524463653,0.32679483294487
FMNL2,Q96PY5,Q6IA69,38891874,NADSYN1,0.685338735580444,0.803763270378112,0.050249140709638006,0.06899826228618601,0.34493309259414673
