,Bait Gene,Prey Gene,Bait_uniprot,Prey_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
89147,MOV10,AGO1,Q9HCE1,Q9UL18,0.096921250224113,0.313997954130172,0.061913449317216006,0.14257833361625602
89148,MOV10,AGO2,Q9HCE1,Q9UKV8,0.096921250224113,0.313997954130172,0.125312715768814,0.8902974128723141
89149,MOV10,AGO3,Q9HCE1,Q9H9G7,0.096921250224113,0.313997954130172,0.07245331257581701,0.351395457983016
89161,MOV10,ALG13,Q9HCE1,Q9NP73,0.096921250224113,0.313997954130172,0.364426672458648,0.10586695373058301
89180,MOV10,ARFGAP2,Q9HCE1,Q8N6H7,0.096921250224113,0.313997954130172,0.845222115516662,0.9366458058357231
89188,MOV10,ASCC3,Q9HCE1,Q8N3C0,0.096921250224113,0.313997954130172,0.05681109428405701,0.253184735774993
89196,MOV10,ATXN2,Q9HCE1,Q99700,0.096921250224113,0.313997954130172,0.9192976951599121,0.844794750213623
89230,MOV10,CAPRIN1,Q9HCE1,Q14444,0.096921250224113,0.313997954130172,0.9350892305374141,0.92366886138916
89235,MOV10,CC2D1A,Q9HCE1,Q6P1N0,0.096921250224113,0.313997954130172,0.7124702930450441,0.6866430640220641
89244,MOV10,CCDC66,Q9HCE1,A2RUB6,0.096921250224113,0.313997954130172,0.11723144352436,0.762298464775085
89258,MOV10,CDC20,Q9HCE1,Q12834,0.096921250224113,0.313997954130172,0.53283017873764,0.620118856430053
89265,MOV10,CELF1,Q9HCE1,Q92879,0.096921250224113,0.313997954130172,0.289840072393417,0.36571025848388605
89266,MOV10,CELF2,Q9HCE1,O95319,0.096921250224113,0.313997954130172,0.6175681352615351,0.626740992069244
89269,MOV10,CEP350,Q9HCE1,Q5VT06,0.096921250224113,0.313997954130172,0.858241915702819,0.8765743970870971
89271,MOV10,CEP85,Q9HCE1,Q6P2H3,0.096921250224113,0.313997954130172,0.686874747276306,0.628072619438171
89272,MOV10,CFAP97,Q9HCE1,Q9P2B7,0.096921250224113,0.313997954130172,0.9213705062866211,0.935759842395782
89288,MOV10,CNOT1,Q9HCE1,A5YKK6,0.096921250224113,0.313997954130172,0.16742576658725702,0.152645871043205
89292,MOV10,CNOT3,Q9HCE1,O75175,0.096921250224113,0.313997954130172,0.8002820014953611,0.7462113499641411
89295,MOV10,CNOT9,Q9HCE1,Q92600,0.096921250224113,0.313997954130172,0.08026347309350901,0.085335381329059
89307,MOV10,CPEB4,Q9HCE1,Q17RY0,0.096921250224113,0.313997954130172,0.7140009999275201,0.7536411285400391
89314,MOV10,CSDE1,Q9HCE1,O75534,0.096921250224113,0.313997954130172,0.41829934716224604,0.8530446887016291
89329,MOV10,DAP3,Q9HCE1,P51398,0.096921250224113,0.313997954130172,0.46670717000961304,0.442288011312484
89336,MOV10,DCP1A,Q9HCE1,Q9NPI6,0.096921250224113,0.313997954130172,0.41658067703247004,0.9291802644729611
89337,MOV10,DCP1B,Q9HCE1,Q8IZD4,0.096921250224113,0.313997954130172,0.706972122192382,0.6831697821617121
89352,MOV10,DDX6,Q9HCE1,P26196,0.096921250224113,0.313997954130172,0.7578027248382561,0.9421802759170531
89355,MOV10,DHPS,Q9HCE1,P49366,0.096921250224113,0.313997954130172,0.063165381550788,0.161639750003814
89359,MOV10,DHX36,Q9HCE1,Q9H2U1,0.096921250224113,0.313997954130172,0.42503792047500605,0.7768697738647461
89360,MOV10,DHX57,Q9HCE1,Q6P158,0.096921250224113,0.313997954130172,0.30006697773933405,0.46088534593582103
89366,MOV10,DIP2A,Q9HCE1,Q14689,0.096921250224113,0.313997954130172,0.07697581499814901,0.20916016399860302
89393,MOV10,DZIP3,Q9HCE1,Q86Y13,0.096921250224113,0.313997954130172,0.048956498503685004,0.258854359388351
89395,MOV10,EDC3,Q9HCE1,Q96F86,0.096921250224113,0.313997954130172,0.6413281559944151,0.819340884685516
89396,MOV10,EDC4,Q9HCE1,Q6P2E9,0.096921250224113,0.313997954130172,0.72339904308319,0.47514921426773005
89424,MOV10,EIF4E,Q9HCE1,P06730,0.096921250224113,0.313997954130172,0.6839362382888791,0.718624532222747
89426,MOV10,EIF4ENIF1,Q9HCE1,Q9NRA8,0.096921250224113,0.313997954130172,0.918528199195861,0.8912989497184751
89463,MOV10,FAM120A,Q9HCE1,Q9NZB2,0.096921250224113,0.313997954130172,0.8501178622245781,0.8586925268173211
89464,MOV10,FAM120C,Q9HCE1,Q9NX05,0.096921250224113,0.313997954130172,0.23158136010169902,0.102664865553379
89482,MOV10,FMR1,Q9HCE1,Q06787,0.096921250224113,0.313997954130172,0.5003023147583,0.9142025709152221
89484,MOV10,FUBP3,Q9HCE1,Q96I24,0.096921250224113,0.313997954130172,0.927373111248016,0.896067440509796
89486,MOV10,FXR2,Q9HCE1,P51116,0.096921250224113,0.313997954130172,0.909103691577911,0.93657237291336
89487,MOV10,G3BP1,Q9HCE1,Q13283,0.096921250224113,0.313997954130172,0.9298263788223261,0.5750792622566221
89488,MOV10,G3BP2,Q9HCE1,Q9UN86,0.096921250224113,0.313997954130172,0.827478051185607,0.9036784172058101
89495,MOV10,GIGYF1,Q9HCE1,O75420,0.096921250224113,0.313997954130172,0.8790502548217771,0.863427340984344
89497,MOV10,GLE1,Q9HCE1,Q53GS7,0.096921250224113,0.313997954130172,0.05024389177560801,0.25106167793273904
89502,MOV10,GPBP1,Q9HCE1,Q86WP2,0.096921250224113,0.313997954130172,0.9238476753234861,0.8661590814590451
89504,MOV10,GRSF1,Q9HCE1,Q12849,0.096921250224113,0.313997954130172,0.371622174978256,0.32188338041305503
89509,MOV10,GTPBP1,Q9HCE1,O00178,0.096921250224113,0.313997954130172,0.713772177696228,0.446460396051406
89529,MOV10,HELZ,Q9HCE1,P42694,0.096921250224113,0.313997954130172,0.8446741104125971,0.836807429790496
89547,MOV10,HNRNPAB,Q9HCE1,Q99729,0.096921250224113,0.313997954130172,0.920922875404357,0.9196254611015321
89550,MOV10,HNRNPDL,Q9HCE1,O14979,0.096921250224113,0.313997954130172,0.944182753562927,0.8330107927322381
89575,MOV10,IBTK,Q9HCE1,Q9P2D0,0.096921250224113,0.313997954130172,0.135052159428596,0.5361476540565491
89579,MOV10,IGF2BP1,Q9HCE1,Q9NZI8,0.096921250224113,0.313997954130172,0.525628864765167,0.7955076098442071
89580,MOV10,IGF2BP2,Q9HCE1,Q9Y6M1,0.096921250224113,0.313997954130172,0.7169618606567381,0.877931773662567
89581,MOV10,IGF2BP3,Q9HCE1,O00425,0.096921250224113,0.313997954130172,0.408983945846557,0.649566054344177
89597,MOV10,KIAA1671,Q9HCE1,Q9BY89,0.096921250224113,0.313997954130172,0.8085337877273561,0.6534734964370721
89601,MOV10,KIF1B,Q9HCE1,O60333,0.096921250224113,0.313997954130172,0.24660500884056002,0.7511826753616331
89603,MOV10,KIF1C,Q9HCE1,O43896,0.096921250224113,0.313997954130172,0.78532463312149,0.7623963356018061
89617,MOV10,LARP1B,Q9HCE1,Q659C4,0.096921250224113,0.313997954130172,0.902065575122833,0.8965162038803101
89618,MOV10,LARP4,Q9HCE1,Q71RC2,0.096921250224113,0.313997954130172,0.8875218629837031,0.9059172868728631
89619,MOV10,LARP4B,Q9HCE1,Q92615,0.096921250224113,0.313997954130172,0.7897013425827021,0.913986682891845
89634,MOV10,LSM12,Q9HCE1,Q3MHD2,0.096921250224113,0.313997954130172,0.170231625437736,0.389593958854675
89635,MOV10,LSM14A,Q9HCE1,Q8ND56,0.096921250224113,0.313997954130172,0.931010067462921,0.93739902973175
89636,MOV10,LSM14B,Q9HCE1,Q9BX40,0.096921250224113,0.313997954130172,0.9151313900947571,0.9035645723342891
89644,MOV10,LUZP1,Q9HCE1,Q86V48,0.096921250224113,0.313997954130172,0.912929415702819,0.9477760195732111
89652,MOV10,MAP7D3,Q9HCE1,Q8IWC1,0.096921250224113,0.313997954130172,0.751095235347747,0.910188853740692
89656,MOV10,MARF1,Q9HCE1,Q9Y4F3,0.096921250224113,0.313997954130172,0.10917707532644201,0.290735512971878
89668,MOV10,MCRIP1,Q9HCE1,C9JLW8,0.096921250224113,0.313997954130172,0.46052724123001104,0.7145357131958
89669,MOV10,MCRIP2,Q9HCE1,Q9BUT9,0.096921250224113,0.313997954130172,0.573536276817321,0.40689116716384804
89672,MOV10,MEX3A,Q9HCE1,A1L020,0.096921250224113,0.313997954130172,0.23238852620124803,0.26905071735382
89677,MOV10,MKRN2,Q9HCE1,Q9H000,0.096921250224113,0.313997954130172,0.14131464064121202,0.425341367721557
89682,MOV10,MRPS2,Q9HCE1,Q9Y399,0.096921250224113,0.313997954130172,0.074320703744888,0.06266940385103201
89683,MOV10,MRPS22,Q9HCE1,P82650,0.096921250224113,0.313997954130172,0.059273742139339,0.147421196103096
89687,MOV10,MRPS27,Q9HCE1,Q92552,0.096921250224113,0.313997954130172,0.16368201375007602,0.323247224092483
89689,MOV10,MRPS31,Q9HCE1,Q92665,0.096921250224113,0.313997954130172,0.37623789906501703,0.6828134059906
89705,MOV10,N4BP2,Q9HCE1,Q86UW6,0.096921250224113,0.313997954130172,0.20905244350433302,0.684999763965606
89724,MOV10,NFX1,Q9HCE1,Q12986,0.096921250224113,0.313997954130172,0.677983343601226,0.778652310371398
89749,MOV10,NYNRIN,Q9HCE1,Q9P2P1,0.096921250224113,0.313997954130172,0.06116864830255501,0.10613805055618201
89750,MOV10,OCRL,Q9HCE1,Q01968,0.096921250224113,0.313997954130172,0.057465773075819,0.384856641292572
89754,MOV10,OTUD4,Q9HCE1,Q01804,0.096921250224113,0.313997954130172,0.7899363040924071,0.5325272679328911
89756,MOV10,PABPC1,Q9HCE1,P11940,0.096921250224113,0.313997954130172,0.846898555755615,0.945850253105163
89758,MOV10,PABPC4,Q9HCE1,Q13310,0.096921250224113,0.313997954130172,0.902287125587463,0.9297712445259091
89764,MOV10,PAN2,Q9HCE1,Q504Q3,0.096921250224113,0.313997954130172,0.048762954771518006,0.08457577228546101
89765,MOV10,PAN3,Q9HCE1,Q58A45,0.096921250224113,0.313997954130172,0.33015498518943703,0.08147920668125101
89769,MOV10,PARP12,Q9HCE1,Q9H0J9,0.096921250224113,0.313997954130172,0.047143492847681004,0.09982393682003
89770,MOV10,PATL1,Q9HCE1,Q86TB9,0.096921250224113,0.313997954130172,0.6750744581222531,0.5648705363273621
89773,MOV10,PCBP1,Q9HCE1,Q15365,0.096921250224113,0.313997954130172,0.558648109436035,0.693042695522308
89834,MOV10,PRMT1,Q9HCE1,Q99873,0.096921250224113,0.313997954130172,0.08781240880489301,0.23695997893810203
89840,MOV10,PRRC2A,Q9HCE1,P48634,0.096921250224113,0.313997954130172,0.920958399772644,0.771147608757019
89841,MOV10,PRRC2B,Q9HCE1,Q5JSZ5,0.096921250224113,0.313997954130172,0.9129469990730281,0.7642971277236931
89842,MOV10,PRRC2C,Q9HCE1,Q9Y520,0.096921250224113,0.313997954130172,0.9226905703544611,0.859529852867126
89854,MOV10,PTBP3,Q9HCE1,O95758,0.096921250224113,0.313997954130172,0.42364820837974504,0.45767813920974704
89855,MOV10,PTCD3,Q9HCE1,Q96EY7,0.096921250224113,0.313997954130172,0.049986116588115005,0.169414058327674
89859,MOV10,PUM1,Q9HCE1,Q14671,0.096921250224113,0.313997954130172,0.9372653961181641,0.9234544038772581
89860,MOV10,PUM2,Q9HCE1,Q8TB72,0.096921250224113,0.313997954130172,0.9371489286422731,0.8310171961784361
89864,MOV10,R3HDM1,Q9HCE1,Q15032,0.096921250224113,0.313997954130172,0.9339957237243651,0.8198994398117061
89878,MOV10,RAVER1,Q9HCE1,Q8IY67,0.096921250224113,0.313997954130172,0.552187025547027,0.46709433197975103
89894,MOV10,RBMS1,Q9HCE1,P29558,0.096921250224113,0.313997954130172,0.819132804870605,0.8230159878730771
89895,MOV10,RBMS2,Q9HCE1,Q15434,0.096921250224113,0.313997954130172,0.822883307933807,0.83216392993927
89897,MOV10,RC3H1,Q9HCE1,Q5TC82,0.096921250224113,0.313997954130172,0.473352253437042,0.488165706396102
89898,MOV10,RC3H2,Q9HCE1,Q9HBD1,0.096921250224113,0.313997954130172,0.380768567323684,0.385693252086639
89977,MOV10,SAMD4B,Q9HCE1,Q5PRF9,0.096921250224113,0.313997954130172,0.802414774894714,0.674923658370971
89986,MOV10,SECISBP2,Q9HCE1,Q96T21,0.096921250224113,0.313997954130172,0.08698838204145401,0.25786298513412403
90028,MOV10,SMG1,Q9HCE1,Q96Q15,0.096921250224113,0.313997954130172,0.16360141336917802,0.310367941856384
90029,MOV10,SMG5,Q9HCE1,Q9UPR3,0.096921250224113,0.313997954130172,0.056534428149461004,0.08168867975473401
90031,MOV10,SMG7,Q9HCE1,Q92540,0.096921250224113,0.313997954130172,0.7485496997833251,0.6801263689994811
90032,MOV10,SMG8,Q9HCE1,Q8ND04,0.096921250224113,0.313997954130172,0.188429340720176,0.5721522569656371
90033,MOV10,SMG9,Q9HCE1,Q9H0W8,0.096921250224113,0.313997954130172,0.48189789056777904,0.48391118645668
90085,MOV10,STAU2,Q9HCE1,Q9NUL3,0.096921250224113,0.313997954130172,0.8798784017562861,0.8653655052185051
90098,MOV10,SYNCRIP,Q9HCE1,O60506,0.096921250224113,0.313997954130172,0.9453929662704461,0.9018948674201961
90100,MOV10,TAB1,Q9HCE1,Q15750,0.096921250224113,0.313997954130172,0.7070764303207391,0.8197949528694151
90102,MOV10,TAF15,Q9HCE1,Q92804,0.096921250224113,0.313997954130172,0.9341263771057121,0.9066437482833861
90113,MOV10,TCHP,Q9HCE1,Q9BT92,0.096921250224113,0.313997954130172,0.074357792735099,0.16978117823600702
90116,MOV10,TDRD3,Q9HCE1,Q9H7E2,0.096921250224113,0.313997954130172,0.8975397944450371,0.883250415325164
90136,MOV10,TNRC6A,Q9HCE1,Q8NDV7,0.096921250224113,0.313997954130172,0.94635409116745,0.9126369357109071
90137,MOV10,TNRC6B,Q9HCE1,Q9UPQ9,0.096921250224113,0.313997954130172,0.9158128499984741,0.9256454706192011
90140,MOV10,TOP3B,Q9HCE1,O95985,0.096921250224113,0.313997954130172,0.05074363946914601,0.062615826725959
90148,MOV10,TRA2B,Q9HCE1,P62995,0.096921250224113,0.313997954130172,0.9048864245414731,0.9517022371292111
90152,MOV10,TRIM56,Q9HCE1,Q9BRZ2,0.096921250224113,0.313997954130172,0.046740718185901,0.297699868679046
90162,MOV10,TTF2,Q9HCE1,Q9UNY4,0.096921250224113,0.313997954130172,0.47924309968948303,0.487728834152221
90163,MOV10,TTK,Q9HCE1,P33981,0.096921250224113,0.313997954130172,0.747277498245239,0.9076627492904661
90186,MOV10,UPF1,Q9HCE1,Q92900,0.096921250224113,0.313997954130172,0.747238278388977,0.7646963596343991
90192,MOV10,USP10,Q9HCE1,Q14694,0.096921250224113,0.313997954130172,0.7744724154472351,0.9465939402580261
90214,MOV10,WRN,Q9HCE1,Q14191,0.096921250224113,0.313997954130172,0.052822660654783006,0.654919922351837
90217,MOV10,XRN1,Q9HCE1,Q8IZH2,0.096921250224113,0.313997954130172,0.385329663753509,0.270378917455673
90223,MOV10,YTHDC2,Q9HCE1,Q9H6S0,0.096921250224113,0.313997954130172,0.353436380624771,0.6989003419876091
90224,MOV10,YTHDF1,Q9HCE1,Q9BYJ9,0.096921250224113,0.313997954130172,0.8564839363098141,0.6895709037780761
90225,MOV10,YTHDF2,Q9HCE1,Q9Y5A9,0.096921250224113,0.313997954130172,0.9421745538711541,0.9018615484237671
90226,MOV10,YTHDF3,Q9HCE1,Q7Z739,0.096921250224113,0.313997954130172,0.9342164993286131,0.743057370185852
90237,MOV10,ZC3H7A,Q9HCE1,Q8IWR0,0.096921250224113,0.313997954130172,0.065534330904483,0.528411209583282
90239,MOV10,ZC3HAV1,Q9HCE1,Q7Z2W4,0.096921250224113,0.313997954130172,0.832865834236145,0.9480621218681331
90244,MOV10,ZCCHC3,Q9HCE1,Q9NUD5,0.096921250224113,0.313997954130172,0.11184251308441101,0.501195549964904
90247,MOV10,ZFP36L2,Q9HCE1,P47974,0.096921250224113,0.313997954130172,0.868243873119354,0.9018530845642091
90251,MOV10,ZNF598,Q9HCE1,Q86UK7,0.096921250224113,0.313997954130172,0.41906195878982505,0.487267971038818
